id;confidence_per_choice
0;[0.1304400387570364, 0.005731136691111902, 0.8505759494817595, 0.0034761101181633807]
1;[0.5011735590814985, 0.1435886287363432, 0.2367376264282727, 0.08709090571468664]
2;[0.15717567509827415, 0.15717567509827415, 0.42724775602947, 0.22868925785480873]
3;[0.0622709275623114, 0.521388092969832, 0.27907893545582435, 0.09060366498347501]
4;[0.14476743449174853, 0.3064726612240059, 0.4459151174747325, 0.06034804512590645]
5;[0.006188733399377699, 0.631267818100054, 0.26315157761123376, 0.05871705365570655]
6;[0.22183477740533916, 0.08160845394426747, 0.36574371608921086, 0.284841492493723]
7;[0.1759582277234756, 0.13703640553889937, 0.3287332476213217, 0.3287332476213217]
8;[0.008969722264488722, 0.004236996785120867, 0.7125533187550738, 0.26213370889627974]
9;[0.39290542718064975, 0.30599505436129487, 0.16378734991717278, 0.11256927618035403]
10;[0.01336482794194298, 0.09875348696023578, 0.05285893250156728, 0.8268527489867669]
11;[0.2937512499596204, 0.13875826530679, 0.25923456821971824, 0.25923456821971824]
12;[0.9424542404738282, 0.0014169225213119605, 0.028459649619107547, 0.004364428623756519]
13;[0.20879687795740304, 0.3900839464192017, 0.18426259806674194, 0.16261117205609002]
14;[0.04346116994761206, 0.46725163903944983, 0.3638959206854332, 0.10425792683423188]
15;[0.15878807812334006, 0.007905593843948622, 0.01150257117040375, 0.8063923747864422]
16;[0.15560991600904622, 0.3732887830103962, 0.2907175965202683, 0.13732526888943233]
17;[0.019627566895002134, 0.07762853295398946, 0.8345852943500689, 0.05335325842754863]
18;[0.2718004049644896, 0.09998979300821964, 0.3079902084284484, 0.2718004049644896]
19;[0.1979944314484801, 0.609865820090389, 0.07283808079632431, 0.0935259470452357]
20;[0.2550433666650637, 0.06448506942749532, 0.05690787403271721, 0.6118172494165877]
21;[0.05658345772527769, 0.17428934063234872, 0.04993472618008396, 0.6893276936446114]
22;[0.06795296044243522, 0.3045440038075003, 0.14385640123649537, 0.44310891091336574]
23;[0.15141442705030408, 0.6785923423555913, 0.04915706733553207, 0.06311892386865393]
24;[0.45489339271171797, 0.18962777842421563, 0.2434868872067242, 0.06156313348400101]
25;[0.575937767456917, 0.022331530693512482, 0.02867425300401245, 0.3493239140490651]
26;[0.3428268741507735, 0.09822154393678133, 0.30254365456081656, 0.16193994872957856]
27;[0.1325761062632977, 0.36037926350393096, 0.3180335837979368, 0.17023111038069763]
28;[0.012460169733265867, 0.17200731694898522, 0.7708833123884424, 0.02989039333176809]
29;[0.06133886994962528, 0.008301315317233854, 0.1471443172229854, 0.7472604795279758]
30;[0.08950223106409046, 0.27568628013936625, 0.1302249777874261, 0.4545298341059674]
31;[0.00037037738896768333, 0.9743467331724767, 0.00273673930485767, 0.005793677153848247]
32;[0.24534539015550766, 0.2165165468756446, 0.3569754362924166, 0.13132390836015528]
33;[0.18149996556764716, 0.7178462676340013, 0.031539964752810054, 0.031539964752810054]
34;[0.4759651697674679, 0.1545232575313401, 0.011193627231711344, 0.3271257387608916]
35;[0.25760085011954215, 0.10738401065173307, 0.008814618468144804, 0.6179523518895204]
36;[0.07101165295970042, 0.2478549932589953, 0.5247090248468275, 0.11707842270223381]
37;[0.15609797361414068, 0.6995825822484139, 0.030737513480340522, 0.0650713165485132]
38;[0.3355807321195052, 0.0961454894860927, 0.0961454894860927, 0.43089416370883066]
39;[0.18648390602354514, 0.12816837399818404, 0.5744108693857705, 0.08808874932902351]
40;[0.1677247714463401, 0.40235081040890336, 0.19005706530540728, 0.21536286954524303]
41;[0.30993832578443153, 0.008259576612096373, 0.35120613440875065, 0.30993832578443153]
42;[0.000258461173200065, 0.00048286927223416753, 0.9892931053926545, 0.0011583431673784174]
43;[0.0010014094734142997, 0.9691395094916285, 0.0011347455956858788, 0.008384698864537436]
44;[0.05896852694203972, 0.16029307523754419, 0.7183836805239736, 0.021693308738140713]
45;[0.006466930056830912, 0.008303702560912792, 0.9597775051278814, 0.007327991789989311]
46;[0.13762512587276438, 0.22690547240920914, 0.3741039010976536, 0.20024337658062144]
47;[0.01578866108858164, 0.01578866108858164, 0.3593481843680719, 0.5924649951551115]
48;[0.27459478621626693, 0.008292046022119786, 0.6587186485063797, 0.025541293779817408]
49;[0.007263653074608489, 0.00932671516579936, 0.9513505873883814, 0.01357029049282744]
50;[0.024602641670416685, 0.2997215335672029, 0.027878445350190108, 0.6345104915409449]
51;[0.009268977118581306, 0.022235120210111033, 0.9454613803017388, 0.010503127083432215]
52;[0.31097009947410575, 0.5127030175546928, 0.015482291448511609, 0.12963163917969708]
53;[0.007741817549061447, 0.17620297625489312, 0.7896869175408351, 0.011264278067424931]
54;[0.1143321161895659, 0.24204112072622158, 0.27426852152947895, 0.27426852152947895]
55;[0.02606568098840206, 0.033468996892382696, 0.8631767422303468, 0.07085386697718372]
56;[0.1536352012484455, 0.1740914906312866, 0.3252457235952508, 0.3252457235952508]
57;[0.09009882169367928, 0.6657453074644122, 0.02278054965951379, 0.19073922976018814]
58;[0.3692634814883272, 0.15393191151168442, 0.10579575244578132, 0.32587385922745665]
59;[0.07379376210379865, 0.016465613956175722, 0.107369290313405, 0.793357685784219]
60;[0.26696929967385535, 0.34279536625655666, 0.0866722521801848, 0.26696929967385535]
61;[0.01331416448996563, 0.2082685739620623, 0.7269287503891048, 0.028186086446441123]
62;[0.015297481646830013, 0.9464216166002614, 0.011913690685571658, 0.008188151879025269]
63;[0.26561739356557307, 0.16110509295047723, 0.23440652709421167, 0.3009839386264715]
64;[0.009599225464615144, 0.8640947905356354, 0.10320139954619734, 0.008471286739734038]
65;[0.530878433721496, 0.1723509933750198, 0.055954181921120644, 0.22130305608490597]
66;[0.16923861662397324, 0.013891954924789139, 0.04848767547675104, 0.7584749036114207]
67;[0.18807119761554228, 0.31007698391479177, 0.3513632546546735, 0.1140709475626999]
68;[0.6396254727430591, 0.1832557661348532, 0.08656389451903419, 0.06741602883713432]
69;[0.04581813594280766, 0.23268369382005935, 0.4925913543218306, 0.20534263907814473]
70;[0.015637827533225387, 0.061848822419612835, 0.24461683789185906, 0.6649374855598709]
71;[0.519046173233452, 0.16850962081314963, 0.09019670035563984, 0.19094641615129798]
72;[0.2093717929185728, 0.5691315061595644, 0.12699041168411884, 0.06797306916625612]
73;[0.3055858323539229, 0.18534717649645907, 0.18534717649645907, 0.2696785505260724]
74;[0.21739649042709933, 0.1494142771173296, 0.2791426192071088, 0.3163100271395575]
75;[0.18624505778189587, 0.5062665562088324, 0.21104329911689698, 0.06046491754219091]
76;[0.3159625587243685, 0.24607188815578296, 0.27883597940695853, 0.09052478870275109]
77;[0.20845573358653485, 0.009158906821836992, 0.7275820016663037, 0.015100484493523157]
78;[0.03266584172679849, 0.18797894021501424, 0.7434710865293503, 0.015430251048871399]
79;[0.6055669618757831, 0.014241568210462893, 0.004080277607109212, 0.36729492888669385]
80;[0.14044102430018673, 0.15914052943287715, 0.23154810404263146, 0.43258880932874183]
81;[0.2609889483721587, 0.17937490609911522, 0.2957392231154494, 0.13969731733335067]
82;[0.4873561965087657, 0.26086297394086366, 0.09596612507568544, 0.12322294373821492]
83;[0.12180198816857452, 0.3751765361885579, 0.22755607200314673, 0.22755607200314673]
84;[0.9302353019302539, 0.036069140960488744, 0.008048113198930144, 0.004307844567741889]
85;[0.17884163468427824, 0.07455228503709421, 0.1578271886620413, 0.5508710164425572]
86;[0.0026967033561697087, 0.022579226140404092, 0.009412419567570654, 0.9600931011777045]
87;[0.23512647532764971, 0.1426114161963856, 0.3019083704569054, 0.3019083704569054]
88;[0.1841549091984474, 0.07676718738217711, 0.5005849731328537, 0.20867485048288253]
89;[0.22860288126100298, 0.6214070580651652, 0.030938031996062543, 0.08409829018318134]
90;[0.021893455216173027, 0.08659029510979004, 0.5646396856420928, 0.3022298267209982]
91;[0.2118852621269772, 0.2118852621269772, 0.3082912372788789, 0.2400974570068432]
92;[0.16798321739632838, 0.2769575036419704, 0.21569472071386803, 0.3138339668171487]
93;[0.12964703157589494, 0.188635317873662, 0.35241717004641127, 0.27446276799995356]
94;[0.044086671892149785, 0.6085976964767301, 0.2874812130260505, 0.044086671892149785]
95;[0.3141311955696498, 0.3141311955696498, 0.21589900284881045, 0.11556239490456802]
96;[0.10680590970682956, 0.10680590970682956, 0.6146255371776098, 0.1371415027160251]
97;[0.35075844273231044, 0.012002293892229933, 0.5783029398799533, 0.03262561738707361]
98;[0.1591520832092018, 0.12394778180649786, 0.14045122047200637, 0.5554953527946185]
