id;confidence_per_choice
0;[1.0, 3.2661313427874473e-13, 8.878265478459658e-13, 9.357622968840175e-14]
1;[1.0, 8.25807328555592e-14, 6.431393941452e-14, 0]
2;[1.0, 3.0988191387218256e-12, 2.020683909022217e-11, 2.2447770550209742e-13]
3;[3.2661313427874473e-13, 1.0, 6.914400106940203e-13, 1.1176086870894152e-14]
4;[1.0, 1.3615261080896538e-13, 2.543665647376923e-13, 1.435037960133826e-14]
5;[1.2015425731771786e-13, 1.0, 1.0603575991523846e-13, 1.2664165549094176e-14]
6;[6.101936677605324e-13, 2.0879679116459336e-14, 1.626111044617819e-14, 1.0]
7;[1.2917800047859961e-12, 7.287724095819692e-14, 7.835041785064389e-13, 1.0]
8;[1.0, 3.2661313427874473e-13, 9.357622968840175e-14, 5.9821282237671354e-15]
9;[3.775134544279098e-11, 2.129785170955785e-12, 1.0, 2.8823507934443873e-13]
10;[1.2664165549094176e-14, 1.0, 2.493722053335376e-15, 3.2020024986373665e-15]
11;[5.008774637843506e-14, 1.626111044617819e-14, 4.420228103641173e-14, 1.0]
12;[1.0, 3.2661313427874473e-13, 8.878265478459658e-13, 1.2664165549094176e-14]
13;[9.862862046580453e-15, 1.0, 4.111452592548034e-15, 0]
14;[1.1176086870894152e-14, 1.0, 1.1176086870894152e-14, 7.681204685202095e-15]
15;[1.0, 1.0603575991523846e-13, 6.431393941452e-14, 2.825757287115611e-15]
16;[1.0815941557285693e-11, 1.2015425731771786e-13, 1.0, 2.543665647376923e-13]
17;[1.7482341282710566e-13, 2.825757287115611e-15, 1.0, 3.628344178047045e-15]
18;[1.0, 2.413362771833214e-12, 3.5114221133765118e-12, 1.2015425731771786e-13]
19;[9.736200313009565e-10, 4.8473687062702556e-11, 9.736200313009565e-10, 1.0]
20;[5.109089028063325e-12, 4.420228103641173e-14, 1.0, 1.2015425731771786e-13]
21;[7.835041785064389e-13, 1.1176086870894152e-14, 1.9810087980489796e-13, 1.0]
22;[2.6810038677818034e-14, 0, 1.0603575991523846e-13, 1.0]
23;[1.0, 1.5428112031918877e-13, 4.1937956583795446e-13, 1.8426252147235624e-14]
24;[3.442477108469977e-14, 2.493722053335376e-15, 8.703945206726412e-15, 1.0]
25;[4.420228103641173e-14, 2.6810038677818034e-14, 1.9810087980489796e-13, 1.0]
26;[1.3887943864964021e-11, 1.0, 7.835041785064389e-13, 2.0879679116459336e-14]
27;[6.914400106940203e-13, 4.658886145103398e-15, 1.0, 3.037975385443128e-14]
28;[6.224144622907783e-11, 1.7482341282710566e-13, 1.0, 6.101936677605324e-13]
29;[1.7482341282710566e-13, 1.2015425731771786e-13, 1.7482341282710566e-13, 1.0]
30;[1.0, 1.8795288165390832e-12, 1.3615261080896538e-13, 1.2015425731771786e-13]
31;[2.0879679116459336e-14, 1.0, 2.825757287115611e-15, 2.825757287115611e-15]
32;[1.0, 3.442477108469977e-14, 5.008774637843506e-14, 0]
33;[1.0, 3.900837610180715e-14, 6.431393941452e-14, 0]
34;[0, 0, 0, 0]
35;[1.0, 1.463778514125909e-12, 2.2447770550209742e-13, 1.8426252147235624e-14]
36;[1.463778514125909e-12, 0, 1.2917800047859961e-12, 1.0]
37;[6.101936677605324e-13, 1.0, 1.2015425731771786e-13, 9.862862046580453e-15]
38;[8.878265478459658e-13, 1.0, 8.25807328555592e-14, 7.287724095819692e-14]
39;[7.835041785064389e-13, 2.3659776091347615e-14, 1.0, 1.8426252147235624e-14]
40;[1.6918979226151304e-10, 2.543665647376923e-13, 1.0, 2.0879679116459336e-14]
41;[1.0, 1.1399918530443554e-12, 1.0603575991523846e-13, 5.9821282237671354e-15]
42;[3.0988191387218256e-12, 6.431393941452e-14, 1.0, 3.2661313427874473e-13]
43;[4.420228103641173e-14, 1.0, 1.9810087980489796e-13, 1.626111044617819e-14]
44;[1.8426252147235624e-14, 1.0, 1.2664165549094176e-14, 2.825757287115611e-15]
45;[6.224144622907783e-11, 5.008774637843506e-14, 1.0, 1.2015425731771786e-13]
46;[1.0603575991523846e-13, 3.628344178047045e-15, 9.357622968840175e-14, 1.0]
47;[3.2661313427874473e-13, 8.878265478459658e-13, 1.9810087980489796e-13, 1.0]
48;[1.0, 5.008774637843506e-14, 8.25807328555592e-14, 0]
49;[2.129785170955785e-12, 8.25807328555592e-14, 1.0, 1.0603575991523846e-13]
50;[5.109089028063325e-12, 2.2007019879753665e-15, 1.0, 0]
51;[6.224144622907783e-11, 2.3659776091347615e-14, 1.0, 4.658886145103398e-15]
52;[6.431393941452e-14, 1.0, 1.8426252147235624e-14, 2.493722053335376e-15]
53;[3.2020024986373665e-15, 1.0, 3.628344178047045e-15, 0]
54;[1.039538011670222e-15, 2.6283637069436874e-16, 2.825757287115611e-15, 1.0]
55;[1.435037960133826e-14, 5.564246011263937e-16, 1.0, 0]
56;[1.0, 3.2661313427874473e-13, 1.7482341282710566e-13, 2.6810038677818034e-14]
57;[9.862862046580453e-15, 9.862862046580453e-15, 8.703945206726412e-15, 1.0]
58;[0, 0, 0, 0]
59;[3.0988191387218256e-12, 6.914400106940203e-13, 3.0988191387218256e-12, 1.0]
60;[1.0, 3.0988191387218256e-12, 7.991959892953932e-11, 5.675685232632723e-14]
61;[9.357622968840175e-14, 1.0, 9.357622968840175e-14, 6.431393941452e-14]
62;[3.2661313427874473e-13, 1.0, 4.1937956583795446e-13, 6.431393941452e-14]
63;[1.0, 7.835041785064389e-13, 1.463778514125909e-12, 0]
64;[4.1937956583795446e-13, 3.2020024986373665e-15, 1.0, 6.305116760146989e-16]
65;[7.433680672352188e-12, 8.25807328555592e-14, 3.701011678592672e-13, 1.0]
66;[0, 4.658886145103398e-15, 3.628344178047045e-15, 1.0]
67;[0, 0, 0, 0]
68;[4.1937956583795446e-13, 0, 1.0, 3.900837610180715e-14]
69;[1.0, 6.101936677605324e-13, 6.101936677605324e-13, 2.3659776091347615e-14]
70;[1.0603575991523846e-13, 1.9421126879000225e-15, 1.0, 6.778639342809131e-15]
71;[1.0, 1.8795288165390832e-12, 3.2661313427874473e-13, 5.9821282237671354e-15]
72;[1.0, 1.9810087980489796e-13, 3.2661313427874473e-13, 0]
73;[1.0, 1.1399918530443554e-12, 8.423463754468647e-12, 1.2664165549094176e-14]
74;[1.0, 1.1399918530443554e-12, 8.423463754468647e-12, 1.2015425731771786e-13]
75;[8.423463754468647e-12, 6.431393941452e-14, 1.0, 8.25807328555592e-14]
76;[6.914400106940203e-13, 1.0, 3.037975385443128e-14, 2.0879679116459336e-14]
77;[1.0, 2.6810038677818034e-14, 1.8795288165390832e-12, 0]
78;[6.560200168153779e-12, 1.0, 8.878265478459658e-13, 4.1937956583795446e-13]
79;[1.0, 4.1937956583795446e-13, 2.2447770550209742e-13, 3.037975385443128e-14]
80;[1.0815941557285693e-11, 1.5428112031918877e-13, 1.0, 6.431393941452e-14]
81;[3.775134544279098e-11, 1.0, 1.0815941557285693e-11, 7.835041785064389e-13]
82;[3.97896253583724e-12, 1.2015425731771786e-13, 1.8795288165390832e-12, 1.0]
83;[1.1176086870894152e-14, 0, 4.658886145103398e-15, 1.0]
84;[1.0, 5.384940217754036e-13, 4.1937956583795446e-13, 0]
