id;confidence_per_choice
0;[0.004979960324476257, 0.11334337455500493, 0.6522460865217512, 0.14553577374178497]
1;[0.3055058818838867, 0.0875289006287362, 0.1123893331020329, 0.3461835174595428]
2;[0.22513015246227017, 0.5400591606687859, 0.03912175904664545, 0.10634396671384959]
3;[0.1842306625418263, 0.2680540323077803, 0.23655685323692718, 0.1842306625418263]
4;[0.0728689640038571, 0.32657607847384423, 0.10602371701773483, 0.37005917813126704]
5;[0.18543736855803372, 0.3925709357170185, 0.1274491152971467, 0.07730179598096987]
6;[0.4708485577881428, 0.002470786764762016, 0.2855840863799842, 0.1349003864823836]
7;[0.18031395916924767, 0.02153543393073096, 0.38172465455679444, 0.20432248389898788]
8;[0.254723053873117, 0.37061985649071477, 0.15449734190967832, 0.1363434256928443]
9;[0.13174834311288103, 0.015735095682193608, 0.6690732339615769, 0.10260571278467188]
10;[0.18097474409913658, 0.298376910055759, 0.15970965111352783, 0.18097474409913658]
11;[0.22560503412381636, 0.37195981853696425, 0.02377859848853285, 0.2556439954214911]
12;[0.1774408456526612, 0.42565846077679803, 0.1774408456526612, 0.08381713056817802]
13;[0.2940415864993412, 0.3775568706283412, 0.1388954105771927, 0.07434535588027984]
14;[0.1267522956574961, 0.16275316924774422, 0.06784561484169276, 0.5013150541317097]
15;[0.07120960885185082, 0.04319081103479166, 0.6756180383367199, 0.10360936951776321]
16;[0.09455929913497094, 0.37398923836141335, 0.09455929913497094, 0.291263111696147]
17;[0.05055439224601004, 0.08335010182331438, 0.17645216694462468, 0.42328671862056266]
18;[0.03582313355553697, 0.14168324166757934, 0.634980254555543, 0.09737737298247762]
19;[0.2020426825306262, 0.22894435316305098, 0.13886176956146745, 0.2594279396250964]
20;[0.06044517090249854, 0.3941520261526339, 0.18618423384960595, 0.23906528844942818]
21;[0.17511787148433014, 0.5394010182926962, 0.12035663559587542, 0.06442226470078782]
22;[0.0460272361756694, 0.14177386837742642, 0.436694284141443, 0.2337455924233032]
23;[0.09437942850290884, 0.17632400678478125, 0.3294166128739193, 0.2565499160629382]
24;[0.029721229286049953, 0.19380676020818982, 0.36207869628198674, 0.31953332796072176]
25;[0.07668625882012488, 0.3033000010711589, 0.2362102783397765, 0.2362102783397765]
26;[0.041027667408130915, 0.20835568721654477, 0.09842025771446436, 0.5663694784168303]
27;[0.05857933693082782, 0.4328459552207849, 0.15923512811994148, 0.1804370391030096]
28;[0.18197368602076397, 0.26477015084663974, 0.019179885397252693, 0.43653220556668276]
29;[0.050296141344686594, 0.2554248817015566, 0.37164100995563454, 0.15492302200546645]
30;[0.03963208450958855, 0.2584336544486639, 0.4828176301881522, 0.10773117514636778]
31;[0.20475716031209099, 0.04031907544710755, 0.38253675980933244, 0.2629133980895313]
32;[0.2709552421067771, 0.23911716189828994, 0.03236098883224004, 0.3070325134436419]
33;[0.1315783295586629, 0.10247330609551403, 0.35766702489553837, 0.24582071158776728]
34;[0.5734828234776993, 0.2708941043823447, 0.022236339534668664, 0.03666152597331842]
35;[0.7679134408076769, 0.029775238900134483, 0.015937536908180193, 0.10392579540182825]
36;[0.04114494190835967, 0.20895123136215296, 0.39037229329282724, 0.2682986919172051]
37;[0.31738363144423415, 0.11675891297266786, 0.1323051816167428, 0.2181343671553674]
38;[0.04803515438613133, 0.3549344504799191, 0.1676591628222258, 0.24394264248841363]
39;[0.0729607702635996, 0.1544579518601139, 0.4198602438023496, 0.19832793599791787]
40;[0.34481393931611315, 0.3042972334144625, 0.05991968513462613, 0.1628785718518018]
41;[0.02372841620553244, 0.32756068182714926, 0.25510451551038715, 0.32756068182714926]
42;[0.14017917466197902, 0.10917166401132822, 0.3362723588253201, 0.20395949564144478]
43;[0.13020957886308154, 0.06969616518910915, 0.5149889051583949, 0.13020957886308154]
44;[0.07932003258596208, 0.19027886648712958, 0.3137168145420403, 0.3137168145420403]
45;[0.25490591891368797, 0.10626058351911663, 0.03449776062241921, 0.4762269525360434]
46;[0.21250690459961416, 0.04184508558884465, 0.3970151654446641, 0.2728642667275417]
47;[0.2615299914020444, 0.10902192042235917, 0.05149830872311503, 0.33581115618635154]
48;[0.10375256938132629, 0.2820287240051956, 0.41034937210328576, 0.11756706349615845]
49;[0.0348260306258574, 0.48075849472545296, 0.17686117691977074, 0.22709424639029302]
