id;confidence_per_choice
0;[0.010178902261457472, 0.16949391953648807, 0.40659477605372846, 0.40659477605372846]
1;[0.3267428621024094, 0.4754080874833138, 0.019622434070722596, 0.16429662894169605]
2;[0.7407999976392694, 0.21224274651234135, 0.016366405185393514, 0.02101488023785532]
3;[0.4510680899896173, 0.2735866261967201, 0.14644036836174737, 0.11404788714896064]
4;[0.16740243274447614, 0.4015775600607125, 0.14773212838212624, 0.2759999516327654]
5;[0.0060772191454083035, 0.7024311105732542, 0.2584099644191244, 0.008842301681322443]
6;[0.6371345626143813, 0.01697906451757544, 0.26559719266300075, 0.06715348683978849]
7;[0.47717707640551654, 0.07317747036961063, 0.3279586691504715, 0.09396173188349413]
8;[0.4229282785481619, 0.47924052459506544, 0.03933845311239316, 0.04187556536054254]
9;[0.38254179885637885, 0.03140093928942574, 0.5565950330686341, 0.013934082343701968]
10;[0.7978830410648429, 0.15711248857425347, 0.02126286060647501, 0.005376093081393808]
11;[0.24840203119979265, 0.409545712524215, 0.024595128821620984, 0.28147637739270254]
12;[0.32594627843762886, 0.32594627843762886, 0.2538472168864355, 0.08241212529423143]
13;[0.5098283089016552, 0.272891428922121, 0.1875553533721224, 0.01539548092345552]
14;[0.3005576983144241, 0.43730884457925534, 0.0670634873587409, 0.18229745904035827]
15;[0.14563277082016543, 0.057030619280288734, 0.7395842578117402, 0.032495067349676755]
16;[0.1015961295257173, 0.662489944475353, 0.1015961295257173, 0.11512349700964347]
17;[0.020257976974392473, 0.029475182575274254, 0.2976887985409738, 0.6302071914566486]
18;[0.03809228207826357, 0.2483929109236898, 0.6752019159593268, 0.029666299111528505]
19;[0.28539734651738696, 0.470540675804591, 0.13481216073585092, 0.0926549527243956]
20;[0.01821473934601328, 0.44130268532730316, 0.50006145521287, 0.03196786311453859]
21;[0.43559838270236567, 0.20576209415230082, 0.23315899868847034, 0.1101365124510195]
22;[0.049532382961815266, 0.1264853709640272, 0.6423457732586852, 0.16241045051782185]
23;[0.3712420536711235, 0.3712420536711235, 0.17536232912512337, 0.06451219564107293]
24;[0.04716810612248166, 0.39493369373276366, 0.4475185041172489, 0.09985488144488207]
25;[0.23492483525370988, 0.43889737376317434, 0.1257462029124892, 0.18295964565851006]
26;[0.6247841719242043, 0.058113977154574156, 0.2951271279080377, 0.008372114189893547]
27;[0.013535309115887585, 0.9488984833679376, 0.009902643691807309, 0.010541309338566776]
28;[0.34766979875551535, 0.2389497252440806, 0.00386226166999137, 0.39396149463786706]
29;[0.04468633451403412, 0.7920841844828664, 0.05390200842657276, 0.09460097090856978]
30;[0.27347289197693664, 0.27347289197693664, 0.309885384499377, 0.1291794626506525]
31;[0.8200753340029389, 0.01811782511016865, 0.05940606148583259, 0.08643530943816741]
32;[0.45987946459952356, 0.45987946459952356, 0.013887159831518881, 0.048470938960715124]
33;[0.09265793501178371, 0.05279489994474842, 0.5675986992950899, 0.268114624945428]
34;[0.9706096000262969, 0.013845002626978577, 0.0024059007035718396, 0.002726242660484819]
35;[0.9701559879239662, 0.006536860772007073, 0.0015526405248800887, 0.0095110763018248]
36;[0.009764973222207957, 0.0986227358856935, 0.6431010793604114, 0.2365836727426023]
37;[0.7927745932939595, 0.03707856058603483, 0.09468342143264609, 0.030739206386039004]
38;[0.08061890848505278, 0.43582175362482367, 0.08061890848505278, 0.38461134765289356]
39;[0.3472922284688308, 0.23869022523405226, 0.18589213432376991, 0.21064338444627057]
40;[0.13127879831369765, 0.8560453108939893, 0.0017591373230849965, 0.0016525565805887753]
41;[0.004436550357883473, 0.4525403315311222, 0.12965497575636725, 0.3993654408708213]
42;[0.135061167360872, 0.5341773110389132, 0.19651283895838081, 0.1191910618554292]
43;[0.33889822107903705, 0.00903133060403441, 0.6331452126426845, 0.004834122920542734]
44;[0.4137738135062388, 0.2843823058672931, 0.2509665040777512, 0.03848695991203113]
45;[0.6959128600787655, 0.22592982709097723, 0.015374719516073165, 0.034647465273116705]
46;[0.20248032929651066, 0.020048265140337845, 0.3338336258095234, 0.4286508604844529]
47;[0.05485793359844994, 0.336045584186714, 0.4889434399120268, 0.10909802805109473]
48;[0.1052964462920073, 0.2862254165568772, 0.5347395092696974, 0.06386552303488706]
49;[0.002275955574935156, 0.9181862100287232, 0.04571380063491298, 0.02772682165706557]
50;[0.15238378779776432, 0.008596906055343677, 0.7738687519728618, 0.046474435049424744]
51;[0.2412412112048682, 0.10056429853255097, 0.06492919115879615, 0.5787075814460569]
