id;confidence_per_choice
('easy', 351);[4.396251773561435e-05, 0, 0, 0]
('easy', 352);[0.0001905911316471465, 0, 0, 0]
('easy', 353);[0, 0, 0, 0]
('easy', 354);[0, 0, 0, 0.00014877747076918514]
('easy', 355);[0, 0, 2.7255599982049313e-06, 0.00016862442606937572]
('easy', 356);[0, 4.539140110451052e-05, 0, 0]
('easy', 357);[0, 0, 0, 0]
('easy', 358);[0, 0, 0, 0]
('easy', 359);[0, 0, 0, 0]
('easy', 360);[0, 0, 0, 0]
('easy', 361);[0, 0, 0, 0]
('easy', 362);[0, 0, 0, 0]
('easy', 363);[0.004767396667798872, 0, 6.388315189127173e-05, 0]
('easy', 364);[0, 0, 0, 0]
('easy', 365);[0.0006255783877843363, 0, 0, 0]
('easy', 366);[0, 0, 0, 0.0014888556039192727]
('easy', 367);[0, 0, 0, 0.0002611148340812131]
('easy', 368);[0.005580504549257055, 0, 0, 0]
('easy', 369);[0, 0, 0, 0.00019105172658982113]
('easy', 370);[0, 0, 0, 0]
('easy', 371);[0, 0, 0.00019107249864717992, 0]
('easy', 372);[0, 0, 0, 0]
('easy', 373);[0, 0, 0, 0.0006260510719221387]
('easy', 374);[0, 0, 0, 0]
('easy', 375);[0, 0, 0, 0.00021646973621604863]
('easy', 376);[0, 0, 0.00048773718506122597, 0]
('easy', 377);[0, 0, 0, 0]
('easy', 378);[0, 0, 0, 0]
('easy', 379);[0, 0, 0, 0.0002610807207737784]
('easy', 380);[0, 0, 0.0005189596292335703, 0]
('easy', 381);[0, 0, 0, 0]
('easy', 382);[0, 0, 0, 0]
('easy', 383);[0, 0, 0, 0]
('easy', 384);[0, 0, 0, 0]
('easy', 385);[0, 0, 0, 0]
('easy', 386);[0, 0, 0, 0]
('easy', 387);[0, 0, 0, 0]
('easy', 388);[0, 0, 0, 0]
('easy', 389);[0, 0, 0, 0]
('easy', 390);[0, 0, 0, 0]
('easy', 391);[0, 0, 0, 0]
('easy', 392);[0, 0, 0, 0]
('easy', 393);[0, 0, 0, 0]
('easy', 394);[0, 0, 0, 0]
('easy', 395);[0, 0, 0, 0]
