id;confidence_per_choice
('easy', 0);[6.431393941452e-14, 2.510999155743982e-08, 0, 0]
('easy', 1);[6.560200168153779e-12, 1.9555681087850496e-08, 1.7482341282710566e-13, 1.57371021068629e-11]
('easy', 2);[1.435037960133826e-14, 0, 0, 7.194133030325383e-09]
('easy', 3);[1.2501528663867426e-09, 0, 0, 1.0603575991523846e-13]
('easy', 4);[0, 0, 1.522997974471263e-08, 6.914400106940203e-13]
('easy', 5);[1.006039279283317e-12, 0, 3.1608814543136926e-10, 2.7346982915918745e-12]
('easy', 6);[2.7894680928689246e-10, 0, 0, 0]
('easy', 7);[1.7482341282710566e-13, 0, 1.9555681087850496e-08, 7.835041785064389e-13]
('easy', 8);[1.7482341282710566e-13, 1.9555681087850496e-08, 0, 5.675685232632723e-14]
('easy', 9);[2.289734845645553e-11, 0, 1.006039279283317e-12, 4.277787868968998e-11]
('easy', 10);[3.398267819495071e-09, 0, 0, 3.2661313427874473e-13]
('easy', 11);[3.2241867372567335e-08, 0, 0, 0]
('easy', 12);[6.431393941452e-14, 1.6052280551856116e-09, 0, 2.6810038677818034e-14]
('easy', 13);[2.7894680928689246e-10, 9.237449661970594e-09, 0, 2.289734845645553e-11]
('easy', 14);[4.139937718785167e-08, 0, 0, 0]
('easy', 15);[6.47594599989589e-07, 0, 0, 1.6586783589142312e-12]
('easy', 16);[4.508755242294825e-12, 0, 2.7346982915918745e-12, 8.315279260963632e-07]
('easy', 17);[1.9555681087850496e-08, 0, 0, 0]
('easy', 18);[2.7346982915918745e-12, 4.5990553786523166e-10, 0, 2.2447770550209742e-13]
('easy', 19);[4.363462252943702e-09, 0, 0, 0]
('easy', 20);[3.5114221133765118e-12, 0, 8.764248219443636e-08, 2.413362771833214e-12]
('easy', 21);[1.2256067444099483e-11, 3.398267819495071e-09, 0, 1.57371021068629e-11]
('easy', 22);[7.287724095819692e-14, 2.061153622438558e-09, 0, 2.6810038677818034e-14]
('easy', 23);[2.3659776091347615e-14, 0, 0, 4.139937718785167e-08]
('easy', 24);[6.82560337633487e-08, 0, 0, 0]
('easy', 25);[1.2501528663867426e-09, 0, 0, 2.2447770550209742e-13]
('easy', 26);[5.602796437537268e-09, 0, 0, 1.7482341282710566e-13]
('easy', 27);[0, 0, 0, 1.9555681087850496e-08]
('easy', 28);[5.3157852544244216e-08, 0, 0, 1.9810087980489796e-13]
('easy', 29);[1.9810087980489796e-13, 7.194133030325383e-09, 0, 6.431393941452e-14]
('easy', 30);[4.5990553786523166e-10, 0, 0, 4.508755242294825e-12]
('easy', 31);[7.05287985111216e-11, 0, 0, 0]
('easy', 32);[2.2447770550209742e-13, 0, 1.103256032343554e-09, 4.1937956583795446e-13]
('easy', 33);[5.602796437537268e-09, 0, 0, 0]
('easy', 34);[1.2501528663867426e-09, 0, 0, 0]
('easy', 35);[2.9400777392844726e-11, 4.139937718785167e-08, 7.835041785064389e-13, 1.6918979226151304e-10]
('easy', 36);[4.1937956583795446e-13, 2.061153622438558e-09, 0, 1.3615261080896538e-13]
('easy', 37);[3.2241867372567335e-08, 0, 0, 0]
('easy', 38);[1.626111044617819e-14, 0, 0, 3.581747930283181e-10]
('easy', 39);[6.431393941452e-14, 0, 0, 5.3157852544244216e-08]
('easy', 40);[0, 0, 0, 2.510999155743982e-08]
('easy', 41);[2.5946094982764667e-11, 5.905303998944039e-10, 0, 6.224144622907783e-11]
('easy', 42);[8.592166619174109e-10, 0, 0, 0]
('easy', 43);[1.186112015134383e-08, 0, 0, 0]
('easy', 44);[3.0988191387218256e-12, 8.764248219443636e-08, 0, 1.006039279283317e-12]
('easy', 45);[0, 0, 0, 7.194133030325383e-09]
('easy', 46);[0, 0, 0, 6.47594599989589e-07]
('easy', 47);[2.2447770550209742e-13, 0, 8.764248219443636e-08, 6.101936677605324e-13]
('easy', 48);[5.675685232632723e-14, 0, 1.6052280551856116e-09, 4.1937956583795446e-13]
('easy', 49);[3.900837610180715e-14, 1.522997974471263e-08, 0, 0]
('easy', 50);[5.211412487888539e-10, 0, 0, 0]
('easy', 51);[1.6052280551856116e-09, 0, 0, 0]
('easy', 52);[0, 0, 0, 3.927863545481039e-07]
('easy', 53);[2.289734845645553e-11, 0, 0, 8.764248219443636e-08]
('easy', 54);[3.701011678592672e-13, 0, 1.522997974471263e-08, 6.914400106940203e-13]
('easy', 55);[8.25807328555592e-14, 0, 0, 8.764248219443636e-08]
('easy', 56);[2.8823507934443873e-13, 0, 0, 5.3157852544244216e-08]
('easy', 57);[1.3887943864964021e-11, 0, 0, 1.9555681087850496e-08]
('easy', 58);[6.101936677605324e-13, 3.927863545481039e-07, 0, 2.413362771833214e-12]
('easy', 59);[5.4927883509546835e-11, 0, 3.398267819495071e-09, 7.05287985111216e-11]
('easy', 60);[3.442477108469977e-14, 0, 0, 4.363462252943702e-09]
('easy', 61);[3.331544542166412e-11, 0, 5.3157852544244216e-08, 2.020683909022217e-11]
('easy', 62);[6.82560337633487e-08, 0, 0, 0]
('easy', 63);[7.835041785064389e-13, 2.646573638909117e-09, 0, 0]
('easy', 64);[1.463778514125909e-12, 1.9555681087850496e-08, 8.25807328555592e-14, 6.914400106940203e-13]
('easy', 65);[5.384940217754036e-13, 1.162823303022097e-10, 0, 1.8795288165390832e-12]
('easy', 66);[1.435037960133826e-14, 0, 0, 2.061153622438558e-09]
('easy', 67);[1.463778514125909e-12, 1.6052280551856116e-09, 0, 1.5428112031918877e-13]
('easy', 68);[6.101936677605324e-13, 0, 8.764248219443636e-08, 1.006039279283317e-12]
('easy', 69);[3.2661313427874473e-13, 0, 1.6052280551856116e-09, 1.7482341282710566e-13]
('easy', 70);[6.82560337633487e-08, 0, 0, 0]
('easy', 71);[1.8795288165390832e-12, 0, 1.2501528663867426e-09, 2.289734845645553e-11]
('easy', 72);[2.543665647376923e-13, 0, 0, 4.363462252943702e-09]
('easy', 73);[2.4616969518153846e-10, 0, 0, 0]
('easy', 74);[2.172439935079017e-10, 0, 0, 0]
('easy', 75);[3.398267819495071e-09, 0, 0, 1.2015425731771786e-13]
('easy', 76);[3.701011678592672e-13, 1.493094676197164e-10, 0, 1.3615261080896538e-13]
('easy', 77);[6.431393941452e-14, 0, 1.186112015134383e-08, 2.543665647376923e-13]
('easy', 78);[7.835041785064389e-13, 5.3157852544244216e-08, 0, 2.129785170955785e-12]
('easy', 79);[4.363462252943702e-09, 0, 0, 1.2015425731771786e-13]
('easy', 80);[2.8823507934443873e-13, 0, 0, 4.363462252943702e-09]
('easy', 81);[1.917171513758312e-10, 0, 0, 8.25807328555592e-14]
('easy', 82);[1.57371021068629e-11, 0, 0, 2.510999155743982e-08]
('easy', 83);[6.914400106940203e-13, 1.1253517471925912e-07, 0, 4.1937956583795446e-13]
('easy', 84);[5.008774637843506e-14, 8.764248219443636e-08, 0, 0]
('easy', 85);[1.5428112031918877e-13, 0, 0, 2.646573638909117e-09]
('easy', 86);[2.5946094982764667e-11, 5.3157852544244216e-08, 3.2661313427874473e-13, 3.5114221133765118e-12]
('easy', 87);[4.420228103641173e-14, 0, 0, 1.186112015134383e-08]
('easy', 88);[9.237449661970594e-09, 0, 0, 0]
('easy', 89);[1.0603575991523846e-13, 2.646573638909117e-09, 0, 2.3659776091347615e-14]
('easy', 90);[9.237449661970594e-09, 9.357622968840175e-14, 0, 3.2661313427874473e-13]
('easy', 91);[7.287724095819692e-14, 0, 0, 4.363462252943702e-09]
('easy', 92);[3.701011678592672e-13, 2.646573638909117e-09, 0, 7.835041785064389e-13]
('easy', 93);[5.789356328730652e-12, 1.522997974471263e-08, 0, 6.560200168153779e-12]
('easy', 94);[1.8795288165390832e-12, 1.1253517471925912e-07, 0, 3.775134544279098e-11]
('easy', 95);[1.1399918530443554e-12, 3.059023205018258e-07, 0, 2.8823507934443873e-13]
('easy', 96);[4.752193062771153e-13, 1.6052280551856116e-09, 0, 2.8823507934443873e-13]
('easy', 97);[2.061153622438558e-09, 0, 0, 0]
('easy', 98);[2.061153622438558e-09, 0, 0, 2.2447770550209742e-13]
('easy', 99);[6.101936677605324e-13, 0, 0, 5.602796437537268e-09]
('easy', 100);[3.037975385443128e-14, 0, 0, 4.139937718785167e-08]
('easy', 101);[0, 0, 0, 1.186112015134383e-08]
('easy', 102);[3.442477108469977e-14, 0, 8.764248219443636e-08, 7.835041785064389e-13]
('easy', 103);[3.0988191387218256e-12, 8.764248219443636e-08, 1.9810087980489796e-13, 2.7346982915918745e-12]
('easy', 104);[4.1937956583795446e-13, 0, 0, 3.2241867372567335e-08]
('easy', 105);[4.752193062771153e-13, 6.101936677605324e-13, 0, 2.382369667501818e-07]
('easy', 106);[1.2664165549094176e-14, 0, 0, 8.764248219443636e-08]
('easy', 107);[5.602796437537268e-09, 0, 0, 5.789356328730652e-12]
('easy', 108);[3.037975385443128e-14, 0, 0, 1.186112015134383e-08]
('easy', 109);[1.57371021068629e-11, 0, 1.2256067444099483e-11, 3.2241867372567335e-08]
('easy', 110);[1.6052280551856116e-09, 0, 0, 0]
('easy', 111);[2.129785170955785e-12, 0, 0, 5.04347662567888e-07]
('easy', 112);[0, 0, 6.82560337633487e-08, 1.5428112031918877e-13]
('easy', 113);[3.1608814543136926e-10, 0, 0, 0]
('easy', 114);[1.435037960133826e-14, 0, 0, 1.6052280551856116e-09]
('easy', 115);[6.431393941452e-14, 0, 0, 5.3157852544244216e-08]
('easy', 116);[6.691586091292782e-10, 0, 0, 6.431393941452e-14]
('easy', 117);[7.194133030325383e-09, 0, 0, 0]
('easy', 118);[7.433680672352188e-12, 4.363462252943702e-09, 0, 8.423463754468647e-12]
('easy', 119);[1.9810087980489796e-13, 9.237449661970594e-09, 0, 2.543665647376923e-13]
('easy', 120);[7.433680672352188e-12, 2.061153622438558e-09, 0, 5.4927883509546835e-11]
('easy', 121);[1.917171513758312e-10, 1.9555681087850496e-08, 1.783247290814639e-11, 4.058652126475693e-10]
('easy', 122);[6.101936677605324e-13, 0, 0, 2.382369667501818e-07]
('easy', 123);[2.7346982915918745e-12, 1.6586783589142312e-12, 3.059023205018258e-07, 6.224144622907783e-11]
('easy', 124);[2.8823507934443873e-13, 9.237449661970594e-09, 0, 1.0603575991523846e-13]
('easy', 125);[6.431393941452e-14, 0, 0, 6.82560337633487e-08]
('easy', 126);[4.420228103641173e-14, 0, 0, 4.139937718785167e-08]
('easy', 127);[2.8823507934443873e-13, 0, 2.061153622438558e-09, 3.0988191387218256e-12]
('easy', 128);[9.736200313009565e-10, 0, 0, 0]
('easy', 129);[7.05287985111216e-11, 3.398267819495071e-09, 0, 1.186112015134383e-08]
