confidence_per_choice;id
[0.00015291383759419517, 0, 0, 0];0
[0, 0, 0, 0];1
[0, 0, 0, 0];2
[0, 0, 0, 0];3
[0, 0, 0, 0];4
[1.5420297295999375e-06, 6.9108977852844016e-06, 0, 0];5
[0, 0, 0, 0];6
[0, 0, 0, 1.5950193752758546e-05];7
[0, 0, 0, 0];8
[0, 0, 0, 0];9
[0, 0.0004075855516618245, 0, 0];10
[0, 0, 0, 0];11
[2.786089327357645e-06, 0, 0, 0];12
[0, 0, 0, 0];13
[0, 1.808957778185303e-05, 0, 0];14
[2.8263955049044977e-06, 0, 0, 0];15
[0, 0, 0, 0];16
[0, 0, 0, 0];17
[0, 0, 0, 0];18
[0, 0, 8.83233509759841e-05, 1.5348296997854478e-05];19
[1.3567454834860944e-06, 0, 0.00015681845599423353, 0];20
[0, 0, 0, 6.479677758635135e-05];21
[0, 0, 0, 0];22
[4.740990692824034e-05, 0, 0, 0];23
[0, 0, 0, 0];24
[0, 0, 0, 2.042589685808165e-05];25
[0, 0, 0, 0];26
[0, 0, 0, 0.0005664728688056912];27
[0, 0, 0, 0];28
[0, 0, 3.235079520983961e-05, 4.1539243299494094e-05];29
[0, 2.2151473400076303e-05, 0, 0];30
[0, 0.0017503099727335808, 0, 0];31
[8.295141751708659e-06, 0, 0, 0];32
[0, 0, 0, 0];33
[0, 0, 0, 0];34
[0, 0, 0, 4.648016908999107e-06];35
[0, 0, 0, 0];36
[0, 0, 0, 0];37
[0, 0.0001170952725411197, 0, 0];38
[0, 0, 0.00054266381369443, 0];39
[0, 0, 0, 0];40
[0, 0, 0, 0];41
[2.2116063348116156e-06, 0, 6.81222709566059e-06, 0];42
[0, 0.00014137201822079305, 0, 0];43
[0, 0, 0, 0];44
[0, 0, 2.614944811594016e-05, 0];45
[0, 0, 0, 0];46
[0, 0, 0, 0.0021284558143825822];47
[0.00022403858970383505, 0, 0, 0];48
[0, 0, 0, 0];49
[0, 0, 0, 0];50
[0, 0, 0.0003610539537972323, 0];51
[0, 2.9268052652879624e-06, 0, 0];52
[0, 0, 0, 0];53
[0, 0, 0, 0];54
[6.0290914952290265e-06, 0, 0.0008947960886532912, 0];55
[0.000195571756262267, 0, 0, 0];56
[0, 0, 0, 0];57
[0, 0, 0, 0];58
[0, 0, 0, 0.0014023500712776614];59
[0, 0, 0, 0];60
[0, 5.1390430571321816e-05, 0, 0];61
[0, 0.0003674884303781234, 2.0732268668317947e-05, 0];62
[0, 0, 0, 0];63
[0, 2.2951494409072e-06, 1.6958987974292616e-05, 0];64
[0, 0, 0, 4.902149606485314e-06];65
[0, 0, 0, 0.00013444231910080478];66
[0, 6.505909968882851e-06, 0, 0];67
[0, 0, 0, 0];68
[0, 0, 0, 0];69
[9.441844263035474e-06, 0, 0, 3.0653180364077455e-06];70
[2.443862550086109e-05, 0, 0, 0];71
[0, 0, 0, 0];72
[0, 0, 0, 0];73
[0, 0, 0, 0];74
[0, 0, 0.00011220378142370405, 0];75
[0, 0, 0, 0];76
[0, 0, 0, 0];77
[0, 0, 0, 0];78
[0.003809923823666268, 0, 0, 0];79
[0, 0, 2.6630993058659926e-05, 0];80
[0, 0, 0, 0];81
[1.2818797716148613e-05, 0, 0, 0];82
[0, 0, 0, 0];83
[0, 0, 0, 0];84
[0, 0, 0, 0];85
[9.967497663263792e-06, 0, 0, 0.001016712402348236];86
[0, 0, 0, 0];87
[0, 0, 0, 0];88
[0, 0, 0, 0];89
[0, 0, 0, 0.00041489874196320157];90
[0, 0, 0, 0];91
[0, 0, 0, 2.812349435453438e-06];92
[0, 0, 0, 0];93
[0, 0, 0.00024958511375313823, 0];94
[0, 2.124623723617321e-05, 0, 0];95
[0, 0, 0, 0];96
[0, 0, 0, 0];97
