id;confidence_per_choice
0;[0.0054443042400668515, 0, 0.006567084461419541, 0.003302137442404035]
1;[0, 0, 0, 0]
2;[0, 0, 0, 0]
3;[0, 0, 0, 0]
4;[0, 0, 0, 0]
5;[0, 0, 0, 0.004589918491086928]
6;[0, 0, 0, 0]
7;[0, 0.004424989365200602, 0, 0]
8;[0.00513198103889746, 0, 0.0035271555469927793, 0]
9;[0.004822969952832042, 0, 0, 0]
10;[0, 0.005003493722947904, 0.004700347363042492, 0]
11;[0, 0, 0, 0]
12;[0, 0, 0, 0]
13;[0, 0, 0, 0]
14;[0.0051967157903595376, 0.0058886504588738595, 0, 0]
15;[0, 0.00489290453570766, 0, 0]
16;[0, 0, 0, 0]
17;[0, 0, 0, 0]
18;[0, 0, 0, 0]
19;[0.0048466557743715895, 0.004553011745405034, 0.007990784466968041, 0.005159238216100805]
20;[0.0029417641046667847, 0, 0.0029417641046667847, 0]
21;[0, 0, 0, 0]
22;[0, 0.004909766977057579, 0, 0]
23;[0, 0, 0, 0]
24;[0, 0, 0, 0]
25;[0.011746991928643747, 0, 0, 0]
26;[0, 0, 0, 0]
27;[0, 0, 0.005161031952767805, 0]
28;[0, 0, 0, 0]
29;[0.00284117305308559, 0.0030244129718363477, 0.004133882399684117, 0]
30;[0.005823382366395321, 0, 0.006198958261187792, 0.006198958261187792]
31;[0, 0.01787340826966415, 0, 0]
32;[0, 0, 0, 0]
33;[0.003823637379428428, 0, 0, 0]
34;[0, 0, 0, 0]
35;[0.0027246363662624547, 0, 0, 0.004219999356827697]
36;[0, 0.00217846734688754, 0, 0]
37;[0, 0, 0, 0]
38;[0, 0, 0, 0]
39;[0, 0, 0, 0]
40;[0, 0, 0, 0]
41;[0, 0, 0, 0]
42;[0, 0, 0.004628810388225308, 0]
43;[0, 0.008817771385112432, 0, 0]
44;[0, 0, 0, 0]
45;[0, 0, 0, 0]
46;[0, 0, 0, 0]
47;[0.004151409810217804, 0.007755854595583883, 0.005330515711406494, 0]
48;[0, 0, 0, 0]
49;[0, 0, 0, 0]
50;[0, 0.003368710045340687, 0, 0]
51;[0, 0, 0, 0]
52;[0, 0, 0, 0]
53;[0, 0, 0, 0.0027474990732742383]
54;[0, 0.0050712774968044005, 0, 0]
55;[0, 0, 0.004518978186580451, 0]
56;[0, 0, 0, 0]
57;[0, 0, 0, 0]
58;[0, 0, 0, 0]
59;[0, 0, 0, 0.006976083253070084]
60;[0.0027559859432937824, 0, 0, 0]
61;[0, 0, 0, 0]
62;[0.003252998722218372, 0.008306823244149006, 0, 0]
63;[0.009713776826793082, 0, 0, 0]
64;[0, 0.004133598558251194, 0, 0]
65;[0.00318014569836472, 0, 0.00318014569836472, 0]
66;[0.004940440276152917, 0, 0.004940440276152917, 0]
67;[0, 0, 0, 0]
68;[0, 0, 0, 0]
69;[0, 0, 0, 0]
70;[0, 0, 0, 0]
71;[0, 0, 0, 0]
72;[0, 0, 0, 0]
73;[0, 0, 0, 0]
