confidence_per_choice;id
[4.5397721682086886e-05, 0, 1.3708924081336797e-06, 1.463705925591156e-12];0
[4.363453930307876e-09, 5.905292735481273e-10, 4.1937876593567576e-13, 1.370956471489639e-06];1
[1.5427670636407259e-13, 5.905135049258265e-10, 0, 2.7535687796947383e-05];2
[0, 0.00012320930098461434, 4.356377118904911e-09, 1.0798379265865066e-11];3
[1.4112822601509885e-13, 0.010161918862299368, 3.408945631590609e-06, 1.1584510238242667e-14];4
[0, 0.005511695931127914, 0, 0];5
[1.4828213355760042e-17, 0, 2.510999155743982e-08, 5.905303998944039e-10];6
[5.74329311332293e-09, 0.0005669538781670758, 0, 1.1535712588833717e-07];7
[1.7138692037400972e-15, 0, 1.6701318523026363e-05, 6.144071725077197e-06];8
[2.543660795724355e-13, 8.315271330899149e-07, 1.542808260515855e-13, 1.039538011670222e-15];9
[1.0393238954924918e-15, 2.2598638414244315e-06, 0, 0.00020342646013480465];10
[3.907364699804368e-12, 0, 0.017986074090648542, 5.0171555868172746e-12];11
[0.0002034268481403553, 0, 0, 0];12
[3.139199658138621e-07, 0.3775213382584012, 6.645685728429964e-07, 0];13
[1.2664165549094176e-14, 1.9810087980489796e-13, 1.9039802832864523e-17, 3.059023205018258e-07];14
[0.0040700700127950275, 1.0352917020568958e-15, 0, 1.3293408591269667e-15];15
[2.863540481662869e-12, 3.443709335302615e-06, 0.07585272779659788, 3.181106129790952e-14];16
[9.671033255429892e-10, 9.796865893318453e-15, 0.006692851264215723, 6.262926830887893e-16];17
[2.3124347134057518e-07, 0, 6.041433570786817e-11, 0.029310932989260536];18
[7.074088282727582e-14, 0.02931216295076117, 4.0185776138916945e-08, 1.824431414157769e-12];19
[1.2664117239228628e-14, 0, 2.1724357914826287e-10, 2.2603250957489616e-06];20
[0, 0, 4.050833249089448e-10, 0.8807970468833343];21
[0, 5.573530897149414e-08, 0, 0.18219969328791502];22
[3.7263617543732984e-06, 7.484597660661926e-05, 0, 5.315369569392956e-08];23
[1.0077245599641853e-10, 1.3462937679914496e-06, 3.16617644881258e-08, 2.4978994464913725e-13];24
[1.0261860058738471e-10, 1.18610975280741e-08, 0, 1.3709577789362383e-06];25
[2.172439935079017e-10, 1.2664165549094176e-14, 1.8553913626159784e-07, 5.905303998944039e-10];26
[1.3709538566001813e-06, 6.91437373064733e-13, 2.825746507727575e-15, 4.363445607687925e-09];27
[0, 3.442470542472232e-14, 2.2603250957489616e-06, 9.35760512060782e-14];28
[3.7232393297853254e-06, 1.624619878060377e-14, 0.0009110461914665316, 6.819344202631547e-08];29
[7.287724095819692e-14, 3.2661313427874473e-13, 2.2007019879753665e-15, 4.139937718785167e-08];30
[0, 0.0002034214161299913, 0, 0];31
[5.50891670567025e-14, 0, 0.0293100874206669, 1.2134196538388505e-09];32
[1.522997974471263e-08, 7.194133030325383e-09, 0, 0];33
[1.7826487670068434e-11, 3.627126371417183e-15, 0, 0.0003353500342255387];34
[3.441774617728107e-14, 4.192939849457517e-13, 0, 0.00020342704214340812];35
[2.8257357283806583e-15, 0, 6.144171336422507e-06, 1.2664068929547367e-14];36
[1.3176489137912955e-10, 1.370956471489639e-06, 0, 8.878248544528286e-13];37
[2.543505547728082e-13, 4.53971155611565e-05, 1.0955981312823546e-16, 1.1860373606225745e-08];38
[0.00012337861944584853, 0, 6.142659761483129e-06, 6.823872094836981e-08];39
[4.139858756492734e-08, 8.315128591031658e-07, 0, 0];40
[6.144171336422507e-06, 0, 3.0590027839033735e-07, 2.5436510924469806e-13];41
[0, 0, 0.029310101396809025, 0];42
[0, 0.0009110418472701198, 0, 0];43
[4.413572695439129e-14, 3.622881086315982e-15, 0.0015011769401805655, 4.413572695439129e-14];44
[0, 0, 4.539581675784163e-05, 0];45
[4.657269151917371e-15, 6.142079837271926e-06, 2.0604382429982725e-09, 1.9548893756698307e-08];46
