id;confidence_per_choice
0;[0.09108764070666983, 0.07093912591048124, 0.21850791692515398, 0.08038456078737463]
1;[0.05118127216910698, 0.10835075403225729, 0.09561920482617242, 0.01882853780401457]
2;[0.0523312061085142, 0.16119146277964763, 0.14225096662611914, 0.0523312061085142]
3;[0.011890761980587493, 0.18600285683136195, 0.11281643546236046, 0.022214873297459244]
4;[0.043976422595112, 0.11954031042092872, 0.13545693398032752, 0.043976422595112]
5;[0.012915827069520157, 0.03737318482398737, 0.06559198207077699, 0.015579461307545554]
6;[0.03674791666927343, 0.1282628321479931, 0.1282628321479931, 0.028619306278272878]
7;[0.10025705575163137, 0.1652959206506728, 0.08847654116306577, 0.026983820489889808]
8;[0.16540681709098778, 0.1288189433193943, 0.11368231847358604, 0.06084976018352245]
9;[0.0893297010832115, 0.054181202529932616, 0.1012238125953631, 0.06957004115513964]
10;[0.03944349742899607, 0.17677349132343922, 0.12149452536104874, 0.034808764308192484]
11;[0.12948152013570582, 0.07853451182850428, 0.07853451182850428, 0.07853451182850428]
12;[0.08529398649874549, 0.14062599303936552, 0.04565458105739798, 0.12410201807423547]
13;[0.06811807322060513, 0.14420596213964446, 0.0771878892958215, 0.03646097718002227]
14;[0.05999121477004967, 0.04672120504031951, 0.02206953456480185, 0.20938991398222367]
15;[0.07517133703187968, 0.09652190735533396, 0.045593720641426694, 0.04023631724336639]
16;[0.07020608200321322, 0.10214924656865666, 0.09014639369818962, 0.04258214123324816]
17;[0.11639655899917742, 0.09064973129537635, 0.04852130466802576, 0.04852130466802576]
18;[0.08086913115123891, 0.11766389153268594, 0.07596951818185001, 0.043286126663101714]
19;[0.03897678277688215, 0.06426185082770401, 0.17468182136809365, 0.09350044124178489]
20;[0.3296303869379351, 0.023878347987411043, 0.07355048979515146, 0.07355048979515146]
21;[0.051967085225703084, 0.027815976273877944, 0.016871242439946147, 0.16006989150136994]
22;[0.055642670748473434, 0.19421200398130226, 0.06305140628313942, 0.03374898579724444]
23;[0.06463551441376308, 0.06463551441376308, 0.10656594745661593, 0.1550525571237346]
24;[0.07609581314279525, 0.03594511693228659, 0.052299836533924324, 0.05926347886406423]
25;[0.395151709658777, 0.060598484557340404, 0.025261206662029825, 0.05347797492317334]
26;[0.06683870526077888, 0.04053972399615848, 0.03577618085824425, 0.024588585539958078]
27;[0.013198388230330685, 0.027940988102870587, 0.2650967141268725, 0.04606690140958196]
28;[0.08821943657763331, 0.23980529136587586, 0.09996571808837218, 0.04167191114093123]
29;[0.0180473797276138, 0.020450360420255182, 0.31989742181827685, 0.014055313464252626]
30;[0.07068111174443738, 0.1028404107638261, 0.1028404107638261, 0.03783287284163793]
31;[0.0032658178048143457, 0.4846903663557352, 0.016585191311930834, 0.004193393067652985]
32;[0.12044559506076592, 0.07305394623168705, 0.12044559506076592, 0.039102959618922316]
33;[0.0979470262406276, 0.1425120992562619, 0.07628122073571621, 0.023264457900638198]
34;[0.1059193196544652, 0.13600309855460677, 0.13600309855460677, 0.12002231321634795]
35;[0.21070338232786306, 0.060367529751599376, 0.041489955985369295, 0.16409595915273337]
36;[0.10647157573434744, 0.10647157573434744, 0.15491522859434714, 0.06457827507079737]
37;[0.10483823231314793, 0.10483823231314793, 0.06358760220799993, 0.09251941528879729]
