confidence_per_choice;id
[0.0006395941499408643, 0.03957029830048576, 0.2009545561960815, 0.007319767429204722];0
[0.04490785748297706, 0.0036862622985657295, 0.007331007955866211, 0.030864688981523065];1
[0.07376593395443266, 0.09471733408320082, 0.004429988665620673, 0.007774872237878902];2
[0.18051059599989483, 0.09662035947771803, 0.04027735819394505, 0.014817215556949577];3
[0.033515079036309244, 0.013971160205776148, 0.043034213324919565, 0.05525702369635901];4
[0.01645348798481111, 0.05742831591346848, 0.006858834232104431, 0.003671269409051169];5
[0.23378349141397162, 0, 0.02464059871039788, 0.010934202003442979];6
[0.14883806464406302, 0.0013707513493289327, 0.14883806464406302, 0.07030613189370388];7
[0.10021095718675124, 0.03253373450702074, 0.025337297910304937, 0.004402961124504551];8
[0.04221889419999007, 0.00030281532452568454, 0.0696071888929619, 0.00210195497195052];9
[0.032143215320236264, 0.009209185375757642, 0.01043537416254541, 0.0038389596153321137];10
[0.0755601585859556, 0.06668160591090665, 0.007963982122731217, 0.040444438423840046];11
[0.049435109765264384, 0.029983909738892253, 0.043626331246775306, 0.003581067340357304];12
[0.022111906264910205, 0.07717813630778571, 0.08745428576774804, 0.007178686638431714];13
[0.0174988025584964, 0.01202673939013461, 0.01202673939013461, 0.16602401612760856];14
[0.007468309427843991, 0.0027474374988106618, 0.15000502264874216, 0.003527779579233886];15
[0.003963713879311702, 0.07025850960692395, 0.0034979652212241484, 0.0292881042143442];16
[0.00369157979887058, 0.005717630642316453, 0.02562464275789966, 0.08943879138751065];17
[0.005313710537614668, 0.0238143927615735, 0.3725197795147696, 0.0026719014545096005];18
[0.028795466229688156, 0.012003736210092089, 0.025411909756179116, 0.012003736210092089];19
[0.013369219554606114, 0.2685279529982437, 0.07693454662504448, 0.01945209967209767];20
[0.06606788619439055, 0.17959113448691205, 0.021449102266159543, 0.0025617299503038564];21
[0.0006374382123725494, 0.028852656590797617, 0.12930863569319523, 0.022470471546603515];22
[0.022148597390770026, 0.0195460685939478, 0.05313172307674235, 0.010462254103130616];23
[0.0021641060568889565, 0.031801306359705635, 0.0864449131988469, 0.06732336609180158];24
[0.011681799534518816, 0.16126222985311278, 0.046202402405287356, 0.05235418081352238];25
[0.009802953848847435, 0.034215679086300715, 0.0301952308134889, 0.25282157223168417];26
[0.0032315275147762595, 0.350883697016825, 0.025417932789232236, 0.022431246956600873];27
[0.011068372745204906, 0.043776273842244216, 0.0009671436320439366, 0.014212071926216971];28
[0.0023038942181520423, 0.005526754919838578, 0.009112078394284445, 0.0020331795114017356];29
[0.007541462764788954, 0.015965276798342084, 0.0557243047227302, 0.026322297725765907];30
[0.0652493214023603, 0.00017216799009227765, 0.03957571395597524, 0.007320769224499734];31
[0.1947338293252109, 0.06322081063206111, 0.003147578821210206, 0.013251801813403203];32
[0.014926700765959883, 0.007989687175063194, 0.07580404133214116, 0.040574979450954465];33
[0.27854073337905744, 0.022864012990516783, 0.003973169700464307, 0.0008328216123010352];34
[0.11356775352156416, 0, 0.0006752983861217687, 0.00498981765857108];35
[0.006091133108720457, 0.061518265145852714, 0.35401317323155407, 0.042280844084564916];36
[0.04000512869092495, 0.0028979618024945657, 0.006951848970864572, 0.006951848970864572];37
[0.00969588181281872, 0.005880849592424663, 0.029865418524962127, 0.15166910999051833];38
[0.022075412763648956, 0.010427684141345922, 0.06000719337115983, 0.009202398955868283];39
[0.14901614992772083, 0.06211917322358512, 0.013020882963654225, 0.005099051032867069];40
[0.003434247836042277, 0.11372666922870107, 0.08857041905141504, 0.05372067469827916];41
[0.0048552188949033985, 0.007064301808176516, 0.03587548478702929, 0.0062342244646385325];42
[0.01213145119797083, 0.0025428903137625133, 0.16746949808311978, 0.0036998835748402407];43
[0.014099388386179535, 0.0016839318057067355, 0.0557641628135954, 0.004577401227816847];44
[0.13692802630367426, 0.0002483182496375767, 0.01443210779319383, 0.07329229096359055];45
[0.039446262320305424, 0.001529497938052829, 0.17678588270660106, 0.05065000341260413];46
[0.012258706966241605, 0.025951689038547478, 0.001879933600369675, 0.00842527786973806];47
[0.007934125144382378, 0.12411059895665486, 0.15936118253801615, 0.007934125144382378];48
[0.002281720168279994, 0.5583185501410518, 0.013130392986280302, 0.01487868450056303];49
[0.07250119869509684, 0.011118418922104146, 0.10548862165089425, 0.038807095182876686];50
[0.022256606011916837, 0.017333458057973636, 0.00438258452927658, 0.00562734992637361];51
[0.03255567770078426, 0.00932735560249388, 0.03255567770078426, 0.03255567770078426];52
[0.001743510270414423, 0.06542475582169777, 0.13850420916141434, 0.001743510270414423];53
[0.07447898289186483, 0.045173786628128716, 0.1227950833139285, 0.021338585863787306];54
[0.03542846225958533, 0.005433129359826372, 0.0029081445824691307, 0.0012122950241651943];55
[0.08954673392848965, 0.01004686749838869, 0.1672953236631596, 0.008866329448005862];56
[0.042506279287087945, 0.020078544616688527, 0.40328830118665365, 0.001754443676027544];57
[0.01120950698360047, 0.1365597348509862, 0.023730526470502087, 0.02094211610691984];58
[0.007343561252307167, 0.03503417134019336, 0.0952327513291683, 0.06545244897830407];59
[0.005987938178263954, 0.02089995785022048, 0.19829327907391953, 0.008712398640638606];60
[0.14810021668810472, 0.006112824528411726, 0.0034829824268829052, 0.01768804426284583];61
[0.048572290152849196, 0.0065735446452867795, 0.02294392525823771, 0.0007375312688978326];62
[0.028202945463791443, 0.0526900388504098, 0.09843795207922484, 0.03621329880096646];63
[0.021889091892810922, 0.005534429146711267, 0.08657303783112599, 0.005199115035636202];64
[0.0021097079179558595, 0.15744081810795624, 0.0511135561548755, 0.0010608277614435333];65
[0.0017957767869699749, 0.029902368123998543, 0.02638874724937305, 0.012465161569340282];66
[0.008059092492261994, 0.017061098940001723, 0.028129003430376477, 0.008059092492261994];67
[0.015928359223047646, 0.03821014741360196, 0.0024426930005445823, 0.007524024137011564];68
[0.006988075442299912, 0.0033009331069733506, 0.26222553387126385, 0.008972866481644517];69
[0.031878182269040954, 0.12608065666130333, 0.11126578897943203, 0.0033599364926698784];70
[0.0692988297908536, 0.0047158445502014056, 0.21345542313209004, 0.02549361477729412];71
[0.008390546177287746, 0.017762786396707572, 0.013833671955285955, 0.005089123508259651];72
[0.01363463957382852, 0.000562768785610573, 0.07846193337792723, 0.015450070741207519];73
[0.04502227739765898, 0.006904389857601165, 0.20177587258837373, 0.0032614028358150878];74
[0.0010198213604861377, 0.06309411340000703, 0.02630153954175177, 0.09180139330995744];75
[0.0597157436732079, 0.019386863523645707, 0.16232424025035544, 0.004604783703828188];76
[0.007823217450010073, 0.00943660153600022, 0.24337310325187544, 0.001858177016688274];77
[0.07107254418950643, 0.07107254418950643, 0.006610774818557523, 0.017969949061319556];78
[0.026645050375044752, 0.0004584535251511578, 0.0016001600328348989, 0.003387538816094419];79
[0.08873168713035022, 0.11393374154095424, 0.025422053996342935, 0.017472305156531687];80
[0.06206484295683476, 0.004785927931018997, 0.1023276267455965, 0.006145253105864168];81
[0.015451942115160365, 0.1007593436136685, 0.028868035273800188, 0.0018454713122991364];82
[0.04098984900834213, 0.003364651699443583, 0.017087111243934604, 0.00554737282536997];83
[0.12778103020933987, 0.025161576717838842, 0.0034052482999139214, 0.0046544225754399145];84
[0.0034080552943389214, 0.17479991079748675, 0.023656592617426735, 0.04419633352412845];85
[0.12514629502158509, 0.035855013832964654, 0.009650246056776817, 0.035855013832964654];86
[0.027331563100971644, 0.014629534997035535, 0.024120019779402896, 0.007356192167540483];87
[0.16713266662962056, 0.0008770315341425453, 0.06967126096547847, 0.0009938069262044507];88
[0.06596222885849529, 0.0015512825645353728, 0.03530703684709475, 0.0007800338598041297];89
[0.05577304472278424, 0.00587843566523564, 0.01098236366760188, 0.014101634084508817];90
[0.001268967917194542, 0.011310187932208787, 0.0650856377408164, 0.004160785616044959];91
[0.047547594311380996, 0.0064348656091586035, 0.00285545430479738, 0.004154661498314773];92
[0.014941142251584032, 0.01918480640538101, 0.007057695859393872, 0.009062260866713565];93
[0.01328596812048658, 0.003575869808961301, 0.031871373081941344, 0.03611499710491752];94
[0.00838420311033262, 0.0107655298923395, 0.001870768582725481, 0.012198943543949183];95
[0.011005755140683271, 0.10441969745444774, 0.033900112419398845, 0.008571290721856271];96
[0.0010230042137855905, 0.020547593807494585, 0.07171814933877527, 0.005195244074404184];97
[0.12569344877491637, 0.05937338109993657, 0.05937338109993657, 0.015011941678869135];98
[0.004427471420295069, 0.10076878505550356, 0.03271483470097243, 0.047599803620568495];99
[0.05060073356047828, 0.01642765691720988, 0.08342650573419037, 0.05060073356047828];100
[0.003973516419147303, 0.07043226378297748, 0.09043681685219859, 0.19145474277850183];101
[0.046476972523142535, 0.01820064829033779, 0.0766275731966505, 0.046476972523142535];102
[0.02209447899825381, 0.06005902077022334, 0.06005902077022334, 0.0033882980942331817];103
[0.0047233206177757225, 0.0006392319336240099, 0.6186327891995057, 0.0050279486253147375];104
[0.11556636249264245, 0.000999844944019695, 0.0023985033340067625, 0.027449417079135067];105
[0.002845998797657037, 0.11368305028331613, 0.005659944447286701, 0.004994883443531393];106
[0.0025550593351166347, 0.024241733797487522, 0.4296949873882194, 0.0030819898590831434];107
[0.0373934705380687, 0.005734474434582335, 0.029122064136805414, 0.08970227262945957];108
[0.05853431259531065, 0.0035152578652886367, 0.05165634956028012, 0.0027376855781847055];109
[0.006468262340589057, 0.007802213696409075, 0.21419945633055912, 0.022576453907490662];110
[0.040655186947790155, 0.12522679183249566, 0.06702907148511185, 0.021761153442380766];111
[0.09311642332496511, 0.0010344300243705427, 0.020777082448948454, 0.001815481231571076];112
[0.07380854237906614, 0.03486468672643857, 0.019865299686348883, 0.03486468672643857];113
[0.11615933488598125, 0.0061562192143822, 0.09046498097025575, 0.015720456487370818];114
[0.0008495800780934663, 0.0003125430443594147, 0.1834582135811447, 0.004314523642198799];115
[0.12934887455620472, 0.0026845496060756975, 0.009369998811523271, 0.06110008197504437];116
[0.0006931085451184738, 0.05172448870470027, 0.002419186529210888, 0.06641555816201314];117
[0.21302833491770645, 0.0072894296369189725, 0.00826000591681421, 0.061033647096839304];118
[0.010484102848101463, 0.09947039830400073, 0.004652292437458412, 0.0007134521524993462];119
[0.0558068035593277, 0.0031484044148629296, 0.033848537379292366, 0.009697768325868711];120
[0.010234214060321668, 0.0006964470070796567, 0.0970995194970782, 0.05197362751451362];121
[0.06644566675502925, 0.03138671054965141, 0.008992445274103233, 0.024443994754104043];122
[0.01654912856814137, 0.003061280969780753, 0.01654912856814137, 0.002875807331954345];123
[0.25389933158492883, 0.006766189614227487, 0.02084132628375771, 0.03032395081212413];124
[0.015665225041049703, 0.033163289578886944, 0.025827595893260915, 0.04258250672026655];125
[0.0018361941022046226, 0.09417879092020569, 0.006408947153162873, 0.030575376845070924];126
[0.014213908569603728, 0.28549401943112646, 0.026555077224473388, 0.04961141567392289];127
[0.004750846489892927, 0.0014489263162087624, 0.0034757935427319592, 0.12252591665628366];128
[0.01294204679509446, 0.0008807173372378241, 0.084392746197659, 0.014665260305379764];129
[0.08060737668252539, 0.1035019204328854, 0.023094400081859763, 0.006215773458123521];130
[0.01907111444373617, 0.140917517695215, 0.10974668621233569, 0.07542772081657532];131
