id;confidence_per_choice
0;[0, 0.01529785366614499, 0.12808736053500386, 0]
1;[0.09114673006584954, 0, 0, 0]
2;[0.07317429510843346, 0.09395765476743805, 0.011221641600254824, 0.02096478655542933]
3;[0.0666956931452278, 0.04045298276336638, 0.02165292134177358, 0.03150481465368378]
4;[0.011243864442034353, 0.009922675543176386, 0.012740967598984321, 0.10667881560584669]
5;[0.0070333524559315725, 0.06673059014588223, 0.014889607266049935, 0.013140032292990154]
6;[0.17022350062714217, 0, 0.012330946087022935, 0]
7;[0.009725405192755473, 0, 0.026436385906942122, 0.018169448935755755]
8;[0.0167791640518741, 0.07519899614069352, 0.0167791640518741, 0.00898123931976062]
9;[0.0073991214793844165, 0, 0.1311525663483055, 0.01774956971395656]
10;[0.010862922407897031, 0, 0.03791533376357675, 0]
11;[0.024755512098106613, 0.05240741952294697, 0, 0.008036938083369789]
12;[0.08977178489940398, 0.029144631466754545, 0.02572004699638042, 0]
13;[0, 0.06195617722051295, 0.009501285238207079, 0]
14;[0.0472556905406742, 0.013538982018843869, 0, 0.06067750773735616]
15;[0.024657371028308745, 0, 0.18219469778032066, 0.011647314575361849]
16;[0, 0.0760153567431347, 0, 0.05224453971302751]
17;[0, 0.00983884408757346, 0.007662499479919673, 0.05661863851515339]
18;[0, 0.010654450244448116, 0.08920864095811144, 0.009402519339467147]
19;[0.007756135669931391, 0.014490369110645183, 0.02707157351266361, 0.023890579773016812]
20;[0, 0.012804363290701394, 0.02710684376190398, 0.011299810943611878]
21;[0, 0.08119433536513172, 0, 0]
22;[0, 0.04310536470073759, 0.08053142334579463, 0]
23;[0, 0.1285514669479983, 0.1285514669479983, 0]
24;[0, 0.010718375343218643, 0.013762666366291932, 0.037410805894635836]
25;[0.011955005421145106, 0.047282952390424654, 0.017394430249480182, 0.0286785603065253]
26;[0, 0, 0, 0.03781371006931059]
27;[0, 0, 0.025431802097529373, 0.02244348657821409]
28;[0.01752594183989164, 0.06931644461821526, 0, 0]
29;[0, 0.06288983253115234, 0.018018238693909176, 0.010928614201876432]
30;[0.01676954169452799, 0.010171241187060575, 0.06632482401007375, 0.05165382487611855]
31;[0.08212546100015639, 0, 0.011114475175290617, 0.03879332090491052]
32;[0.022112259484312655, 0.008134645662126865, 0, 0]
33;[0, 0, 0.023636369971849727, 0.014336186490250698]
34;[0.21461512776238745, 0.00942953062307512, 0, 0]
35;[0.2078529787632425, 0, 0.006276616095184658, 0]
36;[0.007204642625652181, 0.015252228558194051, 0.02849491434567833, 0.04698017138849809]
37;[0.13994932436666047, 0.004788801967946399, 0, 0.01671456122350112]
38;[0, 0.09692214183129759, 0.024505755165155595, 0]
39;[0.013512145693797837, 0.025244011568673022, 0, 0.007232530406418952]
40;[0.15611866744703592, 0.021128364077467154, 0, 0.008807614621734515]
41;[0, 0.0676768541867991, 0.005555253158317481, 0.04651357630488694]
42;[0, 0.023223847323290334, 0.015961501277575865, 0.00968113989989213]
43;[0.007087883678451688, 0.007087883678451688, 0.18279895115212558, 0.008031624425755137]
44;[0.014103691834666162, 0.043442429221086376, 0.04922672146933912, 0.014103691834666162]
45;[0.07503843576354328, 0, 0, 0.04016518032062467]
46;[0.008947717972891435, 0, 0.13996585845347512, 0.006149670632413573]
47;[0.011391662591350922, 0.024116149895135885, 0, 0.007829367566639673]
48;[0, 0.02622103337033283, 0.005163227606537313, 0]
49;[0, 0.010666136575288651, 0, 0.012086316160487831]
50;[0, 0, 0.05153750321879869, 0]
51;[0.013415255581350507, 0.032181525176355946, 0, 0.00813676381797011]
52;[0.01867842326925088, 0.02398357022136987, 0.01867842326925088, 0.030795513747154155]
53;[0, 0.04925616557655592, 0, 0]
54;[0.09174717295135137, 0.03824591181629375, 0.02978594607180947, 0.02047156139380072]
55;[0.16946504869376722, 0.10278574778246417, 0.009560566107538308, 0.022934600363677348]
56;[0.1231294376470181, 0, 0.07468177904609144, 0.006946487531315828]
57;[0.013112623612446101, 0.02161906146452464, 0.12440910895648587, 0.007018681646429743]
58;[0, 0.008314645943160144, 0.010676216721777243, 0.022601545588733913]
59;[0, 0, 0.029611110403872754, 0.01234374728788169]
60;[0, 0.016871009141335498, 0.14125921322224866, 0.009030400453548183]
61;[0.05080481105378938, 0.006067770833053041, 0, 0.008828554467962907]
62;[0.0865247522492652, 0.015035747404427587, 0.00804805563454461, 0]
63;[0.02067874337638856, 0.03008739407773835, 0, 0.02067874337638856]
64;[0.030194201359162287, 0, 0.15333882527422976, 0]
65;[0, 0.017196173516348615, 0.06002052881806832, 0]
