confidence_per_choice;id
[0, 0, 1.106876717242377e-06, 0];('astronomy', 15)
[3.78054671817345e-05, 0, 0.0004064470761766045, 0];('astronomy', 16)
[1.7056485174862235e-05, 0, 0, 0];('astronomy', 17)
[0, 0, 0, 0.001441052162991972];('astronomy', 18)
[6.5722934641694665e-06, 0, 0, 0];('astronomy', 19)
[1.037980994337003e-07, 0, 0, 0.0006153501331630348];('astronomy', 20)
[0, 0, 1.0699929563666069e-05, 0.0002759548205369712];('astronomy', 21)
[0, 0, 0, 0.0006247356645838253];('astronomy', 22)
[0, 0.00043628242343025795, 0, 0];('astronomy', 23)
[1.1428947659870162e-05, 0, 1.884314910854639e-05, 0];('astronomy', 24)
[0, 0, 0, 0.000719553393230267];('astronomy', 25)
[0, 0, 1.3454473281797903e-05, 2.6493428729088954e-06];('astronomy', 26)
[0, 0, 0, 0.001463888522990068];('astronomy', 27)
[5.884655569067389e-06, 0, 0, 0];('astronomy', 28)
[0, 0, 0.00017916848923917755, 0];('astronomy', 29)
[0, 0.0006337927151263658, 0, 0];('astronomy', 30)
[0, 0, 0.00030572517446204276, 0];('astronomy', 31)
[0, 0, 0, 0.001352608886125689];('astronomy', 32)
[0, 0, 0, 0.0030272134856082133];('astronomy', 33)
[0, 0, 0.0011570701688986991, 0];('astronomy', 34)
[0, 0, 0, 0.003960258492065424];('astronomy', 35)
[1.3482435789992465e-05, 0, 0, 0];('astronomy', 36)
[0, 0, 1.3914580392613489e-05, 4.24370725359188e-06];('astronomy', 37)
[0, 0.0014570887367930546, 0, 0];('astronomy', 38)
[0, 0, 0.00013732229269753607, 0];('astronomy', 39)
[0, 0, 0.0006802515477968006, 0];('astronomy', 40)
[0, 0, 0, 9.27502035164734e-05];('astronomy', 41)
[4.9251604551794334e-05, 0, 0, 0];('astronomy', 42)
[3.1737646778816225e-06, 0, 0, 0];('astronomy', 43)
[0, 0, 0.0001431386283782872, 0];('astronomy', 44)
[0.00035384943471388045, 0, 0, 0.0020362629039076116];('astronomy', 45)
[0, 0, 0, 0.0006184815490205259];('astronomy', 46)
[3.620329862505201e-05, 0, 0, 0];('astronomy', 47)
[0, 0, 5.9396538672672e-05, 7.09390491844622e-06];('astronomy', 48)
[0, 0.00023610735893971852, 0, 0];('astronomy', 49)
[0, 0.00019149078843624253, 0, 0];('astronomy', 50)
[0, 0, 0, 3.375674016590863e-05];('astronomy', 51)
[0, 0, 0.0002084488799913405, 4.6511231975228634e-05];('astronomy', 52)
[0, 0, 0, 0];('astronomy', 53)
[0, 0, 0, 0.002366144290538427];('astronomy', 54)
[0, 0, 0.004150352866981055, 0];('astronomy', 55)
[0, 0, 0, 0.018458330823640727];('astronomy', 56)
[0.0003105417184997927, 0, 0, 0.0005801680335555505];('astronomy', 57)
[0, 0, 0.00017686373215900958, 0];('astronomy', 58)
[6.723943027710138e-06, 0, 0, 0.0009979211505222064];('astronomy', 59)
[0.08197109861131252, 0, 0, 0.0076244998673681615];('astronomy', 60)
