id;confidence_per_choice
('anatomy', 0);[0.21366930095944744, 0.01365941978753996, 0.07860453366206308, 0.5808133780976128]
('anatomy', 1);[0.14210730628842275, 0.3408977061475126, 0.08619243823310231, 0.23429533859962068]
('anatomy', 2);[0.3675409952225712, 0.01181458734030564, 0.002806210462344226, 0.0029871954877227526]
('anatomy', 3);[0.06722366609401989, 0.038302890355819026, 0.3207062126794087, 0.10411805083168207]
('anatomy', 4);[0.00022627343442063782, 0.3186166440634908, 3.693812275671417e-05, 0.00029054084091732584]
('anatomy', 5);[0.5673913837863117, 0.017133739251716403, 0.030070641695467814, 0.028248753615906032]
('anatomy', 6);[0.4702070138375231, 0.03859694438435774, 0.001240696448408425, 0.0021774900796533094]
('anatomy', 7);[0.031256780466230136, 0.4889383690041137, 0.006154825003095106, 0.027584011946214782]
('anatomy', 8);[0.0582864280758458, 0.2960029059496029, 0.17953483782246923, 0.01892283268832833]
('anatomy', 9);[0.0022583451709775057, 0.0008307987594714303, 0.012208498649643594, 0.45812045010391106]
('anatomy', 10);[0.020330564542040547, 0.020330564542040547, 0.12453980655532297, 0.5581487231292632]
('anatomy', 11);[0.011272015289419046, 0.0690494484811069, 0.007747135258785627, 0.6551229854075464]
('anatomy', 12);[0.00305866770488385, 0.08397166584680331, 0.08397166584680331, 0.6204713311712017]
('anatomy', 13);[0.08872591192610593, 0.3509177889788428, 0.14628429825483702, 0.1290954401066548]
('anatomy', 14);[0.014705279467301244, 0.03997309395837688, 0.5518116067761097, 0.17914699965683947]
('anatomy', 15);[0.004525986770180075, 0.0004770354959542369, 0.7611537814135733, 0.0029221966887989]
('anatomy', 16);[0.0013908259574050923, 0.6358087335049067, 0.0021541533829558335, 0.007518734089492494]
('anatomy', 17);[0.000951734121911541, 0.0024303382205920873, 0.00101311569913789, 0.4631404305799759]
('anatomy', 18);[0.002337393916059038, 0.003853711067411606, 0.0086844719502806, 0.36927309990434004]
('anatomy', 19);[0.0007883075491756802, 0.0004491641021260301, 0.4346899790520728, 0.0002724317991817337]
('anatomy', 20);[0.0011132259244545854, 0.002079779833071028, 0.6955911976220353, 0.0030260618014144214]
('anatomy', 21);[0.09203125500372838, 0.10428507424127345, 0.28347622228955605, 0.1339046859069632]
('anatomy', 22);[0.04812343089842578, 0.13081304773429533, 0.2443909476089856, 0.19033186137344069]
('anatomy', 23);[0.029481746926824287, 0.013082445895269421, 0.4069830111023542, 0.007002528678424311]
('anatomy', 24);[0.1314633747501171, 0.21674648810673355, 0.07973656741523769, 0.3573545452911239]
('anatomy', 25);[0.34214187362273685, 0.011707451110997897, 0.20751953632371503, 0.031824151612598245]
('anatomy', 26);[0.00023557475911821404, 6.340408626942432e-05, 0.6197232471261388, 0.0007724198980611839]
('anatomy', 27);[0.3797054228276675, 0.02927973998074684, 0.031168120968060722, 0.05822971599933793]
('anatomy', 28);[0.0005710298479608677, 0.00120887019761949, 0.40431175939902936, 0.0006078581090310514]
('anatomy', 29);[0.21012405948572144, 0.23810175295836702, 0.011854388253046471, 0.12744668442137125]
('anatomy', 30);[0.0016424648673577518, 0.00022228344803004683, 0.4018978302049261, 0.0030685283486655713]
('anatomy', 31);[0.32083370069905676, 0.19459547614304448, 0.22050556276529337, 0.029842186349555277]
('anatomy', 32);[0.0002725323646767571, 0.3181433216678049, 0.0002405089676812935, 0.0007885985450842035]
('anatomy', 33);[0.0003363827035984127, 0.00018005268645716646, 0.00012374828101952297, 0.34653852413002756]
('anatomy', 34);[0.20182061716744276, 0.03974083107970896, 0.29364726527157603, 0.0655215535164169]
('anatomy', 35);[0.20858556481903515, 0.024911993143927613, 0.38968913825187923, 0.03198763237715381]
('anatomy', 36);[0.0002133841661183172, 0.0002739906928146385, 0.0022940959836379358, 0.46537274200244644]
('anatomy', 37);[0.0012996975649458213, 0.00012089076277697273, 0.6732600870910027, 0.0006535289774666969]
('anatomy', 38);[0.056030381427515666, 0.0040588272171456705, 0.004895880166494287, 0.3224325444634466]
('anatomy', 39);[0.00021428246473395614, 0.00013835115759481552, 0.49747208115130725, 0.0003117791464911337]
('anatomy', 40);[0.0020199484174053682, 0.0007910231658528376, 0.7191512998525557, 0.0048456043536016765]
('anatomy', 41);[0.11214476722609991, 0.07707589618700766, 0.163169673508332, 0.23741047408067803]
('anatomy', 42);[0.002175778582428999, 0.4698373772703761, 0.008083998139682273, 0.03856659816794659]
('anatomy', 43);[0.007536444349920864, 0.03595436513421972, 0.07611539158644133, 0.6373064469947819]
('anatomy', 44);[0.38062556193852903, 0.0057794945688767075, 0.12357104255381712, 0.03540369644468328]
('anatomy', 45);[0.01203491425183289, 0.03707014565377941, 0.3103845294290415, 0.35171174937839317]
('anatomy', 46);[0.0003869598352114131, 0.24178904320154582, 0.0003635151239817514, 0.001846082125931804]
('anatomy', 47);[0.0002077984543643528, 0.00013416476585433794, 0.3757083743612314, 0.00025065278143720756]
('anatomy', 48);[0.4182612312674034, 0.00596617497102896, 0.1538697171936813, 0.038904357101841036]
('anatomy', 49);[0.1216369794141199, 0.004716377519825976, 0.48108361460197213, 0.005689037232103194]
('anatomy', 50);[0.005298436135657752, 0.007242103539103287, 0.11328555972936907, 0.507710624604331]
('anatomy', 51);[0.0914883727663773, 0.011631441326412662, 0.0015741444063600994, 0.4646162385508231]
('anatomy', 52);[0.0037195629182233724, 0.518586119115958, 0.002896798513395722, 0.003494205993335648]
('anatomy', 53);[0.00027340731398372436, 0.264596737074537, 0.0003510617728640898, 0.005491530081523437]
('anatomy', 54);[0.17393414782257388, 0.3682185938299003, 0.0821606738108953, 0.06398679710159952]
('anatomy', 55);[0.04781361483189817, 0.3532974401692188, 0.000413668822084991, 0.001973503575866319]
('anatomy', 56);[0.6238037042712982, 0.007376769033356017, 0.0374623242918757, 0.0745027280168961]
('anatomy', 57);[0.00015569026250656013, 0.00019991025418920972, 0.31897505434290213, 0.0003734813461484129]
('anatomy', 58);[0.0012227800016929597, 0.00027283922770389836, 0.00044983562369842135, 0.4634169251583261]
('anatomy', 59);[0.13013664499728797, 0.07893186514299384, 0.1013505210301733, 0.18934770119827068]
('anatomy', 60);[0.0003517420723178841, 0.0019014996777737922, 0.0010177994338535998, 0.4652815748883724]
('anatomy', 61);[0.01068025959563509, 0.0009934188909252854, 0.7970338185046337, 0.02124023244270532]
('anatomy', 62);[0.23971851688160217, 0.11323500944755116, 0.12831207578850007, 0.05024773084935649]
('anatomy', 63);[0.000386557613197242, 0.0001943733746206498, 0.374101024624125, 0.0006373257592293655]
('anatomy', 64);[0.004267856444616117, 0.00019961020697849963, 0.49329710421290124, 0.0025885857849118274]
('anatomy', 65);[0.06247215545795612, 0.2180492478401385, 0.31725978357135787, 0.2799807763163824]
('anatomy', 66);[0.042522578344261264, 0.0030803252437282087, 0.0017551164184614275, 0.5870061573127875]
('anatomy', 67);[0.0064071443525221755, 0.002214249838657451, 0.5418092007141943, 0.018539691332387507]
('anatomy', 68);[0.07714687984677794, 0.305121828727942, 0.1850657440710838, 0.07714687984677794]
('anatomy', 69);[0.05509412690759771, 0.5227185222340993, 0.013086002150441728, 0.021575170093860896]
('anatomy', 70);[0.2842946174695868, 0.1521719430670309, 0.004316785235120793, 0.004316785235120793]
('anatomy', 71);[0.46164025266025704, 0.003110507925870654, 0.0009486513193297263, 0.003993971235626588]
('anatomy', 72);[0.0015494912842181248, 0.0013674212589043222, 0.007868966035717937, 0.4296309626158425]
('anatomy', 73);[0.05270426127527672, 0.26765429189399836, 0.11157492199531957, 0.05270426127527672]
('anatomy', 74);[0.2600572151638333, 0.013782525834461693, 0.004474531018588187, 0.37838101537289576]
('anatomy', 75);[0.005323730917338504, 0.15558222310323466, 0.5430352843472059, 0.044575053225249024]
('anatomy', 76);[0.5102760922752465, 0.06905835536074353, 0.004414752956665102, 0.004414752956665102]
('anatomy', 77);[0.6150417547948601, 0.008773101284406608, 0.0022181873827034687, 0.03469828040506549]
('anatomy', 78);[0.00045005832808581967, 0.00014611261634014317, 0.4355553629976825, 0.0006970639746919387]
('anatomy', 79);[0.0009413442629838991, 0.20327375994907232, 0.005766432711278326, 0.552555334937244]
('anatomy', 80);[0.0006317554346321902, 0.2888036570210075, 0.0038699712178022036, 0.001256395704465283]
('anatomy', 81);[0.029896950361966393, 0.3214225075649709, 0.2209102434115147, 0.043499806099927624]
('anatomy', 82);[0.000711041830274822, 0.1442395910503936, 0.39208385929664885, 0.008137442830784127]
('anatomy', 83);[0.00044021044729130633, 0.3531870704936193, 0.01992545103989847, 0.032851514957774594]
('anatomy', 84);[0.00551662334434045, 0.3206229942434277, 0.10409104617295076, 0.4116880737830886]
('anatomy', 85);[0.004302496854147459, 0.03602435651388979, 0.638547055001989, 0.14247911089111037]
('anatomy', 86);[0.026015863166083862, 0.0801345000633175, 0.5921183870136228, 0.07071844809604276]
('anatomy', 87);[0.14143048958165083, 0.02964544110666872, 0.12481196898682975, 0.2331794564988006]
('anatomy', 88);[0.12698066290506305, 0.16304639859795922, 0.39112797736695604, 0.022065930534964463]
('anatomy', 89);[0.3719792404307847, 0.0014280900586539746, 0.005305998262272265, 0.000764401524848895]
('anatomy', 90);[0.011672628825497263, 0.071503520372662, 0.016983574727123456, 0.5283435233046302]
('anatomy', 91);[0.01353805885808969, 0.1868871378418419, 0.02866007082747924, 0.44831893772901804]
('anatomy', 92);[0.04818427899080231, 0.4571597377789753, 0.04818427899080231, 0.1905725202472332]
('anatomy', 93);[0.0013287374194068844, 0.14427615161357765, 0.0005203410498157456, 0.26954333700594485]
('anatomy', 94);[0.4215402625913056, 0.3282958866022344, 0.013550387921822811, 0.0392093475325405]
('anatomy', 95);[0.011643927205875424, 0.04064129932022562, 0.5610357980438724, 0.0279323292989259]
('anatomy', 96);[0.15515741365519295, 0.053620967352995076, 0.07329117262051514, 0.053620967352995076]
('anatomy', 97);[0.19668521389194826, 0.06385434759495673, 0.36745635574032437, 0.026618452303687166]
('anatomy', 98);[0.04126109566628931, 0.34547492426165255, 0.04675494672609806, 0.0529802955558999]
('anatomy', 99);[0.0017999912615603122, 0.19544557060044823, 0.36514039717232144, 0.008067001163638876]
('anatomy', 100);[0.002719544337960572, 0.002719544337960572, 0.008376786291165787, 0.42964712156828894]
('anatomy', 101);[0.010999684933678665, 0.026386878719945245, 0.09209925630956062, 0.6005625557152477]
('anatomy', 102);[0.0010010031954816921, 0.0003052887260466242, 0.45760323695389726, 0.014709634578778415]
('anatomy', 103);[0.040098318071605, 0.04543734709342077, 0.08488814002372809, 0.553540206555986]
('anatomy', 104);[0.1064670827192321, 0.28940753628473465, 0.05698772278654567, 0.09395687072694023]
('anatomy', 105);[0.009974620967686986, 0.12151575969915296, 0.6171080209385829, 0.030723995566240534]
('anatomy', 106);[0.002712924566282877, 0.007850107521840068, 0.6236112262477839, 0.012158484377361606]
('anatomy', 107);[0.001191312790976813, 0.08890390996619102, 0.35162178488390883, 0.03270592071631857]
('anatomy', 108);[0.0011738754779671413, 0.0005544995128745495, 0.00020398887365662827, 0.3464749116279253]
