id;confidence_per_choice
('abstract_algebra', 0);[0.00031706216575256733, 0.05332165757571316, 0.010499656917898082, 0.010499656917898082]
('abstract_algebra', 1);[0.002223364579613669, 0.0025194021339928034, 0.0019621123548253638, 0.0015280946384120715]
('abstract_algebra', 2);[0.0009838060319273573, 0.0003619220132465303, 0.005661412823999749, 0.04740242921331898]
('abstract_algebra', 3);[0.01854646874799333, 0.0009829268338821637, 0.030577957521191777, 0.19939333006482932]
('abstract_algebra', 4);[4.115718231064019e-05, 0.00039048847353220214, 0.00011187682078558929, 0]
('abstract_algebra', 5);[0.006782240457831603, 0.0013355023301892808, 0.12021811727103061, 0.004661361152850035]
('abstract_algebra', 6);[0.07198218011545222, 0.0009061219222138167, 0.0924269488168356, 0.002463094755522198]
('abstract_algebra', 7);[0.001868954137435305, 0, 0.17908825897020525, 0.00036801889008219546]
('abstract_algebra', 8);[0.0002888067967174518, 0.2044866926027609, 0.006997148172392232, 0.001561274792288172]
('abstract_algebra', 9);[0.000236467003131583, 0.00010493159656257424, 0.0013607742978756574, 0.0005006008882629587]
('abstract_algebra', 10);[0.026785163627852403, 0, 0.09348940723293771, 0.0031990323602928473]
('abstract_algebra', 11);[0.008715901499949873, 0.03447205914172029, 0.10618141738522567, 0.00028017219462212877]
('abstract_algebra', 12);[0.004006648445934504, 0.004540127488493288, 0.02612662356561744, 0.03801401298093496]
('abstract_algebra', 13);[0.00010423592068724757, 0.0007702050654817582, 9.198787714454952e-05, 0]
('abstract_algebra', 14);[0.0014540085011400116, 0.011436662750961587, 0.12295574135522595, 0.018855873638924277]
('abstract_algebra', 15);[0.0024426918357780716, 0, 0.15112402858412055, 0.0009565718671281722]
('abstract_algebra', 16);[0.001589422438621061, 0.0031609439586805644, 0.024862756043560186, 0.02061194871832712]
('abstract_algebra', 17);[0.0001379486615666507, 0.000957553503965242, 0.000745743418720898, 0.0012295230369297767]
('abstract_algebra', 18);[0.0013366408073950183, 0.003012166557473424, 0.003012166557473424, 0.39451601122499885]
('abstract_algebra', 19);[0.01884068017160145, 0, 0.10842062853326581, 0.0016462802862539005]
('abstract_algebra', 20);[0.003547455149995026, 0.014935344040596819, 0.06693556814848152, 0.03161812358205948]
('abstract_algebra', 21);[0.00016250093331336067, 0.00053282004750673, 9.259024080469799e-05, 5.6158819838225065e-05]
('abstract_algebra', 22);[0.0010235092180387265, 0.0026136223494139217, 0.008050523597373491, 0.20762569058581823]
('abstract_algebra', 23);[0.00032622208472378125, 0.00025406201503806703, 0.054862106006150595, 0.2786127635614269]
('abstract_algebra', 24);[0.011466810781323654, 0.00044461650440207404, 0.006954972307996174, 0.10879404564018187]
('abstract_algebra', 25);[0.0008095678496513203, 0, 0.12789956498453395, 5.50917835599634e-05]
('abstract_algebra', 26);[0.0005440943223566076, 0, 0.3000254605421809, 0.0004237410843160314]
('abstract_algebra', 27);[0.0037325204886605387, 0.007901745936501508, 0, 0.027579803281120766]
('abstract_algebra', 28);[0.019939194506079203, 0.0013568795382147341, 0.14733182677290907, 0.017596281586926634]
('abstract_algebra', 29);[0.024256094774022668, 0.0001851975248267238, 0.008923320717954195, 0.0013684355528485288]
('abstract_algebra', 30);[0.0018818206191012433, 0.0005391506342029189, 0.03133511909050662, 0.20433064370319667]
('abstract_algebra', 31);[0.0005189668056009986, 0.23724295982411311, 0.000295698513436926, 0.00037968422588220414]
('abstract_algebra', 32);[0.07146757566822508, 0.00017715036651273688, 0.004863428399787928, 0.002297320907710573]
('abstract_algebra', 33);[0.003656818730597928, 0.0017273588577713167, 0.12890730370736417, 0.000264899186676559]
('abstract_algebra', 34);[0.0006610900698896703, 0.020565909259927125, 0.00857314647061816, 0.11834863646166767]
('abstract_algebra', 35);[0.0004886811736731835, 0.1971480562975862, 0.018337625755395107, 0.005253817741947666]
('abstract_algebra', 36);[0.0006819575950661786, 0.00025087829860363293, 0.0023802658892268505, 0.0008756508851682199]
('abstract_algebra', 37);[0.0010472410886255465, 0.006828869714304786, 0, 0.05045890141128659]
('abstract_algebra', 38);[0.02124048058339067, 0.2587620264295963, 0.02727331693173609, 0.007813934264243306]
('abstract_algebra', 39);[0.01913809407083106, 0.0009528293707628258, 0.06679851185936742, 0.002433135036512684]
('abstract_algebra', 40);[0.0003348508555316634, 0.001700513770215997, 0.1530753530838736, 0]
('abstract_algebra', 41);[0.002389371199136063, 0.025688161268342887, 0.005058298868264892, 0.0008790005414893139]
('abstract_algebra', 42);[0.0049462860800111785, 0.0009149709234224803, 0.09934881169271371, 0.022167716263551407]
('abstract_algebra', 43);[0.00024562709341908665, 0, 0.17391376693817576, 0.0001688168678875268]
('abstract_algebra', 44);[0.005507576482861832, 0, 0.06709601724057675, 0.0007453694232554132]
('abstract_algebra', 45);[0.00023565205538607427, 0.014579276412082771, 0.09506884705466385, 0.0010561192410264693]
('abstract_algebra', 46);[0.0013397937159258322, 0.001426202986696017, 0.1988430653342083, 0.0018312808842736548]
('abstract_algebra', 47);[0.0004825339144760129, 0.0016842088501278463, 0.0019084586531638273, 0.00011461185060768034]
('abstract_algebra', 48);[0.0014913040740205045, 0.0002148427217362984, 0.18348830906385336, 0.0010249573014915912]
('abstract_algebra', 49);[0.0009781768649916064, 0.0030129968607689643, 0.019647212223456733, 0.017338599797777948]
('abstract_algebra', 50);[0.0007809523706159478, 0.006538834142277302, 0.0376283924531066, 0.13133599459931092]
('abstract_algebra', 51);[0.0007685552559986696, 0.0018436682156637667, 0.0012671333982733888, 0.00019432110762077024]
('abstract_algebra', 52);[0.0018983560104978748, 0.015894740271868952, 0.01801110035096729, 0.007508143668936516]
('abstract_algebra', 53);[0.003525690934700191, 0, 0.18083340417222943, 0.001564515868450458]
('abstract_algebra', 54);[0.0003477683366931662, 0.3813742440058831, 0.005440012071867609, 0.0005059999441646088]
('abstract_algebra', 55);[0.008882634116761018, 0, 0.04510973819886443, 0.00047076236169574123]
('abstract_algebra', 56);[0.0013904234547773837, 0.0021535299746907586, 0.038172232159674246, 0.0027651872231018422]
('abstract_algebra', 57);[0.01906233184036285, 0.20493935654242762, 0.01906233184036285, 0.0070126399848572775]
('abstract_algebra', 58);[0.003531485676995536, 0.0012204487928276935, 0.10986129922953385, 0.004001697531915146]
('abstract_algebra', 59);[0.005260794384855428, 0.0009141889859382864, 0.06822300336117498, 0.09926388416997829]
('abstract_algebra', 60);[0.004824000360423839, 0.0001650681363578627, 0.001667129914990471, 0.04576884109419971]
('abstract_algebra', 61);[0.0011351671822074202, 0.0006467987636199862, 0.09017749881955006, 0.27776628436958345]
('abstract_algebra', 62);[0.11799392318959298, 0.0005133143388057156, 0.03830701829679296, 0.00518429117114658]
('abstract_algebra', 63);[0.007648310450902269, 0.0021912776320594236, 0.00031568362431129497, 0.001933795722995348]
('abstract_algebra', 64);[0.026026031320797803, 0.0294913571306308, 0.0294913571306308, 0.0005074269497607101]
('abstract_algebra', 65);[0.0006046590838474612, 0.0011296518890226905, 0.16765518554999403, 0.002709894007359794]
('abstract_algebra', 66);[0.002714060605280297, 0.002714060605280297, 0.010734317924539835, 0.21560453901858007]
('abstract_algebra', 67);[0.06851549908221403, 0.002344472012743665, 0.0026566348344989527, 0.0056240959887680925]
('abstract_algebra', 68);[0.0010459275884036258, 0.00043600748693940706, 0.0006343871502060949, 8.585496465480941e-05]
('abstract_algebra', 69);[0.011090609360475408, 0, 0.22276081725531924, 0.001324584395808243]
('abstract_algebra', 70);[0.00031822419681611195, 0.005640656164601971, 0.01737444415716035, 0.004392947438028562]
('abstract_algebra', 71);[0.00022803180827281146, 0.11096663957734479, 0.04082234535638646, 0.002609685850272875]
('abstract_algebra', 72);[0.0024256111347740056, 0.003529243376298491, 0.0031145463480506184, 0.0010763584163586807]
('abstract_algebra', 73);[0.009725785469825072, 0.018170159386853738, 0.02643743221329078, 0.002038635383464025]
('abstract_algebra', 74);[0.00891043321653177, 0.00225291033291308, 0.00786342971427618, 0.29507302311319406]
('abstract_algebra', 75);[0.0005801279213191962, 0.002599952964374183, 0.18227073119271162, 0.0016786558002300207]
('abstract_algebra', 76);[0.013235180765192039, 0, 0.20703301127006474, 0.0035622005777221637]
('abstract_algebra', 77);[0.035213193283982494, 0.01467904287169063, 0.018848264139899783, 0.008903289556916546]
('abstract_algebra', 78);[0.002316156152424093, 0.004327149368548082, 0.009160575285101816, 0.23625440676724682]
('abstract_algebra', 79);[0.004803468330109281, 0, 0.19187389223731263, 0.0004467921531647135]
('abstract_algebra', 80);[0.0019756927067487323, 0.006895845125109161, 0.2587646175769056, 0.018744846026332036]
('abstract_algebra', 81);[0.0207536401864427, 0.0004046316630619923, 0.08208223921726858, 0.004630764162523929]
('abstract_algebra', 82);[0.08699990275857956, 0.0003137704925085807, 0.021997020248531503, 0.003590914842931625]
('abstract_algebra', 83);[0.011598559488870635, 0, 0.09711357276393685, 0.002754899350123951]
('abstract_algebra', 84);[0.0043192210135291394, 0, 0.08675389383038523, 0.0029685542953272544]
('abstract_algebra', 85);[0.004100789214859022, 0, 0.270069562802591, 0.0011748957809696423]
('abstract_algebra', 86);[0.0195265988873464, 0, 0.06014615889486846, 0.0031876288818577176]
('abstract_algebra', 87);[0.0035863459600477335, 0.0013193429476298201, 0.005218102581720123, 0.001404433257164299]
('abstract_algebra', 88);[0.003084720128443348, 0.0007799393904463818, 0.00272225595869161, 0.00272225595869161]
('abstract_algebra', 89);[0.002162267945486361, 0, 0.13377474890514568, 0.0005135836535157738]
('abstract_algebra', 90);[0.02685264719088106, 0.0018273460098449344, 0.12034521542501579, 0.01437318972174251]
('abstract_algebra', 91);[0.0006011609166654597, 0.01650407578887583, 0.0002839683098478916, 0]
('abstract_algebra', 92);[0.002849466886178679, 0.007745654057495282, 0.021054875693892444, 0.02703499553615885]
('abstract_algebra', 93);[0.0024085683273021947, 0.00479001008055502, 0.09038085969299811, 0.017797046488543477]
('abstract_algebra', 94);[0.01596899229517954, 0.00048222178320558645, 0.026328410991525875, 0.008029713594390924]
('abstract_algebra', 95);[0.00432167877366482, 0.010367168438606564, 0.16216983823079412, 0.028180892298085854]
('abstract_algebra', 96);[0.0005801743964409994, 0.00013780349786087924, 0.019212737353005226, 0]
('abstract_algebra', 97);[0.0003367160189547791, 0.01838407610456085, 0.003194672639713234, 8.513518272911862e-05]
('abstract_algebra', 98);[0.0031268541245960627, 0.0051553109055979575, 0.007500933107332613, 0.048912228026611666]
('abstract_algebra', 99);[0.00031885089697640144, 0.001045471841979639, 0.16516883410111968, 0.001045471841979639]
('anatomy', 0);[0.2236772835529028, 0.0007119157627076266, 0.0031905850927281577, 0.0076538157522452995]
