confidence_per_choice;id
[0, 0, 0, 0];('astronomy', 15)
[0, 0, 0, 0];('astronomy', 16)
[0, 0, 0, 0];('astronomy', 17)
[0, 0, 0, 0];('astronomy', 18)
[0, 0, 0, 0];('astronomy', 19)
[0, 0, 0, 2.543665647376923e-13];('astronomy', 20)
[0, 0, 0, 3.2661313427874473e-13];('astronomy', 21)
[0, 0, 0, 0];('astronomy', 22)
[0, 0, 0, 0];('astronomy', 23)
[0, 0, 0, 0];('astronomy', 24)
[0, 0, 0, 0];('astronomy', 25)
[0, 0, 0, 0];('astronomy', 26)
[0, 0, 0, 2.129785170955785e-12];('astronomy', 27)
[0, 0, 0, 0];('astronomy', 28)
[0, 0, 0, 0];('astronomy', 29)
[0, 0, 0, 0];('astronomy', 30)
[0, 0, 0, 0];('astronomy', 31)
[0, 0, 0, 0];('astronomy', 32)
[0, 0, 0, 0];('astronomy', 33)
[0, 0, 0, 0];('astronomy', 34)
[0, 0, 0, 0];('astronomy', 35)
[0, 0, 0, 0];('astronomy', 36)
[0, 0, 0, 0];('astronomy', 37)
[0, 0, 0, 0];('astronomy', 38)
[8.878265478459658e-13, 0, 0, 0];('astronomy', 39)
[0, 0, 0, 0];('astronomy', 40)
[0, 0, 0, 0];('astronomy', 41)
[0, 0, 0, 0];('astronomy', 42)
[1.9810087980489796e-13, 0, 0, 0];('astronomy', 43)
[0, 0, 0, 0];('astronomy', 44)
[0, 0, 0, 3.0988191387218256e-12];('astronomy', 45)
[0, 0, 0, 3.037975385443128e-14];('astronomy', 46)
[0, 0, 0, 1.2015425731771786e-13];('astronomy', 47)
[0, 0, 0, 0];('astronomy', 48)
[0, 0, 0, 0];('astronomy', 49)
[2.8823507934443873e-13, 0, 0, 0];('astronomy', 50)
[0, 0, 0, 2.6810038677818034e-14];('astronomy', 51)
[0, 0, 0, 0];('astronomy', 52)
[6.431393941452e-14, 0, 0, 0];('astronomy', 53)
[0, 0, 0, 0];('astronomy', 54)
[0, 0, 0, 0];('astronomy', 55)
[0, 0, 0, 1.0603575991523846e-13];('astronomy', 56)
[0, 0, 0, 0];('astronomy', 57)
[0, 0, 0, 0];('astronomy', 58)
[0, 0, 0, 0];('astronomy', 59)
[0, 0, 0, 0];('astronomy', 60)
[0, 0, 0, 0];('astronomy', 61)
[0, 0, 0, 0];('astronomy', 62)
[0, 0, 0, 0];('astronomy', 63)
[0, 0, 0, 0];('astronomy', 64)
[0, 0, 0, 0];('astronomy', 65)
[0, 0, 0, 0];('astronomy', 66)
[0, 0, 0, 0];('astronomy', 67)
[0, 0, 0, 0];('astronomy', 68)
[0, 0, 0, 0];('astronomy', 69)
[0, 0, 0, 0];('astronomy', 70)
[0, 0, 0, 0];('astronomy', 71)
[0, 0, 0, 0];('astronomy', 72)
[0, 0, 0, 5.675685232632723e-14];('astronomy', 73)
[0, 0, 0, 0];('astronomy', 74)
[0, 0, 0, 0];('astronomy', 75)
[0, 0, 0, 0];('astronomy', 76)
[0, 0, 0, 0];('astronomy', 77)
[0, 0, 0, 0];('astronomy', 78)
[0, 0, 0, 0];('astronomy', 79)
[0, 0, 0, 0];('astronomy', 80)
[0, 0, 0, 0];('astronomy', 81)
[0, 0, 0, 0];('astronomy', 82)
[0, 0, 0, 0];('astronomy', 83)
[0, 0, 0, 0];('astronomy', 84)
[0, 0, 0, 0];('astronomy', 85)
[0, 0, 0, 0];('astronomy', 86)
[0, 0, 0, 0];('astronomy', 87)
[0, 0, 0, 0];('astronomy', 88)
[0, 0, 0, 1.626111044617819e-14];('astronomy', 89)
[0, 0, 0, 4.1937956583795446e-13];('astronomy', 90)
[0, 0, 0, 1.103256032343554e-09];('astronomy', 91)
[1.2015425731771786e-13, 0, 0, 0];('astronomy', 92)
[0, 0, 0, 0];('astronomy', 93)
[0, 0, 0, 0];('astronomy', 94)
[0, 0, 0, 0];('astronomy', 95)
[0, 0, 0, 2.0879679116459336e-14];('astronomy', 96)
[0, 0, 0, 0];('astronomy', 97)
[0, 0, 0, 0];('astronomy', 98)
[0, 0, 0, 0];('astronomy', 99)
[0, 0, 0, 0];('astronomy', 100)
[0, 0, 0, 0];('astronomy', 101)
[0, 0, 0, 0];('astronomy', 102)
[0, 0, 0, 0];('astronomy', 103)
[0, 0, 0, 0];('astronomy', 104)
[0, 0, 0, 0];('astronomy', 105)
[0, 0, 0, 0];('astronomy', 106)
[0, 0, 0, 0];('astronomy', 107)
[0, 0, 0, 0];('astronomy', 108)
[0, 0, 0, 0];('astronomy', 109)
[0, 0, 0, 0];('astronomy', 110)
[0, 0, 0, 3.442477108469977e-14];('astronomy', 111)
[0, 0, 0, 1.0603575991523846e-13];('astronomy', 112)
[0, 0, 0, 0];('astronomy', 113)
[0, 0, 0, 0];('astronomy', 114)
[0, 0, 0, 2.3659776091347615e-14];('astronomy', 115)
[0, 0, 0, 3.037975385443128e-14];('astronomy', 116)
[0, 0, 0, 0];('astronomy', 117)
[0, 0, 0, 0];('astronomy', 118)
[0, 0, 0, 0];('astronomy', 119)
[0, 0, 0, 0];('astronomy', 120)
[0, 0, 0, 0];('astronomy', 121)
[0, 0, 0, 0];('astronomy', 122)
[0, 0, 0, 9.357622968840175e-14];('astronomy', 123)
[0, 0, 0, 0];('astronomy', 124)
[0, 0, 0, 0];('astronomy', 125)
[0, 0, 0, 0];('astronomy', 126)
[0, 0, 0, 0];('astronomy', 127)
[0, 0, 0, 2.020683909022217e-11];('astronomy', 128)
[0, 0, 0, 0];('astronomy', 129)
[0, 0, 0, 0];('astronomy', 130)
[0, 0, 0, 0];('astronomy', 131)
[0, 0, 0, 0];('astronomy', 132)
[0, 0, 0, 0];('astronomy', 133)
[0, 0, 0, 0];('astronomy', 134)
[0, 0, 0, 0];('astronomy', 135)
[0, 0, 0, 0];('astronomy', 136)
[0, 0, 0, 0];('astronomy', 137)
[0, 0, 0, 0];('astronomy', 138)
[0, 0, 0, 0];('astronomy', 139)
[9.862862046580453e-15, 0, 0, 0];('astronomy', 140)
[0, 0, 0, 0];('astronomy', 141)
[0, 0, 0, 0];('astronomy', 142)
[1.2664165549094176e-14, 0, 0, 0];('astronomy', 143)
[0, 0, 0, 0];('astronomy', 144)
[0, 0, 0, 9.357622968840175e-14];('astronomy', 145)
[6.914400106940203e-13, 0, 0, 0];('astronomy', 146)
[0, 0, 0, 0];('astronomy', 147)
[0, 0, 0, 0];('astronomy', 148)
[0, 0, 0, 0];('astronomy', 149)
[0, 0, 0, 0];('astronomy', 150)
[0, 0, 0, 0];('astronomy', 151)
[0, 0, 0, 0];('business_ethics', 0)
[0, 0, 0, 0];('business_ethics', 1)
[0, 0, 0, 0];('business_ethics', 2)
[0, 0, 0, 0];('business_ethics', 3)
[0, 0, 0, 0];('business_ethics', 4)
[0, 4.420228103641173e-14, 0, 0];('business_ethics', 5)
[3.037975385443128e-14, 0, 0, 0];('business_ethics', 6)
[0, 0, 0, 0];('business_ethics', 7)
[0, 0, 0, 0];('business_ethics', 8)
[0, 0, 0, 0];('business_ethics', 9)
[0, 0, 0, 0];('business_ethics', 10)
[0, 0, 0, 0];('business_ethics', 11)
[0, 0, 0, 6.101936677605324e-13];('business_ethics', 12)
[0, 0, 0, 0];('business_ethics', 13)
[0, 0, 0, 1.9810087980489796e-13];('business_ethics', 14)
[0, 0, 0, 0];('business_ethics', 15)
[3.2661313427874473e-13, 0, 0, 0];('business_ethics', 16)
[0, 0, 0, 0];('business_ethics', 17)
[0, 0, 0, 0];('business_ethics', 18)
[0, 0, 0, 0];('business_ethics', 19)
[0, 0, 0, 0];('business_ethics', 20)
[0, 0, 0, 0];('business_ethics', 21)
[0, 0, 0, 0];('business_ethics', 22)
[2.6810038677818034e-14, 0, 0, 0];('business_ethics', 23)
[3.037975385443128e-14, 0, 0, 0];('business_ethics', 24)
[0, 3.900837610180715e-14, 0, 0];('business_ethics', 25)
[0, 0, 0, 0];('business_ethics', 26)
[0, 0, 0, 0];('business_ethics', 27)
[0, 0, 0, 0];('business_ethics', 28)
[0, 0, 0, 7.835041785064389e-13];('business_ethics', 29)
[4.420228103641173e-14, 0, 0, 0];('business_ethics', 30)
[0, 0, 0, 0];('business_ethics', 31)
[0, 0, 0, 0];('business_ethics', 32)
[4.420228103641173e-14, 0, 0, 0];('business_ethics', 33)
[0, 0, 0, 6.431393941452e-14];('business_ethics', 34)
[0, 0, 0, 0];('business_ethics', 35)
[0, 0, 0, 0];('business_ethics', 36)
[0, 0, 0, 0];('business_ethics', 37)
[0, 0, 0, 0];('business_ethics', 38)
[0, 5.9821282237671354e-15, 0, 0];('business_ethics', 39)
[0, 6.431393941452e-14, 0, 0];('business_ethics', 40)
[3.900837610180715e-14, 0, 0, 0];('business_ethics', 41)
[1.0603575991523846e-13, 0, 0, 0];('business_ethics', 42)
[0, 0, 0, 0];('business_ethics', 43)
[0, 0, 0, 0];('business_ethics', 44)
[0, 0, 0, 2.543665647376923e-13];('business_ethics', 45)
[0, 0, 0, 0];('business_ethics', 46)
[0, 0, 0, 0];('business_ethics', 47)
[0, 0, 0, 0];('business_ethics', 48)
[0, 0, 0, 0];('business_ethics', 49)
[0, 0, 0, 0];('business_ethics', 50)
[0, 0, 0, 0];('business_ethics', 51)
[0, 0, 0, 5.109089028063325e-12];('business_ethics', 52)
[0, 0, 0, 0];('business_ethics', 53)
[0, 0, 0, 0];('business_ethics', 54)
[0, 0, 0, 0];('business_ethics', 55)
[0, 0, 0, 0];('business_ethics', 56)
[2.0879679116459336e-14, 0, 0, 0];('business_ethics', 57)
[0, 0, 1.8426252147235624e-14, 0];('business_ethics', 58)
[0, 0, 0, 0];('business_ethics', 59)
[0, 0, 0, 0];('business_ethics', 60)
[1.2664165549094176e-14, 0, 0, 0];('business_ethics', 61)
[0, 0, 0, 0];('business_ethics', 62)
[1.8426252147235624e-14, 0, 0, 0];('business_ethics', 63)
[0, 0, 0, 0];('business_ethics', 64)
[2.3659776091347615e-14, 0, 0, 0];('business_ethics', 65)
[0, 0, 0, 0];('business_ethics', 66)
[3.442477108469977e-14, 0, 0, 0];('business_ethics', 67)
[1.9810087980489796e-13, 0, 0, 0];('business_ethics', 68)
[0, 0, 0, 0];('business_ethics', 69)
[0, 0, 0, 0];('business_ethics', 70)
[0, 0, 0, 0];('business_ethics', 71)
[0, 0, 0, 0];('business_ethics', 72)
[0, 0, 0, 0];('business_ethics', 73)
[0, 0, 0, 0];('business_ethics', 74)
[0, 0, 0, 0];('business_ethics', 75)
[0, 0, 0, 0];('business_ethics', 76)
[0, 0, 0, 0];('business_ethics', 77)
[2.3659776091347615e-14, 0, 0, 0];('business_ethics', 78)
[1.2917800047859961e-12, 0, 0, 0];('business_ethics', 79)
[0, 0, 0, 0];('business_ethics', 80)
[0, 0, 0, 0];('business_ethics', 81)
[0, 0, 0, 1.8795288165390832e-12];('business_ethics', 82)
[0, 0, 0, 0];('business_ethics', 83)
[0, 0, 0, 6.914400106940203e-13];('business_ethics', 84)
[0, 0, 0, 0];('business_ethics', 85)
[0, 0, 0, 0];('business_ethics', 86)
[1.5428112031918877e-13, 0, 0, 0];('business_ethics', 87)
[0, 6.431393941452e-14, 0, 0];('business_ethics', 88)
[0, 0, 0, 0];('business_ethics', 89)
[0, 0, 0, 0];('business_ethics', 90)
[0, 0, 0, 2.543665647376923e-13];('business_ethics', 91)
[0, 0, 0, 0];('business_ethics', 92)
[0, 0, 0, 0];('business_ethics', 93)
[0, 0, 0, 0];('business_ethics', 94)
[0, 0, 0, 0];('business_ethics', 95)
[0, 0, 0, 0];('business_ethics', 96)
[1.8426252147235624e-14, 0, 0, 0];('business_ethics', 97)
[0, 0, 0, 0];('business_ethics', 98)
[0, 0, 0, 0];('business_ethics', 99)
[0, 0, 0, 0];('clinical_knowledge', 0)
[0, 0, 0, 4.752193062771153e-13];('clinical_knowledge', 1)
[0, 0, 0, 0];('clinical_knowledge', 2)
[0, 0, 0, 0];('clinical_knowledge', 3)
[1.5428112031918877e-13, 0, 0, 0];('clinical_knowledge', 4)
[2.6810038677818034e-14, 0, 0, 0];('clinical_knowledge', 5)
[0, 0, 0, 0];('clinical_knowledge', 6)
[2.6810038677818034e-14, 0, 0, 0];('clinical_knowledge', 7)
[0, 0, 0, 0];('clinical_knowledge', 8)
[0, 0, 0, 0];('clinical_knowledge', 9)
[0, 0, 0, 0];('clinical_knowledge', 10)
[0, 0, 0, 0];('clinical_knowledge', 11)
[0, 0, 0, 0];('clinical_knowledge', 12)
[0, 0, 0, 0];('abstract_algebra', 0)
[0, 0, 0, 0];('abstract_algebra', 1)
[0, 0, 0, 1.3615261080896538e-13];('abstract_algebra', 2)
[0, 0, 0, 0];('abstract_algebra', 3)
[0, 0, 0, 0];('abstract_algebra', 4)
[0, 0, 0, 0];('abstract_algebra', 5)
[0, 0, 0, 0];('abstract_algebra', 6)
[0, 0, 0, 0];('abstract_algebra', 7)
[0, 0, 0, 0];('abstract_algebra', 8)
[0, 0, 0, 0];('abstract_algebra', 9)
[0, 0, 0, 0];('abstract_algebra', 10)
[0, 0, 0, 0];('abstract_algebra', 11)
[0, 0, 0, 0];('abstract_algebra', 12)
[0, 0, 0, 0];('abstract_algebra', 13)
[0, 0, 0, 0];('abstract_algebra', 14)
[0, 0, 0, 0];('abstract_algebra', 15)
[0, 0, 0, 0];('abstract_algebra', 16)
[0, 0, 0, 0];('abstract_algebra', 17)
[0, 0, 0, 0];('abstract_algebra', 18)
[0, 0, 0, 0];('abstract_algebra', 19)
[0, 0, 0, 0];('abstract_algebra', 20)
[0, 0, 0, 0];('abstract_algebra', 21)
[0, 0, 0, 5.109089028063325e-12];('abstract_algebra', 22)
[0, 0, 0, 0];('abstract_algebra', 23)
[1.8426252147235624e-14, 0, 0, 0];('abstract_algebra', 24)
[0, 0, 0, 0];('abstract_algebra', 25)
[0, 0, 0, 0];('abstract_algebra', 26)
[0, 0, 0, 1.7482341282710566e-13];('abstract_algebra', 27)
[0, 0, 0, 0];('abstract_algebra', 28)
[0, 0, 0, 0];('abstract_algebra', 29)
[0, 0, 0, 0];('abstract_algebra', 30)
[0, 0, 0, 0];('abstract_algebra', 31)
[4.420228103641173e-14, 0, 0, 0];('abstract_algebra', 32)
[0, 0, 0, 0];('abstract_algebra', 33)
[0, 0, 0, 0];('abstract_algebra', 34)
[0, 0, 0, 0];('abstract_algebra', 35)
[0, 0, 0, 0];('abstract_algebra', 36)
[0, 0, 0, 7.287724095819692e-14];('abstract_algebra', 37)
[0, 0, 0, 0];('abstract_algebra', 38)
[0, 0, 0, 0];('abstract_algebra', 39)
[0, 0, 0, 0];('abstract_algebra', 40)
[2.543665647376923e-13, 0, 0, 0];('abstract_algebra', 41)
[0, 0, 0, 0];('abstract_algebra', 42)
[0, 0, 0, 0];('abstract_algebra', 43)
[0, 0, 0, 0];('abstract_algebra', 44)
[0, 0, 0, 0];('abstract_algebra', 45)
[0, 0, 0, 0];('abstract_algebra', 46)
[0, 0, 0, 0];('abstract_algebra', 47)
[0, 0, 0, 0];('abstract_algebra', 48)
[0, 0, 0, 0];('abstract_algebra', 49)
[0, 0, 0, 0];('abstract_algebra', 50)
[0, 0, 0, 0];('abstract_algebra', 51)
[0, 0, 0, 0];('abstract_algebra', 52)
[0, 0, 0, 0];('abstract_algebra', 53)
[0, 1.1176086870894152e-14, 0, 0];('abstract_algebra', 54)
[0, 0, 0, 0];('abstract_algebra', 55)
[0, 0, 0, 0];('abstract_algebra', 56)
[0, 0, 0, 0];('abstract_algebra', 57)
[2.6810038677818034e-14, 0, 0, 0];('abstract_algebra', 58)
[0, 0, 0, 0];('abstract_algebra', 59)
[0, 0, 0, 0];('abstract_algebra', 60)
[0, 0, 0, 0];('abstract_algebra', 61)
[0, 0, 0, 0];('abstract_algebra', 62)
[0, 0, 0, 0];('abstract_algebra', 63)
[0, 0, 0, 0];('abstract_algebra', 64)
[0, 0, 0, 0];('abstract_algebra', 65)
[4.420228103641173e-14, 0, 0, 6.914400106940203e-13];('abstract_algebra', 66)
[0, 0, 0, 0];('abstract_algebra', 67)
[0, 0, 0, 0];('abstract_algebra', 68)
[0, 0, 0, 0];('abstract_algebra', 69)
[0, 0, 0, 0];('abstract_algebra', 70)
[0, 0, 0, 0];('abstract_algebra', 71)
[0, 0, 0, 0];('abstract_algebra', 72)
[0, 0, 0, 0];('abstract_algebra', 73)
[0, 0, 0, 0];('abstract_algebra', 74)
[0, 0, 0, 0];('abstract_algebra', 75)
[0, 0, 0, 0];('abstract_algebra', 76)
[3.442477108469977e-14, 0, 0, 0];('abstract_algebra', 77)
[0, 0, 0, 0];('abstract_algebra', 78)
[0, 0, 0, 0];('abstract_algebra', 79)
[0, 0, 0, 0];('abstract_algebra', 80)
[0, 0, 0, 0];('abstract_algebra', 81)
[5.675685232632723e-14, 0, 0, 0];('abstract_algebra', 82)
[0, 0, 0, 0];('abstract_algebra', 83)
[0, 0, 0, 0];('abstract_algebra', 84)
[0, 0, 0, 0];('abstract_algebra', 85)
[1.7482341282710566e-13, 0, 0, 0];('abstract_algebra', 86)
[0, 0, 0, 0];('abstract_algebra', 87)
[0, 0, 0, 0];('abstract_algebra', 88)
[0, 0, 0, 0];('abstract_algebra', 89)
[0, 0, 0, 0];('abstract_algebra', 90)
[0, 0, 0, 0];('abstract_algebra', 91)
[0, 0, 0, 0];('abstract_algebra', 92)
[1.006039279283317e-12, 0, 0, 0];('abstract_algebra', 93)
[0, 0, 0, 0];('abstract_algebra', 94)
[0, 0, 0, 0];('abstract_algebra', 95)
[0, 0, 0, 0];('abstract_algebra', 96)
[0, 0, 0, 0];('abstract_algebra', 97)
[0, 0, 0, 0];('abstract_algebra', 98)
[0, 0, 0, 0];('abstract_algebra', 99)
[0, 0, 0, 0];('anatomy', 0)
[0, 0, 0, 0];('anatomy', 1)
[0, 0, 0, 0];('anatomy', 2)
[0, 0, 0, 0];('anatomy', 3)
[0, 0, 0, 0];('anatomy', 4)
[0, 0, 0, 0];('anatomy', 5)
[0, 0, 0, 0];('anatomy', 6)
[0, 0, 0, 0];('anatomy', 7)
[0, 1.9810087980489796e-13, 0, 0];('anatomy', 8)
[0, 0, 0, 0];('anatomy', 9)
[0, 0, 0, 0];('anatomy', 10)
[0, 0, 0, 0];('anatomy', 11)
[0, 0, 0, 0];('anatomy', 12)
[0, 0, 0, 0];('anatomy', 13)
[0, 0, 0, 0];('anatomy', 14)
[0, 0, 0, 0];('anatomy', 15)
[0, 0, 0, 0];('anatomy', 16)
[0, 0, 0, 0];('anatomy', 17)
[0, 0, 0, 0];('anatomy', 18)
[0, 0, 0, 0];('anatomy', 19)
[0, 0, 0, 0];('anatomy', 20)
[0, 0, 0, 0];('anatomy', 21)
[0, 0, 0, 0];('anatomy', 22)
[0, 0, 0, 0];('anatomy', 23)
[0, 0, 0, 0];('anatomy', 24)
[0, 0, 0, 0];('anatomy', 25)
[0, 0, 0, 0];('anatomy', 26)
[0, 0, 0, 0];('anatomy', 27)
[0, 0, 0, 0];('anatomy', 28)
[0, 0, 0, 0];('anatomy', 29)
[0, 0, 0, 0];('anatomy', 30)
[2.7346982915918745e-12, 0, 0, 0];('anatomy', 31)
[0, 0, 0, 0];('anatomy', 32)
[0, 0, 0, 0];('anatomy', 33)
[2.543665647376923e-13, 0, 0, 0];('anatomy', 34)
[0, 0, 0, 0];('anatomy', 35)
[0, 0, 0, 0];('anatomy', 36)
[0, 0, 0, 0];('anatomy', 37)
[0, 0, 0, 0];('anatomy', 38)
[0, 0, 9.357622968840175e-14, 0];('anatomy', 39)
[0, 0, 0, 0];('anatomy', 40)
[0, 0, 0, 0];('anatomy', 41)
[0, 0, 0, 0];('anatomy', 42)
[0, 0, 0, 0];('anatomy', 43)
[0, 0, 0, 0];('anatomy', 44)
[0, 0, 0, 0];('anatomy', 45)
[0, 0, 0, 0];('anatomy', 46)
[0, 0, 0, 0];('anatomy', 47)
[3.037975385443128e-14, 0, 0, 0];('anatomy', 48)
[0, 0, 0, 0];('anatomy', 49)
[0, 0, 0, 0];('anatomy', 50)
[0, 0, 0, 0];('anatomy', 51)
[0, 0, 0, 0];('anatomy', 52)
[0, 0, 0, 0];('anatomy', 53)
[0, 0, 0, 0];('anatomy', 54)
[0, 0, 0, 0];('anatomy', 55)
[0, 0, 0, 0];('anatomy', 56)
[0, 0, 0, 0];('anatomy', 57)
[0, 0, 0, 0];('anatomy', 58)
[0, 0, 0, 0];('anatomy', 59)
[0, 0, 0, 0];('anatomy', 60)
[0, 0, 0, 0];('anatomy', 61)
[0, 0, 0, 0];('anatomy', 62)
[0, 0, 0, 0];('anatomy', 63)
[0, 0, 0, 0];('anatomy', 64)
[0, 0, 0, 0];('anatomy', 65)
[0, 0, 0, 0];('anatomy', 66)
[0, 0, 0, 0];('anatomy', 67)
[0, 0, 0, 0];('anatomy', 68)
[0, 0, 0, 0];('anatomy', 69)
[0, 0, 0, 0];('anatomy', 70)
[0, 0, 0, 0];('anatomy', 71)
[0, 0, 0, 0];('anatomy', 72)
[0, 0, 0, 0];('anatomy', 73)
[0, 0, 0, 0];('anatomy', 74)
[0, 0, 0, 0];('anatomy', 75)
[0, 0, 0, 0];('anatomy', 76)
[3.037975385443128e-14, 0, 0, 0];('anatomy', 77)
[0, 0, 0, 0];('anatomy', 78)
[0, 0, 0, 0];('anatomy', 79)
[0, 0, 0, 0];('anatomy', 80)
[0, 0, 0, 0];('anatomy', 81)
[0, 0, 0, 0];('anatomy', 82)
[0, 0, 0, 0];('anatomy', 83)
[0, 0, 0, 0];('anatomy', 84)
[0, 0, 0, 0];('anatomy', 85)
[0, 0, 0, 0];('anatomy', 86)
[0, 0, 0, 0];('anatomy', 87)
[0, 0, 0, 0];('anatomy', 88)
[0, 0, 0, 0];('anatomy', 89)
[0, 0, 0, 0];('anatomy', 90)
[6.431393941452e-14, 0, 0, 0];('anatomy', 91)
[0, 0, 0, 0];('anatomy', 92)
[0, 0, 0, 0];('anatomy', 93)
[0, 0, 0, 0];('anatomy', 94)
[3.5114221133765118e-12, 0, 0, 0];('anatomy', 95)
[0, 0, 0, 0];('anatomy', 96)
[0, 0, 0, 0];('anatomy', 97)
[0, 0, 0, 0];('anatomy', 98)
[0, 0, 0, 0];('anatomy', 99)
[0, 0, 0, 0];('anatomy', 100)
[0, 0, 0, 0];('anatomy', 101)
[0, 0, 0, 0];('anatomy', 102)
[0, 0, 0, 0];('anatomy', 103)
[0, 0, 0, 0];('anatomy', 104)
[0, 0, 0, 0];('anatomy', 105)
[0, 0, 0, 0];('anatomy', 106)
[0, 0, 0, 0];('anatomy', 107)
[0, 0, 0, 0];('anatomy', 108)
[0, 0, 0, 0];('anatomy', 109)
[0, 0, 0, 0];('anatomy', 110)
[0, 0, 0, 0];('anatomy', 111)
[0, 0, 0, 2.3659776091347615e-14];('anatomy', 112)
[0, 0, 0, 0];('anatomy', 113)
[0, 0, 0, 0];('anatomy', 114)
[0, 0, 0, 0];('anatomy', 115)
[0, 0, 0, 0];('anatomy', 116)
[0, 0, 0, 0];('anatomy', 117)
[0, 0, 0, 0];('anatomy', 118)
[0, 0, 0, 0];('anatomy', 119)
[0, 0, 0, 0];('anatomy', 120)
[0, 0, 0, 0];('anatomy', 121)
[0, 0, 0, 0];('anatomy', 122)
