id;amount_answer_tokens;confidence_per_choice;finish_reason
('easy', 100);2;[5.043471815847051e-07, 3.2241867372567335e-08, 9.931194312156244e-08, 0.9999994039539004];stop
('easy', 101);2;[8.764248219443636e-08, 9.237449661970594e-09, 5.3157852544244216e-08, 0.9999998807907247];stop
('easy', 102);2;[1.0129581588635872e-05, 6.475624858803344e-07, 0.9999492194198731, 4.0063272354138576e-05];stop
('easy', 103);2;[0.0023518260959874593, 0.9487941629405084, 0.04723767862553086, 0.0016163848613530087];stop
('easy', 104);2;[0.005911032758077889, 9.366700836476362e-07, 5.390164169893198e-06, 0.9940826270611411];stop
('easy', 105);2;[4.767855585925991e-05, 0.5621260412874179, 4.207617786550349e-05, 0.4377842011394699];stop
('easy', 106);2;[6.023573837886479e-08, 8.152020714470167e-09, 8.764248219443636e-08, 0.9999998807907247];stop
('easy', 107);2;[0.8509564617675307, 0.0001731427569152705, 0.0009963677722756253, 0.14787405345549628];stop
('easy', 108);2;[1.8922131595112194e-05, 9.420774593915693e-07, 0.00015843306810272846, 0.9998216947063541];stop
('easy', 109);2;[0.09712966590484484, 0.005479680781643013, 0.633364907080603, 0.26402577435911095];stop
('easy', 110);2;[0.9999985694905718, 3.9278597995802437e-07, 5.043471815847051e-07, 5.715002286213223e-07];stop
('easy', 111);2;[1.7603228091541468e-06, 5.04340928845068e-07, 1.1478746631885576e-05, 0.9999862911193472];stop
('easy', 112);2;[2.43001128425113e-05, 9.422176256898301e-07, 0.9999705561718785, 4.222726434933994e-06];stop
('easy', 113);2;[0.9987344090066889, 7.475709158491703e-05, 2.141826533839528e-05, 0.0011693976643953985];stop
('easy', 114);2;[1.4738960258496015e-05, 5.043394859161604e-07, 7.338096220609707e-07, 0.9999840262101118];stop
('easy', 115);2;[0.0001398181586107939, 4.222142544972687e-06, 2.4296752787777466e-05, 0.9998317048053932];stop
('easy', 116);2;[0.9656590800449945, 0.00025228667084241775, 0.008354587128100506, 0.025733940037728883];stop
('easy', 117);2;[0.9999616160839557, 1.8553205864023596e-07, 6.962039137705713e-06, 3.120169471072154e-05];stop
('easy', 118);2;[0.9284369560953664, 0.031769364188393046, 0.0037943103696001846, 0.03599940588499421];stop
