id;attn_entropy;internal_confidence;internal_confidence_examples;max_prob;mink_entropy;pd_entropy;ppl
('easy', 0);-2.7974192911626954;0.8737866235713578;0.8681676942052086;-14.150625683650688;-50679.492306103195;-225.2387887003874;-12.214859565836385
('easy', 1);-1.7509650142514621;0.789481171943742;0.784171699475926;-9.834249298967068;-9579.44772545011;-169.49186183842863;-7.176670829595741
('easy', 2);-2.1425287075073953;0.8843335244405475;0.839327174613059;-10.332913357693782;-10490.24657844612;-193.17233888165848;-8.553660507908713
('easy', 3);-2.5673020047374244;0.8067746717377079;0.7845318335822393;-10.55331342306224;-15772.33655345991;-167.48550176370043;-10.238831732665115
('easy', 4);-1.8430782439343476;0.8557397414128176;0.839686888337743;-9.834249298967068;-6672.547722263733;-152.83018716017278;-6.755637486526653
('easy', 5);-2.2416734811069423;0.8769986955435429;0.872640267780256;-13.109171808822525;-18277.990267989906;-234.93894985957363;-10.730827840806702
('easy', 6);-1.9820388614948052;0.8526971912384815;0.7773765225028993;-9.834249298967068;-5664.122142610065;-155.53328149160583;-8.180891264649313
('easy', 7);-2.2132595189407005;0.7629609336145012;0.7554308466393921;-9.834249298967068;-11800.675103335718;-166.42605407888846;-8.93357366279047
('easy', 8);-1.999611477006065;0.7627601218020988;0.8008686438362618;-11.679705275837426;-13726.487046545431;-145.511292260747;-7.994331648305371
('easy', 9);-2.3580572645436026;0.9022955790803303;0.8171729946122516;-9.834249298967068;-8664.100549723444;-181.9968930015987;-8.509131812224917
('easy', 10);-2.242335299859129;0.7711204714811519;0.7387758328606561;-9.834249298967068;-11001.224301693816;-184.35740696796472;-9.471251575272538
('easy', 11);-2.1512344458621686;0.8024462488347474;0.8143463284617507;-10.393309067983523;-11967.877731935027;-172.62656702479484;-9.991028699985167
('easy', 12);-2.2323419374969706;0.8722091414045837;0.7851259413187169;-12.492397607047154;-18322.987934819903;-191.70668784730628;-8.034689428961657
('easy', 13);-2.121440253786696;0.7190631120163747;0.6881201845778049;-9.836476471379891;-5643.385094973443;-166.89292374717374;-8.269455405285212
('easy', 14);-2.0262097285829292;0.779912231171181;0.8361906619126489;-9.834249298967068;-7683.591586922365;-215.70679381267593;-8.463060164869958
('easy', 15);-1.7116645996000306;0.8198996095570661;0.7851563153091594;-12.278823506749095;-24786.108166774713;-273.65080034193716;-6.7777281212216955
('easy', 16);-2.3168340986584197;0.8938438886832928;0.8881542650651905;-9.836476471379891;-7067.581851822085;-194.67451759227603;-11.754479475559389
('easy', 17);-2.4516652783397923;0.8534071229925774;0.8873720214619106;-13.591009895715265;-32243.889508045293;-226.3190182854308;-14.794774250074523
('easy', 18);-1.7669171431416506;0.867880556443088;0.7662844870811144;-10.093060372931882;-9998.902442573672;-193.03155069221617;-7.795347918209528
('easy', 19);-2.310806969622198;0.7877685121860574;0.7770859382687558;-10.068859903635447;-11619.44022750723;-163.99826298424134;-9.754743236989
('easy', 20);-1.6995370876892932;0.8891606667900804;0.7506144798682189;-11.31741233959447;-12793.625181094356;-185.39844909226915;-8.634760020096122
('easy', 21);-1.4502550572251975;0.7172123909438285;0.6947808597309918;-12.806890936949593;-30721.038373157706;-201.78629876653275;-5.610664828273605
