id;amount_answer_tokens;confidence_per_choice
('easy', 301);2;[0.08716346489033827, 0.8532351664725575, 0.03433429254937761, 0.02526712168609713]
('easy', 302);2;[0.3845990831752693, 0.08140747782139293, 0.4461427416295352, 0.0878507198707745]
('easy', 303);2;[0.29993241230505785, 0.09474730563209248, 0.5102021896021025, 0.0951181361014431]
('easy', 304);2;[0.5980533713673576, 0.19189747590459427, 0.11073683851242157, 0.09931234102061393]
('easy', 305);2;[0.7521183220627572, 0.06754117854198066, 0.12649197540171717, 0.053848522416309955]
('easy', 306);2;[0.4613573658210088, 0.13893103059136425, 0.1326984247472737, 0.26701315843001683]
('easy', 307);2;[0.1384958218332842, 0.8095391322425818, 0.022020480902433866, 0.02994451045003238]
('easy', 308);2;[0.39262854840813627, 0.07122421116546301, 0.4245326833936805, 0.11161456532262803]
('easy', 309);2;[0.7660442948207311, 0.09682262041998438, 0.06933340270502111, 0.0677996753658291]
('easy', 310);2;[0.4640384730485492, 0.10784643449417736, 0.158499068264369, 0.269615997407273]
('easy', 311);2;[0.3743625619135946, 0.08749760345126387, 0.4882608270432502, 0.04987898067761108]
('easy', 312);2;[0.5394773497067209, 0.1496543738529573, 0.1657407828390129, 0.1451274785656578]
('easy', 313);2;[0.7591420693237066, 0.06231417571578014, 0.09501777121141781, 0.08352597735233361]
('easy', 314);2;[0.24207690177277935, 0.06669919156530293, 0.1945142551431376, 0.49670955137647865]
('easy', 315);2;[0.33023053508127254, 0.04037571545827787, 0.5750623341332842, 0.054331463732464606]
('easy', 316);2;[0.6099327820053695, 0.21410655620009902, 0.07442807272668915, 0.10153261402028939]
('easy', 317);2;[0.4939646756117701, 0.35578940889561184, 0.09438995993717045, 0.05585597527868391]
('easy', 318);2;[0.17351353816628157, 0.7655776340736349, 0.024609452721931394, 0.036299446786726364]
('easy', 319);2;[0.753981216667202, 0.06099056060523158, 0.0872796686855611, 0.09774859208337963]
('easy', 320);2;[0.7879424575410331, 0.05222482547639471, 0.07710795116274426, 0.0827247559091414]
('easy', 321);2;[0.7315472116807715, 0.06672839462787768, 0.10174865126959025, 0.0999757287370515]
('easy', 322);2;[0.30176009092832706, 0.03851464469948354, 0.6388260794313079, 0.020899190491816804]
('easy', 323);2;[0.10529624545516596, 0.8445542832994444, 0.02033302706079324, 0.029816412973269785]
('easy', 324);2;[0.6896773721714605, 0.0785981995332313, 0.08014841011350889, 0.15157600660873422]
('easy', 325);2;[0.1830189143559427, 0.17549267728028278, 0.4859724838167956, 0.15551585809871113]
('easy', 326);2;[0.2565925219049591, 0.02246463811939469, 0.1777364453140549, 0.5432063731354865]
('easy', 327);2;[0.4172684149727788, 0.11121486719927448, 0.31251960265806855, 0.15899709724215347]
('easy', 328);2;[0.6391582733803569, 0.061338153361826415, 0.15909906416547706, 0.1404044313301413]
('easy', 329);2;[0.65830875580609, 0.08385818685488305, 0.16482896662949897, 0.0930040225471292]
('easy', 330);2;[0.12223702524992887, 0.10133805325194385, 0.21120663980267562, 0.5652182782911114]
('easy', 331);2;[0.18496426668432284, 0.6765711955994761, 0.0579746892218945, 0.08048988485654583]
('easy', 332);2;[0.28717455353083926, 0.4846988311402042, 0.1385975772350696, 0.08952903685485167]
('easy', 333);2;[0.4635210710497243, 0.029864314872404332, 0.4857659117052233, 0.02084865181703905]
('easy', 334);2;[0.33874744211672514, 0.08699753815788976, 0.057726917424169015, 0.5165281360987793]
('easy', 335);2;[0.34658429931032303, 0.11229989784620564, 0.5122183594839698, 0.02889738414746188]
('easy', 336);2;[0.7308865666219135, 0.09790565454401376, 0.1315536117545713, 0.039654154126196356]
