id;amount_answer_tokens;confidence_per_choice
('easy', 0);2;[0.0008037531856479265, 0.9987825689496332, 0.0001684759005063262, 0.0002451309888067749]
('easy', 1);2;[0.0001086833081735382, 0.9979298145331563, 0.0014094265854554078, 0.0005519393812522059]
('easy', 2);2;[0.0004874498117346503, 0.0006662648970969441, 0.00016845822760800573, 0.9986778121678708]
('easy', 3);2;[0.8331205167858379, 0.012650264775239142, 0.11275060951001922, 0.041478631218285385]
('easy', 4);2;[6.604359502998907e-05, 2.0142158467878022e-05, 0.9998048924628621, 0.00010888747991944825]
('easy', 5);2;[3.11895565203657e-05, 0.00017948350541552844, 0.9995728172642147, 0.00021649843350432483]
('easy', 6);2;[0.9999356311290551, 2.9310524860694588e-05, 2.2827059713742824e-05, 1.2218444591266277e-05]
('easy', 7);2;[0.0006663049284818825, 0.0002609288834965449, 0.9987377384623326, 0.0003350393183575183]
('easy', 8);2;[7.410472553654812e-06, 0.999883426905735, 9.027803713085859e-05, 1.8923304592277587e-05]
('easy', 9);2;[0.015506066672450228, 0.018703882210494443, 0.959326167836044, 0.00646389027034721]
('easy', 10);2;[0.9999067870239174, 4.264530125004323e-05, 7.88858752470171e-06, 4.264530125004323e-05]
('easy', 11);2;[0.9992441887431596, 0.0005191818952101677, 0.0002033145514330259, 3.319018813803099e-05]
('easy', 12);2;[0.0014102924735822295, 0.9985427664779206, 3.1157419090810503e-05, 1.5666934206934164e-05]
('easy', 13);2;[0.030662313696419582, 0.9538765663925316, 0.002679242472910384, 0.012781950968050506]
('easy', 14);2;[0.9997457912362685, 9.608718216676539e-05, 6.203854757458049e-05, 9.608718216676539e-05]
('easy', 15);2;[0.43753494422438094, 0.5618059890731585, 0.00014677656094872355, 0.0005123007801118358]
('easy', 16);2;[0.00026733350731772187, 0.0015383973830313486, 0.09517729853668219, 0.9030169988542617]
('easy', 17);2;[0.999758301994707, 6.604057186332792e-05, 9.608846507761847e-05, 7.966013547060624e-05]
('easy', 18);2;[0.00010229568649474204, 0.9998570884900959, 2.586440002589964e-05, 1.4737090906727656e-05]
('easy', 19);2;[0.9999436171854098, 4.784848156533677e-06, 4.832525448423792e-05, 3.2885748386283436e-06]
('easy', 20);2;[0.00017947203747168593, 0.00024530919019606564, 0.9995092178991526, 6.602407285098397e-05]
('easy', 21);2;[0.0012421343020353028, 0.9965818343252132, 0.0008537055886073709, 0.0013222450817483827]
('easy', 22);2;[0.0008558250235908341, 0.9990559201057636, 4.8282366944545194e-05, 4.0027488091698814e-05]
('easy', 23);2;[0.009705105170288721, 0.0002930687819811342, 5.421227355999876e-05, 0.9899475915647862]
('easy', 24);2;[0.9992218117443118, 0.00045816614616568413, 7.479360298423291e-05, 0.00024523878283462097]
('easy', 25);2;[0.9999808076722754, 5.771843255193132e-06, 4.495116046909818e-06, 8.939605712610186e-06]
('easy', 26);2;[0.8349895343335345, 0.12804980380212555, 0.034464137148830454, 0.0024965737214563983]
('easy', 27);2;[0.00013977656241160786, 0.00021649017490202316, 0.00010885809626118931, 0.9995348234280294]
('easy', 28);2;[0.9993100161872609, 0.00011585276269408261, 0.00045820656501740755, 0.00011585276269408261]
('easy', 29);2;[0.0002780022169329262, 0.9996183183805295, 5.8272430322391084e-05, 4.538261436655205e-05]
('easy', 30);2;[0.9996603689253716, 0.00016862394363171307, 6.20332821513594e-05, 0.00010887180072627547]
('easy', 31);2;[0.9745872829212152, 0.001767408198226025, 0.005795108378403069, 0.017850190468463183]
('easy', 32);2;[0.0015000478059008693, 0.00016830069945394165, 0.9977441768729717, 0.0005874271610749672]
('easy', 33);2;[0.992357578584912, 0.007576743166742826, 5.434427117039472e-05, 1.1391178063741852e-05]
('easy', 34);2;[0.9864117166628726, 0.0009575032796023574, 0.012417091461528439, 0.0002136478601203208]
('easy', 35);2;[0.5781049462664422, 0.10045957624092733, 0.3094372793724699, 0.011998185381270773]
('easy', 36);2;[0.0001313406163973538, 0.9997833244759207, 4.2640055177767444e-05, 4.2640055177767444e-05]
('easy', 37);2;[0.9972916482146392, 0.0009094120649238701, 0.0015960678796405196, 0.0002029172596873774]
('easy', 38);2;[0.0018562597129340819, 0.14746097376281014, 0.002103417822201526, 0.8485793268666952]
('easy', 39);2;[0.00066474009674923, 0.0003140009879701624, 0.9963922003583805, 0.002629098083444852]
('easy', 40);2;[0.0008037489698057487, 0.00015826755608809516, 0.00026093908618416805, 0.9987770987571003]
