id;amount_answer_tokens;confidence_per_choice;finish_reason
('easy', 100);2;[0.0019242525023084355, 0.0003789077837454163, 0.0009089525211187072, 0.9967876486221006];stop
('easy', 101);2;[0.0003352093452708758, 0.000261061300589811, 0.00015834168287217614, 0.9992452600021509];stop
('easy', 102);2;[0.0019238423988885778, 0.0011668693993810244, 0.9965748489423437, 0.0003343135208188852];stop
('easy', 103);2;[0.007195935612054561, 0.9424814539738336, 0.04692338334034204, 0.0033991192988125168];stop
('easy', 104);2;[0.005217219350729434, 0.0003779341021612353, 0.00017852342900117322, 0.9942262493293044];stop
('easy', 105);2;[0.006838925926190121, 0.6156203462770532, 0.004148018253737927, 0.3733926147599409];stop
('easy', 106);2;[0.000487594639741586, 0.00015829880286281155, 0.00037973908725216673, 0.9989743035550017];stop
('easy', 107);2;[0.9386574492091966, 0.01719210690910901, 0.022075107500824028, 0.022075107500824028];stop
('easy', 108);2;[0.0010311418002878847, 0.0004298438534429408, 0.0006254191163858832, 0.9979135507255124];stop
('easy', 109);2;[0.13447063826126815, 0.3655290924468948, 0.13447063826126815, 0.3655290924468948];stop
('easy', 110);2;[0.9985052075084258, 0.00043009870110396136, 0.0008035301596343256, 0.00026086792453058297];stop
('easy', 111);2;[0.004064005776563979, 0.0007062183099989112, 0.0008002501855027347, 0.9944294410185468];stop
('easy', 112);2;[0.0031648471438802555, 0.001919576826067335, 0.9943655518242092, 0.0005499679686099503];stop
('easy', 113);2;[0.9933422004381759, 0.0016922775209915724, 0.0009058108833365245, 0.0040595627356425695];stop
('easy', 114);2;[0.0011687978274989583, 0.0004299766916227126, 0.00017924095208452716, 0.9982219419459728];stop
('easy', 115);2;[0.006686458753030482, 0.00033289933781476726, 0.0006219375455413002, 0.9923586354139095];stop
('easy', 116);2;[0.9930054303261169, 0.0019169516384379558, 0.0019169516384379558, 0.003160518941196119];stop
('easy', 117);2;[0.9993494216053961, 0.00033524451197516306, 0.00023040995885404125, 8.476308690355971e-05];stop
('easy', 118);2;[0.034671073845433394, 0.6963871546429728, 0.012754778312047606, 0.2561865096540746];stop
('easy', 119);2;[0.00048770950987204895, 0.9992095524726733, 0.0001794183019457274, 0.00012331227534617987];stop
('easy', 120);2;[0.0011683871502302485, 0.9978714096026878, 0.0006253925750954748, 0.0003347486827513463];stop
('easy', 121);2;[0.010332405183603195, 0.9300934809923375, 0.046306627381658805, 0.013267070871262672];stop
('easy', 122);2;[0.0019009548257218284, 0.01093923972706484, 0.0024408743122020437, 0.984718830270347];stop
('easy', 123);2;[0.05695807023149205, 0.8909741453797905, 0.04435898969852208, 0.007708436567389855];stop
('easy', 124);2;[0.0009085633911786016, 0.9963607201901797, 0.0021795302721013114, 0.0005510715530423046];stop
('easy', 125);2;[0.0015003081898834617, 0.00020304463382008798, 0.0003793373163126853, 0.9979172308424458];stop
('easy', 126);2;[0.0010316291769778985, 0.0003795151651227843, 0.00020313992629288405, 0.9983855367010068];stop
('easy', 127);2;[0.0004873666073991509, 0.00037956149548531266, 0.9985073468156962, 0.0006257911111453856];stop
('easy', 128);2;[0.9977998371776822, 0.000909875745817666, 0.00048702139148114554, 0.0008029625274209389];stop
('easy', 129);2;[0.007077977752509105, 0.4962045489203338, 0.0005127269886855968, 0.4962045489203338];stop
('easy', 130);2;[0.0011689332656205137, 0.00015819799002211285, 0.00033490514750490465, 0.9983378903099486];stop
('easy', 131);2;[0.9993289447104039, 0.00023040512471143352, 0.0002610832106454301, 0.00017943969154892914];stop
('easy', 132);2;[0.0007094169222753257, 0.9989336191879715, 0.00026097990092421137, 9.600914010897726e-05];stop
('easy', 133);2;[0.998200798529336, 0.001168772748087476, 0.0003348591584397799, 0.0002955121701251901];stop
('easy', 134);2;[0.005201242565423561, 0.0024568930205989595, 0.9911812762678138, 0.0011605540865937893];stop
('easy', 135);2;[0.003157303020575344, 0.003157303020575344, 0.0016899825250604817, 0.9919953147687676];stop
('easy', 136);2;[0.9940226691445642, 0.001494452629061485, 0.003163756240550019, 0.0013188498162061658];stop
('easy', 137);2;[0.7759331560167146, 0.0014979035043916906, 0.2223085646163434, 0.0002602965988663852];stop
('easy', 138);2;[0.022941009795940392, 0.0008895192696194177, 0.9754764751169613, 0.0006927583037367066];stop
('easy', 139);2;[0.006671716148175834, 0.0027811850682502967, 0.00037639246894509193, 0.9901705430377331];stop
('easy', 140);2;[0.003580505588636683, 0.00048456873796842015, 0.9927749730927822, 0.0031597850916587063];stop
('easy', 141);2;[0.0014999483854796385, 0.00048696194425613775, 0.9976781994371174, 0.00033468388305612416];stop
('easy', 142);2;[0.022804220719351447, 0.006533517067040683, 0.969660092195623, 0.0010019472931967982];stop
('easy', 143);2;[0.0031606801999670515, 0.0006223748329602392, 0.9930562133148307, 0.0031606801999670515];stop
('easy', 144);2;[0.0031689394937431726, 0.9956511664445894, 0.0008012333807277216, 0.00037847584999538286];stop
('easy', 145);2;[0.0019236442594314802, 0.0008018942311295755, 0.0008018942311295755, 0.996472448687238];stop
('easy', 146);2;[0.00033515436472685174, 0.9990811453826183, 0.00048764672324938665, 9.602333318287273e-05];stop
('easy', 147);2;[0.010662663395888314, 0.9598223101354596, 0.028984124152018616, 0.0005308627514746118];stop
('easy', 148);2;[0.000709222778221151, 0.00033501311887373025, 0.0002956480397312718, 0.9986600972268546];stop
