id;amount_answer_tokens;confidence_per_choice
('easy', 0);2;[2.7894680928689246e-10, 1.0, 4.363462252943702e-09, 4.944450501938644e-09]
('easy', 1);2;[9.736200313009565e-10, 1.0, 6.691586091292782e-10, 1.103256032343554e-09]
('easy', 2);2;[4.5990553786523166e-10, 1.2501528663867426e-09, 7.991959892953932e-11, 1.0]
('easy', 3);2;[0.9999991655356624, 5.043471815847051e-07, 3.059020287707785e-07, 7.194133030325383e-09]
('easy', 4);2;[1.6586783589142312e-12, 1.0815941557285693e-11, 1.0, 7.05287985111216e-11]
('easy', 5);2;[1.463778514125909e-12, 7.835041785064389e-13, 1.0, 1.2256067444099483e-11]
('easy', 6);2;[1.0, 2.061153622438558e-09, 2.5946094982764667e-11, 1.3176514270095466e-10]
('easy', 7);2;[4.508755242294825e-12, 1.162823303022097e-10, 1.0, 4.277787868968998e-11]
('easy', 8);2;[3.0988191387218256e-12, 1.0, 4.8473687062702556e-11, 1.2501528663867426e-09]
('easy', 9);2;[7.991959892953932e-11, 7.991959892953932e-11, 1.0, 1.0815941557285693e-11]
('easy', 10);2;[1.0, 8.152020714470167e-09, 1.4166087866431961e-09, 2.4616969518153846e-10]
('easy', 11);2;[0.9999997615814777, 1.8553913626159784e-07, 4.058652126475693e-10, 1.2501528663867426e-09]
('easy', 12);2;[9.056076989672867e-11, 1.0, 2.4616969518153846e-10, 2.4616969518153846e-10]
('easy', 13);2;[2.061153622438558e-09, 1.0, 4.139937718785167e-08, 9.237449661970594e-09]
('easy', 14);2;[1.0, 2.9989608248573072e-09, 7.05287985111216e-11, 3.331544542166412e-11]
('easy', 15);2;[4.691164021834418e-08, 1.0, 5.905303998944039e-10, 7.582560427911907e-10]
('easy', 16);2;[2.061153622438558e-09, 1.3887943864964021e-11, 1.186112015134383e-08, 1.0]
('easy', 17);2;[1.0, 1.6052280551856116e-09, 1.493094676197164e-10, 3.581747930283181e-10]
