id;amount_answer_tokens;confidence_per_choice;finish_reason
400;2;[0.32222170985493176, 0.10461007314082987, 0.25094651995762784, 0.32222170985493176];stop
401;2;[0.576141612218937, 0.30838636400428215, 0.10011839397366036, 0.015353656648994737];stop
402;2;[0.25914369793080183, 0.6216533775000432, 0.03507128575844827, 0.08413164093360169];stop
403;2;[0.08897626131589584, 0.06115243046931913, 0.8441832001754737, 0.005688060727954815];stop
404;2;[0.07250512263991998, 0.5357444186462156, 0.023538966961169767, 0.36821139510764617];stop
405;2;[8.479478068795005e-05, 0.9997230343320066, 9.60850745646914e-05, 9.60850745646914e-05];stop
406;2;[0.1179858777280532, 0.2204266653764325, 0.24977613488598346, 0.41181122649978524];stop
407;2;[0.2527009860009487, 0.09296349751350147, 0.11936749363152355, 0.5349679915620477];stop
408;2;[0.28658507008183226, 0.47249887274587543, 0.04394924392065088, 0.1969668461288027];stop
409;2;[0.7003099921113947, 0.05748494645195129, 0.06513897814665795, 0.17706610062045117];stop
410;2;[0.02566432951553365, 0.007352955267481888, 0.003935753340308589, 0.9630469570131683];stop
411;2;[0.09421854284040598, 0.5421903433928826, 0.29021357773367623, 0.07337747494395488];stop
412;2;[0.12660059094113668, 0.08701122884244472, 0.6429308319928845, 0.14345726378229512];stop
413;2;[0.3423962311006669, 0.18327149577846127, 0.2666584529018971, 0.20767381193260678];stop
414;2;[0.012870314248811349, 0.4829550655228016, 0.4829550655228016, 0.021219565921748364];stop
415;2;[0.1771278309483805, 0.08366926289957971, 0.48148339287999414, 0.25771947331983774];stop
416;2;[0.11762854973655366, 0.009655539343256218, 0.0035520744178059727, 0.869163849226838];stop
417;2;[0.1548610549098374, 0.6940390765264646, 0.1206059108310452, 0.030493949746184763];stop
418;2;[0.9934687832344016, 0.0005494720245091192, 0.005907380980877611, 7.436295206753664e-05];stop
419;2;[0.02717280541744418, 0.09484241002325727, 0.17718894911907968, 0.7007958882196306];stop
420;2;[0.5425299727828047, 0.4225227676429563, 0.01638298170021469, 0.018564354796306966];stop
421;2;[0.1930566565451989, 0.2478896538647912, 0.4087009694738489, 0.15035267529454815];stop
422;2;[0.08935668954842632, 0.8477927161793498, 0.037249410076942456, 0.025601120187170954];stop
423;2;[0.05571289346678521, 0.41166571979701105, 0.28293341879810774, 0.24968786572700022];stop
424;2;[0.10158326824288336, 0.21505178055775384, 0.16748249509927862, 0.5158824340526179];stop
