id;amount_answer_tokens;confidence_per_choice
300;2;[0.0009049422684097417, 0.9923896282218544, 1.8781468639063793e-05, 0.006686669187573139]
301;2;[2.7346982915918745e-12, 2.9400777392844726e-11, 1.0, 2.289734845645553e-11]
302;2;[9.736200313009565e-10, 2.172439935079017e-10, 1.0, 2.5946094982764667e-11]
303;2;[0.49999999904767284, 0.49999999904767284, 1.9253700396284455e-09, 4.868097825942248e-10]
304;2;[0.022461103446017178, 0.9550703182604721, 7.534862584042104e-06, 0.022461103446017178]
305;2;[0.0013409588703011369, 0.023769070372511032, 0.8919277323265135, 0.08296220738010879]
306;2;[1.0, 5.211412487888539e-10, 4.277787868968998e-11, 2.646573638909117e-09]
307;2;[1.6373646384423408e-07, 6.962251605520992e-06, 0.9999927282861518, 7.734362898410464e-08]
308;2;[1.5533801683988668e-06, 0.9999231159180111, 4.4505086959376523e-07, 7.484604798533887e-05]
309;2;[1.8032958364835841e-09, 0.008577182271112267, 0.991387678268847, 3.505298352808197e-05]
310;2;[2.020683909022217e-11, 1.026187963170189e-10, 4.139937718785167e-08, 1.0]
311;2;[2.646573638909117e-09, 1.4166087866431961e-09, 1.0467401794744658e-08, 1.0]
312;2;[1.0, 3.581747930283181e-10, 3.775134544279098e-11, 8.592166619174109e-10]
313;2;[2.4616969518153846e-10, 0.9999998807907247, 1.2751905914873347e-07, 4.691164021834418e-08]
314;2;[0.006292300622570687, 0.00014798065632853284, 0.9338600464316212, 0.05969967187639233]
315;2;[1.4737948249155864e-05, 4.222492869260395e-06, 0.9999150109971953, 6.605090158744986e-05]
316;2;[3.398267819495071e-09, 8.592166619174109e-10, 1.0, 1.2501528663867426e-09]
317;2;[1.732695065865645e-09, 0.9525740412139765, 0.047425874568977164, 1.0719804782402935e-07]
318;2;[0.999998927117538, 4.599046606658694e-10, 6.224132751305368e-11, 1.0677029917933763e-06]
319;2;[0.9931440377930738, 0.00015737488339794833, 0.00669175032171448, 6.914569805847138e-06]
320;2;[0.9999953508594287, 1.3709525491573226e-06, 3.927844816012785e-07, 2.902306569341241e-06]
321;2;[1.783247290814639e-11, 1.0, 2.7894680928689246e-10, 3.2241867372567335e-08]
322;2;[7.777574618280131e-06, 0.9858353440952422, 9.475025581611833e-05, 0.014062184791447403]
323;2;[3.0590173704000945e-07, 0.9999982118638471, 1.6918946955790182e-10, 1.370956471489639e-06]
324;2;[0.005218348917869879, 0.00033359788534975833, 6.9236032265006335e-06, 0.9944411117720326]
325;2;[1.8066896999241993e-06, 0.03511896279553845, 0.7053831818897264, 0.259495986232492]
326;2;[0.0019256715654805976, 0.997522428130337, 1.2720313922577915e-07, 0.0005517141406874629]
327;2;[1.0, 5.905303998944039e-10, 5.789356328730652e-12, 1.783247290814639e-11]
328;2;[2.7894680928689246e-10, 3.398267819495071e-09, 5.04347662567888e-07, 0.9999995231630692]
329;2;[1.1225669753431557e-07, 0.9975261051791016, 1.2068743863813682e-06, 0.0024726194875141338]
330;2;[1.917171513758312e-10, 1.0, 1.162823303022097e-10, 5.905303998944039e-10]
331;2;[4.752193062771153e-13, 1.0, 8.878265478459658e-13, 2.413362771833214e-12]
332;2;[1.8456954871451252e-07, 0.005220095998735509, 5.39391286900738e-06, 0.9947743738987858]
333;2;[1.917171513758312e-10, 1.0, 2.172439935079017e-10, 5.905303998944039e-10]
334;2;[9.417226443699654e-07, 0.0005527774722330698, 0.9994451503420663, 1.0671115576858273e-06]
335;2;[3.4577563066314145e-07, 0.997527054172033, 0.0024726218455889577, 1.1831791439322313e-08]
336;2;[5.602796437537268e-09, 2.215948977336598e-08, 4.363462252943702e-09, 1.0]
337;2;[2.543665647376923e-13, 7.433680672352188e-12, 8.315279260963632e-07, 0.9999991655356624]
338;2;[0.06670197453049374, 0.005475232792943979, 0.9207924518094911, 0.007030338068422279]
