id;amount_answer_tokens;confidence_per_choice
300;2;[0.2206871970853216, 0.17187136190388191, 0.5998899618543605, 0.007551498819317661]
301;2;[0.008215352164473699, 0.013544825859860126, 0.9495654075121811, 0.0286743897338316]
302;2;[0.11119530034107568, 0.0525249407031157, 0.7250843973365366, 0.11119530034107568]
303;2;[0.8135940626291475, 0.08575217564240674, 0.08575217564240674, 0.01490149727362961]
304;2;[0.297140564326573, 0.06630101380108583, 0.43233697002997107, 0.20422152415555284]
305;2;[0.1476152197343267, 0.5152277733238569, 0.18954169402882137, 0.1476152197343267]
306;2;[0.09284216114238582, 0.10520395127787549, 0.19654688011099994, 0.6054070117201743]
307;2;[0.279541888436654, 0.5222530341334538, 0.14962799053549963, 0.048577096313221754]
308;2;[0.20475476824841377, 0.23201754889874657, 0.1806954487686518, 0.38253226804507057]
309;2;[0.03603779202059151, 0.18301500905530832, 0.4390301574797065, 0.34191705081700136]
310;2;[0.18866369870621644, 0.04770165332390824, 0.45258071267070676, 0.3110538530658993]
311;2;[0.013873505540355477, 0.0051037774652748814, 0.008414706467918682, 0.9726080186327627]
312;2;[0.8159028454909559, 0.04062141135529915, 0.04603008943864844, 0.09744570010630164]
313;2;[0.1811476765221001, 0.4924104080076536, 0.2986620274198927, 0.02777989592708249]
314;2;[0.12777399290227728, 0.060356160557203595, 0.5053559752439784, 0.30651387478480024]
315;2;[0.19460726087481076, 0.11803528439416908, 0.46683855013919334, 0.22051891661586412]
316;2;[0.11867558051188229, 0.0026218857071854743, 0.8769005742428049, 0.0018019939367638629]
317;2;[0.1257138284312462, 0.2661362086032976, 0.49720789584944947, 0.11094206420262603]
318;2;[0.7936426932664302, 0.05749127873210806, 0.0271569571473587, 0.12170903803095667]
319;2;[0.6233068214828612, 0.06569605956420414, 0.25983295596998757, 0.051164142633307846]
320;2;[0.18829467667184135, 0.14664404164020703, 0.4516954478536031, 0.21336582159141526]
321;2;[0.270947651623349, 0.30702391229908726, 0.21101424325562237, 0.21101424325562237]
322;2;[0.15430680135245123, 0.08259446907608053, 0.2245150711850128, 0.5385836573889915]
323;2;[0.022698641091255533, 0.6633515682380855, 0.037423732383140965, 0.27652605801039626]
324;2;[0.11507717481544914, 0.10155525033281988, 0.7503973523958111, 0.03297016259374484]
325;2;[0.08957603037796459, 0.3542800726795143, 0.3126510667871167, 0.24349289564191656]
326;2;[0.41829523759547654, 0.2874898493044233, 0.11984359921811191, 0.17437140795929743]
327;2;[0.8738928973789356, 0.0013138446757617198, 0.08128469178463753, 0.04350856024137091]
328;2;[0.02835903213463698, 0.010432707381204201, 0.022086036433602414, 0.939122243216645]
329;2;[0.1973984867368518, 0.25346467418581575, 0.22368178988359605, 0.3254550838870647]
330;2;[0.22567951649975587, 0.4777635686560505, 0.12079754038913434, 0.1757593841731859]
331;2;[0.005194847723856652, 0.9899627791372579, 0.0040457514752762665, 0.000796655700456489]
332;2;[0.1890783606329888, 0.5139682718634796, 0.05417186376160123, 0.2427814207984085]
333;2;[0.10563081743003112, 0.4734044235328377, 0.22362041559655382, 0.1973443241186387]
334;2;[0.14205977916387813, 0.6366677216650372, 0.11063626725577912, 0.11063626725577912]
335;2;[0.09150815886837968, 0.4647167760544786, 0.41011111544717643, 0.03366397034712708]
336;2;[0.22368178988359605, 0.1973984867368518, 0.25346467418581575, 0.3254550838870647]
337;2;[0.01162201088931262, 0.9232506184128483, 0.01916145656151823, 0.04596594474184982]
338;2;[0.10594558616983085, 0.1979324366649574, 0.36978647464401604, 0.3263354184910212]
339;2;[0.4772836034726802, 0.4772836034726802, 0.026926495146491727, 0.01850629142960091]
340;2;[0.32271744965842786, 0.026490261411120177, 0.5320711236779477, 0.1187211150366155]
341;2;[0.24370555035134117, 0.13044616546866994, 0.3129241208389962, 0.3129241208389962]
342;2;[0.46275240719389815, 0.24769351452520738, 0.21858875935878802, 0.07096538006263109]
343;2;[0.07536018754599694, 0.12424794417103606, 0.08539427994057235, 0.7149976159406202]
344;2;[0.09928284272994004, 0.3926712602665703, 0.2698787472705532, 0.23816715853967405]
345;2;[0.7081661123982441, 0.04527154629388582, 0.0166544711515618, 0.22990788254144912]
346;2;[0.07273973440163951, 0.1358957147405566, 0.2538866196964073, 0.5374779460788471]
347;2;[0.7445456428532982, 0.12938264786107698, 0.047597216192414506, 0.07847454276254635]
348;2;[0.17025183092710092, 0.10326295532949825, 0.4084129353069931, 0.3180722948749905]
349;2;[0.1354536560318425, 0.22332532389379744, 0.5357296020060307, 0.10549141338748366]
350;2;[0.0833688235500945, 0.018602098950118776, 0.7909813512582007, 0.1070476883976769]
351;2;[0.2538866196964073, 0.1358957147405566, 0.5374779460788471, 0.07273973440163951]
352;2;[0.13715732901693362, 0.7892859796397536, 0.008768174692877257, 0.06478853469089407]
