id;amount_answer_tokens;confidence_per_choice
300;2;[0.19822842590943907, 0.1017904334459605, 0.07977927683468179, 0.6202018762790094]
301;2;[0.05071891912259461, 0.15922876917423923, 0.04219142359229956, 0.7478608551737618]
302;2;[0.3671607962441397, 0.16549233656563186, 0.21500120634214848, 0.2523456788509539]
303;2;[0.2388740525122707, 0.3530329643828888, 0.08159088619004984, 0.3265021181357134]
304;2;[0.17519111867382606, 0.10060379541289999, 0.10793211716259998, 0.6162729798744144]
305;2;[0.29268929601251864, 0.22794665293116773, 0.10936999932825221, 0.3699939385493999]
306;2;[0.34223059573923836, 0.16974764472871737, 0.08240587728207087, 0.40561589542027465]
307;2;[0.48475181884955687, 0.19282095157268306, 0.1495836542079833, 0.17284358390762997]
308;2;[0.3230112703202175, 0.1494825110053968, 0.1643348254656729, 0.3631713332174849]
309;2;[0.24755813902389603, 0.1388675303382466, 0.21174769745101077, 0.4018265465146271]
310;2;[0.22331589974421598, 0.10385153797807549, 0.11141643631397803, 0.5614161435698432]
311;2;[0.38037721977723177, 0.11893365156039887, 0.10823745883579775, 0.3924516888679962]
312;2;[0.5547962428310771, 0.0881250902735748, 0.09603327879510896, 0.2610454855570373]
313;2;[0.39895241654163127, 0.315597337615499, 0.11519826103785115, 0.17025199329197682]
314;2;[0.39781389247967086, 0.05228384092927347, 0.07004709651916953, 0.4798551507488846]
315;2;[0.6363278710530927, 0.12335777727132786, 0.08679303629433494, 0.15352123426349892]
316;2;[0.2394591239698626, 0.05219283526065233, 0.27134273589918717, 0.43700525925215605]
317;2;[0.5175534825644613, 0.15418842103570204, 0.11914759121820798, 0.20911050990520108]
318;2;[0.4399435665861987, 0.2616781231586934, 0.08059050478442131, 0.21778785808190965]
319;2;[0.5067509289227811, 0.1363901622346887, 0.16451793941091658, 0.19234095769109946]
320;2;[0.07176535794189569, 0.14610702187334995, 0.1905594805529017, 0.591568142528546]
321;2;[0.27822181946940117, 0.23797573323812157, 0.1782355887125846, 0.30556689003264986]
322;2;[0.47720042783434785, 0.17015105252187013, 0.19280640195284945, 0.1598421213905066]
323;2;[0.4581088997663886, 0.09946077024003996, 0.10464195257622576, 0.33778832039290674]
