id;amount_answer_tokens;confidence_per_choice;finish_reason
200;2;[0.040651300259874186, 0.7205615381951538, 0.004855105453938444, 0.23393208125858442];stop
201;2;[0.0034888583603744938, 0.4032572454725898, 0.5867358300452027, 0.00651804552782326];stop
202;2;[0.012326125549817093, 0.21848577709935674, 0.7625903161312795, 0.006597699569899521];stop
203;2;[0.006793160837969109, 0.030444841939189816, 0.07303337915665581, 0.8897286342157747];stop
204;2;[0.02969923510852739, 0.0712447613515666, 0.7659533002479909, 0.13310273738328773];stop
205;2;[0.07841542339976695, 0.5113327922339818, 0.012025397522680139, 0.39822637900191293];stop
206;2;[0.7533157577517214, 0.10195019840358001, 0.11552470961087272, 0.029209220883473767];stop
207;2;[0.05713631263727646, 0.8937623923724337, 0.03465492539743457, 0.01444632563725463];stop
208;2;[0.07430050664347781, 0.20196974113093424, 0.7049436425677895, 0.018786110067824813];stop
209;2;[0.2020656853632131, 0.08423349966681477, 0.22897041878721297, 0.4847303803763409];stop
210;2;[0.08411024118679573, 0.00023624835714561253, 0.9042703861940338, 0.011383083314114808];stop
211;2;[0.001026985612398513, 0.003163338386906302, 0.8771062311659368, 0.11870342552989645];stop
212;2;[0.04987977745304684, 0.7802510669231192, 0.13558730882146422, 0.034281836271958764];stop
213;2;[0.016883354262517185, 0.2992646148960043, 0.5590999403069232, 0.12475205178385938];stop
214;2;[0.1883732781806255, 0.2740815024962962, 0.512051659045655, 0.02549355399585246];stop
215;2;[0.12957033500298626, 0.580694023447043, 0.24206928342937345, 0.04766626243329516];stop
216;2;[0.21884124890947518, 0.5948721902279093, 0.01585280690007453, 0.1704337360190235];stop
217;2;[0.28419475953268025, 0.17237283498622977, 0.012486643308659494, 0.5309457106203525];stop
218;2;[0.10740979530653647, 0.20066791587005925, 0.0738216007513154, 0.6181006955002225];stop
219;2;[0.4814833354827044, 0.1771278309483805, 0.25771947331983774, 0.08366926289957971];stop
220;2;[0.5013085999408214, 0.442403286686795, 0.015138204396089046, 0.04114991573629096];stop
221;2;[0.9294429093575748, 0.004877269676304735, 0.006262538228415673, 0.05941729421011607];stop
222;2;[0.4355556226089868, 0.002589908094125444, 0.5592644898111929, 0.002589908094125444];stop
223;2;[0.5709911710439876, 0.39243611014283486, 0.008144752594674953, 0.028427979859092782];stop
224;2;[0.007104094648995272, 0.9304526007389314, 0.0029614272433674533, 0.0594818420604129];stop
225;2;[0.5372303314106491, 0.020830680523621404, 0.0727062190647595, 0.36923264701986];stop
226;2;[0.01337107479105109, 0.9373846069841404, 0.01716879988014233, 0.03207554097003873];stop
227;2;[0.1404630918246372, 0.18035818000937828, 0.2973603677262246, 0.3818182700760856];stop
228;2;[0.08312598676957238, 0.4783569973974984, 0.4221485685329597, 0.01636847340524953];stop
