id;amount_answer_tokens;confidence_per_choice
600;2;[1.6586783589142312e-12, 0.9999997615814777, 8.592166619174109e-10, 1.8553913626159784e-07]
601;2;[5.029326740883472e-07, 0.002800913893452203, 0.9971944349689882, 4.211003723571451e-06]
602;2;[0.9933035024129486, 0.006692825733063003, 4.6597469995375744e-08, 3.701699070187608e-06]
603;2;[9.606876512055868e-05, 0.9995538795254708, 0.00033531293777059777, 1.4732622289896496e-05]
604;2;[2.3570619267379215e-08, 0.7310560075662741, 3.4981900674758088e-06, 0.26894047552850664]
605;2;[1.0, 1.3176514270095466e-10, 1.463778514125909e-12, 2.543665647376923e-13]
606;2;[0.5592786905997752, 0.4355666821942549, 0.0013863136022101833, 0.0037683910734335425]
607;2;[6.691586091292782e-10, 1.0, 3.850741922767617e-09, 5.905303998944039e-10]
608;2;[1.8189616875530459e-09, 0.9999998807907247, 7.734421907141565e-08, 5.3157852544244216e-08]
609;2;[2.213929589320672e-08, 0.9990889988442552, 5.59769062504007e-09, 0.0009110514045295695]
610;2;[3.364056092777573e-07, 0.02930643288822459, 0.00019746519153311253, 0.9704957360445469]
611;2;[1.1253517471925912e-07, 0.9999998807907247, 3.331544542166412e-11, 4.363462252943702e-09]
612;2;[1.6052280551856116e-09, 2.7894680928689246e-10, 6.560200168153779e-12, 1.0]
613;2;[0.998830376795955, 0.0011695103074966034, 9.226637905387728e-09, 8.753990310405111e-08]
614;2;[1.0, 3.6534822137210456e-08, 8.878265478459658e-13, 4.508755242294825e-12]
615;2;[5.211412487888539e-10, 1.0, 1.162823303022097e-10, 9.237449661970594e-09]
616;2;[8.315271330899149e-07, 2.845329381943118e-08, 1.067701973552941e-06, 0.9999980926550052]
617;2;[1.1784568214496412e-07, 7.533622411973043e-09, 0.9241417091189056, 0.07585817148650026]
618;2;[4.221973433305511e-06, 0.999792023058635, 0.00020342607212999405, 3.465606834630202e-07]
619;2;[0.00026112877949020254, 0.00013977216353734624, 0.9995030251610733, 9.60639094726365e-05]
620;2;[1.0, 5.602796437537268e-09, 3.775134544279098e-11, 1.8189616875530459e-09]
621;2;[1.6918946955790182e-10, 1.0677029917933763e-06, 0.999998927117538, 2.9989551047989332e-09]
622;2;[1.0, 4.8473687062702556e-11, 1.9810087980489796e-13, 2.543665647376923e-13]
