id;amount_answer_tokens;confidence_per_choice
300;2;[3.398267819495071e-09, 2.2007019879753665e-15, 1.0, 6.560200168153779e-12]
301;2;[5.109089028063325e-12, 1.0, 2.825757287115611e-15, 5.905303998944039e-10]
302;2;[8.423463754468647e-12, 1.463778514125909e-12, 1.0, 5.9821282237671354e-15]
303;2;[2.7894680928689246e-10, 1.0, 7.681204685202095e-15, 2.6810038677818034e-14]
304;2;[6.560200168153779e-12, 0.9999995231630692, 5.04347662567888e-07, 5.175555005801869e-17]
305;2;[1.6052280551856116e-09, 1.8553913626159784e-07, 2.172439935079017e-10, 0.9999997615814777]
306;2;[7.991959892953932e-11, 4.910429870159115e-16, 1.0, 1.463778514125909e-12]
307;2;[2.8255417071675084e-15, 0.999925142169393, 7.484626212190614e-05, 2.2895645263978995e-11]
308;2;[4.658886145103398e-15, 1.0, 4.658886145103398e-15, 1.1548224173015786e-17]
309;2;[1.0, 8.993766029028821e-18, 6.305116760146989e-16, 3.1391327920480296e-17]
310;2;[1.0, 5.905303998944039e-10, 1.8795288165390832e-12, 2.510999155743982e-08]
311;2;[7.007306943843576e-10, 0.0758576289085169, 0.9241350853952633, 7.290798559333277e-06]
312;2;[5.384940217754036e-13, 1.0, 1.2015425731771786e-13, 1.0956650033262367e-16]
313;2;[0.377540667992942, 0.6224593298742985, 3.532882384177118e-14, 8.308558852328153e-16]
314;2;[2.1485722819687565e-10, 0.010986941583869245, 0.9890130589396958, 1.7636555280875247e-11]
315;2;[0.9999898673126559, 1.0129987330277146e-05, 4.599011518851513e-10, 1.1399809812866844e-12]
316;2;[0.9999998807907247, 9.991171568224243e-20, 6.82560337633487e-08, 7.382532721164985e-19]
317;2;[1.5433428429570994e-05, 0.07585176931357582, 0.9240636251839582, 6.916782751065308e-05]
318;2;[2.6810038677818034e-14, 8.993766029028821e-18, 1.0, 1.0815941557285693e-11]
319;2;[1.4344198717706515e-06, 0.18181778050675015, 0.8148507354057827, 0.0033301080173530517]
320;2;[0.010986941583869245, 0.9890130589396958, 9.254814833457247e-14, 5.6133289464550895e-14]
321;2;[2.543660795724355e-13, 0.9999977350285647, 2.2603250957489616e-06, 2.4133581687134208e-12]
322;2;[4.8473687062702556e-11, 1.1253517471925912e-07, 0.9999998807907247, 1.026187963170189e-10]
323;2;[3.7266389560521204e-06, 1.8553842848731202e-07, 8.878231610629212e-13, 0.9999960661089133]
324;2;[2.413362771833214e-12, 7.382532721164985e-19, 1.0, 1.4068617124461467e-16]
325;2;[1.0, 2.9783262686202286e-16, 1.3887943864964021e-11, 9.736200313009565e-10]
326;2;[1.0677029917933763e-06, 0.999998927117538, 3.628344178047045e-15, 1.8064461965456932e-16]
327;2;[4.539776497674872e-05, 1.955474862254271e-08, 2.2602216286456077e-06, 0.9999523185560253]
328;2;[1.0, 4.139937718785167e-08, 8.533047625744066e-17, 1.713908431542013e-15]
329;2;[6.556572520770276e-12, 0.9994471746722718, 2.5096106280643644e-08, 0.0005527785265734312]
330;2;[2.350707536308093e-13, 0.9241418055144026, 0.07585817148650026, 1.9295782488303833e-14]
331;2;[7.58162041807597e-10, 0.999876633606226, 0.0001233946226544279, 1.249997884965625e-09]
332;2;[3.628344178047045e-15, 6.387142293058423e-21, 7.991959892953932e-11, 1.0]
333;2;[1.3653694033546643e-06, 6.119161131988603e-06, 0.9959224514392745, 0.004070106887413821]
334;2;[0.9959237518302598, 0.004070112709752591, 6.1191669676781955e-06, 2.6700779546759318e-14]
335;2;[1.0, 7.582560427911907e-10, 1.9810087980489796e-13, 5.3157852544244216e-08]
336;2;[2.7894680928689246e-10, 1.0, 1.6918979226151304e-10, 1.186112015134383e-08]
337;2;[1.0, 4.0307262913476244e-17, 5.454994842887922e-18, 5.9821282237671354e-15]
338;2;[1.6918979226151304e-10, 3.059023205018258e-07, 0.9999996423722521, 5.602796437537268e-09]
339;2;[1.0, 1.1548224173015786e-17, 1.2664165549094176e-14, 2.444759076612131e-17]
340;2;[1.5428112031918877e-13, 0.9999997615814777, 1.522997974471263e-08, 1.8553913626159784e-07]
341;2;[2.510999155743982e-08, 3.8242466280971355e-16, 1.0, 1.6052280551856116e-09]
342;2;[0.04808921755596871, 0.35533392627473354, 0.010730157372944553, 0.585846637369724]
343;2;[1.5428112031918877e-13, 1.0, 3.8242466280971355e-16, 5.675685232632723e-14]
344;2;[2.108760018880212e-10, 0.029312232836486894, 5.227093486866317e-13, 0.9706877714009485]
345;2;[9.736200313009565e-10, 9.736200313009565e-10, 3.2661313427874473e-13, 1.0]
346;2;[1.0, 5.109089028063325e-12, 3.2661313427874473e-13, 2.2007019879753665e-15]
347;2;[2.7535687796947383e-05, 0.9999724634116024, 9.357373096685079e-14, 5.981968485842631e-15]
348;2;[0.9994471746722718, 0.0005527785265734312, 8.418805763025449e-12, 1.2494615591615847e-09]
349;2;[0.9955971635641393, 0.004068777671440623, 0.0003339856095611537, 6.795557205788657e-08]
350;2;[0.9999898673126559, 7.287654594998146e-14, 4.42018594926203e-14, 1.0129987330277146e-05]
351;2;[2.543665647376923e-13, 1.0, 1.463778514125909e-12, 8.993766029028821e-18]
352;2;[3.3980150433190693e-09, 7.484626212190614e-05, 0.999925142169393, 5.108708994453272e-12]
353;2;[2.08796392916699e-14, 1.3709577789362383e-06, 0.9999985694905718, 3.978954946575725e-12]
354;2;[3.775134544279098e-11, 1.0, 9.736200313009565e-10, 3.628344178047045e-15]
355;2;[0.9999724634116024, 2.0879121576319505e-14, 9.862598683266585e-15, 2.7535687796947383e-05]
356;2;[0.01798603120855738, 2.0503929046356935e-14, 9.947792742444236e-06, 0.9820039865266303]
357;2;[4.8473687062702556e-11, 1.0, 1.3176514270095466e-10, 2.543665647376923e-13]
358;2;[0.999925142169393, 4.847008140420144e-11, 7.991365420367365e-11, 7.484626212190614e-05]
359;2;[0.9890130589396958, 0.010986941583869245, 2.1485722819687565e-10, 1.6950784647170348e-15]
360;2;[3.0988191387218256e-12, 1.4449802461092448e-07, 8.095930175212601e-16, 0.9999998807907247]
