id;amount_answer_tokens;confidence_per_choice
0;2;[0.00022298686835007714, 0.016640809486893948, 0.908557223498579, 0.07457891621798923]
1;2;[0.5733974767758256, 0.08793334579868638, 0.09964153476477178, 0.23902761600017472]
2;2;[0.3160740311075053, 0.5905040308659033, 0.022896328747719043, 0.07052565758709049]
3;2;[0.20767381193260678, 0.3423962311006669, 0.2666584529018971, 0.18327149577846127]
4;2;[0.045577081111252735, 0.38161225069844257, 0.1403872931633844, 0.4324233315502901]
5;2;[0.18633348769423813, 0.5739475825233937, 0.18633348769423813, 0.05338543804008843]
6;2;[0.7414751499008474, 0.0020826508481550914, 0.18747427720019405, 0.06896792410880974]
7;2;[0.2434928666153032, 0.08957600902137726, 0.354280030446041, 0.3126510295162074]
8;2;[0.3829719812632366, 0.3829719812632366, 0.10972329661493112, 0.12433278382460174]
9;2;[0.04309115378708081, 0.010895147308679833, 0.8655088701735547, 0.08050487386380394]
10;2;[0.24613408421118715, 0.31604242004032523, 0.24613408421118715, 0.19168941752423566]
11;2;[0.25165807164081566, 0.4701592030218139, 0.026524565605676072, 0.25165807164081566]
12;2;[0.1583979201766604, 0.5528630981184172, 0.2304676139504201, 0.058271338357308564]
13;2;[0.1995450373958734, 0.6146419863047479, 0.12103018317410119, 0.06478278873968446]
14;2;[0.07902477185136025, 0.10146981560509656, 0.06973911638627975, 0.7497662268885286]
15;2;[0.019293940589948932, 0.015026136039985392, 0.9296340836603255, 0.03604582651010956]
16;2;[0.06863364018920716, 0.574662433541243, 0.14529741742073987, 0.2114064949133736]
17;2;[0.03266688535470769, 0.07836378420826391, 0.3099348157891827, 0.5790344666656411]
18;2;[0.01151180039434575, 0.096387147586124, 0.8070396337566403, 0.0850613591937187]
19;2;[0.19252954798963076, 0.28012883938523575, 0.24721283308208816, 0.28012883938523575]
20;2;[0.03221324428468639, 0.39243770073507434, 0.3056307886392175, 0.2697182243085966]
21;2;[0.21661356553089714, 0.5888167189803603, 0.16869881445935175, 0.02587080418223263]
22;2;[0.012645711347121842, 0.07277106170811444, 0.6904325688649459, 0.22415065038698787]
23;2;[0.09928284272994004, 0.23816715853967405, 0.3926712602665703, 0.2698787472705532]
24;2;[0.008277279299999397, 0.10083790508329854, 0.3106026512738925, 0.58028214761018]
25;2;[0.057396874051510276, 0.4241086969910174, 0.22700904052953236, 0.2914853778578172]
26;2;[0.006867850510139178, 0.22743197362799444, 0.06516035140380066, 0.7005398389070568]
27;2;[0.04520442766316055, 0.7071162636176455, 0.1392394397337635, 0.10843978469907868]
28;2;[0.3020532661023159, 0.3878440708689195, 0.008049444969987241, 0.3020532661023159]
29;2;[0.021768771145895253, 0.49545494759556763, 0.3005086162230278, 0.18226768924708367]
30;2;[0.04459985412827033, 0.2908275815635591, 0.5433374859513461, 0.12123497302880137]
31;2;[0.17421958573623736, 0.026717435609351144, 0.47357793406847665, 0.3254850367572419]
32;2;[0.4762695040591175, 0.2888720392798695, 0.009884659973697116, 0.22497377039859598]
33;2;[0.048102840336293175, 0.07930817604353867, 0.517154301568011, 0.35543458576277437]
34;2;[0.8605586692132347, 0.11646395818148825, 0.01786032218731812, 0.005117067980135124]
35;2;[0.8337595230912521, 0.04151043743007176, 0.011892939443480341, 0.11283706775755024]
