id;amount_answer_tokens;confidence_per_choice;finish_reason
300;2;[0.5073848386494846, 0.009293078590143847, 0.08817027476980395, 0.395151709658777];stop
301;2;[0.18035818000937828, 0.2973603677262246, 0.1404630918246372, 0.38181824731794395];stop
302;2;[0.08536887496089697, 0.630795443787001, 0.23205666152219862, 0.05177884004895815];stop
303;2;[0.4227610280887985, 0.2564175252674901, 0.19969816947155306, 0.12112307691198143];stop
304;2;[0.10544077120565705, 0.2866177323470453, 0.47255275188040974, 0.13538863018322062];stop
305;2;[0.16529611769888294, 0.27252722521430023, 0.2122444164051741, 0.34993188391454577];stop
306;2;[0.5501020777739549, 0.04515512560562366, 0.20237123289646605, 0.20237123289646605];stop
307;2;[0.03822545529434124, 0.4656814060252267, 0.36267302205724206, 0.1334199486823764];stop
308;2;[0.014730565503636009, 0.8042616973471737, 0.17945504667849993, 0.001552590181440984];stop
309;2;[0.8476032282865357, 0.012090408728529452, 0.11471063151903332, 0.02559540158156943];stop
310;2;[0.5349678321291859, 0.09296347534927914, 0.11936746517209872, 0.2527009257523459];stop
311;2;[0.10723140121807813, 0.29148520411904494, 0.22700890522164047, 0.374274410677268];stop
312;2;[0.015229880995860636, 0.39278373754643287, 0.504344302271227, 0.08764189303857034];stop
313;2;[0.5369445201995143, 0.3256733140656949, 0.04407509020168714, 0.0933069666891768];stop
314;2;[0.2774453466289172, 0.5873518034225269, 0.10206645124073158, 0.0331361252298142];stop
315;2;[0.6651251363718544, 0.24468587076976428, 0.07010366734244117, 0.02008503697110045];stop
316;2;[0.5079395167589937, 0.3955836934048153, 0.08826664760042147, 0.008210077140890839];stop
317;2;[0.13538863018322062, 0.10544077120565705, 0.2866177323470453, 0.47255275188040974];stop
318;2;[0.026057342406267944, 0.04296129468313042, 0.523375744216863, 0.40760543943667216];stop
319;2;[0.08991506553521582, 0.24441448874908134, 0.5174254459012227, 0.1482448811043063];stop
320;2;[0.2541570055042265, 0.538050384874675, 0.19793767490977493, 0.009854737728085206];stop
321;2;[0.023370741350247776, 0.7739326393581638, 0.17268771891057907, 0.03000862590055333];stop
322;2;[0.05550073079688189, 0.11749504801901454, 0.6761372774467195, 0.15086662799136136];stop
323;2;[0.24966667386584898, 0.055708164923412684, 0.015960656474836316, 0.6786643827413481];stop
324;2;[0.12787867855183463, 0.03663785482124293, 0.7358910296609863, 0.09959201499430527];stop
325;2;[0.6781761868604013, 0.00967366433748526, 0.19430074223308397, 0.11784935736928676];stop
326;2;[0.5209188217422149, 0.3159532177757534, 0.013882015557515266, 0.14924573230816374];stop
327;2;[0.2883977600476323, 0.01843665197665039, 0.08262734165738074, 0.6105380992028011];stop
328;2;[0.20555140199236815, 0.16008359283308143, 0.07561813489695889, 0.5587466741540308];stop
