id;amount_answer_tokens;confidence_per_choice;finish_reason
('anatomy', 50);477;[0.3351272295861833, 0.024276535086784925, 0.014496181204496352, 0.6261000918998472];stop
('anatomy', 51);288;[0.06578712558893539, 0.004691719561223663, 0.0213579526428615, 0.9081631880171386];stop
('anatomy', 52);437;[0.14798956168884897, 0.751553029782612, 0.09554924243111497, 0.004908123758246585];stop
('anatomy', 53);291;[0.0408073012117363, 0.9001946624695268, 0.03715547057324192, 0.02184257434059869];stop
('anatomy', 54);529;[0.08138207533228525, 0.9027133277797268, 0.011724199557639132, 0.004180392091771622];stop
('anatomy', 55);142;[0.038279774804073595, 0.9568739818097203, 0.003505372121837542, 0.0013409243421187583];stop
('anatomy', 56);446;[0.933764931198233, 0.008466352001108589, 0.045059089095994515, 0.012709499671050829];stop
('anatomy', 57);337;[0.32094612643719234, 0.019274313035471096, 0.6382775493186325, 0.021502049982922426];stop
('anatomy', 58);355;[0.0743755127542308, 0.014418350823536829, 0.03300393372059097, 0.8782021468436938];stop
('anatomy', 59);371;[0.012805456239064948, 0.9859654674121108, 0.0008714222332482648, 0.00035763096394287995];stop
('anatomy', 60);340;[0.5521102678451842, 0.04749492137563388, 0.04392562166805195, 0.356469180859952];stop
('anatomy', 61);321;[0.03503299361556279, 0.00238402570298773, 0.9617844517803132, 0.0007985485837563707];stop
('anatomy', 62);701;[0.010107320694248106, 0.9837628733528205, 0.004627468611951417, 0.0015023191024933454];stop
('anatomy', 63);327;[0.06318789973466275, 0.004039467284180875, 0.9285393115041376, 0.00423332536676212];stop
('anatomy', 64);461;[0.04165357450581597, 0.006191251129770579, 0.9480309224523417, 0.004124262382357421];stop
('anatomy', 65);828;[0.13854060416074257, 0.8098009311886215, 0.025627434901657864, 0.026031008278313433];stop
('anatomy', 66);389;[0.06285734869883308, 0.0068354211914761825, 0.0066251173904226055, 0.9236820651651075];stop
('anatomy', 67);397;[0.004893371181697553, 0.0007622402145118523, 0.9926532651840588, 0.0016911038293213367];stop
('anatomy', 68);802;[0.2163463400714873, 0.10543878524029084, 0.05219598362223621, 0.6260188921672601];stop
('anatomy', 69);658;[0.9975265796754544, 0.0008545148369908319, 0.0011320482321531351, 0.0004868878775951204];stop
('anatomy', 70);389;[0.01124950078273747, 0.9814916579361465, 0.006212564370377582, 0.0010463665691812847];stop
('anatomy', 71);397;[0.9696132422460716, 0.007432063080219724, 0.012992824442701018, 0.009961944058297902];stop
('anatomy', 72);261;[0.17435808419900461, 0.024345846472518366, 0.06722103765657088, 0.7340749752349376];stop
