id;amount_answer_tokens;confidence_per_choice;finish_reason
('astronomy', 115);220;[0.008348617579209856, 0.07677245874758934, 0.03626474168405054, 0.878614224240654];stop
('astronomy', 116);453;[0.010493895871809293, 0.007677498228354323, 0.007212342125443369, 0.9746162702267654];stop
('astronomy', 117);475;[0.010275582698664593, 0.0039001712760479367, 0.9846346852752357, 0.0011894850342164449];stop
('astronomy', 118);422;[0.6694599810583092, 0.09644484587040807, 0.23135918556914908, 0.0027359303374691526];stop
('astronomy', 119);498;[0.3083784969254872, 0.007482581962916276, 0.17570877106448035, 0.508430157002785];stop
('astronomy', 120);359;[0.0354122058933562, 0.9422839027312658, 0.02017726670386953, 0.002126668264365773];stop
('astronomy', 121);234;[0.02577449660608037, 0.9374237883771396, 0.035229559875845896, 0.001572254003795208];stop
('astronomy', 122);333;[0.005489487980142764, 0.010255713727274494, 0.9827304780963029, 0.0015243757577570233];stop
('astronomy', 123);379;[0.012570261519199434, 0.0073896755303541825, 0.012183515230467191, 0.9678565239352176];stop
('astronomy', 124);336;[0.015112946449682658, 0.004609188251606191, 0.015592682867347052, 0.9646851688695612];stop
('astronomy', 125);356;[0.02412914205210332, 0.010707244432990816, 0.03098243167776967, 0.9341811901710588];stop
('astronomy', 126);670;[0.01754947427963637, 0.012839469662779074, 0.6585391443138967, 0.3110718747152371];stop
('astronomy', 127);319;[0.006782091694346892, 0.016785838153577367, 0.9755832295583297, 0.0008488783101197392];stop
('astronomy', 128);357;[0.017487424934790878, 0.006637477836812075, 0.021093865969992433, 0.9547812708069537];stop
('astronomy', 129);619;[0.01823797909112829, 0.011413035682730959, 0.9651236858797416, 0.005225268494644106];stop
('astronomy', 130);442;[0.9097595450146443, 0.017191762603469864, 0.07015312484171699, 0.0028955652740349086];stop
('astronomy', 131);1082;[0.010686005756794723, 0.9036435459052992, 0.07653016771083246, 0.009140225091654583];stop
('astronomy', 132);442;[0.006650660459080297, 0.004865727134680593, 0.9870453220177198, 0.0014383061937119353];stop
('astronomy', 133);397;[0.013366886529913078, 0.9668375023408997, 0.0171634220463894, 0.002632096018869561];stop
('astronomy', 134);480;[0.03255552246358599, 0.01274892881572433, 0.03255552246358599, 0.9221400037435735];stop
('astronomy', 135);278;[0.03868138424354567, 0.01885180107370764, 0.034136201782613625, 0.9083306569134493];stop
('astronomy', 136);306;[0.008513421388425443, 0.007057874226344504, 0.9840179070129641, 0.00041081754400290783];stop
('astronomy', 137);358;[0.017417835938685886, 0.00376687119509551, 0.027833622578006662, 0.9509816304611116];stop
('astronomy', 138);295;[0.03891250186220186, 0.009242531518954695, 0.11985894386950845, 0.8319860121226907];stop
('astronomy', 139);345;[0.015739920901229852, 0.006359502923668888, 0.9737945436461829, 0.004106003691480689];stop
('astronomy', 140);770;[0.8353621403152829, 0.017337384490139725, 0.14516417765802034, 0.002136384946351437];stop
('astronomy', 141);437;[0.009877837364985504, 0.011548361871666924, 0.9765670006894877, 0.0020068043828323245];stop
('astronomy', 142);441;[0.010738428884421839, 0.019444778055781, 0.9666424224103847, 0.0031742735150751453];stop
('astronomy', 143);233;[0.9583446201888773, 0.0035660465606811753, 0.0371590496016251, 0.0009302588262057173];stop
('astronomy', 144);361;[0.018816748700933864, 0.8001084310291664, 0.17852831969136754, 0.0025465694078835163];stop
('astronomy', 145);309;[0.011230913179679792, 0.05703528329660253, 0.011230913179679792, 0.9205028702276543];stop
('astronomy', 146);383;[0.386468216894259, 0.386468216894259, 0.2202029522907339, 0.0068606332688653055];stop
('astronomy', 147);337;[0.9389607801947575, 0.008647529502061645, 0.051342746661270214, 0.0010490643518698448];stop
('astronomy', 148);585;[0.01661912945126036, 0.15767794765715207, 0.024948274135691634, 0.800754643396868];stop
('astronomy', 149);514;[0.5685508732030891, 0.09281338971640139, 0.32395052253688894, 0.01468521073817094];stop
('astronomy', 150);423;[0.010458029449903632, 0.016197712876018802, 0.9712850227674498, 0.00205930809831532];stop
('astronomy', 151);363;[0.08863218620000161, 0.8409188695098919, 0.0669030841546248, 0.0035457335613914335];stop
('business_ethics', 0);385;[0.02009339010618713, 0.010103591053879769, 0.9681536557521173, 0.0016493658992158325];stop
('business_ethics', 1);433;[0.014852152686452754, 0.948038314309162, 0.03346984274392339, 0.003639676546298998];stop
('business_ethics', 2);380;[0.017540806922528695, 0.008285690498290607, 0.0164780631553125, 0.9576954867570431];stop
('business_ethics', 3);497;[0.010773957106094374, 0.0071770026882182055, 0.01220849282817918, 0.9698405831861898];stop
('business_ethics', 4);427;[0.018679273865696865, 0.9580638720174551, 0.018679273865696865, 0.004577551834868999];stop
('business_ethics', 5);1241;[0.0066617247415271036, 0.9582690795980947, 0.024751316008040276, 0.010317881120837816];stop
('business_ethics', 6);494;[0.08845690440841582, 0.6140125808805121, 0.2900390234578134, 0.007491471492316936];stop
('business_ethics', 7);208;[0.9316734569894614, 0.016030323611550067, 0.049376884654270335, 0.0029193388058512955];stop
('business_ethics', 8);792;[0.012314693133445518, 0.05349258858315312, 0.07086616605991497, 0.8633266143139852];stop
('business_ethics', 9);374;[0.06478249527736075, 0.8667802176789543, 0.06478249527736075, 0.0036547791623375327];stop
