id;attn_entropy;internal_confidence;internal_confidence_examples;max_prob;mink_entropy;pd_entropy;ppl
('abstract_algebra', 0);-4.134818000513627;0.25189688420154455;0.6086195209223174;-14.332947240444641;-199059.7433071703;-368.9832425766441;-80.8550180057674
('abstract_algebra', 1);-4.026844264637952;0.44885478299816206;0.48098846569799325;-11.935051967646272;-37090.93915729605;-415.0054993653869;-72.12546774109809
('abstract_algebra', 2);-3.932617475531494;0.6021807918927905;0.04019472530247594;-14.150625683650688;-141097.16231273484;-457.9602389753205;-81.73349033563358
('abstract_algebra', 3);-3.919823640745341;0.30718272881047975;0.8021961976212578;-18.420680743952367;-100000000.00000018;-499.4818162051332;-86.45802821750819
('abstract_algebra', 4);-3.5550896324407772;0.008040055385877954;0.744711798069445;-13.745160575542522;-206091.7881739182;-487.1030276419073;-47.746083602969804
('abstract_algebra', 5);-2.9531012970792236;0.830547695219618;0.695611081024358;-18.420680743952367;-1092388.6365283018;-415.33112105204407;-30.094831656460123
('abstract_algebra', 6);-3.1972332042039757;0.6470212937696672;0.7471378053741009;-18.420680743952367;-2832163.6426030397;-411.75790482949424;-39.50431334484666
('abstract_algebra', 7);-3.063206985300174;0.45655869488364326;0.9029816523277567;-15.026094421004586;-296827.93782458873;-342.99431092198387;-35.61822358854793
('abstract_algebra', 8);-5.370319305874569;0.205858017088796;0.08172214119878465;-18.420680743952367;-3777828.2508958937;-471.15570547660315;-335.8743409177578
('abstract_algebra', 9);-3.9224881370688296;0.14863601088171258;0.79923325104018;-18.420680743952367;-549446.2186120813;-407.818003162243;-73.17260380241754
('abstract_algebra', 10);-3.5593869157386995;0.10065393738789485;0.19259515742799788;-18.420680743952367;-942697.9697145476;-460.4659784740219;-49.51393053168383
('abstract_algebra', 11);-4.089517768642297;0.436827587745767;0.6299181805193966;-18.420680743952367;-1748458.6846148146;-367.70295678321725;-47.96911852621919
('abstract_algebra', 12);-3.663118810558991;0.525495930793896;0.3530898368297866;-13.80231898938247;-85632.93978639433;-326.7607571628897;-53.77922727480353
('abstract_algebra', 13);-2.0737351348424418;0.5328540364252191;0.9473231511658821;-14.556090791758852;-26695.23024941705;-344.3574762295658;-10.407928437929675
('abstract_algebra', 14);-3.639945690192607;0.5876886440817405;0.27200275301915167;-12.946652879324752;-20509.46314392341;-311.55426654895604;-57.17743375837343
('abstract_algebra', 15);-4.205385875055553;0.09726415088878776;0.8810530209341967;-18.420680743952367;-13406187.434201416;-399.23177181774014;-76.66733829816872
('abstract_algebra', 16);-4.046368780745221;0.4522697099527858;0.43073747826133857;-18.420680743952367;-144873.91938161434;-339.17816282750454;-62.572072907215045
('abstract_algebra', 17);-3.8607119641650094;0.005402642975943242;0.0957585763891781;-18.420680743952367;-2336270.060400496;-388.3036001338159;-59.58514614164483
('abstract_algebra', 18);-3.8210042849373487;0.1670379720992529;0.475292644131206;-15.249237972318797;-37869.42923551804;-338.9012238694393;-47.04714910161155
('abstract_algebra', 19);-5.0222776998555485;0.6127156835201973;0.4638715212357161;-18.420680743952367;-22605490.773380563;-685.5563546231639;-251.8113709426404
