id;amount_answer_tokens;confidence_per_choice
('computer_security', 29);2;[0.8058044451349301, 0.02433318434277724, 0.0849311586034333, 0.0849311586034333]
('computer_security', 30);2;[0.032465663677593674, 0.01054005781735714, 0.008208605281775623, 0.948785687166577]
('computer_security', 31);2;[0.00029047767324006356, 0.0005426839975269002, 0.017971225848853165, 0.9811955828285248]
('computer_security', 32);2;[0.07757204833177979, 0.02222476394932542, 0.7359831686591828, 0.16422004718361102]
('computer_security', 33);2;[0.00878100717502347, 0.030648719245540107, 0.8956869421703231, 0.0648833391519656]
('computer_security', 34);2;[0.0013181016653380266, 0.004060038958161106, 0.0011632206369524055, 0.993458664862328]
('computer_security', 35);2;[0.027496859489399887, 0.003721296154341311, 0.9105709972789583, 0.05821085199585594]
('computer_security', 36);2;[0.13019076732611187, 0.005720183102387856, 0.7491961157182983, 0.11489294891040547]
('computer_security', 37);2;[0.0009076181273405654, 0.0035896993287454345, 0.00017872052067971874, 0.9953239301629883]
('computer_security', 38);2;[0.21224449230970596, 0.27252732267764834, 0.34993200905996197, 0.16529617681339176]
('computer_security', 39);2;[0.00012331721463459472, 0.00013973671099970082, 0.9992493070426285, 0.00048772881256940997]
('computer_security', 40);2;[0.007268420524119654, 0.9519750460075194, 0.015387246370309214, 0.02536927433972508]
('computer_security', 41);2;[0.00010225130779403696, 0.999422764363497, 0.00013976096702752962, 0.00033526913086329103]
('computer_security', 42);2;[0.32310369780716935, 0.5327079074646799, 0.07209417983626357, 0.07209417983626357]
('computer_security', 43);2;[0.0003351067435220173, 0.0002957306631933907, 0.000430285370809628, 0.9989388532350575]
('computer_security', 44);2;[0.08026287747263534, 0.029527062511445035, 0.6720329252930577, 0.21817714734244067]
('computer_security', 45);2;[0.0021774724284857644, 0.0007069217965126811, 0.001695817232421107, 0.9954198342208267]
('computer_security', 46);2;[0.004014565806292677, 0.9823318387273239, 0.008498835878614273, 0.005154804532245314]
('computer_security', 47);2;[0.003167292857469945, 0.0003782791873376156, 0.9951340663677186, 0.0013203240974782352]
('computer_security', 48);2;[0.9963781167703026, 0.001497994217656772, 0.000801818524856151, 0.0013219752571717355]
('computer_security', 49);2;[0.005126015984404561, 0.009576658640596775, 0.9768459565493295, 0.008451371587436656]
('computer_security', 50);2;[0.0010292750824695638, 6.579935461563677e-05, 0.996107056932195, 0.0027978597531627004]
('computer_security', 51);2;[0.2850552562118161, 0.17289475260470655, 0.07207326435441615, 0.469976664241296]
('computer_security', 52);2;[0.9113437019556527, 0.01891433482761038, 0.06601751536062513, 0.003724454244256774]
('computer_security', 53);2;[0.015526775928037024, 0.001274515380686504, 0.9606074145691967, 0.0225913202858033]
('computer_security', 54);2;[0.9719353726623123, 0.008408890433950733, 0.01223486338786344, 0.007420819762134758]
('computer_security', 55);2;[0.03797315970518348, 0.40824996504100436, 0.5242033314745315, 0.029573526514092414]
('computer_security', 56);2;[0.9917951097619927, 0.0035769714781381007, 0.002458414147465413, 0.0021695428704083756]
('computer_security', 57);2;[0.004470930912605257, 0.9654524733661562, 0.007371318895443023, 0.02270526607384808]
('computer_security', 58);2;[0.002736624469115664, 0.9743056546321743, 0.005112687601435441, 0.017845033163372666]
('computer_security', 59);2;[3.320389655700321e-05, 0.0002304807247303096, 7.96520071140342e-05, 0.9996566759503591]
('computer_security', 60);2;[0.9984145307377049, 0.00091043603482738, 0.0003795262042662344, 0.0002955753050786613]
