id;amount_answer_tokens;confidence_per_choice;finish_reason
('clinical_knowledge', 113);2;[0.0005527782629881523, 8.31068109318202e-07, 3.7730469773450263e-11, 0.9994463411343099];stop
('clinical_knowledge', 114);2;[1.0, 6.305116760146989e-16, 7.681204685202095e-15, 1.0956650033262367e-16];stop
('clinical_knowledge', 115);2;[1.0, 2.413362771833214e-12, 5.384940217754036e-13, 5.2792096283383845e-15];stop
('clinical_knowledge', 116);2;[6.224144622907783e-11, 5.109089028063325e-12, 5.675685232632723e-14, 1.0];stop
('clinical_knowledge', 117);2;[7.88926463665814e-06, 1.3176413741653039e-10, 0.9999921322487634, 8.4233994887855e-12];stop
('clinical_knowledge', 118);2;[5.008774637843506e-14, 1.0, 1.5428112031918877e-13, 7.287724095819692e-14];stop
('clinical_knowledge', 119);2;[6.305116760146989e-16, 5.175555005801869e-17, 2.493722053335376e-15, 1.0];stop
('clinical_knowledge', 120);2;[4.910429870159115e-16, 1.0, 9.173890754179198e-16, 1.2015425731771786e-13];stop
('clinical_knowledge', 121);2;[1.0, 2.0879679116459336e-14, 1.1779508898282764e-15, 1.1779508898282764e-15];stop
('clinical_knowledge', 122);2;[1.2415511035985842e-16, 1.5125188821494485e-15, 1.0, 9.173890754179198e-16];stop
('clinical_knowledge', 123);2;[7.874058684401373e-06, 0.7772937045191801, 1.183815714418264e-08, 0.22269836827704367];stop
('clinical_knowledge', 124);2;[1.4420177438710868e-07, 0.7772040373665344, 0.22267269811694523, 0.00012315678898712934];stop
('clinical_knowledge', 125);2;[9.357622968840175e-14, 3.900837610180715e-14, 1.2501528663867426e-09, 1.0];stop
('clinical_knowledge', 126);2;[1.0, 2.1574923126757813e-17, 2.0469717131642043e-16, 5.073935589580236e-19];stop
('clinical_knowledge', 127);2;[0.0031726831078774057, 6.803948470757607e-08, 0.9968272106900609, 9.705311249166428e-10];stop
('clinical_knowledge', 128);2;[1.0, 2.9400777392844726e-11, 4.752193062771153e-13, 6.224144622907783e-11];stop
('clinical_knowledge', 129);2;[9.600300568774121e-05, 0.00012327029938147754, 0.0009108515917894948, 0.9988698633046751];stop
('clinical_knowledge', 130);2;[1.0, 5.9821282237671354e-15, 2.646573638909117e-09, 6.224144622907783e-11];stop
('clinical_knowledge', 131);2;[1.5941831731372974e-16, 1.0, 7.287724095819692e-14, 7.287724095819692e-14];stop
('clinical_knowledge', 132);2;[2.3195228302435696e-16, 7.144633303166281e-16, 7.991959892953932e-11, 1.0];stop
('clinical_knowledge', 133);2;[2.0469717131642043e-16, 1.0, 2.825757287115611e-15, 2.6283637069436874e-16];stop
('clinical_knowledge', 134);2;[4.3334391507742955e-16, 5.9821282237671354e-15, 1.0, 1.5428112031918877e-13];stop
('clinical_knowledge', 135);2;[3.037975385443128e-14, 9.357622968840175e-14, 1.0, 7.991959892953932e-11];stop
('clinical_knowledge', 136);2;[0.0005527785265734312, 0.9994471746722718, 1.8784894781623924e-12, 2.5422590558410414e-13];stop
('clinical_knowledge', 137);2;[0.001501181950907551, 7.183328436759143e-09, 0.9984987894978749, 5.101415882430728e-12];stop
('clinical_knowledge', 138);2;[9.237449661970594e-09, 5.602796437537268e-09, 1.0, 4.420228103641173e-14];stop
('clinical_knowledge', 139);2;[1.2501361751566453e-09, 0.9999870063564401, 2.5109656305121405e-08, 1.3007123989067183e-05];stop
('clinical_knowledge', 140);2;[1.2974503754623417e-05, 3.526835778946649e-05, 0.0024725039446025425, 0.9974792523886147];stop
('clinical_knowledge', 141);2;[3.3087234398282434e-10, 0.0003979088778606824, 0.07582799196166677, 0.9237741160691564];stop
('clinical_knowledge', 142);2;[7.530388099325974e-17, 2.2007019879753665e-15, 2.2007019879753665e-15, 1.0];stop
('clinical_knowledge', 143);2;[6.224144622907783e-11, 5.675685232632723e-14, 4.363462252943702e-09, 1.0];stop
('clinical_knowledge', 144);2;[1.626111044617819e-14, 2.825757287115611e-15, 2.0879679116459336e-14, 1.0];stop
('clinical_knowledge', 145);2;[1.2415511035985842e-16, 1.5941831731372974e-16, 9.173890754179198e-16, 1.0];stop
('clinical_knowledge', 146);2;[6.560200168153779e-12, 1.0, 1.8795288165390832e-12, 6.560200168153779e-12];stop
('clinical_knowledge', 147);2;[1.4449802461092448e-07, 1.3887943864964021e-11, 1.8795288165390832e-12, 0.9999998807907247];stop
('clinical_knowledge', 148);2;[4.1937956583795446e-13, 1.0, 2.413362771833214e-12, 4.363462252943702e-09];stop
