id;amount_answer_tokens;confidence_per_choice;finish_reason
('astronomy', 115);40;[2.335593038799337e-09, 6.023573837886479e-08, 7.194133030325383e-09, 0.9999998807907247];stop
('astronomy', 116);220;[2.646573638909117e-09, 2.215948977336598e-08, 4.139937718785167e-08, 0.9999998807907247];stop
('astronomy', 117);155;[7.194133030325383e-09, 1.7257827987960214e-08, 1.0, 1.8189616875530459e-09];stop
('astronomy', 118);143;[1.0, 3.398267819495071e-09, 2.061153622438558e-09, 2.7346982915918745e-12];stop
('astronomy', 119);159;[9.736200313009565e-10, 2.335593038799337e-09, 7.194133030325383e-09, 1.0];stop
('astronomy', 120);149;[6.691586091292782e-10, 1.0, 9.056076989672867e-11, 7.433680672352188e-12];stop
('astronomy', 121);29;[5.211412487888539e-10, 1.0, 4.8473687062702556e-11, 6.560200168153779e-12];stop
('astronomy', 122);73;[5.905303998944039e-10, 3.850741922767617e-09, 1.0, 1.3176514270095466e-10];stop
('astronomy', 123);82;[1.103256032343554e-09, 1.9555681087850496e-08, 2.9989608248573072e-09, 1.0];stop
('astronomy', 124);79;[4.5990553786523166e-10, 1.186112015134383e-08, 3.850741922767617e-09, 1.0];stop
('astronomy', 125);78;[7.582560427911907e-10, 2.215948977336598e-08, 5.602796437537268e-09, 1.0];stop
('astronomy', 126);1096;[1.6373771305908126e-07, 4.691164021834418e-08, 0.9999997615814777, 1.0467401794744658e-08];stop
('astronomy', 127);73;[3.398267819495071e-09, 8.152020714470167e-09, 1.0, 3.1608814543136926e-10];stop
('astronomy', 128);119;[1.8189616875530459e-09, 3.2241867372567335e-08, 4.944450501938644e-09, 1.0];stop
('astronomy', 129);152;[3.398267819495071e-09, 3.2241867372567335e-08, 4.450852500419419e-07, 0.9999995231630692];stop
('astronomy', 130);161;[0.9999998807907247, 8.152020714470167e-09, 6.023573837886479e-08, 2.172439935079017e-10];stop
('astronomy', 131);874;[7.889257112872668e-06, 0.999991297797926, 7.33815220605445e-07, 1.444967843797534e-07];stop
('astronomy', 132);198;[9.736200313009565e-10, 8.152020714470167e-09, 1.0, 3.850741922767617e-09];stop
('astronomy', 133);75;[2.9989608248573072e-09, 1.0, 1.103256032343554e-09, 2.7894680928689246e-10];stop
('astronomy', 134);298;[9.931175369924415e-08, 2.6995759288455584e-07, 7.33820819192633e-07, 0.999998927117538];stop
('astronomy', 135);107;[3.398267819495071e-09, 6.82560337633487e-08, 1.3440409951135022e-08, 0.9999998807907247];stop
('astronomy', 136);88;[1.026187963170189e-10, 6.691586091292782e-10, 1.0, 3.331544542166412e-11];stop
('astronomy', 137);79;[4.058652126475693e-10, 2.646573638909117e-09, 1.103256032343554e-09, 1.0];stop
('astronomy', 138);95;[1.2501528663867426e-09, 8.764248219443636e-08, 2.215948977336598e-08, 0.9999998807907247];stop
('astronomy', 139);94;[6.224144622907783e-11, 5.905303998944039e-10, 1.0, 2.289734845645553e-11];stop
('astronomy', 140);168;[2.510999155743982e-08, 6.023573837886479e-08, 0.9999998807907247, 1.3440409951135022e-08];stop
('astronomy', 141);119;[2.172439935079017e-10, 9.736200313009565e-10, 1.0, 4.277787868968998e-11];stop
('astronomy', 142);113;[5.211412487888539e-10, 7.194133030325383e-09, 1.0, 4.058652126475693e-10];stop
('astronomy', 143);101;[1.0, 2.7894680928689246e-10, 1.917171513758312e-10, 1.8795288165390832e-12];stop
('astronomy', 144);34;[1.4166087866431961e-09, 1.0, 1.6918979226151304e-10, 5.4927883509546835e-11];stop
('astronomy', 145);97;[9.736200313009565e-10, 4.691164021834418e-08, 1.4166087866431961e-09, 1.0];stop
('astronomy', 146);66;[2.061153622438558e-09, 1.0, 1.493094676197164e-10, 2.020683909022217e-11];stop
('astronomy', 147);115;[1.0, 5.602796437537268e-09, 3.850741922767617e-09, 1.783247290814639e-11];stop
('astronomy', 148);95;[2.646573638909117e-09, 2.8453348089834e-08, 2.9989608248573072e-09, 1.0];stop
('astronomy', 149);207;[0.9999998807907247, 8.764248219443636e-08, 3.6534822137210456e-08, 4.5990553786523166e-10];stop
('astronomy', 150);92;[1.917171513758312e-10, 1.8189616875530459e-09, 1.0, 4.8473687062702556e-11];stop
('astronomy', 151);78;[9.056076989672867e-11, 1.0, 4.277787868968998e-11, 4.508755242294825e-12];stop
('business_ethics', 0);389;[9.736200313009565e-10, 1.6052280551856116e-09, 1.0, 3.581747930283181e-10];stop
('business_ethics', 1);193;[9.736200313009565e-10, 1.0, 2.7894680928689246e-10, 3.331544542166412e-11];stop
('business_ethics', 2);124;[6.34880011604368e-09, 1.6373771305908126e-07, 2.8453348089834e-08, 0.9999997615814777];stop
('business_ethics', 3);107;[5.211412487888539e-10, 3.398267819495071e-09, 1.522997974471263e-08, 1.0];stop
('business_ethics', 4);124;[1.7257827987960214e-08, 1.0, 9.736200313009565e-10, 7.991959892953932e-11];stop
('business_ethics', 5);970;[0.9999997615814777, 8.764248219443636e-08, 1.2751905914873347e-07, 6.691586091292782e-10];stop
('business_ethics', 6);282;[4.363462252943702e-09, 1.0, 4.5990553786523166e-10, 7.991959892953932e-11];stop
('business_ethics', 7);108;[1.0, 1.6052280551856116e-09, 7.582560427911907e-10, 1.6586783589142312e-12];stop
('business_ethics', 8);997;[0.9999998807907247, 4.139937718785167e-08, 9.931194312156244e-08, 6.691586091292782e-10];stop
('business_ethics', 9);113;[2.7894680928689246e-10, 1.0, 4.058652126475693e-10, 8.423463754468647e-12];stop
('business_ethics', 10);125;[1.6918979226151304e-10, 8.592166619174109e-10, 1.0, 3.775134544279098e-11];stop
('business_ethics', 11);152;[2.5946094982764667e-11, 3.581747930283181e-10, 1.0, 3.5114221133765118e-12];stop
('business_ethics', 12);168;[2.7894680928689246e-10, 3.398267819495071e-09, 2.061153622438558e-09, 1.0];stop
('anatomy', 100);39;[5.905303998944039e-10, 1.186112015134383e-08, 5.602796437537268e-09, 1.0];stop
('anatomy', 101);39;[4.944450501938644e-09, 1.2751905914873347e-07, 8.152020714470167e-09, 0.9999998807907247];stop
('anatomy', 102);106;[3.398267819495071e-09, 1.186112015134383e-08, 1.0, 2.172439935079017e-10];stop
('anatomy', 103);1377;[1.209846378736376e-06, 1.3709355525136263e-06, 1.473894620233487e-05, 0.9999827149515604];stop
('anatomy', 104);211;[1.0, 5.602796437537268e-09, 1.3440409951135022e-08, 3.331544542166412e-11];stop
('anatomy', 105);217;[1.0, 2.335593038799337e-09, 2.9989608248573072e-09, 1.783247290814639e-11];stop
('anatomy', 106);77;[4.363462252943702e-09, 5.602796437537268e-09, 1.0, 2.061153622438558e-09];stop
('anatomy', 107);493;[1.2751905914873347e-07, 0.9999998807907247, 3.2241867372567335e-08, 3.398267819495071e-09];stop
('anatomy', 108);88;[6.691586091292782e-10, 8.152020714470167e-09, 1.6052280551856116e-09, 1.0];stop
('anatomy', 109);41;[1.0, 2.061153622438558e-09, 6.691586091292782e-10, 1.0815941557285693e-11];stop
('anatomy', 110);179;[1.275188159256623e-07, 7.734407154916583e-08, 1.370956471489639e-06, 0.9999984502816872];stop
('anatomy', 111);144;[1.6052280551856116e-09, 6.023573837886479e-08, 8.152020714470167e-09, 0.9999998807907247];stop
('anatomy', 112);68;[9.736200313009565e-10, 5.3157852544244216e-08, 2.061153622438558e-09, 1.0];stop
('anatomy', 113);73;[1.0, 1.917171513758312e-10, 1.026187963170189e-10, 3.0988191387218256e-12];stop
('anatomy', 114);96;[1.0, 2.061153622438558e-09, 1.4166087866431961e-09, 6.560200168153779e-12];stop
('anatomy', 115);91;[2.7894680928689246e-10, 1.0, 2.5946094982764667e-11, 3.97896253583724e-12];stop
('anatomy', 116);109;[3.1608814543136926e-10, 1.6052280551856116e-09, 2.9989608248573072e-09, 1.0];stop
('anatomy', 117);80;[2.061153622438558e-09, 1.0, 4.058652126475693e-10, 1.026187963170189e-10];stop
('anatomy', 118);196;[3.2241867372567335e-08, 1.0, 5.602796437537268e-09, 1.4166087866431961e-09];stop
