id;amount_answer_tokens;confidence_per_choice
('easy', 301);2;[0.007469035941337746, 0.9782505465677227, 0.008463526522827395, 0.005816891039902305]
('easy', 302);2;[0.08976823202831904, 0.1677091365927448, 0.6633024825911178, 0.07922018671548682]
('easy', 303);2;[0.01214736963109173, 0.010720016073988632, 0.9649852382699342, 0.01214736963109173]
('easy', 304);2;[0.9051377964744023, 0.039768981654149015, 0.02412110667879062, 0.030972114054203588]
('easy', 305);2;[0.9587982102542386, 0.01065128560179594, 0.0198992212670113, 0.01065128560179594]
('easy', 306);2;[0.05698164975160634, 0.6126104130722627, 0.1548921646108234, 0.17551581672092675]
('easy', 307);2;[0.002750098249366035, 0.9791028963465105, 0.012325085266539604, 0.005821958039594384]
('easy', 308);2;[0.022547535339239616, 0.005031035171196917, 0.9587456097739383, 0.01367577148420292]
('easy', 309);2;[0.9818747911261009, 0.006615820363960409, 0.007496706611189746, 0.004012697889893182]
('easy', 310);2;[0.17445548960588486, 0.06417858802550329, 0.22400528273466028, 0.5373607064410961]
('easy', 311);2;[0.04106623543363604, 0.015107427344231842, 0.93466321731941, 0.009163117873657617]
('easy', 312);2;[0.022177437868988605, 0.943008763080979, 0.019571520226644754, 0.015242318912460357]
('easy', 313);2;[0.9885255447777324, 0.0024503096130411677, 0.005877987193294537, 0.003146259821899164]
('easy', 314);2;[0.23670257813819898, 0.017146677249712056, 0.442218634720475, 0.30393212652496365]
('easy', 315);2;[0.007514372152498162, 0.005164547417257427, 0.9841886560747966, 0.003132456352106324]
('easy', 316);2;[0.03514735878414442, 0.9064624112786775, 0.031017435261036924, 0.027372790543983297]
('easy', 317);2;[0.14393088155277506, 0.6450534587391945, 0.09892213998571688, 0.11209346989887513]
('easy', 318);2;[0.011969801902822593, 0.9508793303745424, 0.017415959003287483, 0.019734871708409988]
('easy', 319);2;[0.975425773983754, 0.008439085216534668, 0.006572366175043516, 0.009562736358415381]
('easy', 320);2;[0.9556255284233138, 0.009368622779781236, 0.017502891635033723, 0.017502891635033723]
('easy', 321);2;[0.9587582140533711, 0.015496886206191744, 0.012068987112550583, 0.013675954076670157]
('easy', 322);2;[0.004589585829301782, 0.0021679668366962937, 0.9910744782529419, 0.0021679668366962937]
