id;amount_answer_tokens;confidence_per_choice
('easy', 301);2;[5.143289053178914e-05, 0.9997668809890766, 0.00012338109039402323, 5.828110034285228e-05]
('easy', 302);2;[0.0008025349616906195, 0.0016989665272312937, 0.997268528787411, 0.00022993011617237138]
('easy', 303);2;[0.00010888561075801785, 5.8282267559499366e-05, 0.9997873758488371, 4.5390275614515244e-05]
('easy', 304);2;[0.9997947637384105, 7.483648384347516e-05, 0.00010888644149247009, 2.144101160130575e-05]
('easy', 305);2;[0.9997014698857285, 0.00012337297175012818, 0.00013979989208891502, 3.5346948209308445e-05]
('easy', 306);2;[0.00037779338199447963, 0.9938560262497805, 0.004602465594541488, 0.0011636855406291222]
('easy', 307);2;[0.00012337226580634092, 0.9996957512810026, 8.479243558884818e-05, 9.608241721927182e-05]
('easy', 308);2;[2.42987224186818e-05, 2.7534059720229495e-05, 0.9999127464121904, 3.535443250537284e-05]
('easy', 309);2;[0.9993210875012625, 0.00013974670610557486, 0.0004877639314840829, 5.140994014766867e-05]
('easy', 310);2;[0.0004856638133247705, 0.00090733945591512, 0.003588597161877312, 0.995018388744385]
('easy', 311);2;[0.00668694977726543, 0.00033292346698286877, 0.9924311900854931, 0.0005488982632649132]
('easy', 312);2;[0.000624771413268065, 0.9968803992220242, 0.0003141549454054317, 0.002180666502323672]
('easy', 313);2;[0.9998526790266445, 3.1198302682058015e-05, 8.48057792594034e-05, 3.1198302682058015e-05]
('easy', 314);2;[0.00029517276922645343, 0.0001790313344481257, 0.002471450159540189, 0.9970543387386698]
('easy', 315);2;[8.479340596681726e-05, 8.479340596681726e-05, 0.9997070694069807, 0.00012337367769795488]
('easy', 316);2;[0.0002304380867864795, 0.9994714670709094, 0.00015837762647345096, 0.0001397677648015205]
('easy', 317);2;[0.18367568567329953, 0.7264514506228835, 0.013305425215533555, 0.07656741729560651]
('easy', 318);2;[5.8271485590406716e-05, 0.9996023567860077, 0.00023046819626861944, 0.00010886546738784735]
('easy', 319);2;[0.9992914455715526, 0.00020332424645746412, 0.0004304374331282111, 7.479881016337651e-05]
('easy', 320);2;[0.9994731342476156, 0.00023043830654946918, 0.00023043830654946918, 6.602168020676188e-05]
('easy', 321);2;[0.8938142878458284, 0.06474769081011007, 0.014447159175229308, 0.026990853160622084]
('easy', 322);2;[0.00013979295943535613, 8.478871590950796e-05, 0.9996520299951931, 0.0001233668537048358]
('easy', 323);2;[2.7533639587025562e-05, 0.9998977288910255, 2.930940677423013e-05, 4.5395297246920134e-05]
('easy', 324);2;[0.9997708130697388, 5.8281322668030444e-05, 9.608965636731934e-05, 7.483469962393051e-05]
('easy', 325);2;[3.535035303042761e-05, 0.0001088867530195237, 0.9997975044256987, 5.828287896802473e-05]
('easy', 326);2;[2.429068269460818e-05, 5.82703185896897e-05, 0.0003353225312879348, 0.9995821077325517]
('easy', 327);2;[0.0009102788934274262, 0.0005521120577530227, 0.9982421359039133, 0.00029552428873544216]
('easy', 328);2;[0.9988251438986357, 0.00017934918818372097, 0.0009108107658833152, 8.47185577592438e-05]
('easy', 329);2;[0.9996887222505457, 4.538581721686256e-05, 0.00023048819817209033, 3.534650998882821e-05]
('easy', 330);2;[0.00033362111065087543, 0.0005500484837681927, 0.9945107885986846, 0.004605499568090912]
('easy', 331);2;[0.00010872964892058436, 0.9983552372656355, 0.0009103822043321202, 0.0006256959286395584]
('easy', 332);2;[5.827815461430642e-05, 0.9997170772236763, 8.479421462360795e-05, 0.00013980202528225428]
('easy', 333);2;[8.47994710807304e-05, 5.1433479137877784e-05, 0.9997789156578467, 8.47994710807304e-05]
('easy', 334);2;[5.828404622029299e-05, 6.60444768130004e-05, 5.828404622029299e-05, 0.9998174047174513]
('easy', 335);2;[0.00015839258020615033, 0.00017948230723786247, 0.9995660281695824, 9.606995616602257e-05]
('easy', 336);2;[0.9913545212117829, 0.002457321840883502, 0.0058948086534211805, 0.0002934852414433563]
('easy', 337);2;[6.58608166834023e-05, 0.002800474522156046, 0.997037866343779, 9.582692283409354e-05]
('easy', 338);2;[6.598561215988505e-05, 9.600849918095915e-05, 0.0009109037126268185, 0.9989270766676797]
('easy', 339);2;[0.00010888426082805064, 0.999774506888312, 5.828154499405672e-05, 5.828154499405672e-05]
('easy', 340);2;[0.9962967006536352, 0.001497871363214266, 0.0007075443322910072, 0.001497871363214266]
('easy', 341);2;[0.999629634757054, 8.478685613102897e-05, 0.0002611619028215845, 2.429184099223462e-05]
('easy', 342);2;[1.3843251929472937e-05, 4.005677763727079e-05, 0.00015842762882837524, 0.9997876141585559]
('easy', 343);2;[7.481685976793974e-05, 0.0002959064205501915, 9.606674953879714e-05, 0.9995331560611515]
('easy', 344);2;[0.9993148970921532, 0.00023040182876326096, 0.0003798685770256065, 7.480052219186866e-05]
('easy', 345);2;[0.00033519783696887466, 0.9992107426934044, 0.0002958110528780881, 0.000158336246735232]
('easy', 346);2;[2.144244299102874e-05, 5.828660314028244e-05, 5.828660314028244e-05, 0.9998619747005729]
('easy', 347);2;[0.00012337979608166477, 4.538889043436934e-05, 0.999756395574443, 7.483362911262231e-05]
('easy', 348);2;[4.0060788955708956e-05, 0.9998870023665102, 4.5394821033798206e-05, 2.7533350749166553e-05]
('easy', 349);2;[0.0045520999977302495, 0.9829796780347412, 0.006623266415181048, 0.005845012096389851]
('easy', 350);2;[0.00026104561611117413, 0.00012330921779058962, 0.9991852727794001, 0.00043039166513220243]
('easy', 351);2;[0.999717553780562, 5.1430339983242494e-05, 0.00020341094051961386, 2.752867724864772e-05]
('easy', 352);2;[0.9997252980727391, 4.538746201161769e-05, 0.0002034124924278511, 2.586099631234699e-05]
('easy', 353);2;[0.014560309961495026, 0.6191201891727169, 0.034928367839133445, 0.3313911667577622]
('easy', 354);2;[0.14692180302968227, 0.04769852586232381, 0.14692180302968227, 0.658457838832489]
('easy', 355);2;[1.4737329833211082e-05, 2.753295688424189e-05, 8.480747769537557e-05, 0.9998729390465786]
('easy', 356);2;[6.603351834594369e-05, 0.999652268243557, 0.00015840617573380743, 0.0001233668537048358]
('easy', 357);2;[0.00017943969154892914, 0.00023040512471143352, 0.9993290637233673, 0.0002610832106454301]
('easy', 358);2;[0.0006259973398335783, 0.9988360854213377, 0.0003796865795076138, 0.00015827691437836843]
('easy', 359);2;[0.998372228522977, 0.00048730084419067074, 0.0009103978322125299, 0.00023018461991813346]
('easy', 360);2;[8.478839246684215e-05, 0.00010887045096752075, 0.9996479797235078, 0.00015840557146335455]
('easy', 361);2;[0.00010878959980758797, 7.476992559171563e-05, 0.0009108841669633237, 0.9989055465430098]
('easy', 362);2;[0.9925220752942212, 0.0013168590391747469, 0.0002593047957654934, 0.005901752763045349]
('easy', 363);2;[7.483420005008096e-05, 5.1432743381319485e-05, 0.9997648553711882, 0.00010888311859268878]
('easy', 364);2;[6.143825633382848e-06, 4.006277566213714e-05, 1.670064957644548e-05, 0.999937061454891]
('easy', 365);2;[0.9998501763672429, 4.0059298990542134e-05, 5.828593610686238e-05, 5.143715807854968e-05]
('easy', 366);2;[5.143553931223536e-05, 4.5391704125815894e-05, 8.480286773401507e-05, 0.9998183580434946]
('easy', 367);2;[9.608754871097559e-05, 0.0001088814571808253, 4.538854414593787e-05, 0.9997496040108929]
('easy', 368);2;[0.9995947335090094, 0.00023046643794253068, 0.00012335979479880218, 5.1424013206955035e-05]
('easy', 369);2;[1.147812267065152e-05, 1.6700569941732504e-05, 4.0062584628391634e-05, 0.9999318169392539]
('easy', 370);2;[0.0020990653526656235, 0.8468235667307873, 0.14715587717596026, 0.003921570359503593]
('easy', 371);2;[2.7531539017164054e-05, 2.7531539017164054e-05, 0.9998215755328766, 0.00012338779750281013]
('easy', 372);2;[0.0002955121701251901, 0.0003348591584397799, 0.9982009172917393, 0.0011687733054018847]
('easy', 373);2;[1.078238988232355e-05, 4.006143844504773e-05, 4.539555700163772e-05, 0.9999038073576505]
('easy', 374);2;[0.9997044483307657, 0.00017950712826564924, 8.47931633712839e-05, 3.119366155618673e-05]
('easy', 375);2;[0.0010309869306005639, 0.0009098427728601969, 0.00029538284196670687, 0.997763758088874]
('easy', 376);2;[3.535281414493038e-05, 3.119874898054993e-05, 0.9998674568439967, 6.604775211011887e-05]
('easy', 377);2;[0.999517197164605, 9.60652836877136e-05, 0.00033530078637598507, 5.142004097776763e-05]
('easy', 378);2;[2.4296335709953383e-05, 0.0001088886222005625, 5.143534310159843e-05, 0.9998153788953527]
('easy', 379);2;[0.0004304674004614453, 8.476405694565784e-05, 0.00012333097512414048, 0.999361446246347]
('easy', 380);2;[4.538339341744587e-05, 0.00013979069306549244, 0.9996353525762656, 0.0001794948029124871]
('easy', 381);2;[0.000179501136668821, 7.482720636635268e-05, 0.9996708523145819, 7.482720636635268e-05]
('easy', 382);2;[0.999636305583256, 0.00010886920505121512, 0.00023047610890203108, 2.4292003158309874e-05]
('easy', 383);2;[0.000623741182480516, 0.995236428263782, 0.0005504496615535083, 0.003589382677837356]
('easy', 384);2;[0.9997793922878564, 0.0001233826200534069, 6.604195746420239e-05, 3.119601178363401e-05]
('easy', 385);2;[7.483370047956643e-05, 0.9997579445406306, 0.00010888239172187913, 5.82805445336173e-05]
('easy', 386);2;[0.0004815806736298464, 0.010960725610885238, 0.9866530387894658, 0.001904688512481817]
('easy', 387);2;[2.7528440969129614e-05, 0.0001398009586815159, 0.0001233739130147948, 0.9997093330533721]
('easy', 388);2;[7.481678841705617e-05, 5.8267373406090956e-05, 0.99953160776323, 0.0003353055829265162]
('easy', 389);2;[0.9940676665213025, 0.001163933602227165, 0.0040625274514867775, 0.0007059614156205442]
('easy', 390);2;[0.9998300364485936, 5.1436127948637064e-05, 0.00010889028372175633, 9.514726953750105e-06]
('easy', 391);2;[0.0007084497734974914, 0.9975717760812263, 0.001168036210788002, 0.0005517412383666058]
('easy', 392);2;[0.00010886131457904874, 0.9995645989199378, 0.00023045940477232378, 9.606977292729777e-05]
('easy', 393);2;[7.483312954591918e-05, 5.143200763528619e-05, 0.9997504380345485, 0.00012337897243541517]
('easy', 394);2;[0.9975836393331411, 0.0016995029181925089, 0.000230002708795033, 0.00048691573834004506]
('easy', 395);2;[0.0002600509590443479, 0.00029467634195964746, 0.004067879483744274, 0.995377431074994]
('easy', 396);2;[0.0005519888622887848, 0.9980193345796864, 0.0006254853254126538, 0.0008031390555950504]
('easy', 397);2;[0.9997420976256268, 0.00010888073032110673, 0.00010888073032110673, 4.0054982224867264e-05]
('easy', 398);2;[0.0007069133693983977, 0.003590002312789938, 0.00029468533490515557, 0.995408376789762]
('easy', 399);2;[0.002173151165188934, 0.0007994576362307737, 0.0035829205504937633, 0.9934444289055233]
('easy', 400);2;[0.9996617984574251, 0.0001397942926112635, 0.0001584076864200245, 4.005173540680402e-05]
('easy', 401);2;[0.016058707408727613, 0.8767757425700281, 0.06351341987245081, 0.043652092537684914]
('easy', 402);2;[0.001925293291155267, 0.00012307988229917914, 0.0006250512173620351, 0.9973266260513011]
('easy', 403);2;[0.00037987835846598714, 0.999340611654681, 0.0001397493715878831, 0.0001397493715878831]
('easy', 404);2;[0.0001233542656045249, 0.9995499491561809, 0.0002033768015337734, 0.0001233542656045249]
('easy', 405);2;[0.00012335097173424506, 0.9995229137297915, 0.0002304499542878397, 0.00012335097173424506]
('easy', 406);2;[0.00015841463576218856, 5.142970236586878e-05, 0.999705282316751, 8.479324423638456e-05]
('easy', 407);2;[0.999867099307243, 4.539391191352851e-05, 6.604775211011887e-05, 2.1442565686022743e-05]
('easy', 408);2;[0.0003785444353214902, 0.0013212499039107328, 0.9958317705150768, 0.002468419791738939]
('easy', 409);2;[2.586612671851456e-05, 3.5354803390074966e-05, 1.4738074746523228e-05, 0.9999240694467058]
('easy', 410);2;[0.9996027141262707, 9.607343776819957e-05, 0.00026115468008288783, 4.0049367305509164e-05]
('easy', 411);2;[6.604705924525982e-05, 1.8922799292276106e-05, 0.9998567309570499, 5.8286325208763053e-05]
('easy', 412);2;[0.9993031116708659, 0.00020332657333211956, 0.00033522884635123494, 0.00015835089453028014]
('easy', 413);2;[0.9992929930902916, 9.604366498210968e-05, 0.0005526933950641312, 5.8253427482818125e-05]
('easy', 414);2;[0.9998878366430157, 2.4298096753914732e-05, 7.484340701804869e-05, 1.3005833978793039e-05]
('easy', 415);2;[0.00048548599048670445, 0.0016945126078416553, 0.003165766329418105, 0.9946541804648843]
('easy', 416);2;[0.9979515400646248, 0.000910014158502669, 0.0007087197392479441, 0.0004298602509974211]
('easy', 417);2;[6.604025695809258e-05, 4.005544062038372e-05, 0.0001398072250773873, 0.9997541317051011]
('easy', 418);2;[0.00010886391006598334, 0.9995883014842655, 0.00017948624413737253, 0.00012335897128607512]
('easy', 419);2;[0.997149746924479, 0.0003345064663378579, 0.0021812561615699648, 0.0003345064663378579]
('easy', 420);2;[7.484090889151501e-05, 3.1198332435092185e-05, 0.9998538707700327, 4.0059451804931924e-05]
('easy', 421);2;[0.0001398065584261777, 4.538854414593787e-05, 0.9997487699588363, 6.603994205435882e-05]
('easy', 422);2;[0.000624067540831809, 0.0019222633541329792, 0.0016963914559742295, 0.9957572988915387]
('easy', 423);2;[0.9982480754494133, 0.00048724020118231604, 0.0011688284808438164, 9.594323849232628e-05]
('easy', 424);2;[0.005883127049879871, 0.003568296930736877, 0.0011584564028309537, 0.9893900675953952]
('easy', 425);2;[8.480173550113674e-05, 5.1434852578280716e-05, 0.9998054882768016, 5.828332363279906e-05]
('easy', 426);2;[3.1199403563220104e-05, 0.9998879558243913, 2.9309127259278267e-05, 5.143912028783835e-05]
('easy', 427);2;[0.000230393479238905, 0.9992781132195773, 0.00026107001459624914, 0.000230393479238905]
('easy', 428);2;[0.9994571772983916, 0.00026111682623689974, 0.00015837536087953588, 0.00012334285507219886]
('easy', 429);2;[1.2217931895684236e-05, 2.753353455472625e-05, 6.604951579892217e-05, 0.9998941533555177]
('easy', 430);2;[0.17289073357259768, 0.01822254925248368, 0.7748424648308301, 0.0340442039750622]
('easy', 431);2;[0.0001583993778241147, 0.9996093845982684, 0.00012336155948744384, 0.0001088661941456745]
('easy', 432);2;[0.00017951380485198631, 5.143156619271815e-05, 0.9997415018785599, 2.752933359128332e-05]
('easy', 433);2;[0.0003798171380400802, 0.00017941282661722803, 0.9991796791178907, 0.0002610441224004507]
('easy', 434);2;[0.00033442257716934744, 0.0024710671834532725, 0.9968994728078594, 0.00029512688850630693]
('easy', 435);2;[0.9997223194782966, 0.0001233755602452414, 5.8278488085536065e-05, 9.60849829308673e-05]
('easy', 436);2;[4.538058024115444e-05, 8.478208558146538e-05, 0.00029591855532819483, 0.9995738892246157]
('easy', 437);2;[0.0001398072250773873, 3.1195208521425e-05, 7.483341501219832e-05, 0.9997541317051011]
('easy', 438);2;[2.9306416102575248e-05, 3.535028560504439e-05, 0.0001398130917451054, 0.9997954787021177]
('easy', 439);2;[0.00020336497060874094, 0.9994913544008007, 0.00023044270185327537, 7.48137917413904e-05]
('easy', 440);2;[0.0001233576772057541, 0.9995772242425084, 0.00020338242631328713, 9.607105560571088e-05]
('easy', 441);2;[0.0013210798091771254, 0.00017878871015315653, 0.9957034024604384, 0.002796725977974644]
('easy', 442);2;[0.9997939296050322, 5.1434263956474377e-05, 0.00012338438506856878, 3.119645804935413e-05]
('easy', 443);2;[0.14876276517270776, 0.27792543465035024, 0.3568633220350376, 0.21644854614115333]
('easy', 444);2;[4.005975743546034e-05, 4.005975743546034e-05, 0.9998616171657796, 5.828660314028244e-05]
('easy', 445);2;[0.01794865979588657, 0.0006141693644314902, 0.9799638321673422, 0.0014733157146461769]
('easy', 446);2;[0.00012338144339065933, 3.119571427670051e-05, 0.9997705747640249, 7.483462825603354e-05]
('easy', 447);2;[0.00017950969615408374, 3.53475549850965e-05, 0.999719102628379, 6.603792670601973e-05]
('easy', 448);2;[0.009099963967029343, 0.052366689481412994, 0.9282217255686016, 0.01031161009220316]
('easy', 449);2;[0.9954683839873089, 0.001028615172673256, 0.002796065932354975, 0.0007069561801800534]
('easy', 450);2;[0.00010886827062334291, 0.00013978962655121168, 0.00012336391244490162, 0.9996279670574593]
('easy', 451);2;[7.483898182230445e-05, 5.143602984210231e-05, 0.9998283680800286, 4.5392137016904104e-05]
('easy', 452);2;[0.9993358495797949, 0.0002304066628367162, 0.0002304066628367162, 0.00020333316628825526]
('easy', 453);2;[7.483876770656626e-05, 0.9998258655542249, 6.604498069429278e-05, 3.3209501859571566e-05]
('easy', 454);2;[0.9999355119347216, 3.1200861546709055e-05, 2.4299255405079497e-05, 8.939196499302795e-06]
('easy', 455);2;[3.119660680601281e-05, 0.9997990535283231, 8.48011693903664e-05, 8.48011693903664e-05]
('easy', 456);2;[0.9993919257803954, 0.00020334460751361612, 0.00029586465814121927, 0.00010884252509937156]
('easy', 457);2;[0.0007093989938553659, 0.00020324611771203058, 0.9989080445267423, 0.00017936406934321105]
('easy', 458);2;[0.002154794438878577, 0.009657118685547361, 0.003135207408835374, 0.9850528941712046]
('easy', 459);2;[0.9878481583816818, 0.009684524259176552, 0.0011566514785245094, 0.0013106578336275054]
('easy', 460);2;[6.601890988493343e-05, 0.0003799125954908191, 0.00012333956150660906, 0.9994307422697678]
('easy', 461);2;[0.9999355119347216, 1.892427913752798e-05, 3.5355207996005594e-05, 1.0129436684845352e-05]
('easy', 462);2;[0.0001794256596815271, 0.0001397368442630767, 0.9992504973107137, 0.0004304197821137638]
('easy', 463);2;[0.9949754300338405, 0.0040662368759449815, 0.0008006895150193948, 0.00015766511372090273]
('easy', 464);2;[9.573776996073514e-05, 0.9961096591256478, 0.003170398010003123, 0.0006242883832137581]
('easy', 465);2;[0.9998576843642404, 4.539347900551365e-05, 4.539347900551365e-05, 5.143755051441925e-05]
('easy', 466);2;[4.005169721051085e-05, 0.9996604880359932, 0.00020339930158523066, 9.60790269197454e-05]
('easy', 467);2;[8.480052241125645e-05, 5.828248988913012e-05, 0.9997908314617086, 6.604271325875074e-05]
('easy', 468);2;[0.9985073468156962, 0.0006257911111453856, 0.0004873666073991509, 0.00037956149548531266]
('easy', 469);2;[0.09303558134136466, 0.8826970323021248, 0.005947567149286453, 0.018319792175524176]
('easy', 470);2;[0.006425835562998892, 0.02242836990312103, 0.9536785486728906, 0.017467232043565786]
('easy', 471);2;[7.964380363257677e-05, 0.0002959126289790937, 7.028541001580474e-05, 0.9995541177504423]
('easy', 472);2;[7.482763453228695e-05, 0.9996764514897727, 0.00013979642571916088, 0.00010887356582066597]
('easy', 473);2;[9.608342516922788e-05, 0.00013980055870833696, 0.9997058780131393, 5.827754325534123e-05]
