id;amount_answer_tokens;confidence_per_choice;finish_reason
('easy', 301);34;[5.109089028063325e-12, 1.0, 6.914400106940203e-13, 2.543665647376923e-13];stop
('easy', 302);79;[1.3887943864964021e-11, 6.224144622907783e-11, 1.0, 1.1399918530443554e-12];stop
('easy', 303);51;[4.8473687062702556e-11, 2.413362771833214e-12, 1.0, 5.384940217754036e-13];stop
('easy', 304);40;[1.0, 1.6586783589142312e-12, 8.878265478459658e-13, 1.2015425731771786e-13];stop
('easy', 305);55;[1.0, 4.1937956583795446e-13, 4.420228103641173e-14, 7.287724095819692e-14];stop
('easy', 306);91;[2.413362771833214e-12, 1.0, 1.463778514125909e-12, 2.8823507934443873e-13];stop
('easy', 307);63;[2.289734845645553e-11, 1.0, 1.8795288165390832e-12, 1.9810087980489796e-13];stop
('easy', 308);49;[3.0988191387218256e-12, 1.9810087980489796e-13, 1.0, 1.1399918530443554e-12];stop
('easy', 309);49;[1.0, 5.109089028063325e-12, 3.2661313427874473e-13, 3.2661313427874473e-13];stop
('easy', 310);35;[1.8426252147235624e-14, 3.2020024986373665e-15, 8.703945206726412e-15, 1.0];stop
('easy', 311);76;[4.8473687062702556e-11, 1.8795288165390832e-12, 1.0, 1.9810087980489796e-13];stop
('easy', 312);59;[3.97896253583724e-12, 1.0, 1.5428112031918877e-13, 1.8795288165390832e-12];stop
('easy', 313);32;[1.0, 2.413362771833214e-12, 4.752193062771153e-13, 3.900837610180715e-14];stop
('easy', 314);42;[9.357622968840175e-14, 1.2664165549094176e-14, 3.037975385443128e-14, 1.0];stop
('easy', 315);55;[6.560200168153779e-12, 6.914400106940203e-13, 1.0, 2.413362771833214e-12];stop
('easy', 316);73;[2.413362771833214e-12, 1.0, 5.675685232632723e-14, 1.8795288165390832e-12];stop
('easy', 317);97;[1.0, 1.0815941557285693e-11, 1.8795288165390832e-12, 1.626111044617819e-14];stop
('easy', 318);99;[6.560200168153779e-12, 1.0, 4.752193062771153e-13, 4.752193062771153e-13];stop
('easy', 319);64;[1.0, 6.101936677605324e-13, 7.287724095819692e-14, 1.435037960133826e-14];stop
('easy', 320);151;[1.0, 2.413362771833214e-12, 1.3615261080896538e-13, 3.037975385443128e-14];stop
('easy', 321);76;[1.0, 1.463778514125909e-12, 3.442477108469977e-14, 6.431393941452e-14];stop
('easy', 322);80;[1.0815941557285693e-11, 1.3887943864964021e-11, 1.0, 8.423463754468647e-12];stop
('easy', 323);50;[3.97896253583724e-12, 1.0, 7.287724095819692e-14, 3.97896253583724e-12];stop
('easy', 324);76;[1.0, 1.1399918530443554e-12, 7.287724095819692e-14, 7.681204685202095e-15];stop
