id;amount_answer_tokens;confidence_per_choice
300;2;[0.1791197301376854, 0.09587588262943351, 0.29531850908006874, 0.4296858952893473]
301;2;[0.038314142781030215, 0.008549040814681079, 0.8720257663410738, 0.08111104090394135]
302;2;[0.13709998370773469, 0.034664304465500964, 0.7889559448812317, 0.039279802981719895]
303;2;[0.34993200905996197, 0.27252732267764834, 0.21224449230970596, 0.16529617681339176]
304;2;[0.32623176055888625, 0.09346696428826588, 0.32623176055888625, 0.2540695505860237]
305;2;[0.13414222951939947, 0.36463638493156614, 0.2506106780205634, 0.2506106780205634]
306;2;[0.14591242600333154, 0.060825348599939696, 0.3966310961512312, 0.3966310961512312]
307;2;[0.23054818144733646, 0.23054818144733646, 0.33544562466171385, 0.2034580560237857]
308;2;[0.22950130103371788, 0.13919957552088857, 0.20253418730139083, 0.42876487788167894]
309;2;[0.0353659688606474, 0.07486975666551388, 0.08483854894701676, 0.8049257771322532]
310;2;[0.05735787285240475, 0.10715861408341658, 0.2912872787016552, 0.5441962808858004]
311;2;[0.009930570825253414, 0.0017256744530182268, 0.19946084697895766, 0.7888829295099549]
312;2;[0.24265437060656564, 0.11462180855096402, 0.24265437060656564, 0.40006944609339323]
313;2;[0.04064627040997253, 0.8164021529440334, 0.07593723037812815, 0.06701437059955093]
314;2;[0.13358648137300944, 0.09181255643907929, 0.4114753061869782, 0.3631257048440343]
315;2;[0.15924255037475832, 0.051698486887601584, 0.6298164667457261, 0.15924255037475832]
316;2;[0.010743130515780583, 0.004478403084478109, 0.9670659955659311, 0.017712427795275085]
317;2;[0.08747017546471475, 0.04131798525191899, 0.829893881269994, 0.04131798525191899]
318;2;[0.4488746429128227, 0.1651317626334197, 0.1457282690423275, 0.24026529691239637]
319;2;[0.15185700897619567, 0.04930075264978099, 0.11826635750554255, 0.6805758771001036]
320;2;[0.06684664165531372, 0.2333177049315996, 0.4939335557754924, 0.20590215192028322]
321;2;[0.03058585399310964, 0.5421472664594638, 0.13707628754787532, 0.29019050301605587]
322;2;[0.043999107057948066, 0.7799028684321001, 0.05649597177397031, 0.11960197318404435]
323;2;[0.08539077816411672, 0.08539077816411672, 0.01905325800695841, 0.8101651581546329]
324;2;[0.32567742935984156, 0.17432256607554134, 0.32567742935984156, 0.17432256607554134]
325;2;[0.11045233006802078, 0.16070717281575703, 0.23382755671449004, 0.4950129414490766]
326;2;[0.18883002149774408, 0.1470609686098333, 0.352780924305, 0.31132807299009313]
327;2;[0.9870089715649238, 0.0011556685106012823, 0.002159073023062563, 0.009676293969521254]
328;2;[0.008744292006400664, 0.005303681199362101, 0.0940099986637156, 0.8919420532342098]
329;2;[0.13773175819998676, 0.13773175819998676, 0.10726561392700794, 0.6172709153633258]
330;2;[0.5172434545688229, 0.40282960745675794, 0.037468987943196634, 0.042457925725812834]
331;2;[0.14505682304994683, 0.2710018232610244, 0.07764332232214093, 0.5062980305864553]
332;2;[0.2932637857940373, 0.05096161060373352, 0.10788573049471252, 0.5478888822709793]
333;2;[0.07166109578531758, 0.41238110899186126, 0.19479505448069184, 0.3211627497495069]
334;2;[0.11163974215458611, 0.3034682462564285, 0.4415436929123456, 0.14334824935051046]
335;2;[0.2325759286902105, 0.2052475366848465, 0.29863340374798597, 0.26354305381589255]
336;2;[0.2836465563661821, 0.1518250609550549, 0.1518250609550549, 0.41270330429881263]
337;2;[0.03468276426250329, 0.25627292135173496, 0.09427752785549146, 0.6147667612219727]
338;2;[0.22818808011737238, 0.10778841678163367, 0.3320116974889871, 0.3320116974889871]
339;2;[0.3603936985398281, 0.5941887566089042, 0.01583459212340814, 0.029582912722145367]
340;2;[0.23355020364018508, 0.019170970429773504, 0.02789359738521986, 0.7193852937600875]
341;2;[0.07419892964375127, 0.08407840234503103, 0.29346249448307565, 0.5482601189759819]
342;2;[0.08684337643943854, 0.44102705616304083, 0.2360647720973542, 0.2360647720973542]
343;2;[0.05170689382108661, 0.1592684265666495, 0.07523308658625594, 0.7137915878663404]
344;2;[0.18515001633440623, 0.18515001633440623, 0.23773732687352808, 0.39196258765577496]
345;2;[0.3784202826464014, 0.058032633357701736, 0.012948830774939099, 0.5505982623679071]
346;2;[0.11460112314537312, 0.07876412327521888, 0.14715077244135888, 0.659483988888087]
347;2;[0.12182307292946877, 0.12182307292946877, 0.4252043299998839, 0.331149445431216]
348;2;[0.04524438700866408, 0.10853564218577019, 0.5511895043422345, 0.29503046389371207]
349;2;[0.1771278309483805, 0.08366926289957971, 0.48148339287999414, 0.25771947331983774]
350;2;[0.0567861240600786, 0.026823865665782924, 0.22459345068126974, 0.6917965515622314]
351;2;[0.0166382387596385, 0.20269521904288398, 0.5509827306397974, 0.2296837739024855]
352;2;[0.10107304149036372, 0.7468343736618428, 0.005032129227075445, 0.1470604076178285]
353;2;[0.5276429508302729, 0.08091667205354608, 0.07140871245470791, 0.3200316461351781]
354;2;[0.1930566565451989, 0.15035267529454815, 0.4087009451133735, 0.2478896538647912]
355;2;[0.13511353648611346, 0.1734892149867362, 0.3672766710090404, 0.32412052455705964]
356;2;[0.184994322538405, 0.12714461451784487, 0.184994322538405, 0.5028667053242379]
357;2;[0.09685127228917395, 0.6315496846364829, 0.20503416948711617, 0.06656484108161444]
