id;amount_answer_tokens;confidence_per_choice
300;2;[0.3177952410781225, 0.1169103356947635, 0.3177952410781225, 0.2474991826080077]
301;2;[0.0007851443715133075, 0.00061147105135867, 0.9756581178173959, 0.022945281922344254]
302;2;[0.020041431078591517, 0.013774260711944139, 0.9656501874110253, 0.0005340860475732453]
303;2;[0.7867535667813174, 0.15492095357377528, 0.03456753718126394, 0.023757897698891008]
304;2;[0.13210540663745302, 0.14969505501803404, 0.3590997691118073, 0.3590997691118073]
305;2;[0.1708272477951551, 0.40979328869777565, 0.24855217892480672, 0.1708272477951551]
306;2;[0.6337215702916716, 0.019136734381729595, 0.2057392836764156, 0.14140240389693493]
307;2;[0.21333184288609627, 0.2739235084545836, 0.39855632930770624, 0.11418830697180068]
308;2;[0.21439138345148567, 0.3534716341512919, 0.24293726450890776, 0.1891997318367624]
309;2;[0.02334073858706085, 0.2509365883222524, 0.04360624050875872, 0.6821163884605392]
310;2;[0.007247088371652935, 0.013539343553494662, 0.23999057820276243, 0.7392230005311667]
311;2;[0.0051172436637380025, 0.005798596741530736, 0.013910110462936201, 0.9751740406905386]
312;2;[0.9094513230281757, 0.021388246836291234, 0.0032799931024392, 0.06588043827396203]
313;2;[0.005066759943779554, 0.9655537083161694, 0.015606719348252758, 0.013772881484340135]
314;2;[0.13603591728718986, 0.28798803915690135, 0.28798803915690135, 0.28798803915690135]
315;2;[0.1672208525532015, 0.05428865590345117, 0.7494318448854864, 0.029058623511257188]
316;2;[0.0008030946327044361, 0.0008030946327044361, 0.9979640059184557, 0.00042986558033731025]
317;2;[0.2002839611729549, 0.17674997537250609, 0.6169179950018014, 0.006048050126912782]
318;2;[0.4440340612967878, 0.3458140746483145, 0.04680085131883267, 0.16335100233094826]
319;2;[0.28297436790741537, 0.1336676266824934, 0.4117252758623016, 0.1716326300486501]
320;2;[0.09750340438957802, 0.34032032083971764, 0.4951631745559252, 0.0670130444825776]
321;2;[0.04663814708111335, 0.6438197804692621, 0.04115802034136732, 0.26838400599692375]
322;2;[0.0509953628669201, 0.9039144350439948, 0.010041579935671483, 0.035048566166489444]
323;2;[0.017803734943991335, 0.5203015264186276, 0.0027302911820516855, 0.45916448547447586]
324;2;[0.3525816410347154, 0.1469778949832943, 0.4527237885460481, 0.04771673625346291]
325;2;[0.072836153201189, 0.47495140875491576, 0.1979891917016512, 0.2542231543743818]
326;2;[0.2388046665646735, 0.12782292696240827, 0.505549483084598, 0.12782292696240827]
327;2;[0.9964266415876613, 0.0009086236130875287, 0.0014980670779578117, 0.0011666958134070352]
328;2;[0.007247088371652935, 0.013539343553494662, 0.23999057820276243, 0.7392230005311667]
329;2;[0.16740508690355188, 0.27600432760128946, 0.10153631779886205, 0.45505423284487745]
330;2;[0.013968662190999232, 0.9792786896760253, 0.004002088723440853, 0.0027505926723911463]
331;2;[0.06878828592243066, 0.8380129027918857, 0.060705449260648595, 0.03249328549014185]
332;2;[0.6912326552182411, 0.018420724664037158, 0.15423485765522738, 0.13611178415131414]
333;2;[0.05568041274778166, 0.5986208516575746, 0.19434373650278824, 0.15135505417339426]
334;2;[0.04536031324065875, 0.2303586782938131, 0.7095546821750914, 0.014726337613727485]
335;2;[0.19884870695209042, 0.22532510467709993, 0.42096271592098433, 0.15486352868702433]
336;2;[0.16724168517236018, 0.14759026914763593, 0.10143720963904417, 0.5837308380353978]
337;2;[0.00920670902583644, 0.9391098376070102, 0.004927996225127893, 0.04675552638658545]
338;2;[0.5817965977038357, 0.01756873179312878, 0.31141329655612177, 0.08922140326937379]
339;2;[0.3475841829585345, 0.6493727253268484, 0.0009762924352028252, 0.0020668111015432096]
340;2;[0.12219314290028523, 0.006893665396267492, 0.796799358850938, 0.07411388757567008]
341;2;[0.010844637421701586, 0.08013161517664756, 0.316926685955188, 0.5920970351299039]
342;2;[0.10158326824288336, 0.5158824340526179, 0.21505178055775384, 0.16748249509927862]
343;2;[0.02777989592708249, 0.2986620274198927, 0.1811476765221001, 0.4924104080076536]
344;2;[0.36617639710357147, 0.1526450324551943, 0.1960001014035947, 0.28517846480652714]
345;2;[0.6854859859524064, 0.026579178461415113, 0.0021817513072595112, 0.2857530640493287]
346;2;[0.26003523621644364, 0.05120397397549823, 0.26003523621644364, 0.42872559952754513]
347;2;[0.21212037408055526, 0.3497273726954796, 0.3497273726954796, 0.08842491701310883]
348;2;[0.0026118881140561384, 0.015030378330575014, 0.9298965587320699, 0.05246117515410957]
349;2;[0.05546937885471501, 0.04319959568853647, 0.8676871001279685, 0.03364387895060029]
350;2;[0.024159161749278645, 0.010071036960544061, 0.7060342830435157, 0.2597354974939285]
351;2;[0.012999046175222545, 0.9113033089046475, 0.024285409677240754, 0.051412212690164286]
352;2;[0.008462053611771464, 0.9780804815763472, 0.0011452144223124926, 0.012312215355166422]
353;2;[0.9934267814689522, 0.0031618589952077726, 0.0014935564338194641, 0.0019177644222816946]
354;2;[0.38544160951186496, 0.34015102652144197, 0.23378215369793068, 0.04062524675642748]
355;2;[0.18035820150975007, 0.2973604031743449, 0.381818315592373, 0.1404631085691436]
356;2;[0.07613374074187196, 0.059293016907925204, 0.14223653640927772, 0.7223367558107462]
357;2;[0.05494069543448919, 0.521262773878579, 0.40595985648260996, 0.017836628078606507]
358;2;[0.04348300806177992, 0.04927270331989825, 0.033864600728814406, 0.873379642042369]
359;2;[0.4020286696295611, 0.21519044001150806, 0.16759048319044265, 0.21519044001150806]
360;2;[0.25360663539552286, 0.6893743291172441, 0.02672994271443157, 0.030288993237423015]
361;2;[0.5431959152639558, 0.2565875666624239, 0.044588233299283374, 0.15562822608181928]
362;2;[0.06379871267212006, 0.3671362426687028, 0.15304515561605445, 0.41601986544480757]
363;2;[0.12830816007445217, 0.00638808713778158, 0.8366744032472196, 0.02862942030576288]
364;2;[0.6247326338365325, 0.33439526209826226, 0.016648563745302405, 0.024223511539802955]
365;2;[0.0443816175474793, 0.10646596584094471, 0.6942453264101677, 0.15490706624760925]
366;2;[0.9637127784442467, 0.0027068707060260598, 0.032976436028567625, 0.0006039844941366881]
367;2;[0.3895402798087082, 0.5667777627696423, 0.04105723853304497, 0.0026247014464711852]
368;2;[0.24862330044713518, 0.4644895036695482, 0.005160013210997079, 0.28172710829804004]
369;2;[0.272322726447371, 0.11352100175120901, 0.16517208292686691, 0.4489842448272856]
370;2;[0.026460032447061053, 0.11858563821878408, 0.6824132513671617, 0.17254108550535088]
371;2;[0.2876976779834294, 0.00984447553033417, 0.09340176101058832, 0.6090560253729149]
372;2;[0.07459342692484555, 0.3343045461681415, 0.5511750490117598, 0.039926984253919745]
373;2;[0.0878747263996495, 0.06843690573223249, 0.2706732128502625, 0.5730151619462456]
