id;amount_answer_tokens;confidence_per_choice
300;2;[0.3062448809334982, 0.13171429771451848, 0.24607467490678445, 0.3159661369834844]
301;2;[0.07827228909109143, 0.03162486358353672, 0.56056418662601, 0.32953868515592655]
302;2;[0.21706390998987718, 0.0440992028820379, 0.3578778855016485, 0.380959026085745]
303;2;[0.19983657717010034, 0.1709292825075545, 0.20618007107243672, 0.4230540371889225]
304;2;[0.45404216737463093, 0.189272934910996, 0.054227610232241395, 0.30245728878657396]
305;2;[0.37645483392320517, 0.14288613824182372, 0.09225421360524565, 0.3884047931214365]
306;2;[0.4042940471257982, 0.09602824178127817, 0.23035980419323418, 0.2693178963383052]
307;2;[0.32414401742031834, 0.2227807079572189, 0.2159264661523051, 0.2371488291742574]
308;2;[0.2400260275033728, 0.058820907732937966, 0.06876860825101222, 0.6323843923468426]
309;2;[0.13604822635353808, 0.03231429001213998, 0.07282137666645379, 0.7588161020286693]
310;2;[0.15370274254853591, 0.04836471378972275, 0.2614571725263119, 0.5364753169732727]
311;2;[0.05698042707116715, 0.021627330680603803, 0.10983264785176719, 0.8115596085639832]
312;2;[0.6186888577260974, 0.05754702465165174, 0.04922257863623537, 0.27454150002914257]
313;2;[0.34795070523358357, 0.14965173352789435, 0.12024853174662029, 0.3821490891176733]
314;2;[0.13690130800793046, 0.03684649157902769, 0.06267799354800066, 0.763574209598672]
315;2;[0.2891920601228238, 0.15479335521769236, 0.09388691585931895, 0.46212762378307437]
316;2;[0.2701688054082829, 0.033291332841008096, 0.048438603464863755, 0.6481012724945344]
317;2;[0.2901728609164659, 0.1994326963039909, 0.18158553638274136, 0.32880892846946863]
318;2;[0.0711240757076753, 0.011078996797276842, 0.023823581203913435, 0.893973362613949]
319;2;[0.25509204737558205, 0.15963252422493607, 0.16469980449151858, 0.4205756594263034]
320;2;[0.17417020502153033, 0.08227218914382468, 0.13564389205847496, 0.6079137484965834]
321;2;[0.14292583147132917, 0.5652826291563232, 0.04094894119326083, 0.25084264612367907]
322;2;[0.5481408541487269, 0.11489656479230223, 0.18943241030344415, 0.14753010948342596]
323;2;[0.22201980922462683, 0.13466182135828594, 0.039805958360397686, 0.603512412973247]
324;2;[0.3976484439461995, 0.06291712772292549, 0.14178591913294947, 0.3976484439461995]
325;2;[0.23116601204910428, 0.18003227120333623, 0.0994232628804558, 0.4893784221790116]
326;2;[0.3024553778395294, 0.2078743385017812, 0.1013098614333594, 0.38836039255985005]
327;2;[0.7293742109882598, 0.016367731937891164, 0.038655413575793905, 0.21560261137240333]
328;2;[0.028947108312948, 0.018689657826603458, 0.02325965497247598, 0.9291036101789873]
329;2;[0.3386505395588197, 0.08834227149399415, 0.06463258652165352, 0.5083746416422726]
330;2;[0.3013276147092213, 0.3414489204740708, 0.06516665909707016, 0.2920567386416602]
331;2;[0.10560432681673955, 0.7104861142257337, 0.030256146202187088, 0.15365338886489072]
332;2;[0.23215588335737006, 0.0881164343072847, 0.0486625167458268, 0.6310651191001967]
333;2;[0.20266968019913711, 0.20266968019913711, 0.10848126254087703, 0.4861793176444674]
334;2;[0.2759386953577984, 0.07905775043493309, 0.24351504395649137, 0.401488432706544]
335;2;[0.2534270286634246, 0.3056913479947007, 0.1537112628842394, 0.28717044549528187]
336;2;[0.42279048618601167, 0.09001729435971055, 0.09001729435971055, 0.3971749055563997]
337;2;[0.0668088804940977, 0.07337520068726885, 0.04591702729162066, 0.8138988437808923]
338;2;[0.20973721260317593, 0.29577687770574757, 0.09020685108341128, 0.4042790585701378]
339;2;[0.11655462550302279, 0.6300883900144908, 0.021560437791220743, 0.2317965509909932]
340;2;[0.16269869842041035, 0.02697808889996624, 0.05801200746152928, 0.7523111595145974]
341;2;[0.1700269419774304, 0.0606249731707646, 0.09687843128026105, 0.6724696205254587]
342;2;[0.2510466360363436, 0.22154787870635545, 0.1262341761424511, 0.4011713581998127]
343;2;[0.12188559355729811, 0.07392734946977392, 0.03384640693461156, 0.770340625208694]
344;2;[0.314778615111926, 0.13121924924716133, 0.09600205356786809, 0.45800015519432224]
345;2;[0.10926918447279506, 0.016241410456348776, 0.015020849185511425, 0.859468621096044]
346;2;[0.26031902829781406, 0.09576601865649272, 0.09281960801535434, 0.5510953543832239]
347;2;[0.2941452549787982, 0.24385498135202208, 0.1389443800994617, 0.32305536263527057]
348;2;[0.26939194109503356, 0.15349490115687464, 0.18515019290730567, 0.39196296146060605]
349;2;[0.48884040006187085, 0.05484637284766276, 0.16893872174741126, 0.2873744461933691]
350;2;[0.3698792568150086, 0.07753090872061325, 0.047024873214433514, 0.5055650018679203]
351;2;[0.20301984488401806, 0.32442478837434424, 0.1581120141747084, 0.3144432869803691]
352;2;[0.24309486006379685, 0.3884644571340466, 0.02562200974569911, 0.3428187006185887]
353;2;[0.3119382172643952, 0.17773703857443546, 0.15685238601649804, 0.35347230834557297]
354;2;[0.30573836081988076, 0.09925870137371172, 0.07492439863887829, 0.5200784711278191]
355;2;[0.3697109038072967, 0.18018269341256363, 0.12383763340613571, 0.32626870801455965]
356;2;[0.18743800880868652, 0.05897998629715412, 0.05716536288816114, 0.6964166466367775]
357;2;[0.24197263209011433, 0.37477454402141896, 0.1826505252991344, 0.2006023578054579]
358;2;[0.33682581102862685, 0.03550117929483832, 0.10598694387152269, 0.5216860214831522]
359;2;[0.4111475998558623, 0.0809597626438015, 0.042001371552565274, 0.4658912667588089]
360;2;[0.2294914521177172, 0.5860269179134283, 0.03631082053198618, 0.14817081788760125]
361;2;[0.28035149857111985, 0.2051095379532434, 0.08032204914756857, 0.4342169211357789]
362;2;[0.22716662069169297, 0.16108525517589092, 0.08356993943517753, 0.5281782175979362]
363;2;[0.3084437924060819, 0.047301387557958686, 0.3720542104701816, 0.27220069141981323]
364;2;[0.2951164328056776, 0.5513500496980005, 0.026605553333876836, 0.126927996114535]
365;2;[0.19246029339287526, 0.14988822720452358, 0.35956316509745867, 0.2980883336908999]
366;2;[0.7746181575047393, 0.018217275678231903, 0.0766975770977534, 0.1304669735562141]
367;2;[0.49841034235445514, 0.1618101570469303, 0.20137599408569448, 0.13840356174097204]
368;2;[0.3824050157083741, 0.1922853174726442, 0.042904648567229794, 0.3824050157083741]
369;2;[0.3988879319745713, 0.07378684806278575, 0.046174629636814825, 0.48115068967670627]
370;2;[0.14544381726103528, 0.13242810261483687, 0.10978675313308178, 0.6123413061044367]
371;2;[0.40096966610502666, 0.07188990834285543, 0.12617071842557745, 0.40096966610502666]
372;2;[0.29295563761147536, 0.3424998398409245, 0.20773665381018722, 0.15680785308060993]
373;2;[0.4062547567270221, 0.09064767812351589, 0.10934197139236135, 0.39375561188393193]
374;2;[0.04703666930053111, 0.037795025574123994, 0.027651431406467135, 0.8875168726899114]
375;2;[0.4051397511977932, 0.3926749114683784, 0.053142770363484804, 0.14904258526698136]
376;2;[0.4268516386454252, 0.10792498935087216, 0.1113508962671732, 0.3538724164876354]
377;2;[0.4863189563262305, 0.16806734412682484, 0.12296069567873864, 0.22265305593925688]
378;2;[0.2721590627274718, 0.06669543872183481, 0.06669543872183481, 0.5944500454801626]
379;2;[0.24822664305597697, 0.033593823044854206, 0.4092565219672871, 0.3089230485664405]
380;2;[0.6205780917073449, 0.18926562461033172, 0.055946818440539545, 0.13420944053307315]
381;2;[0.23903890001417957, 0.055029879439374686, 0.03552996056953682, 0.6704011739284224]
382;2;[0.2640651516757793, 0.080535321078185, 0.11357300651555784, 0.5418265107595945]
383;2;[0.5377611243918063, 0.0774718353023954, 0.0877870903291573, 0.29697989854779583]
384;2;[0.6459519065782556, 0.05139161174820017, 0.17937437152103383, 0.12328206773990666]
385;2;[0.4416190216105883, 0.0511211122946216, 0.06564080751564232, 0.4416190216105883]
386;2;[0.44311044277426903, 0.10200981615439791, 0.06383611177212632, 0.39104359325118104]
387;2;[0.265640699336693, 0.24186860915029731, 0.1178773457787144, 0.37461340781177765]
388;2;[0.4576674201846764, 0.2954922954362912, 0.13112392688072722, 0.11571645932697072]
389;2;[0.6404570539479373, 0.08942783159011691, 0.09226657569004312, 0.1778485007079526]
390;2;[0.2601101706656238, 0.08444539862491963, 0.18444573013384066, 0.470998672054495]
391;2;[0.1223851059601676, 0.02525559409101588, 0.054308061563812314, 0.7980511746643546]
392;2;[0.24485084691938477, 0.06190798178754014, 0.06799261646370285, 0.6252485228572621]
393;2;[0.2298480331055176, 0.061862758872934645, 0.1394098791531408, 0.5688793115075541]
394;2;[0.37286418803315696, 0.199579817930201, 0.13716906912648139, 0.2903869216195062]
