id;amount_answer_tokens;confidence_per_choice;finish_reason
0;6310;[0.9270553777758358, 0.053961092233798386, 0.010962863450178134, 0.008020602238158227];stop
1;7109;[0.9513761581040991, 0.0296410309877886, 0.011250466376572867, 0.007732324922016849];stop
2;8706;[0.016850073680199314, 0.021635922878437068, 0.9491862343161371, 0.012327777253336275];stop
3;15675;[0, 0, 0, 0];length
4;10274;[0.8339073940485736, 0.12394925938800598, 0.022222877657773515, 0.0199204587871899];stop
5;1069;[0.02574776691853957, 0.9661779299756293, 0.002146788791236828, 0.005927473926171833];stop
6;11546;[0.0054209097517504265, 0.0064374896115106574, 0.002405514120531546, 0.9857360651938617];stop
7;5116;[0.0045885048450020885, 0.003463585170926008, 0.001107028312386251, 0.9908409371612872];stop
8;1524;[0.9835501783974373, 0.007747874118408843, 0.006225591752242736, 0.002476369307121763];stop
9;13295;[0.005614846106224513, 0.008972498529919803, 0.9742462476186572, 0.011166454837386923];stop
10;5014;[0.06048553587919237, 0.8614820203403541, 0.03237557433943315, 0.04565687782914139];stop
11;7540;[0.019896735386009463, 0.03280417084840573, 0.01811618372659839, 0.9291829576725903];stop
12;1304;[0.9363432130861757, 0.03203990093598131, 0.022719691838386135, 0.008897161281523255];stop
13;2896;[0.03649894176454569, 0.9413201042053957, 0.0069659449372767275, 0.015215022580096778];stop
14;1991;[0.44297288693582176, 0.4715421835940297, 0.01539639859297552, 0.07008849265782328];stop
15;1118;[0.9756824027644775, 0.009416958222989427, 0.007333934438214871, 0.007566738507658828];stop
16;1274;[0.10280802617952361, 0.01117985419052622, 0.8343169374929389, 0.05169512203192767];stop
17;11953;[0.020787651255487136, 0.032196544101938354, 0.8567183176398367, 0.09029744096503672];stop
18;5155;[0.9758380112349652, 0.013076234126925405, 0.005802543719813566, 0.005283276179250898];stop
19;8570;[0.03372668054517496, 0.9115661300552454, 0.025859142971169948, 0.028847958609905557];stop
20;1937;[0.3500507922368707, 0.15055496969288598, 0.43564524967823726, 0.06374899274533494];stop
21;4118;[0.00517229825590656, 0.0066413624232736996, 0.0025207768470825957, 0.985665528412674];stop
22;6447;[0.016698166754082703, 0.031196282534844147, 0.011476470985544891, 0.9406290560063247];stop
23;5704;[0.9424914042485846, 0.0343302489364856, 0.010148002201989727, 0.013030292755957976];stop
24;2293;[0.009537085087187177, 0.011869094160480605, 0.005784534509667157, 0.9728092383626477];stop
25;5148;[0.0410260143243045, 0.1431948772397234, 0.017102191268068646, 0.7986768856342248];stop
26;3294;[0.11020238869027123, 0.6965006049984633, 0.027863527413165744, 0.1654333991300166];stop
27;5525;[0.7619882212593441, 0.09995110910737642, 0.05519824490106001, 0.08286237984444127];stop
28;5196;[0.02650764179490889, 0.04439194619769449, 0.9199395868653173, 0.009160793692839751];stop
29;1999;[0.03068020030943165, 0.010602796042052077, 0.004283916853942164, 0.9544331056930188];stop
30;3957;[0.7767813674954505, 0.14369010049891984, 0.05123428314559596, 0.028294258399501306];stop
31;660;[0.07397303164675569, 0.8734496621640894, 0.014795533595795307, 0.037781727624503506];stop
32;4375;[0.9958443017077006, 0.0029775209552192075, 0.0007072232161575571, 0.00047111222678452826];stop
