id;amount_answer_tokens;confidence_per_choice;finish_reason
250;416;[0.731261140729365, 0.010109957329793947, 0.10534814941293588, 0.1532806529417372];stop
251;276;[0.5426027366010823, 0.03208063454608901, 0.38476295513127867, 0.040553721945348266];stop
252;256;[0.7638758354425215, 0.012939442790099091, 0.1758541972699413, 0.04733051510390632];stop
253;320;[0.37724900451294013, 0.019378332841161285, 0.5842946883192065, 0.019077899637228175];stop
254;262;[0.6763813435707227, 0.06909669604270297, 0.20628465486670525, 0.04823726791178571];stop
255;188;[0.5710567237627158, 0.03886089774877714, 0.3573581663078937, 0.032724156819056556];stop
256;585;[0.26972082870752034, 0.00559787854520826, 0.15368229566973637, 0.570998998854605];stop
257;376;[0.7471733639840561, 0.021868497897747852, 0.1298392502921101, 0.10111890980089949];stop
258;275;[0.2892345011986083, 0.021957590779510452, 0.6724903834840456, 0.016317492023729393];stop
259;284;[0.5033331845173586, 0.03217701396055584, 0.29589431465384936, 0.16859549842529084];stop
260;340;[0.4605701905807254, 0.1027671003838701, 0.4193539306665275, 0.017308803875917562];stop
261;519;[0.7798595913219509, 0.05475473166382201, 0.10889278649676679, 0.05649283342353074];stop
262;316;[0.837866089211957, 0.011053346469486759, 0.13256965826430275, 0.018510871905330087];stop
263;307;[0.5937129506679186, 0.03246445619493398, 0.19275037433694597, 0.1810722195143144];stop
264;398;[0.445492000787604, 0.0028198372540559737, 0.11990253110654593, 0.43178565285670745];stop
265;485;[0.5204594344413616, 0.013869774954755354, 0.4451725453024824, 0.020498198595049595];stop
266;512;[0.6637404477719109, 0.1348470390172178, 0.17314704610392637, 0.028265474901617234];stop
267;395;[0.1677873254378303, 0.010076412106210852, 0.8004685609798537, 0.02166769100874597];stop
268;257;[0.902441211797065, 0.012283153419998962, 0.0764283304231854, 0.008847223517072504];stop
269;237;[0.8942595553355696, 0.013368097612129226, 0.0757354307979711, 0.016636866280874744];stop
270;307;[0.43583941834335793, 0.014230659399959152, 0.5257226902958039, 0.0242071670824181];stop
271;341;[0.8374325537369217, 0.013535838365577925, 0.1367071084175055, 0.012324521081824087];stop
272;307;[0.6316274039999399, 0.07783177671562229, 0.20505939515972965, 0.0854814838105246];stop
273;327;[0.2707129684196088, 0.007214257965640812, 0.713233675577297, 0.008839093630193005];stop
274;483;[0.8137606807737021, 0.033587912633877434, 0.1067421655952112, 0.045909233352814376];stop
275;360;[0.9169535133346958, 0.006275679379945032, 0.06642388773808247, 0.010346846081809566];stop
276;415;[0.48683934593536227, 0.01493278755942182, 0.20294483300557914, 0.29528298966424227];stop
277;429;[0.12053332708921818, 0.004673584275206274, 0.8632258648883819, 0.011567232172060946];stop
278;371;[0.33657366577904513, 0.010989519465393009, 0.3262183827225839, 0.3262183827225839];stop
279;607;[0.17295232776416966, 0.006811695044937149, 0.7751186032308733, 0.04511731035410546];stop
280;404;[0.9045109277228085, 0.0110357986198424, 0.074246779916973, 0.010206445256454276];stop
281;492;[0.59736802765677, 0.2911339425060291, 0.08605902902397013, 0.02543900038861033];stop
282;542;[0.9656786462864473, 0.002015679276828075, 0.02739419172982434, 0.0049115091086081525];stop
283;455;[0.7385004430279958, 0.05694704445071495, 0.17001245040949628, 0.034540128439376795];stop
284;382;[0.8804483348699471, 0.009332996902279308, 0.09878355807627351, 0.01143502684024418];stop
285;299;[0.9299455220999426, 0.005443927826328363, 0.05762036508105161, 0.006990141695619267];stop
286;457;[0.9078004356386582, 0.005836606620963047, 0.07932271804588435, 0.007040291460176404];stop
287;354;[0.22793437090399923, 0.039609054479884345, 0.7020872478583681, 0.030369315514945393];stop
288;361;[0.265617615214091, 0.014077219562211727, 0.6782783420865177, 0.04202681458033042];stop
289;615;[0.7694530549417866, 0.01926287859162237, 0.19454820520019694, 0.016735878947364707];stop
290;308;[0.5262705636870537, 0.11381398446959717, 0.2816923169164556, 0.07822313130243636];stop
291;227;[0.6140645522423874, 0.016110562554621472, 0.3286850890272918, 0.041139762702944734];stop
292;355;[0.21302556688543603, 0.006432813188293904, 0.7671344897924761, 0.013407133987467144];stop
293;411;[0.245827891200146, 0.008026563056062341, 0.7339065187187416, 0.01223904710789292];stop
294;282;[0.39058010857730907, 0.009931963090802538, 0.586330188117894, 0.01315771332695284];stop
295;329;[0.8739269375993755, 0.010334592947564978, 0.1011643888952752, 0.014574112035015772];stop
