id;amount_answer_tokens;confidence_per_choice
1200;2;[0.6049394576827218, 0.2058202845812642, 0.059430994492053905, 0.12980922635712266]
1201;2;[0.16491766707431724, 0.5535675918943082, 0.0543309844502544, 0.22718368196637287]
1202;2;[0.283814895115661, 0.14271109156266493, 0.15073295299204453, 0.4227410461339636]
1203;2;[0.21930432898750418, 0.16044647458291414, 0.08588080918608648, 0.5343683818962378]
1204;2;[0.5953522963298936, 0.09737860346872179, 0.11474003561871504, 0.19252906601271075]
1205;2;[0.49949430092461367, 0.12145377625736292, 0.14310752174910185, 0.23594441510492542]
1206;2;[0.29996398539314817, 0.2907350637890158, 0.07466693071564963, 0.33463400719549635]
1207;2;[0.34531014592188264, 0.29767595242634926, 0.13055397422938683, 0.22645992255006925]
1208;2;[0.44997597065345335, 0.23344445828348667, 0.11533789732522992, 0.20124170192760718]
1209;2;[0.319093675712867, 0.350455842401646, 0.11114072753564662, 0.2193096622474567]
1210;2;[0.4830134765896186, 0.15681151694215417, 0.20937084447633894, 0.1508041620667596]
1211;2;[0.45872792186868355, 0.1195057441541323, 0.21500143701354174, 0.20676486130758392]
1212;2;[0.34453425090574996, 0.17055682191892388, 0.19478200450225283, 0.2901269273052428]
1213;2;[0.6604706966115065, 0.180562635329144, 0.08629714175881746, 0.07266947918208506]
1214;2;[0.351440207228588, 0.1862842930972527, 0.16633315157095435, 0.2959423255792371]
1215;2;[0.4611021903085282, 0.07425074522869392, 0.18057021219781583, 0.2840768185342203]
1216;2;[0.522770774215259, 0.16417614284037343, 0.1727285251440168, 0.1403244822663097]
1217;2;[0.5772978896229768, 0.21572046077682958, 0.07966971588614284, 0.12731184348491595]
1218;2;[0.4968843178858897, 0.2137072821408142, 0.09784232341760382, 0.1915659696267694]
1219;2;[0.16258574123673536, 0.24028614908789847, 0.09632886371998352, 0.5007993097012535]
1220;2;[0.4304649016340547, 0.17392353204865532, 0.11768254842811438, 0.27792901285309435]
1221;2;[0.3084407405638551, 0.15570076404046307, 0.18634941486838758, 0.34950914803271876]
1222;2;[0.5252467000977352, 0.1247570189983025, 0.16271382737684384, 0.18728246731444526]
1223;2;[0.5014130724276129, 0.1277714035145392, 0.16342211357057965, 0.20739345900641215]
1224;2;[0.357702458190309, 0.13790658262803543, 0.12361866172462264, 0.38077228468488117]
1225;2;[0.4176670159579475, 0.14099819122779597, 0.08962390328390832, 0.3517109108332374]
1226;2;[0.3978872390823775, 0.21632753961865317, 0.040094809637565586, 0.34569042400962313]
1227;2;[0.3738913469260338, 0.27461537683108617, 0.13436068435515355, 0.21713259585032552]
1228;2;[0.36961014468451314, 0.14138848112984154, 0.13076296897537573, 0.35823843602784017]
1229;2;[0.45526177375422217, 0.17898086309664607, 0.12016206701430854, 0.24559531983643942]
1230;2;[0.5861912862631743, 0.1653428444605853, 0.06256583770416153, 0.18589995699281198]
1231;2;[0.43157399687229403, 0.1870734804692676, 0.12364802030403692, 0.2577046040320269]
1232;2;[0.8505935419659212, 0.0687384959193449, 0.03323976467744202, 0.04742813606482048]
1233;2;[0.3729692132887761, 0.1707577385793599, 0.1003832959617594, 0.355889688308755]
1234;2;[0.6191060187983283, 0.08577382953760851, 0.07779348543599653, 0.21732665888429048]
1235;2;[0.2482015512226007, 0.19481562970997138, 0.1541118477118887, 0.4028709076607008]
1236;2;[0.3384811074793292, 0.16756029863360275, 0.2719772106269142, 0.2219813297978541]
1237;2;[0.3966959252232229, 0.2561261395603231, 0.1553483563971728, 0.19182961492774148]
1238;2;[0.3133493332114716, 0.3335586289092175, 0.19304892394671366, 0.1600431791852192]
1239;2;[0.551941210700887, 0.08940075769339235, 0.1373890302108272, 0.2212689739665321]
1240;2;[0.4599809511407129, 0.1267380627885025, 0.08710571176927483, 0.32617533625731443]
1241;2;[0.354853813953204, 0.19293067220207777, 0.11886113904634193, 0.33335430821682266]
1242;2;[0.3298281787171475, 0.2032012461493843, 0.24896737114761078, 0.21800311426590005]
1243;2;[0.5597500546016823, 0.13038074581741932, 0.10394859351529798, 0.2059205372825512]
1244;2;[0.3508397379160332, 0.33477361660636185, 0.12363835124692668, 0.19074825691535988]
1245;2;[0.3748900508470091, 0.2576579126725518, 0.09953017955031807, 0.26792183706737205]
1246;2;[0.2769192078374524, 0.20259842040940357, 0.13601814489564837, 0.38446422264641067]
1247;2;[0.6147194569878577, 0.12343285643556944, 0.1164082705534649, 0.1454394307488904]
1248;2;[0.40477918576545097, 0.17752704226281052, 0.17409335844036863, 0.24360040492490545]
1249;2;[0.5775289965729404, 0.09803466023866259, 0.12011457657609934, 0.20432177754320263]
1250;2;[0.4038071071215628, 0.15690254277145912, 0.13685283014748223, 0.3024375669515585]
1251;2;[0.5765006188493387, 0.13533560590145666, 0.15699204937900044, 0.13117176704768463]
1252;2;[0.47230025180285407, 0.15525454912459388, 0.14450132521724712, 0.22794382691939652]
1253;2;[0.2760019915493092, 0.11870696322036806, 0.09764568444555828, 0.5076453538573095]
1254;2;[0.3934659620066023, 0.3378664886645991, 0.15258608651248481, 0.1160813732254202]
1255;2;[0.5579108392673227, 0.12503499210911473, 0.15968810056221178, 0.15736596872597194]
1256;2;[0.5057757730094591, 0.10467895787042455, 0.15156511123169555, 0.23798013046105004]
1257;2;[0.5667351307480082, 0.15253469113738302, 0.06223438609161512, 0.21849585695362744]
1258;2;[0.6055824105631987, 0.09581706266482178, 0.10199673227648809, 0.1966038237781596]
1259;2;[0.37742654912792667, 0.1261753811354606, 0.11601140182964975, 0.3803867422410312]
1260;2;[0.2680363300822945, 0.2537716968001939, 0.03627477264938954, 0.4419171723867627]
1261;2;[0.48805395130265805, 0.1293214306023655, 0.2165726409737318, 0.1660520038158572]
1262;2;[0.4709076097480716, 0.20896398512241768, 0.17873636824999772, 0.14139210496266377]
1263;2;[0.5223274370415968, 0.06692731801782094, 0.07350527885962896, 0.337239960139832]
1264;2;[0.5927058833119976, 0.1954536554955486, 0.07958978814894314, 0.1322505586643226]
1265;2;[0.3514114684766243, 0.21990767776433934, 0.1634215096472398, 0.2652592929992677]
1266;2;[0.4500258061952881, 0.07433066304694093, 0.09963288781288504, 0.37601063524679906]
1267;2;[0.3963737285928039, 0.13380986923296148, 0.24041281909614964, 0.22940351456599056]
1268;2;[0.4737052851908659, 0.1656378961930037, 0.09493224555985999, 0.26572456636277697]
1269;2;[0.2376693477401233, 0.24521378269548397, 0.0867532526368117, 0.4303636169222296]
1270;2;[0.379727263535391, 0.19394570863341687, 0.13969385350696065, 0.28663317647142944]
1271;2;[0.3460368810176332, 0.2983024372381744, 0.09240978413175875, 0.2632509768961246]
1272;2;[0.4739036213526426, 0.2536623293455381, 0.06540084772538368, 0.20703315935166683]
1273;2;[0.33872091228551743, 0.40224103589537485, 0.05359343718085086, 0.20544461838699993]
1274;2;[0.4132765890036839, 0.11490294764943243, 0.18555213345430882, 0.28626834365211123]
1275;2;[0.300025818200614, 0.21864781433369937, 0.15565134400219485, 0.32567494464772145]
1276;2;[0.47109036971162394, 0.08579192976310691, 0.14367444526776763, 0.2994432578557212]
1277;2;[0.28870132047839314, 0.37360726815275647, 0.11108710849284555, 0.22660426282612614]
1278;2;[0.5099634020580138, 0.18614508617944953, 0.15431969664896367, 0.14957177872648328]
1279;2;[0.5141924456384983, 0.10324747063195532, 0.15438856951923585, 0.2281715146160955]
1280;2;[0.47430074072933914, 0.12086256033453793, 0.04960189481960449, 0.3552348197927632]
1281;2;[0.2665691113407549, 0.619791753145423, 0.02910150551657354, 0.08453757911892472]
1282;2;[0.4985408053724159, 0.12313090547304548, 0.1428343321697396, 0.23549400163449724]
1283;2;[0.4464886005461423, 0.18039770201997393, 0.15551253966475895, 0.2176011651025249]
1284;2;[0.5904224855506917, 0.0739000347540381, 0.12184055920446132, 0.21383684083843682]
1285;2;[0.2705182154572554, 0.35558948589285483, 0.08816813060984942, 0.2857241788813967]
1286;2;[0.3194806900635336, 0.18781300883655117, 0.09820030625140773, 0.3945059939678391]
1287;2;[0.5555608484395305, 0.17756791247361117, 0.10770038309641454, 0.15917084802564252]
1288;2;[0.41957049708707606, 0.1372829414361601, 0.15925099811895177, 0.2838955991800168]
1289;2;[0.21069225543604228, 0.29712370397312493, 0.05306365308712906, 0.43912036865815673]
1290;2;[0.4499881473968883, 0.14159505287126306, 0.1579606961124582, 0.250456121948352]
1291;2;[0.38451807867369037, 0.1392632110075489, 0.10930894675809663, 0.36690969198657764]
1292;2;[0.1453248908096192, 0.061055565674088076, 0.043976674230940475, 0.7496428715354455]
1293;2;[0.5769085383127756, 0.25600162729798737, 0.048502220594170115, 0.11858767389365071]
1294;2;[0.37906486122524646, 0.1764537655919135, 0.0925316805429529, 0.3519498093076879]
1295;2;[0.2737636147360325, 0.1293167749587789, 0.2454001182368768, 0.35151943948537645]
1296;2;[0.16876480980310188, 0.08486027561925945, 0.04686429513224525, 0.6995106562556183]
1297;2;[0.3062146179313323, 0.2702334518505261, 0.024172695762350583, 0.39937917603534173]
1298;2;[0.3749438172252774, 0.2170008333842653, 0.18416621532808605, 0.22388917926602692]
1299;2;[0.42264840570416984, 0.14720896989513238, 0.13508654420481175, 0.29505613938242964]
1300;2;[0.43929079194482645, 0.23697960676251545, 0.11459584992056705, 0.2091337689436353]
1301;2;[0.6877985678003089, 0.05558264684893216, 0.05645794617398581, 0.20016080039916745]
1302;2;[0.4263558266318965, 0.3047027683383693, 0.1568475432415304, 0.11209389750234383]
1303;2;[0.42923695943329165, 0.1329714227559333, 0.15185811324894605, 0.28593345800427944]
1304;2;[0.6123950705872242, 0.09842084434666264, 0.11779432726538781, 0.17138973486186598]
1305;2;[0.43316332956043085, 0.20702378105926544, 0.16457090051364814, 0.19524202074289518]
1306;2;[0.3284319120946544, 0.08978828833073259, 0.16006493030556349, 0.4217149227808903]
1307;2;[0.431857437727752, 0.3994028387611025, 0.07570806173600253, 0.09303161095349868]
1308;2;[0.3995471307807911, 0.16590669338315384, 0.12820275604578604, 0.3063434298129095]
1309;2;[0.39582568408908697, 0.14675820419042535, 0.1188484156493306, 0.3385676291336607]
1310;2;[0.5674808425210733, 0.10415648497686707, 0.1744292877128774, 0.15393330612665154]
1311;2;[0.6167385777482901, 0.11679062418401386, 0.0582690043851432, 0.2082017985630633]
1312;2;[0.3726426540044136, 0.3065274677062581, 0.08396377817760993, 0.2368660682840675]
1313;2;[0.38204241251023213, 0.18765292818402957, 0.054185142603810334, 0.376119393901274]
1314;2;[0.35897941310986403, 0.19824726044800547, 0.1357220157053475, 0.3070513636030831]
1315;2;[0.42387639746071337, 0.20100870325843512, 0.12883390133569522, 0.24628101144248032]
1316;2;[0.34163641331454575, 0.14808842367002265, 0.32031148967852224, 0.1899636978745827]
1317;2;[0.5058110758928333, 0.1720935615418757, 0.15916052615415366, 0.1629349092619711]
1318;2;[0.4908011150285572, 0.09410656174521556, 0.17775638418545098, 0.23733591125004747]
1319;2;[0.5807783445490503, 0.1771273875279949, 0.06217756830204308, 0.17991673800950672]
1320;2;[0.4539030306378912, 0.1877424517907356, 0.09565564200401376, 0.2626989202088535]
1321;2;[0.2814122954043442, 0.5774205385911572, 0.03764131335432144, 0.10352581031336056]
1322;2;[0.6414731596530118, 0.07721393397186926, 0.18961909815207872, 0.09169381535032471]
1323;2;[0.3732051333418893, 0.15316307811883187, 0.12847339686380174, 0.3451583246574418]
1324;2;[0.476804376243984, 0.09446314984295187, 0.2512582498537632, 0.17747416412091904]
1325;2;[0.5777492795543685, 0.17897838811670064, 0.12543608070990153, 0.11783629276700695]
1326;2;[0.42680286846542775, 0.19770795958081303, 0.11863467376975147, 0.25685449063958127]
1327;2;[0.47390203953129006, 0.22738068350073856, 0.10574183797528428, 0.19297547970652545]
