id;amount_answer_tokens;confidence_per_choice
300;2;[0.46167046611071416, 0.12425692026979913, 0.3173011616923247, 0.09677138680816069]
301;2;[0.4548262911075731, 0.4013827931164728, 0.10148546922355432, 0.04230543766855196]
302;2;[0.17015656974673324, 0.338396745950921, 0.29863408014639403, 0.19281265378766832]
303;2;[0.10801755886369403, 0.45477090924093877, 0.2591206532727523, 0.17809084690767552]
304;2;[0.15064741000028545, 0.5958221001741651, 0.24837558924335382, 0.005154870898735829]
305;2;[0.10174588580752247, 0.4854024735506341, 0.33361191596996925, 0.07923977554119224]
306;2;[0.30791212489802433, 0.21162470225215887, 0.4480094981834727, 0.032453699197447686]
307;2;[0.09680101591505846, 0.5233013167473933, 0.31739831179369926, 0.06249943328228043]
308;2;[0.013987945116632438, 0.9806307899706174, 0.0045412208953879, 0.0008400413985171556]
309;2;[0.8357982655207874, 0.044295684629437025, 0.11311299330741041, 0.006792963247720722]
310;2;[0.7059083400902918, 0.20224611352467492, 0.05443380299983427, 0.03741176920560595]
311;2;[0.10606209600274055, 0.44653807647203125, 0.3940684693726508, 0.05333137109596346]
312;2;[0.10199247672996942, 0.45709856821741335, 0.40338807062772064, 0.03752093534311248]
313;2;[0.9055725186499881, 0.08423137091359606, 0.005732016726367615, 0.004464099115073489]
314;2;[0.5479338524229053, 0.37658906225689753, 0.06544137030929578, 0.01003575917406874]
315;2;[0.6714735919326225, 0.24702132239974506, 0.062456771310705504, 0.019048239039092422]
316;2;[0.5359458889730213, 0.28687116214057956, 0.17399615522565554, 0.0031868507471412458]
317;2;[0.15999190403346988, 0.23278684677711786, 0.5584265822093133, 0.048794773863481744]
318;2;[0.015400150594870739, 0.17624539051772903, 0.4790846709496817, 0.3292697383508106]
319;2;[0.07484626930163224, 0.40461506084810833, 0.45848893028757376, 0.062049736638224946]
320;2;[0.3538051801782447, 0.5147834689233052, 0.11486372470903262, 0.016547684534329348]
321;2;[0.3825886127238588, 0.3825886127238588, 0.15948667131221259, 0.07533616913588914]
322;2;[0.3235140096962299, 0.30391328671180384, 0.28550011149964566, 0.08707261447247806]
323;2;[0.013178817438852604, 0.16055090213634887, 0.010925623399992456, 0.815344709247337]
324;2;[0.48649070485628965, 0.2027995098690064, 0.29507154574818356, 0.01563821528628919]
325;2;[0.40366404357810365, 0.2160657926073677, 0.3143738732363968, 0.0658963515086013]
326;2;[0.1960365542442238, 0.775339635639808, 0.01609166028537097, 0.012532197631165939]
327;2;[0.47331628151112165, 0.2533479489829395, 0.17412332913965653, 0.0992124705016969]
328;2;[0.3080813125444347, 0.5755716667215531, 0.01632771139521246, 0.10001935826454963]
329;2;[0.002209173923982478, 0.21168909295899885, 0.7388674907409911, 0.04723422121361726]
330;2;[0.0065862642403874405, 0.6718173168835133, 0.3173440205903942, 0.004252411801470871]
331;2;[0.15347131682356224, 0.3248987802650503, 0.36815857220460074, 0.15347131682356224]
332;2;[0.001967529505046464, 0.0034531218205385876, 0.03712454937455498, 0.9574547868771565]
333;2;[0.050996493595957704, 0.2934645585142073, 0.42698843858338587, 0.22855042797456876]
334;2;[0.5104933916267411, 0.1878000236333598, 0.1878000236333598, 0.11390647222838986]
335;2;[0.7135910362570286, 0.1495768069684251, 0.09657404500695292, 0.04025805145012156]
336;2;[0.3578158171385345, 0.5899385838723279, 0.033282055462636954, 0.01896354357435253]
337;2;[0.1625069735878059, 0.44173975330160675, 0.005919316785876456, 0.38983396403715126]
338;2;[0.14334826643895446, 0.44154374554845865, 0.30346828243266466, 0.11163974215458611]
