id;amount_answer_tokens;confidence_per_choice
900;2;[5.670512996783356e-14, 1.0806085020431676e-11, 0.9990889988442552, 0.0009110514045295695]
901;2;[2.260322940135999e-06, 1.0677009553134769e-06, 0.9999966621509202, 1.1861074904847522e-08]
902;2;[8.993520171598862e-08, 9.862601836876091e-05, 0.37750340457023973, 0.6223978928766702]
903;2;[1.18610975280741e-08, 2.902312105056987e-06, 0.9999971389852362, 1.4930918283477907e-10]
904;2;[5.905292735481273e-10, 1.18610975280741e-08, 1.3709577789362383e-06, 0.9999985694905718]
905;2;[0.9999985694905718, 3.224180587614433e-08, 1.3709577789362383e-06, 5.602785751061334e-09]
906;2;[0.001501174792731263, 4.777912580795158e-06, 0.9984939165893366, 1.1236573379736912e-07]
907;2;[4.139937718785167e-08, 2.289734845645553e-11, 1.0, 1.186112015134383e-08]
908;2;[2.382369667501818e-07, 0.9999995231630692, 3.398267819495071e-09, 2.382369667501818e-07]
909;2;[0.9999545833252356, 5.905033681766947e-10, 4.539785156619626e-05, 2.5435492102693003e-13]
910;2;[1.0, 4.363462252943702e-09, 2.172439935079017e-10, 3.398267819495071e-09]
911;2;[0.00070967033651176, 0.9992900170635234, 3.925073839200577e-07, 3.395857489191118e-09]
912;2;[6.825577338773997e-08, 0.9999961853172863, 2.5436559440810405e-13, 3.7266389560521204e-06]
913;2;[2.3819902729188937e-07, 0.9998411192709713, 2.3819902729188937e-07, 0.00015843609000250583]
914;2;[8.76423150298272e-08, 0.9999982118638471, 8.315271330899149e-07, 8.315271330899149e-07]
915;2;[0.9914079477188222, 0.008577358139441703, 1.7452219032388313e-06, 1.2895542548114243e-05]
916;2;[0.004050140774948675, 0.0024565345561586563, 0.9910367767791729, 0.0024565345561586563]
917;2;[1.4166087866431961e-09, 1.8553913626159784e-07, 0.9999997615814777, 2.9400777392844726e-11]
918;2;[1.4166087866431961e-09, 0.9999991655356624, 8.315279260963632e-07, 7.194133030325383e-09]
919;2;[0.006692851264215723, 0.9933071486460123, 1.6805735860364482e-10, 1.7713115278739324e-11]
920;2;[4.277779709743936e-11, 3.224180587614433e-08, 0.9999977350285647, 2.2603250957489616e-06]
921;2;[0.00026118880305398765, 0.9997325658897344, 7.192212246017217e-09, 6.142571890658897e-06]
922;2;[5.602796437537268e-09, 0.9999998807907247, 8.764248219443636e-08, 3.850741922767617e-09]
923;2;[1.0, 7.582560427911907e-10, 2.7894680928689246e-10, 4.508755242294825e-12]
924;2;[0.9705715299881211, 0.029308717791066922, 0.00011977805932384727, 9.449671159861914e-10]
925;2;[3.581747930283181e-10, 8.764248219443636e-08, 1.8553913626159784e-07, 0.9999996423722521]
926;2;[0.999998927117538, 4.363453930307876e-09, 1.0677029917933763e-06, 1.18610975280741e-08]
927;2;[6.825577338773997e-08, 3.7266389560521204e-06, 0.9999961853172863, 2.5109895770606383e-08]
