id;amount_answer_tokens;confidence_per_choice
('abstract_algebra', 0);2;[0.04906475397303015, 0.3459402026251332, 0.06919239344999183, 0.5358026673414376]
('abstract_algebra', 1);2;[0.17522831775464703, 0.27139892771708674, 0.1646117706735459, 0.3887610145972059]
('abstract_algebra', 2);2;[0.16259240868880598, 0.0768032155941895, 0.421732644151784, 0.33887167943920765]
('abstract_algebra', 3);2;[0.21052381637707313, 0.14928373974329817, 0.1026011138233906, 0.5375913661287259]
('abstract_algebra', 4);2;[0.09878777394479739, 0.5684843544150713, 0.09574839366723388, 0.23697955026218107]
('abstract_algebra', 5);2;[0.17637902329182414, 0.212753713257926, 0.10049773811449683, 0.5103695960137995]
('abstract_algebra', 6);2;[0.41726953417538404, 0.1312996766098828, 0.10550225407411438, 0.3459285733420147]
('abstract_algebra', 7);2;[0.26307673916632335, 0.11314789559249921, 0.132283291882452, 0.4914920837371449]
('abstract_algebra', 8);2;[0.039422541342326624, 0.544211364125919, 0.0649967824561491, 0.3513692862564535]
('abstract_algebra', 9);2;[0.0929481168138611, 0.1791621844067835, 0.3047651420002687, 0.4231245217397185]
('abstract_algebra', 10);2;[0.35620160886865326, 0.10205345742446552, 0.11208379580632784, 0.4296611555097902]
('abstract_algebra', 11);2;[0.10518315987665859, 0.19650801322951456, 0.19650801322951456, 0.5018007910077785]
('abstract_algebra', 12);2;[0.11575064709003764, 0.10214958752912083, 0.3097647948967763, 0.47233493546402255]
('abstract_algebra', 13);2;[0.15345031536341527, 0.27786262481609275, 0.096026753623207, 0.47266027502692415]
('abstract_algebra', 14);2;[0.10233299418398367, 0.13987261908458634, 0.32017161366730856, 0.43762273533166307]
('abstract_algebra', 15);2;[0.26625907967556706, 0.11815173630591143, 0.11815173630591143, 0.4974374492335022]
('abstract_algebra', 16);2;[0.051426715507705834, 0.058274103123864635, 0.22338744271480923, 0.6669117344410076]
('abstract_algebra', 17);2;[0.1486303695966569, 0.22312061124431454, 0.09301049754749227, 0.5352385218888236]
('abstract_algebra', 18);2;[0.05793417656703519, 0.09551730920656784, 0.16248041627874368, 0.6840680831904261]
('abstract_algebra', 19);2;[0.21671729291297723, 0.1234818060441725, 0.13992320082070558, 0.5198777597443719]
('abstract_algebra', 20);2;[0.2562609459872907, 0.12489162544425764, 0.12489162544425764, 0.493955901798163]
('abstract_algebra', 21);2;[0.10628475537843275, 0.5700986881624843, 0.06055922814535858, 0.26305732730520176]
