id;amount_answer_tokens;confidence_per_choice
('abstract_algebra', 0);2;[5.904245327342079e-10, 0.9998205030304157, 3.2236087221471365e-08, 0.00017952801482389944]
('abstract_algebra', 1);2;[0.0074328321428009094, 0.3160520650367398, 0.6690822468734529, 0.0074328321428009094]
('abstract_algebra', 2);2;[9.603423122466463e-05, 5.598277876957953e-09, 0.9991944370137356, 0.0007096023219367244]
('abstract_algebra', 3);2;[1.9171678570473336e-10, 1.0677029917933763e-06, 4.0586443852184914e-10, 0.999998927117538]
('abstract_algebra', 4);2;[2.335593038799337e-09, 0.9999995231630692, 5.3157852544244216e-08, 4.450852500419419e-07]
('abstract_algebra', 5);2;[3.581747930283181e-10, 0.9999998807907247, 4.944450501938644e-09, 9.931194312156244e-08]
('abstract_algebra', 6);2;[1.0, 3.2241867372567335e-08, 8.152020714470167e-09, 9.237449661970594e-09]
('abstract_algebra', 7);2;[4.222831140981511e-06, 4.4508312771514407e-07, 0.9999952316511552, 9.931156427728716e-08]
('abstract_algebra', 8);2;[1.6586783589142312e-12, 1.0, 3.775134544279098e-11, 4.5990553786523166e-10]
('abstract_algebra', 9);2;[2.6370855879942147e-07, 0.0001754035414476223, 0.022973330311281053, 0.9768509620544733]
('abstract_algebra', 10);2;[0.9999998807907247, 6.023573837886479e-08, 1.6918979226151304e-10, 9.237449661970594e-09]
('abstract_algebra', 11);2;[5.043178424779305e-07, 5.829121699710653e-05, 0.9999412332751231, 4.690886651790856e-08]
('abstract_algebra', 12);2;[2.1412403864365525e-05, 1.6675996897009046e-05, 0.0015011246864529574, 0.9984607584039401]
('abstract_algebra', 13);2;[2.5109943663977427e-08, 0.9999985694905718, 9.422445831379603e-07, 5.043471815847051e-07]
('abstract_algebra', 14);2;[8.310538432110507e-07, 0.9994289561388997, 0.0004304965487732378, 0.0001397617667484858]
('abstract_algebra', 15);2;[1.0, 1.7257827987960214e-08, 7.05287985111216e-11, 5.602796437537268e-09]
('abstract_algebra', 16);2;[1.9255951690376692e-06, 0.8519088872590153, 4.966175395238633e-05, 0.14803956679947974]
('abstract_algebra', 17);2;[4.9425741306710695e-09, 0.0003799843402154851, 0.9996197477942644, 2.1016339947412168e-07]
('abstract_algebra', 18);2;[2.413362771833214e-12, 2.289734845645553e-11, 4.8473687062702556e-11, 1.0]
('abstract_algebra', 19);2;[1.0, 2.9989608248573072e-09, 1.783247290814639e-11, 5.3157852544244216e-08]
('abstract_algebra', 20);2;[7.251615800487255e-07, 0.3208210414044748, 1.2601418740382266e-07, 0.6791781499829689]
('abstract_algebra', 21);2;[0.817573395334792, 0.18242528535249625, 2.500974832844125e-07, 9.89154734599198e-07]
('abstract_algebra', 22);2;[2.020683909022217e-11, 2.646573638909117e-09, 1.3887943864964021e-11, 1.0]
('abstract_algebra', 23);2;[8.423463754468647e-12, 1.3887943864964021e-11, 1.9555681087850496e-08, 1.0]
('abstract_algebra', 24);2;[0.9999963045256735, 5.315764976351624e-08, 3.331531833356797e-11, 3.7266389560521204e-06]
('abstract_algebra', 25);2;[3.850741922767617e-09, 1.026187963170189e-10, 1.0, 1.493094676197164e-10]
