id;amount_answer_tokens;confidence_per_choice;finish_reason
('clinical_knowledge', 13);4086;[0.0004736207398351423, 0.9703448563433186, 0.00023815146397106912, 0.00034650833545666146];stop
('clinical_knowledge', 14);4086;[9.5305881186289e-05, 0.9916160851045245, 8.32773508875437e-06, 4.229172841132275e-05];stop
('clinical_knowledge', 15);4086;[0.0018881024642043822, 0.0001990044407277525, 0.9780612105874033, 0.0004773870638873818];stop
('clinical_knowledge', 16);1067;[0.0016561845709436845, 6.421727538263756e-05, 0.0003063634865235003, 0.9721563680108748];stop
('clinical_knowledge', 17);4086;[0.0017474970863364794, 0.00691148504954094, 0.9636078308872491, 0.0007754471314363374];stop
('clinical_knowledge', 18);4086;[0.0007817541589833627, 0.00023842166154641202, 0.9714455319806135, 0.0001276179191492037];stop
('clinical_knowledge', 19);4086;[0.000546473685417606, 8.920941935695622e-05, 0.9880477037603619, 0.00017741411491485864];stop
('clinical_knowledge', 20);221;[0.0001673327650525241, 0, 7.904240138848295e-05, 0.9319035408594137];stop
('clinical_knowledge', 21);362;[0.9016465032685277, 2.813397067006918e-05, 0, 5.2561176970873455e-05];stop
('clinical_knowledge', 22);4086;[0.014071146022845208, 0.008534581480149102, 0.9266965266605834, 0.0029494724366542374];stop
('clinical_knowledge', 23);4086;[0.0013731568372996516, 0.9722494358131823, 9.947114766390793e-05, 0.0006093346528711634];stop
('clinical_knowledge', 24);4086;[0.0004267915325659334, 0.9307962969366507, 3.503319906849341e-05, 0.0024560156954005073];stop
('clinical_knowledge', 25);4086;[0.0005606974634888349, 0.9523436929944364, 0.0003194757845661319, 0.0012635512390742974];stop
('clinical_knowledge', 26);4086;[0.001311915251800023, 0.0002279765780703441, 0.0004001115458082375, 0.9887959900967555];stop
('clinical_knowledge', 27);4086;[0.9049253242119047, 0.0655525696432422, 0.006909191655714797, 0.00609734023553164];stop
('clinical_knowledge', 28);2973;[0.00037045139582550664, 0.0004197764261161194, 0.9745413149032333, 0.000736730571537246];stop
('clinical_knowledge', 29);4086;[0.0011506690664964373, 0.0005785927424287531, 0.9827387683668485, 0.0015727781378223644];stop
('clinical_knowledge', 30);4086;[0.00036417145160344246, 0.8999771682033137, 0, 0.00036417145160344246];stop
('clinical_knowledge', 31);4086;[0.0005469053745916126, 0.00022798418773659708, 0.0012324702869560698, 0.9888281600015152];stop
('clinical_knowledge', 32);4086;[0.9670451475353626, 0.0025516624064349023, 0.002251834170120356, 0.013794156643389883];stop
('clinical_knowledge', 33);4086;[0.011937067731311238, 0.9482785898648548, 0.0008647182861575894, 0.022301373215554504];stop
('clinical_knowledge', 34);201;[0.00024089254586680473, 0.8661822696748955, 8.32502362162924e-05, 0.00021258692558317276];stop
('clinical_knowledge', 35);4086;[0.0075389854935285685, 0.0005130344013167821, 7.390961309861906e-05, 0.9874124627070084];stop
('clinical_knowledge', 36);4086;[0.0006914036134577275, 0.00044640372419590165, 0.9735688490857741, 0.0012134511316381628];stop
('clinical_knowledge', 37);4086;[0.001833748526459804, 0.9499054060857967, 0.0001602312369335342, 0.003218328891057364];stop
