id;amount_answer_tokens;confidence_per_choice
('college_chemistry', 4);2;[0.3502308170105965, 0.3502308170105965, 0.07341236737665344, 0.22612601091252835]
('college_chemistry', 5);2;[0.23485799629715445, 0.3637551805415358, 0.11809400279928857, 0.2832928194520284]
('college_chemistry', 6);2;[0.8807425802375405, 0.014919072642581776, 0.042500482870342915, 0.06183783769347687]
('college_chemistry', 7);2;[0.015793736194149893, 0.002831660866185906, 0.0042508264294474005, 0.9771238199895622]
('college_chemistry', 8);2;[0.1521570868790121, 0.16711186751174587, 0.07893805677863656, 0.601792988412241]
('college_chemistry', 9);2;[0.6739229500519464, 0.055318964427627834, 0.05196735780462758, 0.21879074854378228]
('college_chemistry', 10);2;[0.25055905912844617, 0.2353784531515164, 0.1259890070764709, 0.3880734623753987]
('college_chemistry', 11);2;[0.27171973811569106, 0.25525707141013687, 0.19267814618810736, 0.28034504848824693]
('college_chemistry', 12);2;[0.37581236392557854, 0.09209677506934238, 0.07877454621564473, 0.453316241473439]
('college_chemistry', 13);2;[0.6445548440559653, 0.19053004229445478, 0.052908281910571515, 0.11200683368362797]
('college_chemistry', 14);2;[0.04839591533027604, 0.007193410626092033, 0.9131639442920986, 0.031246751418121756]
('college_chemistry', 15);2;[0.5740491266122291, 0.13215360489432237, 0.03906453098984583, 0.2547327406053149]
('college_chemistry', 16);2;[0.10445216635849215, 0.004962224997786013, 0.016018258508787516, 0.874567372556951]
('college_chemistry', 17);2;[0.08900621995279698, 0.019859972112273958, 0.019859972112273958, 0.8712738436780317]
('college_chemistry', 18);2;[0.2513852498130978, 0.11155151510064476, 0.03402128992930818, 0.6030418650443873]
('college_chemistry', 19);2;[0.041759682979415604, 0.5248861656044803, 0.011596247918354018, 0.42175788268029457]
('college_chemistry', 20);2;[0.03380236745812509, 0.0030473751232738145, 0.005693246254835824, 0.9574569733262316]
('college_chemistry', 21);2;[0.18347831314162724, 0.019952343302404644, 0.04786318340488839, 0.7487060918685093]
('college_chemistry', 22);2;[0.03097901178399306, 0.07202836040432967, 0.046505004756072575, 0.8504876503407599]
('college_chemistry', 23);2;[0.03298322966476537, 0.02413104631587885, 0.03737489567177674, 0.9055108325548634]
('college_chemistry', 24);2;[0.030806257292461937, 0.003050231806227616, 0.00778903978503108, 0.9583544737484221]
('college_chemistry', 25);2;[0.2312642465486095, 0.12378683097297669, 0.12378683097297669, 0.521162055699622]
('college_chemistry', 26);2;[0.3392103725288678, 0.0213487989503551, 0.4935482091967093, 0.14589256327418507]
('college_chemistry', 27);2;[0.10294061993368499, 0.1451695595874342, 0.14070316178643522, 0.611186674668259]
('college_chemistry', 28);2;[0.031892512150346324, 0.014152216478444337, 0.021919381674643842, 0.9320358672434534]
('college_chemistry', 29);2;[0.04070651442268633, 0.01750764951818537, 0.8703436547948853, 0.07144215770615721]
('college_chemistry', 30);2;[0.13294054775758837, 0.7186697470037274, 0.03467961391073267, 0.11371007633414246]
('college_chemistry', 31);2;[0.4045256933504595, 0.16863139754192152, 0.1488166860092573, 0.2780261720352553]
('college_chemistry', 32);2;[0.08501144397186412, 0.8585852459507701, 0.03127396250154675, 0.025129334838698024]
('college_chemistry', 33);2;[0.08853604751754977, 0.02309600792897024, 0.021696691547318254, 0.8666712390545163]
('college_chemistry', 34);2;[0.5888371453296711, 0.060153501403422474, 0.0640330689284509, 0.28697630515684236]
('college_chemistry', 35);2;[0.3889711947457667, 0.2216291060812049, 0.13028901461469397, 0.25911067612759453]
('college_chemistry', 36);2;[0.23227162194948753, 0.22512537541916838, 0.3174776655385359, 0.22512537541916838]
('college_chemistry', 37);2;[0.12237547730754292, 0.3326509965590048, 0.20176302839699817, 0.34321047269775995]
('college_chemistry', 38);2;[0.2669584474942232, 0.2283416606494277, 0.16191848327453162, 0.3427814317820825]
('college_chemistry', 39);2;[0.4425324095739935, 0.006512760884532685, 0.017158839530108123, 0.5337959787773058]
('college_chemistry', 40);2;[0.056355025947397705, 0.8544187372942484, 0.02923660231175753, 0.05998961285317705]
('college_chemistry', 41);2;[0.45401410388802504, 0.22829261467177775, 0.08940067243422653, 0.22829261467177775]
