id;amount_answer_tokens;confidence_per_choice
('computer_security', 29);2;[0.9999998807907247, 1.4449802461092448e-07, 4.5990553786523166e-10, 1.0467401794744658e-08]
('computer_security', 30);2;[1.6373771305908126e-07, 1.8553913626159784e-07, 1.7257827987960214e-08, 0.9999996423722521]
('computer_security', 31);2;[3.775134544279098e-11, 7.582560427911907e-10, 1.3176514270095466e-10, 1.0]
('computer_security', 32);2;[0.0215992261836577, 1.0335478358453571e-07, 0.2631324425382783, 0.7152681796631503]
('computer_security', 33);2;[1.9555681087850496e-08, 3.927863545481039e-07, 0.9999996423722521, 1.026187963170189e-10]
('computer_security', 34);2;[9.736200313009565e-10, 1.8189616875530459e-09, 7.05287985111216e-11, 1.0]
('computer_security', 35);2;[0.9999921322487634, 4.599020290778212e-10, 7.88926463665814e-06, 2.4133443594067185e-12]
('computer_security', 36);2;[0.006692851264215723, 1.6805735860364482e-10, 0.9933071486460123, 1.9677493631300206e-13]
('computer_security', 37);2;[2.510999155743982e-08, 3.059023205018258e-07, 5.602796437537268e-09, 0.9999996423722521]
('computer_security', 38);2;[0.0019267342527389902, 0.9980732443617326, 4.355056167555718e-09, 3.5748477952081307e-10]
('computer_security', 39);2;[3.0988191387218256e-12, 4.752193062771153e-13, 1.0, 1.783247290814639e-11]
('computer_security', 40);2;[1.103256032343554e-09, 1.0, 1.103256032343554e-09, 9.736200313009565e-10]
('computer_security', 41);2;[9.545034922840628e-12, 1.0, 2.5946094982764667e-11, 1.8189616875530459e-09]
('computer_security', 42);2;[2.2603250957489616e-06, 0.9999977350285647, 3.224180587614433e-08, 3.398261337819773e-09]
('computer_security', 43);2;[2.4616969518153846e-10, 1.8189616875530459e-09, 7.991959892953932e-11, 1.0]
('computer_security', 44);2;[5.602796437537268e-09, 1.9555681087850496e-08, 1.0, 1.3887943864964021e-11]
('computer_security', 45);2;[5.602796437537268e-09, 3.2241867372567335e-08, 7.582560427911907e-10, 1.0]
('computer_security', 46);2;[6.914400106940203e-13, 1.0, 2.289734845645553e-11, 4.363462252943702e-09]
('computer_security', 47);2;[4.277787868968998e-11, 2.4616969518153846e-10, 1.0, 9.056076989672867e-11]
('computer_security', 48);2;[1.0, 1.103256032343554e-09, 1.026187963170189e-10, 6.691586091292782e-10]
('computer_security', 49);2;[1.2256067444099483e-11, 5.04347662567888e-07, 0.9999995231630692, 7.835041785064389e-13]
('computer_security', 50);2;[1.57371021068629e-11, 2.289734845645553e-11, 1.0, 1.57371021068629e-11]
('computer_security', 51);2;[0.0011694946929536397, 1.2991912495514731e-05, 6.817536487783158e-08, 0.9988174134979513]
('computer_security', 52);2;[0.9999997615814777, 2.382369667501818e-07, 6.691586091292782e-10, 2.646573638909117e-09]
('computer_security', 53);2;[1.7816222226179733e-11, 0.9990889988442552, 0.0009110514045295695, 4.8429513129212524e-11]
('computer_security', 54);2;[1.0, 2.8453348089834e-08, 1.3440409951135022e-08, 4.363462252943702e-09]
('computer_security', 55);2;[5.2573830328428036e-08, 0.9890130589396958, 0.010986941583869245, 6.838434598963111e-13]
('computer_security', 56);2;[1.0, 9.736200313009565e-10, 1.0815941557285693e-11, 3.1608814543136926e-10]
('computer_security', 57);2;[7.734421907141565e-08, 0.9999998807907247, 2.8453348089834e-08, 3.6534822137210456e-08]
('computer_security', 58);2;[1.8795288165390832e-12, 1.0, 4.5990553786523166e-10, 1.0815941557285693e-11]
('computer_security', 59);2;[4.058652126475693e-10, 1.186112015134383e-08, 5.905303998944039e-10, 1.0]
('computer_security', 60);2;[1.0, 1.2501528663867426e-09, 6.224144622907783e-11, 2.335593038799337e-09]
('computer_security', 61);2;[0.9999998807907247, 2.7894680928689246e-10, 3.398267819495071e-09, 1.1253517471925912e-07]
('computer_security', 62);2;[0.9999868871505255, 1.3007123989067183e-05, 5.3157142815080565e-08, 3.398222448027603e-09]
('computer_security', 63);2;[5.3157852544244216e-08, 2.510999155743982e-08, 1.4166087866431961e-09, 1.0]
