estimations;id;iter
1.693385170938457e-08;(1, 1);0
7.443327599481751e-12;(1, 1);1
2.858893756114958e-12;(1, 1);2
7.301974904203731e-06;(1, 1);3
4.090379051948842e-10;(1, 1);4
1.9767012132391137e-06;(1, 1);5
0.00013909469553322835;(1, 1);6
2.911897324765949e-11;(1, 1);7
0.029266372302111616;(1, 1);8
5.919527595761324e-07;(1, 1);9
7.38732839908934e-09;(1, 2);0
2.6477365588472974e-08;(1, 2);1
4.675776154731086e-09;(1, 2);2
7.025724004400314e-08;(1, 2);3
4.3818105245552846e-10;(1, 2);4
1.4158236521758087e-12;(1, 2);5
1.1650876307145148e-08;(1, 2);6
6.505639777082019e-07;(1, 2);7
1.0301214380013138e-09;(1, 2);8
8.729902560836846e-13;(1, 2);9
1.9048525928199188e-13;(1, 3);0
3.7289207715349937e-08;(1, 3);1
5.341896098248391e-15;(1, 3);2
4.259608392664401e-07;(1, 3);3
6.217747785652998e-07;(1, 3);4
5.462618799330644e-10;(1, 3);5
2.2286421280836328e-10;(1, 3);6
7.998954914313561e-14;(1, 3);7
1.78586168601974e-10;(1, 3);8
8.234555787476506e-17;(1, 3);9
1.1499895331849018e-09;(2, 0);0
1.5770344489147047e-08;(2, 0);1
2.2088141966374523e-19;(2, 0);2
6.45021005347562e-10;(2, 0);3
1.4857708546634049e-07;(2, 0);4
9.576676152379603e-10;(2, 0);5
1.742297272813418e-11;(2, 0);6
3.2608544170119537e-13;(2, 0);7
2.417314047804013e-10;(2, 0);8
1.3576791618441068e-08;(2, 0);9
1.4304295223697326e-09;(2, 1);0
3.4505637563840834e-08;(2, 1);1
7.849764244964975e-07;(2, 1);2
1.0419942461777776e-06;(2, 1);3
2.7915518498380088e-14;(2, 1);4
4.065381604645067e-08;(2, 1);5
8.208282653000247e-13;(2, 1);6
5.450699830757098e-13;(2, 1);7
1.591860602076733e-08;(2, 1);8
0.0002052728560730093;(2, 1);9
1.92110629458365e-05;(0, 0);0
