estimations;id;iter
2.0480511070179983e-06;(0, 0);0
6.994377365304086e-08;(0, 0);1
0.0016092822095669292;(0, 0);2
2.898249289252457e-05;(0, 0);3
2.7232224706778738e-08;(0, 0);4
5.614270020869613e-08;(0, 0);5
0.0008692680915175171;(0, 0);6
2.7016034053635644e-06;(0, 0);7
1.3653451389211178e-06;(0, 0);8
0.0007957900852901603;(0, 0);9
2.92836234725985e-08;(0, 1);0
7.14859646146174e-14;(0, 1);1
0.002902264716969436;(0, 1);2
8.929954138543393e-05;(0, 1);3
1.3178273263431477e-05;(0, 1);4
5.998759016434576e-14;(0, 1);5
7.383751903166409e-16;(0, 1);6
0.17097647419524187;(0, 1);7
3.355146848972455e-11;(0, 1);8
0.00021064325335897445;(0, 1);9
0.00041753686613157703;(0, 2);0
3.268318392640534e-05;(0, 2);1
9.280696696337487e-07;(0, 2);2
6.309861877239916e-08;(0, 2);3
0.1141177663412911;(0, 2);4
2.41739270946009e-13;(0, 2);5
6.568597497113768e-08;(0, 2);6
4.093815917507648e-11;(0, 2);7
2.5180251684321644e-05;(0, 2);8
6.421356172829384e-10;(0, 2);9
7.934161070222908e-10;(0, 3);0
2.2474338046567975e-12;(0, 3);1
6.222383261862753e-10;(0, 3);2
7.466359873107642e-06;(0, 3);3
1.5362613660136654e-07;(0, 3);4
2.4453009685301776e-06;(0, 3);5
1.0827525114362365e-07;(0, 3);6
8.730543964153308e-09;(0, 3);7
0.0;(0, 3);8
4.3579273213295834e-08;(0, 3);9
1.1778867408861968e-08;(1, 0);0
0.0;(1, 0);1
1.66463547076449e-05;(1, 0);2
3.7619957302500613e-13;(1, 0);3
0.0;(1, 0);4
3.6773998279867504e-05;(1, 0);5
3.103620444760252e-12;(1, 0);6
2.9006138698959007e-10;(1, 0);7
2.876003924083725e-06;(1, 0);8
1.4635572241978953e-08;(1, 0);9
5.1493592126703165e-11;(5, 0);0
1.4745308759443531e-08;(5, 0);1
1.339036549333151e-09;(5, 0);2
0.0;(5, 0);3
3.1336472355008325e-08;(5, 0);4
1.5472833900388324e-258;(5, 0);5
3.873535603335078e-06;(5, 0);6
7.843038145131599e-07;(5, 0);7
0.0;(5, 0);8
0.0;(5, 0);9
1.8573426788930482e-287;(5, 1);0
2.1110330849555615e-10;(5, 1);1
2.0550163581758827e-10;(5, 1);2
2.809387657677944e-12;(5, 1);3
1.743052946436246e-08;(5, 1);4
0.0;(5, 1);5
9.581714343164451e-14;(5, 1);6
0.04674626289832649;(5, 1);7
1.551879730420337e-10;(5, 1);8
7.615705150413658e-11;(5, 1);9
1.363047196200153e-305;(5, 2);0
0.0;(5, 2);1
0.0;(5, 2);2
4.197225912726268e-275;(5, 2);3
0.0;(5, 2);4
0.0;(5, 2);5
2.6191456773389084e-250;(5, 2);6
3.3116135976626973e-08;(5, 2);7
0.0;(5, 2);8
2.484206532685436e-09;(5, 2);9
0.0;(5, 3);0
4.216597749818999e-261;(5, 3);1
0.0;(5, 3);2
1.2513129630038634e-05;(5, 3);3
0.0;(5, 3);4
0.0;(5, 3);5
0.0;(5, 3);6
2.9804757646723402e-304;(5, 3);7
5.026666007770925e-289;(5, 3);8
1.842703845528198e-303;(5, 3);9
0.0;(6, 0);0
0.0;(6, 0);1
0.0;(6, 0);2
0.0;(6, 0);3
0.0;(6, 0);4
0.0;(6, 0);5
0.0;(6, 0);6
0.0;(6, 0);7
0.0;(6, 0);8
0.0;(6, 0);9
0.0;(2, 2);0
0.0;(2, 2);1
0.0;(2, 2);2
0.0;(2, 2);3
0.0;(2, 2);4
0.0;(2, 2);5
0.0;(2, 2);6
0.0;(2, 2);7
0.0;(2, 2);8
0.0;(2, 2);9
0.0;(2, 3);0
0.0;(2, 3);1
0.0;(2, 3);2
0.0;(2, 3);3
0.0;(2, 3);4
0.0;(2, 3);5
0.0;(2, 3);6
0.0;(2, 3);7
0.0;(2, 3);8
0.0;(2, 3);9
0.0;(3, 0);0
0.0;(3, 0);1
0.0;(3, 0);2
0.0;(3, 0);3
0.0;(3, 0);4
0.0;(3, 0);5
0.0;(3, 0);6
0.0;(3, 0);7
0.0;(3, 0);8
0.0;(3, 0);9
0.0;(3, 1);0
0.0;(3, 1);1
0.0;(3, 1);2
0.0;(3, 1);3
0.0;(3, 1);4
0.0;(3, 1);5
0.0;(3, 1);6
0.0;(3, 1);7
0.0;(3, 1);8
0.0;(3, 1);9
0.0;(3, 2);0
0.0;(3, 2);1
0.0;(3, 2);2
0.0;(3, 2);3
0.0;(3, 2);4
0.0;(3, 2);5
0.0;(3, 2);6
0.0;(3, 2);7
0.0;(3, 2);8
0.0;(3, 2);9
0.0;(3, 3);0
0.0;(3, 3);1
0.0;(3, 3);2
0.0;(3, 3);3
0.0;(3, 3);4
0.0;(3, 3);5
0.0;(3, 3);6
0.0;(3, 3);7
0.0;(3, 3);8
0.0;(3, 3);9
0.0;(4, 0);0
0.0;(4, 0);1
2.070366863620606e-284;(4, 0);2
0.0;(4, 0);3
0.0;(4, 0);4
0.0;(4, 0);5
0.0;(4, 0);6
0.0;(4, 0);7
0.0;(4, 0);8
0.0;(4, 0);9
0.0;(4, 1);0
0.0;(4, 1);1
0.0;(4, 1);2
0.0;(4, 1);3
0.0;(4, 1);4
0.0;(4, 1);5
0.0;(4, 1);6
0.0;(4, 1);7
0.0;(4, 1);8
0.0;(4, 1);9
0.0;(4, 2);0
0.0;(4, 2);1
0.0;(4, 2);2
0.0;(4, 2);3
0.0;(4, 2);4
0.0;(4, 2);5
0.0;(4, 2);6
0.0;(4, 2);7
0.0;(4, 2);8
0.0;(4, 2);9
0.0;(4, 3);0
0.0;(4, 3);1
0.0;(4, 3);2
0.0;(4, 3);3
6.123940676468841e-50;(4, 3);4
0.0;(4, 3);5
0.0;(4, 3);6
0.0;(4, 3);7
3.035164709563029e-47;(4, 3);8
0.0;(4, 3);9
0.0;(1, 1);0
0.0;(1, 1);1
0.0;(1, 1);2
0.0;(1, 1);3
0.0;(1, 1);4
0.0;(1, 1);5
0.0;(1, 1);6
0.0;(1, 1);7
0.0;(1, 1);8
0.0;(1, 1);9
0.0;(1, 2);0
5.527895962588884e-309;(1, 2);1
0.0;(1, 2);2
0.0;(1, 2);3
0.0;(1, 2);4
0.0;(1, 2);5
0.0;(1, 2);6
1.380644915474151e-08;(1, 2);7
0.0;(1, 2);8
0.0;(1, 2);9
0.0;(1, 3);0
0.0;(1, 3);1
0.0;(1, 3);2
1.4763249620293792e-13;(1, 3);3
0.0;(1, 3);4
0.0;(1, 3);5
2.747005831108282e-07;(1, 3);6
0.0;(1, 3);7
0.0;(1, 3);8
0.0;(1, 3);9
0.0;(2, 0);0
0.0;(2, 0);1
0.0;(2, 0);2
0.0;(2, 0);3
0.0;(2, 0);4
0.0;(2, 0);5
0.0;(2, 0);6
0.0;(2, 0);7
0.0;(2, 0);8
0.0;(2, 0);9
0.0;(2, 1);0
0.0;(2, 1);1
0.0;(2, 1);2
0.0;(2, 1);3
0.0;(2, 1);4
0.0;(2, 1);5
0.0;(2, 1);6
0.0;(2, 1);7
0.0;(2, 1);8
0.0;(2, 1);9
5.0579178696775135e-12;(7, 2);0
4.433020745049314e-11;(7, 2);1
0.0;(7, 2);2
0.0;(7, 2);3
0.0;(7, 2);4
0.0;(7, 2);5
0.0;(7, 2);6
0.0;(7, 2);7
0.0;(7, 2);8
1.600578234652499e-07;(7, 2);9
1.0788228694739323e-07;(7, 3);0
5.877189399657771e-08;(7, 3);1
3.053740018451532e-08;(7, 3);2
2.627894211791519e-10;(7, 3);3
1.3340748829189214e-14;(7, 3);4
3.49295006265172e-08;(7, 3);5
1.9882621972485195e-06;(7, 3);6
8.121930007081337e-15;(7, 3);7
1.0114310353239436e-07;(7, 3);8
2.7255818965206203e-12;(7, 3);9
0.0;(8, 0);0
0.0;(8, 0);1
7.470945205985677e-12;(8, 0);2
0.0007630957855004397;(8, 0);3
9.473863007353529e-12;(8, 0);4
9.787023694212127e-08;(8, 0);5
8.55810942507102e-07;(8, 0);6
3.179746608098605e-10;(8, 0);7
2.6749787095691926e-07;(8, 0);8
0.00018726154312433675;(8, 0);9
0.0004142801707342257;(8, 1);0
7.550690458800094e-10;(8, 1);1
1.0060368986962769e-10;(8, 1);2
3.5665957342815623e-12;(8, 1);3
2.5800165551077605e-12;(8, 1);4
1.0879954903530955e-18;(8, 1);5
1.0126936794184656e-15;(8, 1);6
1.8052109137090584e-12;(8, 1);7
7.691880542906937e-13;(8, 1);8
2.275856841846993e-06;(8, 1);9
3.6572032297851366e-05;(8, 2);0
3.739447774916889e-05;(8, 2);1
5.028240378112735e-05;(8, 2);2
0.0;(8, 2);3
0.00023539855808818604;(8, 2);4
3.124085455500886e-05;(8, 2);5
2.032958580518725e-07;(8, 2);6
2.2284624896532423e-05;(8, 2);7
5.390739069488069e-13;(8, 2);8
0.005793708303865801;(8, 2);9
0.0;(6, 1);0
0.0;(6, 1);1
0.0;(6, 1);2
0.0;(6, 1);3
0.0;(6, 1);4
0.0;(6, 1);5
0.0;(6, 1);6
0.0;(6, 1);7
0.0;(6, 1);8
0.0;(6, 1);9
0.0;(6, 2);0
0.0;(6, 2);1
0.0;(6, 2);2
0.0;(6, 2);3
0.0;(6, 2);4
0.0;(6, 2);5
0.0;(6, 2);6
0.0;(6, 2);7
0.0;(6, 2);8
0.0;(6, 2);9
0.0;(6, 3);0
0.0;(6, 3);1
0.0;(6, 3);2
0.0;(6, 3);3
0.0;(6, 3);4
0.0;(6, 3);5
0.0;(6, 3);6
0.0;(6, 3);7
0.0;(6, 3);8
0.0;(6, 3);9
5.428235792441088e-11;(7, 0);0
1.788548488435449e-18;(7, 0);1
1.6232937689783377e-05;(7, 0);2
0.0;(7, 0);3
4.2661287564060536e-09;(7, 0);4
0.0;(7, 0);5
2.53074701492764e-271;(7, 0);6
