estimations;id;iter
1.0;(0, 0);0
1.0;(0, 0);1
0.9770226300899744;(0, 0);2
0.5621765008857981;(0, 0);3
0.9980732653366725;(0, 0);4
1.0;(0, 0);5
0.9996646498695336;(0, 0);6
1.0;(0, 0);7
1.0;(0, 0);8
1.0;(0, 0);9
1.0;(0, 1);0
0.9924227623178711;(0, 1);1
0.9924227569392726;(0, 1);2
1.0;(0, 1);3
1.0;(0, 1);4
1.0;(0, 1);5
1.0;(0, 1);6
1.0;(0, 1);7
1.0;(0, 1);8
0.7310585786300049;(0, 1);9
0.999941708720442;(0, 2);0
0.9991959142559256;(0, 2);1
1.0;(0, 2);2
1.0;(0, 2);3
;(0, 2);4
1.0;(0, 2);5
0.1645164628965632;(0, 2);6
1.0;(0, 2);7
0.0009110507603734678;(0, 2);8
1.0;(0, 2);9
1.0;(0, 3);0
1.0;(0, 3);1
1.0;(0, 3);2
1.0;(0, 3);3
1.0;(0, 3);4
1.0;(0, 3);5
1.0;(0, 3);6
0.9999832985831292;(0, 3);7
0.8175744050750625;(0, 3);8
1.0;(0, 3);9
;(1, 0);0
;(1, 0);1
1.0;(1, 0);2
1.0;(1, 0);3
1.0;(1, 0);4
1.0;(1, 0);5
1.0;(1, 0);6
;(1, 0);7
1.0;(1, 0);8
1.0;(1, 0);9
0.0;(1, 1);0
0.0;(1, 1);1
;(1, 1);2
0.0;(1, 1);3
0.0;(1, 1);4
0.0;(1, 1);5
0.0;(1, 1);6
0.0;(1, 1);7
;(1, 1);8
1.0;(1, 1);9
1.0;(1, 2);0
0.0;(1, 2);1
0.0;(1, 2);2
1.0;(1, 2);3
1.0;(1, 2);4
;(1, 2);5
;(1, 2);6
1.0;(1, 2);7
0.0;(1, 2);8
1.0;(1, 2);9
1.0;(1, 3);0
1.0;(1, 3);1
1.0;(1, 3);2
0.0;(1, 3);3
1.0;(1, 3);4
0.9740426548583474;(1, 3);5
0.9525741483643386;(1, 3);6
0.0;(1, 3);7
1.0;(1, 3);8
0.0;(1, 3);9
0.9998415637053611;(2, 0);0
;(2, 0);1
;(2, 0);2
0.0;(2, 0);3
1.0;(2, 0);4
