estimations;id;iter
1.0;40;0
1.0;40;1
1.0;40;2
1.0;40;3
1.0;40;4
1.0;40;5
1.0;40;6
1.0;40;7
1.0;40;8
1.0;40;9
;41;0
1.0;41;1
1.0;41;2
1.0;41;3
;41;4
;41;5
1.0;41;6
;41;7
1.0;41;8
1.0;41;9
1.0;42;0
1.0;42;1
1.0;42;2
;42;3
1.0;42;4
1.0;42;5
1.0;42;6
1.0;42;7
;42;8
;42;9
1.0;43;0
1.0;43;1
1.0;43;2
1.0;43;3
1.0;43;4
1.0;43;5
1.0;43;6
;43;7
1.0;43;8
1.0;43;9
;44;0
1.0;44;1
1.0;44;2
1.0;44;3
1.0;44;4
1.0;44;5
;44;6
1.0;44;7
1.0;44;8
1.0;44;9
1.0;45;0
1.0;45;1
1.0;45;2
1.0;45;3
1.0;45;4
;45;5
1.0;45;6
;45;7
1.0;45;8
1.0;45;9
;46;0
1.0;46;1
;46;2
;46;3
1.0;46;4
1.0;46;5
1.0;46;6
1.0;46;7
;46;8
;46;9
;47;0
1.0;47;1
1.0;47;2
1.0;47;3
;47;4
;47;5
1.0;47;6
1.0;47;7
1.0;47;8
;47;9
1.0;48;0
;48;1
1.0;48;2
;48;3
1.0;48;4
1.0;48;5
;48;6
;48;7
;48;8
;48;9
;49;0
1.0;49;1
1.0;49;2
1.0;49;3
1.0;49;4
1.0;49;5
1.0;49;6
1.0;49;7
1.0;49;8
;49;9
;50;0
1.0;50;1
;50;2
1.0;50;3
;50;4
;50;5
;50;6
1.0;50;7
;50;8
;50;9
1.0;51;0
1.0;51;1
1.0;51;2
1.0;51;3
1.0;51;4
1.0;51;5
1.0;51;6
1.0;51;7
1.0;51;8
1.0;51;9
;52;0
1.0;52;1
1.0;52;2
1.0;52;3
1.0;52;4
;52;5
;52;6
1.0;52;7
1.0;52;8
1.0;52;9
;53;0
1.0;53;1
1.0;53;2
1.0;53;3
;53;4
;53;5
;53;6
;53;7
;53;8
1.0;53;9
;54;0
;54;1
;54;2
;54;3
;54;4
;54;5
;54;6
;54;7
;54;8
;54;9
1.0;55;0
1.0;55;1
1.0;55;2
1.0;55;3
1.0;55;4
1.0;55;5
1.0;55;6
1.0;55;7
1.0;55;8
;55;9
1.0;56;0
;56;1
1.0;56;2
1.0;56;3
1.0;56;4
;56;5
1.0;56;6
1.0;56;7
1.0;56;8
1.0;56;9
;57;0
1.0;57;1
1.0;57;2
1.0;57;3
;57;4
1.0;57;5
;57;6
;57;7
;57;8
;57;9
1.0;58;0
;58;1
1.0;58;2
1.0;58;3
1.0;58;4
1.0;58;5
1.0;58;6
1.0;58;7
1.0;58;8
1.0;58;9
1.0;59;0
;59;1
1.0;59;2
1.0;59;3
1.0;59;4
1.0;59;5
;59;6
1.0;59;7
;59;8
;59;9
;60;0
;60;1
1.0;60;2
;60;3
1.0;60;4
;60;5
1.0;60;6
1.0;60;7
;60;8
1.0;60;9
;61;0
;61;1
;61;2
1.0;61;3
;61;4
;61;5
;61;6
;61;7
;61;8
1.0;61;9
1.0;62;0
;62;1
1.0;62;2
1.0;62;3
;62;4
1.0;62;5
;62;6
1.0;62;7
;62;8
1.0;62;9
1.0;63;0
;63;1
;63;2
;63;3
1.0;63;4
;63;5
;63;6
;63;7
;63;8
;63;9
;64;0
;64;1
;64;2
;64;3
;64;4
1.0;64;5
;64;6
;64;7
1.0;64;8
;64;9
;65;0
;65;1
;65;2
1.0;65;3
;65;4
;65;5
;65;6
;65;7
;65;8
;65;9
1.0;66;0
1.0;66;1
1.0;66;2
;66;3
1.0;66;4
1.0;66;5
1.0;66;6
;66;7
1.0;66;8
1.0;66;9
1.0;67;0
1.0;67;1
1.0;67;2
;67;3
;67;4
;67;5
;67;6
;67;7
1.0;67;8
;67;9
;68;0
1.0;68;1
1.0;68;2
1.0;68;3
1.0;68;4
;68;5
1.0;68;6
1.0;68;7
1.0;68;8
1.0;68;9
;69;0
;69;1
;69;2
;69;3
;69;4
1.0;69;5
1.0;69;6
1.0;69;7
;69;8
;69;9
1.0;70;0
0.679178699175393;20;0
;20;1
0.0;20;2
0.5;20;3
;20;4
;20;5
0.0;20;6
0.0;20;7
0.0;20;8
1.0;20;9
;21;0
;21;1
1.0;21;2
;21;3
;21;4
;21;5
;21;6
1.0;21;7
;21;8
;21;9
1.0;22;0
1.0;22;1
;22;2
;22;3
;22;4
;22;5
;22;6
;22;7
;22;8
;22;9
1.0;23;0
1.0;23;1
;23;2
;23;3
1.0;23;4
1.0;23;5
1.0;23;6
1.0;23;7
1.0;23;8
1.0;23;9
;24;0
;24;1
;24;2
;24;3
;24;4
;24;5
;24;6
;24;7
;24;8
;24;9
;25;0
1.0;25;1
;25;2
1.0;25;3
;25;4
1.0;25;5
1.0;25;6
;25;7
1.0;25;8
1.0;25;9
;26;0
1.0;26;1
;26;2
1.0;26;3
;26;4
;26;5
;26;6
1.0;26;7
1.0;26;8
;26;9
0.679178699175393;27;0
;27;1
1.0;27;2
1.0;27;3
0.5;27;4
1.0;27;5
1.0;27;6
0.5621765008857982;27;7
;27;8
1.0;27;9
1.0;28;0
1.0;28;1
1.0;28;2
1.0;28;3
;28;4
1.0;28;5
1.0;28;6
1.0;28;7
1.0;28;8
1.0;28;9
;29;0
1.0;29;1
1.0;29;2
1.0;29;3
;29;4
;29;5
;29;6
;29;7
1.0;29;8
;9;9
1.0;10;0
;10;1
;10;2
1.0;10;3
1.0;10;4
1.0;10;5
;10;6
1.0;10;7
1.0;10;8
1.0;10;9
1.0;11;0
;11;1
;11;2
1.0;11;3
;11;4
1.0;11;5
1.0;11;6
;11;7
1.0;11;8
;11;9
;12;0
;12;1
;12;2
1.0;12;3
;12;4
;12;5
1.0;12;6
1.0;12;7
;12;8
;12;9
;13;0
;13;1
;13;2
;13;3
;13;4
;13;5
;13;6
;13;7
;13;8
;13;9
1.0;14;0
;14;1
1.0;14;2
;14;3
1.0;14;4
1.0;14;5
1.0;14;6
;14;7
;14;8
;14;9
;15;0
1.0;15;1
1.0;15;2
1.0;15;3
1.0;15;4
;15;5
;15;6
;15;7
1.0;15;8
;15;9
1.0;16;0
1.0;16;1
1.0;16;2
;16;3
1.0;16;4
;16;5
1.0;16;6
;16;7
1.0;16;8
;16;9
1.0;17;0
1.0;17;1
1.0;17;2
1.0;17;3
;17;4
1.0;17;5
1.0;17;6
1.0;17;7
1.0;17;8
;17;9
;18;0
1.0;18;1
;18;2
;18;3
;18;4
1.0;18;5
1.0;18;6
1.0;18;7
1.0;18;8
1.0;18;9
;19;0
1.0;19;1
1.0;19;2
1.0;19;3
;19;4
1.0;19;5
1.0;19;6
;19;7
1.0;19;8
;19;9
1.0;70;1
1.0;70;2
1.0;70;3
1.0;70;4
1.0;70;5
1.0;70;6
;70;7
1.0;70;8
1.0;70;9
;71;0
;71;1
;71;2
;71;3
;71;4
;71;5
;71;6
;71;7
;71;8
1.0;71;9
1.0;72;0
1.0;72;1
;72;2
1.0;72;3
;72;4
1.0;72;5
;72;6
1.0;72;7
1.0;72;8
1.0;72;9
;73;0
1.0;73;1
1.0;73;2
;73;3
1.0;73;4
;73;5
;73;6
1.0;73;7
;73;8
1.0;73;9
1.0;74;0
1.0;74;1
;74;2
;74;3
1.0;74;4
1.0;74;5
1.0;74;6
1.0;74;7
1.0;74;8
1.0;74;9
1.0;75;0
1.0;75;1
1.0;75;2
1.0;75;3
1.0;75;4
;75;5
1.0;75;6
1.0;75;7
1.0;75;8
1.0;75;9
1.0;76;0
1.0;76;1
1.0;76;2
;76;3
1.0;76;4
1.0;76;5
1.0;76;6
1.0;76;7
1.0;76;8
;76;9
1.0;77;0
1.0;77;1
1.0;77;2
1.0;77;3
;77;4
1.0;77;5
1.0;77;6
1.0;77;7
;77;8
;77;9
;78;0
;78;1
1.0;78;2
;78;3
;78;4
1.0;78;5
1.0;78;6
;78;7
;78;8
1.0;78;9
;79;0
;79;1
;79;2
1.0;79;3
1.0;79;4
;79;5
;79;6
1.0;79;7
;79;8
;79;9
1.0;120;0
;120;1
;120;2
;120;3
1.0;120;4
1.0;120;5
;120;6
1.0;120;7
;120;8
1.0;120;9
1.0;121;0
1.0;121;1
1.0;121;2
1.0;121;3
1.0;121;4
;121;5
1.0;121;6
;121;7
;121;8
;121;9
1.0;122;0
1.0;122;1
1.0;122;2
;122;3
1.0;122;4
1.0;122;5
;122;6
;122;7
1.0;122;8
;122;9
1.0;123;0
;123;1
;123;2
1.0;123;3
1.0;123;4
1.0;123;5
1.0;123;6
1.0;123;7
1.0;123;8
1.0;123;9
;124;0
1.0;124;1
1.0;124;2
;124;3
1.0;124;4
1.0;124;5
1.0;124;6
;124;7
;124;8
1.0;124;9
;125;0
;125;1
1.0;125;2
;125;3
;125;4
;125;5
1.0;125;6
1.0;125;7
1.0;125;8
;125;9
;126;0
;126;1
1.0;126;2
;126;3
1.0;126;4
1.0;126;5
;126;6
1.0;126;7
1.0;126;8
1.0;126;9
;127;0
1.0;127;1
1.0;127;2
1.0;127;3
;127;4
1.0;127;5
1.0;127;6
1.0;127;7
1.0;127;8
;127;9
1.0;128;0
1.0;128;1
1.0;128;2
1.0;128;3
1.0;128;4
1.0;128;5
;128;6
1.0;128;7
;128;8
1.0;128;9
1.0;129;0
;129;1
1.0;129;2
1.0;129;3
;129;4
;129;5
;129;6
1.0;129;7
1.0;129;8
1.0;129;9
;29;9
;30;0
;0;0
1.0;30;1
1.0;30;2
;30;3
1.0;30;4
1.0;30;5
1.0;30;6
1.0;30;7
1.0;30;8
1.0;30;9
1.0;31;0
1.0;31;1
1.0;31;2
1.0;31;3
1.0;31;4
1.0;31;5
;31;6
;31;7
;31;8
;31;9
1.0;32;0
;32;1
;32;2
1.0;32;3
;32;4
;32;5
;32;6
;32;7
1.0;32;8
;32;9
1.0;33;0
;33;1
1.0;33;2
1.0;33;3
1.0;33;4
;33;5
1.0;33;6
;33;7
;33;8
1.0;33;9
1.0;34;0
1.0;34;1
;34;2
1.0;34;3
;34;4
;34;5
1.0;34;6
;34;7
;34;8
;34;9
1.0;35;0
1.0;35;1
1.0;35;2
1.0;35;3
;35;4
1.0;35;5
1.0;35;6
1.0;35;7
1.0;35;8
1.0;35;9
1.0;36;0
;36;1
;36;2
1.0;36;3
;36;4
;36;5
;36;6
1.0;36;7
;36;8
1.0;36;9
1.0;37;0
1.0;37;1
;37;2
1.0;37;3
1.0;37;4
;37;5
;37;6
1.0;37;7
1.0;37;8
1.0;37;9
;38;0
1.0;38;1
1.0;38;2
1.0;38;3
1.0;38;4
1.0;38;5
1.0;38;6
