estimations;id;iter
0.0;(5, 0);0
0.0021827154068168922;(5, 0);1
0.004070137715896128;(5, 0);2
0.0;(5, 0);3
0.0;(5, 0);4
0.0;(5, 0);5
0.0;(5, 0);6
1.0;(5, 0);7
0.0;(5, 0);8
0.0;(5, 0);9
0.0;(5, 1);0
1.0;(5, 1);1
0.0;(5, 1);2
0.00912563738918052;(5, 1);3
0.01243165085318582;(5, 1);4
0.004070135783002977;(5, 1);5
0.7431680086124812;(5, 1);6
1.0;(5, 1);7
0.0;(5, 1);8
1.0;(5, 1);9
1.0;(5, 2);0
1.0;(5, 2);1
1.0;(5, 2);2
1.0;(5, 2);3
1.0;(5, 2);4
1.0;(5, 2);5
1.0;(5, 2);6
1.0;(5, 2);7
1.0;(5, 2);8
1.0;(5, 2);9
0.0;(5, 3);0
0.9362850057480346;(5, 3);1
0.0;(5, 3);2
1.0;(5, 3);3
0.5156199157230157;(5, 3);4
0.00048785712278226587;(5, 3);5
0.010986942630593181;(5, 3);6
0.0;(5, 3);7
0.014063627043245474;(5, 3);8
0.20181322226037882;(5, 3);9
0.0;(6, 0);0
0.0;(6, 0);1
0.0;(6, 0);2
0.0;(6, 0);3
0.0;(6, 0);4
0.0;(6, 0);5
0.0;(6, 0);6
0.0;(6, 0);7
0.0;(6, 0);8
0.0;(6, 0);9
0.0;(6, 1);0
0.0;(6, 1);1
0.0;(6, 1);2
0.0;(6, 1);3
0.0;(6, 1);4
0.0;(6, 1);5
0.0;(6, 1);6
0.0;(6, 1);7
0.0;(6, 1);8
0.0;(6, 1);9
0.0;(6, 2);0
0.0;(6, 2);1
0.0;(6, 2);2
0.0;(6, 2);3
0.0;(6, 2);4
0.014063627043245474;(6, 2);5
0.0;(6, 2);6
0.0;(6, 2);7
0.0;(6, 2);8
0.0;(6, 2);9
1.0;(6, 3);0
1.0;(6, 3);1
0.1732882059293266;(6, 3);2
1.0;(6, 3);3
1.0;(6, 3);4
1.0;(6, 3);5
1.0;(6, 3);6
1.0;(6, 3);7
