estimations;id;iter
1.7501579936930417e-36;(1, 1);0
1.324131004332647e-53;(1, 1);1
2.65577176617322e-32;(1, 1);2
1.2274951473529224e-121;(1, 1);3
7.841048427801877e-53;(1, 1);4
6.223858571528325e-41;(1, 1);5
6.403996488860936e-50;(1, 1);6
2.049900181213128e-74;(1, 1);7
9.602526996471915e-117;(1, 1);8
3.425545079520174e-25;(1, 1);9
5.6875585082595464e-74;(1, 2);0
3.3125587921449748e-34;(1, 2);1
3.549089936445148e-69;(1, 2);2
5.886785412145685e-44;(1, 2);3
1.1314786024114367e-85;(1, 2);4
1.2082256580747478e-38;(1, 2);5
1.0028589872139519e-50;(1, 2);6
1.3391723992025816e-43;(1, 2);7
3.1068584314427668e-30;(1, 2);8
5.367102475168806e-60;(1, 2);9
2.003130949893751e-49;(1, 3);0
1.3357487525394767e-54;(1, 3);1
1.331840399311278e-41;(1, 3);2
3.0794849833163296e-42;(1, 3);3
5.38580853362915e-52;(1, 3);4
5.701969624487072e-53;(1, 3);5
2.7366834306885807e-43;(1, 3);6
5.411981697150401e-107;(1, 3);7
1.8434440011704844e-42;(1, 3);8
1.2630223231502567e-41;(1, 3);9
1.8676080199272983e-33;(2, 0);0
9.018299522792167e-27;(2, 0);1
9.666212536951943e-36;(2, 0);2
2.3565612939701587e-28;(2, 0);3
5.012268279187664e-33;(2, 0);4
5.064227840375351e-41;(2, 0);5
1.5859366841201067e-60;(2, 0);6
5.937050039120828e-41;(2, 0);7
7.664213322499001e-40;(2, 0);8
2.7109208407323725e-66;(2, 0);9
2.454998956927141e-32;(2, 1);0
1.5324132608263178e-47;(2, 1);1
9.66782234420231e-47;(2, 1);2
6.5995523672153985e-43;(2, 1);3
3.015376715611707e-46;(2, 1);4
5.9433339103795365e-18;(2, 1);5
5.929884230883887e-36;(2, 1);6
1.0405230663241012e-34;(2, 1);7
3.1885823347930077e-39;(2, 1);8
2.843638924304645e-37;(2, 1);9
3.7882786666158097e-22;(0, 0);0
7.686672970569196e-27;(0, 0);1
8.009354531882119e-23;(0, 0);2
4.24156447712112e-39;(0, 0);3
2.6576186719879046e-17;(0, 0);4
1.3365094491751202e-17;(0, 0);5
8.601200201614026e-15;(0, 0);6
3.114639695007966e-18;(0, 0);7
5.6032357174208175e-18;(0, 0);8
8.109881572207193e-21;(0, 0);9
2.918152068277062e-32;(0, 1);0
3.907121788677511e-15;(0, 1);1
4.221403982371917e-12;(0, 1);2
9.642926200519949e-33;(0, 1);3
1.775416857648348e-19;(0, 1);4
7.304703214264238e-16;(0, 1);5
4.407661636201022e-23;(0, 1);6
2.925559374330073e-39;(0, 1);7
6.2927238461073e-17;(0, 1);8
1.9464176914197593e-15;(0, 1);9
1.0361359784730105e-53;(0, 2);0
2.4611344648667986e-16;(0, 2);1
9.607353914216882e-21;(0, 2);2
1.826767396614526e-15;(0, 2);3
7.927419236836463e-14;(0, 2);4
2.3486216642423501e-38;(0, 2);5
8.294291550432354e-24;(0, 2);6
7.643144276973475e-21;(0, 2);7
4.304874375720999e-18;(0, 2);8
3.287950223978098e-21;(0, 2);9
5.32122113372256e-16;(0, 3);0
5.447102328440422e-29;(0, 3);1
3.6848341386584004e-13;(0, 3);2
3.558422147210979e-15;(0, 3);3
4.848884128227464e-25;(0, 3);4
7.515451388525549e-21;(0, 3);5
5.0218796376087787e-42;(0, 3);6
2.5346586468930877e-14;(0, 3);7
2.9781550682501248e-28;(0, 3);8
1.3145638952390357e-17;(0, 3);9
1.6848944677812496e-45;(1, 0);0
2.4274255372511026e-102;(1, 0);1
2.4739751100299854e-80;(1, 0);2
2.1545856203166327e-67;(1, 0);3
5.814755191503351e-43;(1, 0);4
1.2664824881900144e-38;(1, 0);5
2.4160553906351798e-48;(1, 0);6
3.2320105045779987e-77;(1, 0);7
6.321256836826485e-46;(1, 0);8
1.1198722012282239e-45;(1, 0);9
1.2423592460947858e-39;(2, 2);0
3.145851584985532e-40;(2, 2);1
4.982054363944878e-21;(2, 2);2
1.3683519194239193e-53;(2, 2);3
3.3495724165611223e-49;(2, 2);4
2.1742501100218987e-18;(2, 2);5
5.937102223695327e-47;(2, 2);6
8.058171446119697e-54;(2, 2);7
4.971205310937097e-22;(2, 2);8
8.579015845236871e-25;(2, 2);9
1.8624367580375874e-37;(2, 3);0
2.5914554333422635e-30;(2, 3);1
1.0589966777529232e-35;(2, 3);2
6.645806709651578e-73;(2, 3);3
3.882037473327517e-30;(2, 3);4
3.416150868777379e-54;(2, 3);5
9.570516955780093e-31;(2, 3);6
2.441763188878358e-48;(2, 3);7
1.8690892461698496e-31;(2, 3);8
3.0259410991084215e-43;(2, 3);9
3.4276357328072236e-31;(3, 0);0
3.951323476645065e-30;(3, 0);1
4.441345621608122e-45;(3, 0);2
4.949273190202412e-47;(3, 0);3
2.6341361697650273e-36;(3, 0);4
1.7376428018076994e-40;(3, 0);5
1.062090909217733e-39;(3, 0);6
