estimations;id;iter
1.0827852852027785e-12;(0, 0);0
9.287794983419067e-14;(0, 0);1
2.4868281195111795e-19;(0, 0);2
2.551220918896812e-07;(0, 0);3
5.3184409375183565e-12;(0, 0);4
2.5842891360710862e-14;(0, 0);5
7.033268426515543e-13;(0, 0);6
6.222816484201536e-10;(0, 0);7
4.8440779511702105e-18;(0, 0);8
3.0853819213489474e-12;(0, 0);9
4.73074290125719e-14;(0, 1);0
2.315895842612357e-13;(0, 1);1
1.2452631687782582e-20;(0, 1);2
1.7589852717519857e-17;(0, 1);3
7.840224302407701e-14;(0, 1);4
1.0070147879648498e-14;(0, 1);5
3.2319687717758204e-09;(0, 1);6
5.820553617294957e-13;(0, 1);7
1.2879035395144108e-13;(0, 1);8
9.89830918717238e-09;(0, 1);9
3.255505177892695e-13;(0, 2);0
4.783246921204288e-16;(0, 2);1
1.5444817444689328e-17;(0, 2);2
2.0886925242370235e-20;(0, 2);3
2.0837540000505673e-21;(0, 2);4
3.9372761666936537e-13;(0, 2);5
9.127769832389647e-14;(0, 2);6
1.1750906936813617e-14;(0, 2);7
7.112948657691575e-25;(0, 2);8
1.37381550852845e-21;(0, 2);9
6.901716005383267e-16;(0, 3);0
1.9921472886499145e-17;(0, 3);1
1.4303909242061156e-11;(0, 3);2
1.4345291411984657e-22;(0, 3);3
1.4673035516592456e-17;(0, 3);4
6.599766190514107e-19;(0, 3);5
5.049289518701614e-21;(0, 3);6
1.134402432995025e-22;(0, 3);7
2.1213184302030414e-14;(0, 3);8
2.86556353866343e-24;(0, 3);9
9.849940979937784e-41;(1, 0);0
4.2726615753287034e-60;(1, 0);1
6.413471102991189e-38;(1, 0);2
1.724903134723856e-72;(1, 0);3
4.684653289096512e-81;(1, 0);4
1.274028760356074e-61;(1, 0);5
6.784084841736593e-58;(1, 0);6
2.1658896791315654e-61;(1, 0);7
7.479673786961949e-129;(1, 0);8
6.9326335358030406e-74;(1, 0);9
1.601974056478403e-24;(3, 3);0
1.2993793291479428e-19;(3, 3);1
1.802962036710568e-22;(3, 3);2
9.034459533044312e-22;(3, 3);3
7.1070871664542855e-28;(3, 3);4
6.610627715659117e-28;(3, 3);5
6.441481302267285e-25;(3, 3);6
8.380982274656192e-26;(3, 3);7
2.2407331458952474e-27;(3, 3);8
3.648917871809023e-20;(3, 3);9
4.024865600503101e-54;(4, 0);0
6.220341486429693e-71;(4, 0);1
5.362801479489777e-42;(4, 0);2
6.222324817184729e-49;(4, 0);3
2.831667897450241e-47;(4, 0);4
1.7354000619091597e-50;(4, 0);5
2.776452565171651e-55;(4, 0);6
6.787445066995782e-64;(4, 0);7
1.7748603673790864e-37;(4, 0);8
3.685649137598581e-48;(4, 0);9
5.746321735785348e-52;(4, 1);0
5.414184035862054e-38;(4, 1);1
1.0160866326605977e-57;(4, 1);2
1.8338518646834873e-56;(4, 1);3
1.1625384423605716e-48;(4, 1);4
1.737704732988041e-33;(4, 1);5
1.2850055165117644e-44;(4, 1);6
2.5348193159903974e-70;(4, 1);7
1.0650516565666444e-38;(4, 1);8
1.8247896299369094e-46;(4, 1);9
5.410051400399737e-51;(4, 2);0
1.217165482080576e-46;(4, 2);1
1.1296182047655192e-39;(4, 2);2
2.0143655330119508e-35;(4, 2);3
1.3865818192016539e-47;(4, 2);4
8.130096937975366e-61;(4, 2);5
5.570967814474094e-49;(4, 2);6
5.105681777488701e-50;(4, 2);7
7.244997125655873e-49;(4, 2);8
6.428641799127297e-39;(4, 2);9
2.9402718985124763e-52;(4, 3);0
1.3678952898808381e-52;(4, 3);1
7.043501851562469e-85;(4, 3);2
2.761197854796576e-79;(4, 3);3
3.040562558193102e-76;(4, 3);4
2.572955762936094e-117;(4, 3);5
1.5096879128848522e-70;(4, 3);6
2.9812066429364783e-74;(4, 3);7
3.9555347364975865e-70;(4, 3);8
5.0504327617263746e-65;(4, 3);9
1.3684793036860452e-138;(1, 1);0
1.6737432579069587e-78;(1, 1);1
2.2549830937222543e-134;(1, 1);2
1.5117857257331549e-64;(1, 1);3
5.291978596103176e-82;(1, 1);4
6.319639006199514e-73;(1, 1);5
2.88642137868361e-66;(1, 1);6
9.784637200544684e-86;(1, 1);7
4.413122432764004e-135;(1, 1);8
3.7023970764836645e-177;(1, 1);9
8.602438859215488e-66;(1, 2);0
5.720689926778143e-83;(1, 2);1
5.4376354015548144e-104;(1, 2);2
2.0901584359860554e-168;(1, 2);3
1.655181048789938e-153;(1, 2);4
2.5502119852953826e-87;(1, 2);5
1.150582122381387e-65;(1, 2);6
1.7139316238429352e-204;(1, 2);7
1.935863658667423e-49;(1, 2);8
5.859794947432256e-51;(1, 2);9
3.549799390282351e-122;(1, 3);0
3.7486914707344086e-55;(1, 3);1
9.354685619903545e-62;(1, 3);2
1.0241275062541467e-132;(1, 3);3
4.842782994673905e-122;(1, 3);4
3.373317220757307e-39;(1, 3);5
1.4658138234083624e-61;(1, 3);6
1.0361594640590584e-43;(1, 3);7
3.752244248323101e-123;(1, 3);8
6.306869895662147e-83;(1, 3);9
5.159081536447155e-21;(2, 0);0
5.4458914478357375e-18;(2, 0);1
9.349484752085782e-15;(2, 0);2
1.0423796922140682e-33;(2, 0);3
6.501067219980247e-21;(2, 0);4
8.342608184562387e-19;(2, 0);5
1.0910410558651564e-22;(2, 0);6
1.320023364451422e-28;(2, 0);7
2.7289104236978757e-15;(2, 0);8
3.7008908550503016e-31;(2, 0);9
9.334357497974689e-26;(2, 1);0
1.0229384830888825e-34;(2, 1);1
3.830730612086465e-29;(2, 1);2
3.39019279285504e-26;(2, 1);3
1.6125802955427665e-17;(2, 1);4
3.24392943426105e-22;(2, 1);5
1.4051142446941848e-13;(2, 1);6
2.9335732735561605e-22;(2, 1);7
1.154298603112654e-31;(2, 1);8
4.562718746194825e-21;(2, 1);9
6.217381703836338e-13;(7, 2);0
4.555709017796507e-14;(7, 2);1
1.8398752619756343e-67;(7, 2);2
2.030207610695136e-09;(7, 2);3
6.924519801003262e-21;(7, 2);4
3.919172012022022e-81;(7, 2);5
2.136692499507072e-41;(7, 2);6
8.967665669923708e-44;(7, 2);7
3.803949457810121e-44;(7, 2);8
8.658378727337204e-24;(7, 2);9
1.5425732112265024e-16;(7, 3);0
4.7305239672151205e-18;(7, 3);1
1.0292567757285275e-15;(7, 3);2
1.1907239262612584e-20;(7, 3);3
3.7427680273547035e-14;(7, 3);4
1.0259179093336098e-15;(7, 3);5
2.097477031169277e-28;(7, 3);6
3.616150376302133e-14;(7, 3);7
4.4508930825520145e-18;(7, 3);8
3.685659163810635e-18;(7, 3);9
2.0123641646518105e-13;(8, 0);0
4.732398558936878e-09;(8, 0);1
9.652657749637206e-20;(8, 0);2
1.8552917451316237e-15;(8, 0);3
9.656552248273858e-11;(8, 0);4
4.2802223925211797e-10;(8, 0);5
5.55198354301983e-12;(8, 0);6
1.8251082323461802e-13;(8, 0);7
4.01980303396809e-12;(8, 0);8
1.4528304857382368e-12;(8, 0);9
7.833897518615607e-20;(8, 1);0
1.2497027659750106e-16;(8, 1);1
6.647462599530877e-08;(8, 1);2
2.6509364546954064e-13;(8, 1);3
3.135054253821793e-13;(8, 1);4
4.3514491670727664e-16;(8, 1);5
2.140552812628581e-10;(8, 1);6
7.542515493928914e-16;(8, 1);7
5.0362766831959786e-11;(8, 1);8
1.4953453657418872e-13;(8, 1);9
4.196690701900934e-19;(8, 2);0
1.0524156607919058e-21;(8, 2);1
1.7533393683705415e-15;(8, 2);2
5.836881692711846e-13;(8, 2);3
2.3451162761063026e-23;(8, 2);4
2.5487723139319586e-18;(8, 2);5
8.358642175804888e-23;(8, 2);6
9.32599562872858e-19;(8, 2);7
5.602346527723373e-19;(8, 2);8
3.78462386472909e-11;(8, 2);9
3.874016126006543e-18;(8, 3);0
1.291907782474408e-20;(8, 3);1
5.73379925536912e-36;(8, 3);2
1.1162294743822445e-20;(8, 3);3
6.41578797607728e-22;(8, 3);4
1.538610839161764e-30;(8, 3);5
8.529262149107628e-15;(8, 3);6
8.648484148729508e-24;(8, 3);7
2.2165802701548845e-17;(8, 3);8
2.180412822605117e-15;(8, 3);9
4.050374177922143e-16;(9, 0);0
4.721419299150162e-19;(9, 0);1
2.716618549452629e-10;(9, 0);2
4.3377877805124305e-14;(9, 0);3
9.430598125678759e-11;(9, 0);4
1.3176040583262856e-13;(9, 0);5
1.3751550886946222e-13;(9, 0);6
1.2944817924747597e-07;(9, 0);7
2.720351226998252e-17;(9, 0);8
3.7876523653939394e-07;(9, 0);9
1.2683120452981659e-21;(9, 1);0
3.904073859560809e-12;(9, 1);1
1.0750775960761472e-11;(9, 1);2
2.1721876877776202e-07;(9, 1);3
4.2994282508691666e-20;(9, 1);4
4.5179368753991945e-12;(9, 1);5
5.1198590391140676e-14;(9, 1);6
6.2521596742869376e-09;(9, 1);7
4.006158709710732e-09;(9, 1);8
1.1741562267803077e-17;(9, 1);9
6.362396287441766e-15;(9, 2);0
7.535271181769667e-14;(9, 2);1
5.811161181613865e-11;(9, 2);2
8.625068754605248e-16;(9, 2);3
2.7225739420342713e-16;(9, 2);4
3.508667688965664e-11;(9, 2);5
9.64202714039773e-12;(9, 2);6
8.076769352903105e-21;(9, 2);7
5.761493891187602e-10;(9, 2);8
2.675636045561677e-08;(9, 2);9
6.427805834109836e-09;(9, 3);0
2.8188310779892467e-08;(9, 3);1
2.627884696024693e-12;(9, 3);2
2.0044787644350227e-07;(9, 3);3
3.058618571355016e-10;(9, 3);4
1.499425981731779e-05;(9, 3);5
3.249769097451736e-16;(9, 3);6
2.288043897075826e-09;(9, 3);7
1.5346636040527218e-12;(9, 3);8
1.7584967199777962e-10;(9, 3);9
3.188385165007429e-21;(2, 2);0
8.532110925866147e-31;(2, 2);1
2.0003547010834773e-23;(2, 2);2
3.6216905630788385e-21;(2, 2);3
4.952432931909031e-20;(2, 2);4
8.28221708909975e-24;(2, 2);5
1.2738244809112118e-33;(2, 2);6
9.641457606337321e-22;(2, 2);7
1.8786373917731232e-15;(2, 2);8
6.693693919995566e-27;(2, 2);9
1.392317062471343e-23;(2, 3);0
3.304175878863982e-17;(2, 3);1
6.80243635874248e-18;(2, 3);2
8.652895258634154e-22;(2, 3);3
1.1671115313666234e-14;(2, 3);4
1.5001180781259295e-24;(2, 3);5
5.903089376465624e-20;(2, 3);6
7.554851395086307e-14;(2, 3);7
9.543721448539276e-17;(2, 3);8
2.8270581084150637e-21;(2, 3);9
2.3468145314024938e-26;(3, 0);0
3.2073259533817613e-22;(3, 0);1
3.774130263713193e-29;(3, 0);2
4.037160234179842e-22;(3, 0);3
1.0288603681977321e-22;(3, 0);4
6.878789330445428e-19;(3, 0);5
2.436208160598557e-22;(3, 0);6
8.505563948403422e-24;(3, 0);7
6.838273316533806e-25;(3, 0);8
9.545107744859627e-25;(3, 0);9
4.031356089901003e-40;(3, 1);0
3.1452199363879797e-31;(3, 1);1
7.077462798198732e-36;(3, 1);2
1.7630565449177877e-28;(3, 1);3
1.420836107270892e-31;(3, 1);4
3.619044981798056e-28;(3, 1);5
4.408824755135647e-22;(3, 1);6
1.2269611512476778e-29;(3, 1);7
1.2141369449865636e-22;(3, 1);8
1.4195406565109488e-28;(3, 1);9
1.1984263252463822e-20;(3, 2);0
5.626587177542135e-23;(3, 2);1
2.8171092265725663e-25;(3, 2);2
6.033754224956227e-23;(3, 2);3
1.5089077918378723e-23;(3, 2);4
9.306287906342823e-29;(3, 2);5
5.88026836878484e-19;(3, 2);6
8.753900079781564e-31;(3, 2);7
3.189899094335368e-26;(3, 2);8
4.15591672585041e-18;(3, 2);9
5.996707338157684e-180;(6, 1);0
3.723492961911835e-119;(6, 1);1
2.3489455744207375e-295;(6, 1);2
6.701815664318524e-202;(6, 1);3
1.9411563610666823e-287;(6, 1);4
5.086902356950481e-280;(6, 1);5
2.649e-320;(6, 1);6
6.411653716930531e-292;(6, 1);7
8.721697909109058e-108;(6, 1);8
9.826253492071195e-135;(6, 1);9
9.18648086550233e-97;(6, 2);0
2.0446332048141976e-146;(6, 2);1
6.743287911418597e-121;(6, 2);2
1.8810542391042762e-229;(6, 2);3
2.573984736095477e-140;(6, 2);4
1.606622747056117e-281;(6, 2);5
1.7910420493201376e-161;(6, 2);6
5.524751374405555e-119;(6, 2);7
5.782307993885235e-157;(6, 2);8
3.657086382011486e-192;(6, 2);9
1.1486496111845255e-173;(6, 3);0
7.39265023846443e-116;(6, 3);1
7.09378959568861e-197;(6, 3);2
1.021872096884317e-176;(6, 3);3
1.1536086196723562e-166;(6, 3);4
3.2938120473838493e-87;(6, 3);5
3.1202346787687565e-182;(6, 3);6
4.013011845203206e-142;(6, 3);7
7.012034510193061e-280;(6, 3);8
1.4773168182620048e-131;(6, 3);9
1.684373488075825e-18;(7, 0);0
3.296651727776972e-16;(7, 0);1
4.881409205778794e-22;(7, 0);2
1.6519900507691948e-15;(7, 0);3
2.4543115784221974e-13;(7, 0);4
1.1482714307988139e-13;(7, 0);5
1.7908530532064232e-22;(7, 0);6
8.916469235066551e-16;(7, 0);7
5.652259543664594e-16;(7, 0);8
1.352823452228174e-09;(7, 0);9
5.2463078960122746e-24;(7, 1);0
3.150488573454826e-26;(7, 1);1
8.800957870692689e-30;(7, 1);2
8.266725841658145e-30;(7, 1);3
4.176875470185627e-14;(7, 1);4
3.612247098314875e-30;(7, 1);5
5.075248717786146e-30;(7, 1);6
4.2120436658873626e-18;(7, 1);7
8.529208954275984e-25;(7, 1);8
5.7972221172199265e-24;(7, 1);9
2.8122373174956875e-24;(5, 0);0
2.3616354001025886e-38;(5, 0);1
2.451259891148257e-18;(5, 0);2
2.9754212746813584e-28;(5, 0);3
1.642060633868263e-30;(5, 0);4
3.2946373691142954e-30;(5, 0);5
1.1688019855759046e-31;(5, 0);6
4.0646399314861377e-19;(5, 0);7
2.3682449951762887e-26;(5, 0);8
8.17713681227461e-21;(5, 0);9
6.906300150145956e-39;(5, 1);0
2.6528894806396434e-29;(5, 1);1
1.866590962226023e-27;(5, 1);2
2.053972047378521e-21;(5, 1);3
6.364937141941579e-23;(5, 1);4
4.854580790158336e-26;(5, 1);5
3.756442682148069e-37;(5, 1);6
1.0256956181416822e-16;(5, 1);7
1.1058487495889077e-31;(5, 1);8
2.026214819356499e-43;(5, 1);9
2.0249126461127457e-27;(5, 2);0
3.1109529980951334e-35;(5, 2);1
