estimations;id;iter
8.727350215392071e-27;(0, 0);0
3.845201488101474e-36;(0, 0);1
1.6453121440604677e-46;(0, 0);2
2.02593543122196e-31;(0, 0);3
5.3565465522459974e-39;(0, 0);4
1.0656242481903097e-38;(0, 0);5
9.34932348230929e-18;(0, 0);6
2.0112346153010832e-17;(0, 0);7
5.441757507814816e-31;(0, 0);8
6.20611448381618e-19;(0, 0);9
1.0593638973232543e-19;(0, 1);0
6.1499473818918376e-18;(0, 1);1
1.3812013830132961e-27;(0, 1);2
3.1158350677120274e-32;(0, 1);3
7.53084476030799e-28;(0, 1);4
2.934445073117896e-25;(0, 1);5
1.0048889109371074e-27;(0, 1);6
3.5675964505986434e-17;(0, 1);7
2.9922833637501945e-29;(0, 1);8
2.2937767459996463e-27;(0, 1);9
2.9249466386586307e-40;(0, 2);0
1.114404636472907e-64;(0, 2);1
9.817091891627728e-34;(0, 2);2
8.181406472002088e-31;(0, 2);3
6.48731958913874e-15;(0, 2);4
2.9737147127083024e-22;(0, 2);5
9.153119009240936e-49;(0, 2);6
7.665652045170475e-29;(0, 2);7
2.7468931151633304e-34;(0, 2);8
1.6810194697919676e-36;(0, 2);9
1.4913688637715585e-26;(0, 3);0
2.2109830721538283e-44;(0, 3);1
8.166548689871172e-49;(0, 3);2
4.34884455995037e-40;(0, 3);3
1.3144662339555264e-64;(0, 3);4
1.5957059363388196e-24;(0, 3);5
1.7598323433602643e-15;(0, 3);6
7.128053475071674e-62;(0, 3);7
1.2014781620313742e-45;(0, 3);8
4.8778779160132554e-27;(0, 3);9
5.344482317024692e-27;(1, 0);0
8.84097917459966e-57;(1, 0);1
2.1304659334459497e-57;(1, 0);2
2.5902807643126968e-76;(1, 0);3
1.8872244782673535e-42;(1, 0);4
1.187047029630991e-32;(1, 0);5
3.4154027011717533e-66;(1, 0);6
9.650406200115185e-44;(1, 0);7
5.492173476372777e-38;(1, 0);8
3.6418679706621194e-44;(1, 0);9
8.609728640333545e-47;(1, 1);0
3.916072108420956e-123;(1, 1);1
1.422046328951405e-57;(1, 1);2
5.422547958148572e-63;(1, 1);3
1.2349325887755213e-63;(1, 1);4
2.833482875590113e-43;(1, 1);5
3.2989207759872855e-111;(1, 1);6
6.5680438507643846e-83;(1, 1);7
2.837642732562581e-100;(1, 1);8
5.015883553476174e-58;(1, 1);9
4.0066162142732706e-53;(1, 2);0
1.0;(1, 2);1
3.1715526949341755e-85;(1, 2);2
6.8392252293682735e-56;(1, 2);3
1.849248832867133e-76;(1, 2);4
2.261853535816543e-52;(1, 2);5
3.373016911779046e-58;(1, 2);6
1.7041125448930915e-118;(1, 2);7
2.796956822827661e-91;(1, 2);8
7.005543687488605e-89;(1, 2);9
4.447567414456989e-60;(1, 3);0
6.214980272877392e-110;(1, 3);1
3.9914833482660286e-88;(1, 3);2
2.519854362061043e-60;(1, 3);3
3.457870440900197e-87;(1, 3);4
2.057166985607148e-85;(1, 3);5
6.282901339510949e-94;(1, 3);6
3.7749090241507525e-54;(1, 3);7
2.0082488608726046e-82;(1, 3);8
6.545073846981035e-106;(1, 3);9
4.2434704669019745e-13;(2, 0);0
1.4268386890671995e-48;(2, 0);1
1.4547321428438479e-37;(2, 0);2
6.548465855162544e-20;(2, 0);3
2.6911816763701718e-12;(2, 0);4
1.5210458455070507e-31;(2, 0);5
7.018279023238748e-08;(2, 0);6
6.24550205812749e-18;(2, 0);7
1.618887039747592e-18;(2, 0);8
2.371574483967839e-39;(2, 0);9
1.381754794333304e-62;(2, 1);0
5.023963046199645e-48;(2, 1);1
1.2856751958971338e-32;(2, 1);2
1.086557434003752e-44;(2, 1);3
1.8988181035332728e-29;(2, 1);4
1.918712274996389e-76;(2, 1);5
5.34246843607586e-27;(2, 1);6
1.574911563265365e-23;(2, 1);7
2.0892640881538065e-45;(2, 1);8
2.949951310346369e-54;(2, 1);9
9.116558502325207e-46;(2, 2);0
2.8668953967766473e-38;(2, 2);1
2.66243575956622e-46;(2, 2);2
1.962307441355214e-39;(2, 2);3
3.5504466951382296e-20;(2, 2);4
1.776038410288225e-35;(2, 2);5
1.3735362166830213e-30;(2, 2);6
7.420923650128279e-41;(2, 2);7
1.8238808967052275e-39;(2, 2);8
2.0855446294186875e-46;(2, 2);9
4.6921840521941e-72;(2, 3);0
3.293350464605117e-34;(2, 3);1
1.255744659908625e-43;(2, 3);2
1.1008195640066772e-28;(2, 3);3
3.5544596629345093e-25;(2, 3);4
4.592355976944029e-10;(2, 3);5
5.284572760444812e-44;(2, 3);6
8.826073030166473e-53;(2, 3);7
4.360313388106221e-26;(2, 3);8
4.533867551544335e-07;(2, 3);9
1.2234741517996193e-125;(3, 0);0
1.1978814555574168e-149;(3, 0);1
3.2481746032568595e-25;(3, 0);2
2.5338384747001766e-130;(3, 0);3
7.350161597133893e-61;(3, 0);4
1.763504421403742e-84;(3, 0);5
1.8126068712618793e-49;(3, 0);6
1.9300977700001936e-59;(3, 0);7
1.7609532520759723e-104;(3, 0);8
4.006852965357425e-57;(3, 0);9
6.369177634140409e-84;(3, 1);0
2.7227138064453835e-46;(3, 1);1
1.2961791230464408e-95;(3, 1);2
7.5367113207574e-65;(3, 1);3
8.613104607528868e-81;(3, 1);4
