estimations;id;iter
1.0;(15, 0);0
0.7772998611746912;(15, 0);1
1.0;(15, 0);2
0.6791787511256056;(15, 0);3
0.334589441253186;(15, 0);4
0.9399133498259924;(15, 0);5
1.0;(15, 0);6
1.0;(15, 0);7
1.0;(15, 0);8
1.0;(15, 0);9
1.0;(15, 1);0
1.0;(15, 1);1
0.7772998611746912;(15, 1);2
0.8175744761936438;(15, 1);3
0.5926665999540698;(15, 1);4
0.8519528019683105;(15, 1);5
1.0;(15, 1);6
0.9046505351008904;(15, 1);7
0.6926419323780252;(15, 1);8
0.8596637505099167;(15, 1);9
0.7772998199032911;(15, 2);0
0.8933094060543488;(15, 2);1
0.9099070060380482;(15, 2);2
0.8670357598021706;(15, 2);3
0.8670357598021708;(15, 2);4
0.6654106118281687;(15, 2);5
0.8807970779778825;(15, 2);6
0.8267117940706734;(15, 2);7
0.8807970779778824;(15, 2);8
0.7185943925708561;(15, 2);9
1.0;(15, 3);0
1.0;(15, 3);1
0.8872045937171068;(15, 3);2
0.8354835371034368;(15, 3);3
0.9196425311777929;(15, 3);4
0.8175744761936437;(15, 3);5
0.8354835043326106;(15, 3);6
1.0;(15, 3);7
0.7310585786300049;(15, 3);8
0.8354835371034368;(15, 3);9
1.0;(16, 0);0
1.0;(16, 0);1
1.0;(16, 0);2
1.0;(16, 0);3
1.0;(16, 0);4
1.0;(16, 0);5
1.0;(16, 0);6
1.0;(16, 0);7
1.0;(16, 0);8
1.0;(16, 0);9
1.0;(16, 1);0
1.0;(16, 1);1
1.0;(16, 1);2
0.7662936430859597;(16, 1);3
0.8080672135527632;(16, 1);4
1.0;(16, 1);5
1.0;(16, 1);6
1.0;(16, 1);7
1.0;(16, 1);8
0.7981867393340462;(16, 1);9
1.0;(16, 2);0
0.8872046175762722;(16, 2);1
1.0;(16, 2);2
0.8991213772699435;(16, 2);3
0.9149009364303755;(16, 2);4
0.8933094060543488;(16, 2);5
1.0;(16, 2);6
0.8807970779778824;(16, 2);7
0.9046505351008906;(16, 2);8
1.0;(16, 2);9
0.9149009549929797;(16, 3);0
0.8807970779778824;(16, 3);1
0.8991213556448694;(16, 3);2
0.8080672135527632;(16, 3);3
1.0;(16, 3);4
1.0;(16, 3);5
0.7662936430859597;(16, 3);6
0.9196425311777929;(16, 3);7
0.9149009549929797;(16, 3);8
0.8933093833312177;(16, 3);9
0.8354835371034368;(17, 0);0
0.5926665999540697;(17, 0);1
1.0;(17, 0);2
0.8175744761936438;(17, 0);3
0.7879311956428946;(17, 0);4
0.919642548796959;(17, 0);5
0.8354835371034368;(17, 0);6
1.0;(17, 0);7
0.6370307944803831;(17, 0);8
0.8267117599149674;(17, 0);9
