estimations;id;iter
5.259634905363084e-09;(1, 1);0
4.3127328005596823e-13;(1, 1);1
1.5223702865124276e-06;(1, 1);2
4.28890744968984e-12;(1, 1);3
1.6481491482484233e-14;(1, 1);4
2.51110618920106e-11;(1, 1);5
8.155869637145427e-08;(1, 1);6
3.0315935623793036e-12;(1, 1);7
5.625680218849619e-08;(1, 1);8
5.05980769351325e-17;(1, 1);9
5.171051671005413e-17;(1, 2);0
2.2034499072615195e-17;(1, 2);1
3.6847601528870577e-09;(1, 2);2
1.6728303506460204e-12;(1, 2);3
2.5621556085657154e-09;(1, 2);4
5.946368314865268e-13;(1, 2);5
1.9475832297723107e-05;(1, 2);6
3.8889300990295367e-13;(1, 2);7
7.028524985607098e-14;(1, 2);8
5.722214227935212e-12;(1, 2);9
1.576876623538603e-12;(1, 3);0
3.1102373929199825e-17;(1, 3);1
5.671851282349383e-13;(1, 3);2
1.1705018041501457e-08;(1, 3);3
5.332032905035311e-11;(1, 3);4
1.881085761932234e-06;(1, 3);5
2.439569267000623e-11;(1, 3);6
1.1976744938548383e-10;(1, 3);7
1.5834708201050352e-05;(1, 3);8
1.5195820341770772e-13;(1, 3);9
1.5478946488050024e-05;(2, 0);0
5.309145675752017e-06;(2, 0);1
5.201603943343807e-07;(2, 0);2
2.3219408845887255e-07;(2, 0);3
4.6749644059759344e-05;(2, 0);4
5.289699555205052e-05;(2, 0);5
2.0906652176148887e-05;(2, 0);6
4.4810710915591443e-05;(2, 0);7
1.453322136332368e-10;(2, 0);8
1.6642001328582592e-06;(2, 0);9
9.38043834571975e-13;(2, 1);0
2.3500610585589654e-11;(2, 1);1
3.789026776629454e-19;(2, 1);2
1.369634565121146e-15;(2, 1);3
2.182663426572552e-19;(2, 1);4
4.195088845699793e-09;(2, 1);5
3.486813774812483e-18;(2, 1);6
5.264361711670853e-09;(2, 1);7
8.377922902666522e-23;(2, 1);8
1.770670647053188e-15;(2, 1);9
6.770283902451221e-08;(0, 0);0
4.250107930167723e-08;(0, 0);1
0.000184642155118433;(0, 0);2
1.233767315353052e-10;(0, 0);3
2.1649045927757395e-05;(0, 0);4
7.635214206858397e-09;(0, 0);5
7.63403071283001e-06;(0, 0);6
5.40011969387669e-09;(0, 0);7
1.2025903896907024e-10;(0, 0);8
7.36347263670818e-09;(0, 0);9
3.214192201475213e-17;(0, 1);0
7.740061532810013e-21;(0, 1);1
5.545563912159924e-16;(0, 1);2
1.6539993782746497e-14;(0, 1);3
6.224106761367403e-21;(0, 1);4
3.965549105582889e-18;(0, 1);5
4.4881975756508905e-13;(0, 1);6
5.135762457351245e-16;(0, 1);7
9.261612786277303e-21;(0, 1);8
1.1252302965899683e-17;(0, 1);9
2.8944610280177487e-12;(0, 2);0
6.345556473385777e-13;(0, 2);1
4.143656879073931e-08;(0, 2);2
3.492255022342464e-11;(0, 2);3
1.5105677212568583e-14;(0, 2);4
6.513553460561876e-09;(0, 2);5
1.353948371521276e-14;(0, 2);6
2.5109462381415728e-11;(0, 2);7
8.656652547482629e-05;(0, 2);8
3.902623023011056e-06;(0, 2);9
2.9303310805934097e-05;(0, 3);0
7.849422879649948e-09;(0, 3);1
4.148259655671134e-09;(0, 3);2
0.00021084791005766414;(0, 3);3
8.777504662736525e-11;(0, 3);4
5.072762619631085e-05;(0, 3);5
0.00028320474400601425;(0, 3);6
1.1912968955692704e-07;(0, 3);7
2.7331753863493226e-05;(0, 3);8
1.3076947998819737e-09;(0, 3);9
2.4961875777348056e-12;(1, 0);0
2.6100126017910263e-13;(1, 0);1
2.363809775311856e-21;(1, 0);2
1.0647293416468177e-11;(1, 0);3
3.105872125832423e-10;(1, 0);4
8.193762154754888e-11;(1, 0);5
1.2068356836985925e-13;(1, 0);6
5.4896100490817345e-11;(1, 0);7
3.82642083802696e-13;(1, 0);8
4.631078348551919e-11;(1, 0);9
2.071181025168437e-16;(2, 2);0
2.2613610436298858e-14;(2, 2);1
5.35527683809981e-11;(2, 2);2
3.3152054033752606e-15;(2, 2);3
7.283634710627542e-15;(2, 2);4
1.2525211075024986e-15;(2, 2);5
1.94261194947656e-10;(2, 2);6
1.6461994635938614e-20;(2, 2);7
5.111405192058273e-16;(2, 2);8
6.226213071366912e-13;(2, 2);9
1.894801253841053e-06;(2, 3);0
2.875577487340052e-12;(2, 3);1
4.04936866020179e-06;(2, 3);2
6.034271717863367e-11;(2, 3);3
4.8349261985994376e-18;(2, 3);4
3.6816328438600073e-13;(2, 3);5
4.5115293882450994e-12;(2, 3);6
8.324369833304168e-15;(2, 3);7
1.0922494050250957e-17;(2, 3);8
4.456592137751533e-11;(2, 3);9
9.399528394817406e-18;(3, 0);0
3.6183479015690124e-20;(3, 0);1
5.706398808354122e-26;(3, 0);2
2.9109784945912957e-26;(3, 0);3
3.4300106850511077e-38;(3, 0);4
2.5995592178302795e-21;(3, 0);5
4.138146094395454e-30;(3, 0);6
3.794937318092663e-25;(3, 0);7
3.5401958900697e-32;(3, 0);8
1.8687729582841515e-33;(3, 0);9
2.0934186151258552e-19;(3, 1);0
7.666109154651065e-27;(3, 1);1
1.4594622081373995e-29;(3, 1);2
1.9090262021946396e-19;(3, 1);3
5.2779846184033326e-17;(3, 1);4
3.4106866925097775e-20;(3, 1);5
3.8458795742629356e-17;(3, 1);6
6.598211696112875e-20;(3, 1);7
1.2184853391754556e-23;(3, 1);8
8.61584219402667e-14;(3, 1);9
5.240621930021286e-07;(3, 2);0
6.59907732878692e-20;(3, 2);1
2.5515270393940393e-21;(3, 2);2
2.15154540093927e-09;(3, 2);3
8.609783371616418e-28;(3, 2);4
2.922503550253785e-18;(3, 2);5
2.6969752390539586e-30;(3, 2);6
3.484437736836383e-13;(3, 2);7
6.9202688608495845e-40;(3, 2);8
1.2228564721553656e-20;(3, 2);9
4.0083230784766093e-28;(3, 3);0
9.713304756536602e-46;(3, 3);1
7.183614635829262e-22;(3, 3);2
7.02269440894443e-26;(3, 3);3
4.866780372615883e-37;(3, 3);4
1.5701812127502182e-23;(3, 3);5
2.0684086945921345e-29;(3, 3);6
6.1334558694700166e-33;(3, 3);7
3.314069047423749e-29;(3, 3);8
2.7251766195817574e-32;(3, 3);9
6.7861857004643005e-12;(4, 0);0
9.103006724617978e-11;(4, 0);1
3.953178807107604e-12;(4, 0);2
4.257777300588304e-09;(4, 0);3
1.6621973051355222e-11;(4, 0);4
1.497393619535313e-11;(4, 0);5
1.2253652192583576e-10;(4, 0);6
6.004427534467864e-13;(4, 0);7
6.315555710502238e-11;(4, 0);8
1.271345152354613e-05;(4, 0);9
4.964523643287095e-37;(4, 1);0
1.7371275245485226e-30;(4, 1);1
3.4915954209041857e-19;(4, 1);2
2.720033085831254e-13;(4, 1);3
2.96525322116751e-30;(4, 1);4
5.783152784405821e-21;(4, 1);5
1.2566375641658874e-06;(4, 1);6
5.108894686833909e-24;(4, 1);7
1.0805578149362739e-10;(4, 1);8
8.02897005589956e-31;(4, 1);9
1.48614695020341e-14;(4, 2);0
5.0102959779243733e-23;(4, 2);1
3.0086808825051215e-19;(4, 2);2
4.502479852135302e-13;(4, 2);3
7.4721576143896415e-16;(4, 2);4
1.4278207852957706e-26;(4, 2);5
5.899259922343565e-20;(4, 2);6
1.5218042797642962e-17;(4, 2);7
3.1188434748393748e-27;(4, 2);8
3.9987292520118465e-15;(4, 2);9
3.4437866250640494e-23;(4, 3);0
1.926714070791225e-13;(4, 3);1
1.1766630443698324e-19;(4, 3);2
7.968817418177452e-20;(4, 3);3
6.835230389852654e-16;(4, 3);4
7.418541787960061e-27;(4, 3);5
2.7837606217966963e-14;(4, 3);6
4.388814263600237e-13;(4, 3);7
4.4026993913616917e-13;(4, 3);8
9.310686194482746e-09;(4, 3);9
6.398538244383477e-06;(5, 0);0
0.009644532680983326;(5, 0);1
1.789930429857544e-07;(5, 0);2
0.0006652179737780863;(5, 0);3
4.653828782486657e-05;(5, 0);4
4.93988639631389e-05;(5, 0);5
9.966956725391121e-05;(5, 0);6
0.00033725313751642086;(5, 0);7
0.0002606692841903022;(5, 0);8
7.652754314880446e-06;(5, 0);9
0.0008794544480745563;(5, 1);0
1.1022652335168304e-05;(5, 1);1
1.0393506749157422e-07;(5, 1);2
1.2861451968795682e-06;(5, 1);3
0.0006968072683122198;(5, 1);4
0.0001247012474075459;(5, 1);5
4.452892379508908e-07;(5, 1);6
0.0005825422556374031;(5, 1);7
0.0010022559823260058;(5, 1);8
0.02655496594224557;(5, 1);9
2.7178691623249726e-05;(5, 2);0
2.477545408005249e-09;(5, 2);1
0.02292463356585985;(5, 2);2
5.359735826123526e-06;(5, 2);3
0.0008844644314089167;(5, 2);4
1.2826346471000206e-08;(5, 2);5
2.0044386729303424e-05;(5, 2);6
3.7666564026890676e-06;(5, 2);7
9.192132191357504e-05;(5, 2);8
8.691866546080178e-07;(5, 2);9
0.00071676951471976;(5, 3);0
1.1855422693383538e-08;(5, 3);1
6.162435386399256e-09;(5, 3);2
3.7155704037744994e-11;(5, 3);3
1.1349721689113895e-13;(5, 3);4
9.294971053329784e-07;(5, 3);5
8.885073348275801e-10;(5, 3);6
2.1475481559827065e-09;(5, 3);7
5.086584649529292e-07;(5, 3);8
4.3876266467776336e-05;(5, 3);9
1.5903299013829295e-08;(6, 0);0
4.570288650826597e-06;(6, 0);1
0.00023486284513828565;(6, 0);2
0.0006599424069598436;(6, 0);3
