id;iter;estimations
(1, 1);0;0.0021887621913260517
(1, 1);1;0.11792525066628792
(1, 1);2;2.678618094090803e-10
(1, 1);3;0.03798274369213273
(1, 1);4;0.002483585708034167
(1, 1);5;2.3448832302005905e-08
(1, 1);6;0.004432462577768578
(1, 1);7;4.5308532215475526e-09
(1, 1);8;0.020856861534072492
(1, 1);9;0.001610265545218155
(1, 2);0;0.009062464244041116
(1, 2);1;2.36319150552448e-10
(1, 2);2;7.244554553229044e-05
(1, 2);3;0.27725306656150167
(1, 2);4;0.006900613993919843
(1, 2);5;4.3609353368711915e-07
(1, 2);6;0.020688523245407035
(1, 2);7;1.626556290219745e-07
(1, 2);8;0.10305548098100621
(1, 2);9;0.01822760136201256
(1, 3);0;0.004433441481303749
(1, 3);1;0.0005930623757451417
(1, 3);2;0.017796623656072628
(1, 3);3;0.002956188537258546
(1, 3);4;0.011026419626889465
(1, 3);5;7.809927955566106e-11
(1, 3);6;0.0018433454497969936
(1, 3);7;2.9551012645103644e-10
(1, 3);8;1.6475775460093833e-07
(1, 3);9;0.19873600433195548
(2, 0);0;1.3919504355589522e-12
(2, 0);1;7.714043366668169e-11
(2, 0);2;1.7125572668602908e-07
(2, 0);3;2.7987061461736113e-08
(2, 0);4;0.011979844827513119
(2, 0);5;0.00027756737535022794
(2, 0);6;2.399851902962337e-06
(2, 0);7;0.02969337520757359
(2, 0);8;0.004157748840144577
(2, 0);9;1.3366692039448223e-05
(2, 1);0;0.007212187698862715
(2, 1);1;1.431096897206729e-10
(2, 1);2;0.002200469325342149
(2, 1);3;0.000244366109958778
(2, 1);4;1.6873917565656535e-07
(2, 1);5;0.0011435536575441377
(2, 1);6;3.449204995943284e-08
(2, 1);7;0.008290326128148198
(2, 1);8;1.0988533107330953e-07
(2, 1);9;9.778152688456246e-07
(0, 0);0;3.7045998144862e-07
(0, 0);1;0.008709160548240946
(0, 0);2;6.0628243228496195e-06
(0, 0);3;0.00020602659227293864
(0, 0);4;7.717890252564913e-06
(0, 0);5;0.026052451025187367
(0, 0);6;0.0016987309586616662
(0, 0);7;4.839097621876586e-06
